Most used words by Head And The Heart: 
Number of songs scanned: 54

1. here - 51 uses.
2. love - 51 uses.
3. around - 50 uses.
4. down - 49 uses.
5. lost - 44 uses.
6. away - 43 uses.
7. never - 40 uses.
8. mind - 40 uses.
9. days - 39 uses.
10. right - 36 uses.
11. through - 35 uses.
12. back - 33 uses.
13. need - 32 uses.
14. alone - 31 uses.
15. believe - 31 uses.
16. tell - 30 uses.
17. found - 29 uses.
18. again - 28 uses.
19. saw - 28 uses.
20. eyes - 26 uses.
21. head - 26 uses.
22. myself - 25 uses.
23. every - 25 uses.
24. let - 25 uses.
25. heart - 25 uses.
26. home - 24 uses.
27. should - 24 uses.
28. gone - 24 uses.
29. wind - 24 uses.
30. fade - 24 uses.
31. light - 23 uses.
32. world - 23 uses.
33. things - 23 uses.
34. turn - 22 uses.
35. keep - 22 uses.
36. always - 21 uses.
37. take - 21 uses.
38. everything - 21 uses.
39. stay - 21 uses.
40. colors - 20 uses.
41. friends - 20 uses.
42. feel - 19 uses.
43. only - 18 uses.
44. darlin - 18 uses.
45. life - 18 uses.
46. music - 18 uses.
47. put - 18 uses.
48. open - 17 uses.
49. night - 17 uses.
50. stand - 17 uses.
51. weve - 17 uses.
52. think - 17 uses.
53. ever - 16 uses.
54. moment - 16 uses.
55. yes - 15 uses.
56. miss - 15 uses.
57. oh-oh - 15 uses.
58. feeling - 14 uses.
59. waiting - 14 uses.
60. hear - 14 uses.
61. alright - 14 uses.
62. city - 14 uses.
63. lets - 14 uses.
64. end - 14 uses.
65. wish - 14 uses.
66. face - 13 uses.
67. people - 13 uses.
68. living - 13 uses.
69. help - 13 uses.
70. coming - 13 uses.
71. nothing - 13 uses.
72. pick - 13 uses.
73. place - 12 uses.
74. something - 12 uses.
75. looking - 12 uses.
76. waste - 12 uses.
77. while - 12 uses.
78. leaving - 12 uses.
79. easy - 12 uses.
80. room - 12 uses.
81. road - 12 uses.
82. places - 12 uses.
83. comes - 12 uses.
84. even - 12 uses.
85. about - 12 uses.
86. du-du-du-du - 12 uses.
87. ba-dap - 12 uses.
88. angels - 12 uses.
89. years - 11 uses.
90. done - 11 uses.
91. honey - 11 uses.
92. feels - 11 uses.
93. power - 11 uses.
94. good - 11 uses.
95. lives - 11 uses.
96. leavin - 11 uses.
97. tried - 11 uses.
98. little - 11 uses.
99. sun - 11 uses.
100. might - 11 uses.
101. yourself - 10 uses.
102. hold - 10 uses.
103. beautiful - 10 uses.
104. long - 10 uses.
105. anything - 10 uses.
106. glory - 10 uses.
107. once - 10 uses.
108. over - 10 uses.
109. tonight - 10 uses.
110. hook - 10 uses.
111. being - 10 uses.
112. ghosts - 9 uses.
113. running - 9 uses.
114. first - 9 uses.
115. thing - 9 uses.
116. missed - 9 uses.
117. connection - 9 uses.
118. standing - 9 uses.
119. soul - 9 uses.
120. before - 9 uses.
121. blowing - 9 uses.
122. better - 9 uses.
123. same - 9 uses.
124. dream - 9 uses.
125. such - 9 uses.
126. bed - 9 uses.
127. die - 9 uses.
128. sleep - 9 uses.
129. wrong - 8 uses.
130. give - 8 uses.
131. fire - 8 uses.
132. seems - 8 uses.
133. false - 8 uses.
134. goin - 8 uses.
135. must - 8 uses.
136. hard - 8 uses.
137. start - 8 uses.
138. du - 8 uses.
139. changed - 8 uses.
140. save - 8 uses.
141. hours - 8 uses.
142. saving - 8 uses.
143. willing - 8 uses.
144. someone - 7 uses.
145. own - 7 uses.
146. slipping - 7 uses.
147. seen - 7 uses.
148. dust - 7 uses.
149. left - 7 uses.
150. baby - 7 uses.
151. everyone - 7 uses.
152. wait - 7 uses.
153. voice - 7 uses.
154. fight - 7 uses.
155. gotta - 7 uses.
156. hell - 7 uses.
157. talkin - 7 uses.
158. given - 7 uses.
159. sing - 7 uses.
160. meant - 7 uses.
161. tumbling - 7 uses.
162. forgive - 7 uses.
163. hope - 7 uses.
164. those - 7 uses.
165. lord - 7 uses.
166. please - 7 uses.
167. tryin - 7 uses.
168. true - 7 uses.
169. winds - 7 uses.
170. memories - 7 uses.
171. remember - 7 uses.
172. someday - 7 uses.
173. house - 7 uses.
174. heaven - 7 uses.
175. rushing - 7 uses.
176. oh-oh-oh-oh - 7 uses.
177. shake - 7 uses.
178. thought - 6 uses.
179. calling - 6 uses.
180. name - 6 uses.
181. making - 6 uses.
182. direction - 6 uses.
183. conversation - 6 uses.
184. follow - 6 uses.
185. lifes - 6 uses.
186. learn - 6 uses.
187. leave - 6 uses.
188. change - 6 uses.
189. shoes - 6 uses.
190. whats - 6 uses.
191. thinking - 6 uses.
192. crazy - 6 uses.
193. lonely - 6 uses.
194. fast - 6 uses.
195. alarm - 6 uses.
196. truth - 6 uses.
197. town - 6 uses.
198. keeps - 6 uses.
199. dreams - 6 uses.
200. doin - 6 uses.
201. stars - 6 uses.
202. wake - 6 uses.
203. trying - 6 uses.
204. knew - 6 uses.
205. feelin - 6 uses.
206. walkin - 6 uses.
207. mine - 6 uses.
208. ba-da-da - 6 uses.
209. fall - 6 uses.
210. slow-mo - 6 uses.
211. worry - 6 uses.
212. poor - 6 uses.
213. boy - 6 uses.
214. everybody - 6 uses.
215. goodbye - 6 uses.
216. very - 6 uses.
217. holdin - 6 uses.
218. inside - 6 uses.
219. cruel - 6 uses.
220. after - 5 uses.
221. step - 5 uses.
222. goes - 5 uses.
223. family - 5 uses.
224. door - 5 uses.
225. show - 5 uses.
226. takes - 5 uses.
227. else - 5 uses.
228. without - 5 uses.
229. dark - 5 uses.
230. signs - 5 uses.
231. since - 5 uses.
232. much - 5 uses.
233. rest - 5 uses.
234. does - 5 uses.
235. soon - 5 uses.
236. girl - 5 uses.
237. blue - 5 uses.
238. looks - 5 uses.
239. gettin - 5 uses.
240. built - 5 uses.
241. last - 5 uses.
242. going - 5 uses.
243. frozen - 5 uses.
244. stuck - 5 uses.
245. anymore - 5 uses.
246. using - 5 uses.
247. dear - 5 uses.
248. taking - 5 uses.
249. rivers - 5 uses.
250. yet - 5 uses.
251. burned - 5 uses.
252. trees - 5 uses.
253. moon - 5 uses.
254. another - 5 uses.
255. songs - 5 uses.
256. minds - 5 uses.
257. lot - 5 uses.
258. telling - 5 uses.
259. melody - 5 uses.
260. sky - 5 uses.
261. god - 5 uses.
