Most used words by Heart Attack Man: 
Number of songs scanned: 43

1. feel - 40 uses.
2. everything - 31 uses.
3. back - 24 uses.
4. life - 23 uses.
5. away - 23 uses.
6. fucking - 23 uses.
7. take - 22 uses.
8. about - 21 uses.
9. through - 20 uses.
10. thoughts - 20 uses.
11. prayers - 20 uses.
12. never - 19 uses.
13. down - 19 uses.
14. myself - 18 uses.
15. even - 18 uses.
16. again - 17 uses.
17. here - 17 uses.
18. blood - 17 uses.
19. sick - 16 uses.
20. every - 15 uses.
21. right - 14 uses.
22. keep - 14 uses.
23. ever - 13 uses.
24. head - 13 uses.
25. past - 12 uses.
26. hate - 12 uses.
27. sucks - 12 uses.
28. thought - 11 uses.
29. hard - 11 uses.
30. sense - 11 uses.
31. something - 11 uses.
32. cares - 11 uses.
33. think - 11 uses.
34. dead - 10 uses.
35. same - 10 uses.
36. anything - 10 uses.
37. believe - 10 uses.
38. last - 10 uses.
39. enough - 10 uses.
40. friends - 10 uses.
41. puke - 10 uses.
42. against - 9 uses.
43. die - 9 uses.
44. happy - 9 uses.
45. nothing - 8 uses.
46. hand - 8 uses.
47. face - 8 uses.
48. front - 8 uses.
49. sometimes - 8 uses.
50. sorry - 8 uses.
51. everyone - 8 uses.
52. skin - 8 uses.
53. worth - 8 uses.
54. holding - 8 uses.
55. always - 8 uses.
56. slowly - 8 uses.
57. stuck - 8 uses.
58. inside - 8 uses.
59. fake - 8 uses.
60. god - 7 uses.
61. completely - 7 uses.
62. single - 7 uses.
63. knew - 7 uses.
64. should - 7 uses.
65. days - 7 uses.
66. talk - 7 uses.
67. used - 7 uses.
68. little - 7 uses.
69. stomach - 7 uses.
70. put - 7 uses.
71. owe - 7 uses.
72. makes - 7 uses.
73. maybe - 7 uses.
74. sever - 7 uses.
75. ties - 7 uses.
76. wrong - 6 uses.
77. forget - 6 uses.
78. wish - 6 uses.
79. act - 6 uses.
80. around - 6 uses.
81. become - 6 uses.
82. gun - 6 uses.
83. bad - 6 uses.
84. ones - 6 uses.
