Most used words by Hippo Campus: 
Number of songs scanned: 58

1. love - 68 uses.
2. down - 68 uses.
3. back - 57 uses.
4. home - 57 uses.
5. baby - 47 uses.
6. little - 33 uses.
7. friends - 32 uses.
8. think - 32 uses.
9. never - 30 uses.
10. ya - 30 uses.
11. save - 26 uses.
12. own - 25 uses.
13. bring - 24 uses.
14. gold - 24 uses.
15. eyes - 23 uses.
16. tell - 23 uses.
17. fine - 23 uses.
18. wait - 22 uses.
19. take - 22 uses.
20. about - 22 uses.
21. looking - 22 uses.
22. right - 21 uses.
23. maybe - 21 uses.
24. alright - 21 uses.
25. heart - 21 uses.
26. through - 20 uses.
27. waiting - 20 uses.
28. saying - 20 uses.
29. yes - 20 uses.
30. wanted - 19 uses.
31. change - 19 uses.
32. try - 19 uses.
33. here - 19 uses.
34. south - 19 uses.
35. peace - 18 uses.
36. sick - 18 uses.
37. lost - 18 uses.
38. even - 18 uses.
39. things - 18 uses.
40. grace - 18 uses.
41. only - 18 uses.
42. sometimes - 18 uses.
43. feeling - 17 uses.
44. st - 17 uses.
45. paul - 17 uses.
46. goes - 17 uses.
47. talk - 17 uses.
48. night - 16 uses.
49. ever - 16 uses.
50. really - 16 uses.
51. away - 16 uses.
52. feelings - 16 uses.
53. good - 15 uses.
54. before - 15 uses.
55. better - 15 uses.
56. over - 15 uses.
57. everything - 15 uses.
58. fight - 15 uses.
59. feel - 15 uses.
60. cool - 15 uses.
61. came - 15 uses.
62. roofs - 15 uses.
63. trying - 14 uses.
64. myself - 14 uses.
65. making - 14 uses.
66. best - 14 uses.
67. nights - 13 uses.
68. enough - 13 uses.
69. people - 13 uses.
70. shame - 13 uses.
71. poetry - 13 uses.
72. leaving - 13 uses.
73. life - 13 uses.
74. always - 12 uses.
75. girl - 12 uses.
76. told - 12 uses.
77. arms - 12 uses.
78. need - 12 uses.
79. same - 12 uses.
80. bah - 12 uses.
81. ba-bah - 12 uses.
82. chest - 12 uses.
83. getting - 12 uses.
84. la-la-la - 12 uses.
85. la-la - 12 uses.
86. face - 11 uses.
87. found - 11 uses.
88. kind - 11 uses.
89. fucked - 11 uses.
90. once - 11 uses.
91. light - 11 uses.
92. hell - 11 uses.
93. again - 11 uses.
94. head - 11 uses.
95. thinking - 11 uses.
96. around - 11 uses.
97. seen - 11 uses.
98. blood - 11 uses.
99. gone - 11 uses.
100. wide - 11 uses.
101. care - 11 uses.
102. god - 10 uses.
103. world - 10 uses.
104. mind - 10 uses.
105. hard - 10 uses.
106. straight - 10 uses.
107. nothing - 10 uses.
108. hear - 10 uses.
109. living - 10 uses.
110. real - 10 uses.
111. something - 10 uses.
112. growing - 10 uses.
113. left - 10 uses.
114. hey - 10 uses.
115. apart - 10 uses.
116. coming - 10 uses.
117. ah - 10 uses.
118. shake - 10 uses.
119. sign - 10 uses.
120. goddamn - 10 uses.
121. tired - 10 uses.
122. sex - 10 uses.
123. tape - 10 uses.
124. inside - 9 uses.
125. give - 9 uses.
126. floor - 9 uses.
127. used - 9 uses.
128. thing - 9 uses.
129. till - 9 uses.
130. thought - 9 uses.
131. knew - 9 uses.
132. saw - 9 uses.
133. finally - 9 uses.
134. mine - 9 uses.
135. loving - 9 uses.
136. thoughts - 9 uses.
137. singing - 9 uses.
138. length - 9 uses.
139. shoulders - 9 uses.
140. trouble - 9 uses.
141. swear - 8 uses.
142. men - 8 uses.
143. words - 8 uses.
144. falling - 8 uses.
145. havent - 8 uses.
146. body - 8 uses.
147. younger - 8 uses.
148. keep - 8 uses.
149. close - 8 uses.
150. sleeping - 8 uses.
151. longer - 8 uses.
152. lesser - 8 uses.
153. blue - 8 uses.
154. dream - 8 uses.
155. monsoon - 8 uses.
156. everybodys - 8 uses.
157. walk - 8 uses.
158. soldier - 8 uses.
159. wrong - 8 uses.
160. keeping - 8 uses.
161. shot - 8 uses.
162. simple - 8 uses.
163. lips - 7 uses.
164. violet - 7 uses.
165. bitter - 7 uses.
166. stay - 7 uses.
167. happened - 7 uses.
168. days - 7 uses.
169. while - 7 uses.
170. searching - 7 uses.
171. fell - 7 uses.
172. wish - 7 uses.
173. roll - 7 uses.
174. sunlight - 7 uses.
175. friendly - 7 uses.
176. easy - 7 uses.
177. stars - 7 uses.
178. tuesday - 7 uses.
179. kick - 7 uses.
180. til - 7 uses.
181. tree - 7 uses.
182. hands - 7 uses.
183. kid - 7 uses.
184. shell - 7 uses.
185. doubt - 7 uses.
186. alone - 7 uses.
187. sky - 6 uses.
188. open - 6 uses.
189. end - 6 uses.
190. bruce - 6 uses.
191. drum - 6 uses.
192. summer - 6 uses.
193. dark - 6 uses.
194. wrote - 6 uses.
195. songs - 6 uses.
196. ears - 6 uses.
197. house - 6 uses.
198. serving - 6 uses.
199. heard - 6 uses.
200. mother - 6 uses.
201. blessed - 6 uses.
202. bed - 6 uses.
203. suicide - 6 uses.
204. saturday - 6 uses.
205. half - 6 uses.
206. lose - 6 uses.
207. teeth - 6 uses.
208. taste - 6 uses.
209. boys - 6 uses.
210. sing - 6 uses.
211. morning - 6 uses.
212. feels - 6 uses.
213. older - 6 uses.
214. fire - 6 uses.
215. water - 6 uses.
216. kiss - 6 uses.
217. mary - 6 uses.
218. shit - 6 uses.
219. trust - 6 uses.
220. running - 6 uses.
221. ooh - 6 uses.
222. should - 6 uses.
223. talking - 6 uses.
224. possibility - 6 uses.
225. heavy - 6 uses.
226. moon - 6 uses.
227. years - 6 uses.
228. seems - 6 uses.
229. curse - 6 uses.
230. sorry - 6 uses.
231. bashful - 6 uses.
232. creatures - 6 uses.
233. kids - 5 uses.
234. girls - 5 uses.
235. play - 5 uses.
236. art - 5 uses.
237. golden - 5 uses.
238. american - 5 uses.
239. earth - 5 uses.
240. those - 5 uses.
241. let - 5 uses.
242. die - 5 uses.
243. long - 5 uses.
244. last - 5 uses.
245. whole - 5 uses.
246. new - 5 uses.
247. room - 5 uses.
248. remember - 5 uses.
249. much - 5 uses.
250. being - 5 uses.
251. put - 5 uses.
252. gun - 5 uses.
253. summertime - 5 uses.
254. tight - 5 uses.
255. blind - 5 uses.
256. souls - 5 uses.
257. guardian - 5 uses.
258. death - 5 uses.
259. conversation - 5 uses.
260. ours - 5 uses.
261. bad - 5 uses.
262. fuck - 5 uses.
263. walking - 5 uses.
264. pictures - 5 uses.
265. veins - 5 uses.
266. forgot - 5 uses.
267. screaming - 5 uses.
268. started - 5 uses.
269. rooftop - 5 uses.
270. hand - 5 uses.
271. going - 5 uses.
272. understand - 5 uses.
273. doing - 5 uses.
274. bags - 5 uses.
275. roof - 5 uses.
276. honey - 5 uses.
277. bite - 5 uses.
278. boy - 5 uses.
279. pushing - 5 uses.
280. luck - 5 uses.
281. waste - 5 uses.
282. black - 5 uses.
283. tide - 5 uses.
284. everythings - 5 uses.
285. concrete - 5 uses.
286. leaves - 5 uses.
287. split - 5 uses.
288. true - 5 uses.
289. though - 5 uses.
290. above - 5 uses.
291. until - 5 uses.
292. drink - 5 uses.
293. filming - 5 uses.
294. film - 5 uses.
295. okay - 5 uses.
296. killing - 5 uses.
297. later - 5 uses.
298. season - 5 uses.
299. felt - 4 uses.
300. riot - 4 uses.
301. break - 4 uses.
302. fool - 4 uses.
303. seasons - 4 uses.
304. live - 4 uses.
305. wasnt - 4 uses.
306. poor - 4 uses.
307. doesnt - 4 uses.
308. old - 4 uses.
309. wise - 4 uses.
310. drive - 4 uses.
311. strange - 4 uses.
312. lay - 4 uses.
313. fall - 4 uses.
314. family - 4 uses.
315. feeble - 4 uses.
316. joy - 4 uses.
317. notes - 4 uses.
318. boots - 4 uses.
319. bros - 4 uses.
320. together - 4 uses.
321. brothers - 4 uses.
322. youth - 4 uses.
323. jealous - 4 uses.
324. whats - 4 uses.
325. mad - 4 uses.
326. devil - 4 uses.
327. fists - 4 uses.
328. loud - 4 uses.
329. blame - 4 uses.
330. single - 4 uses.
331. certain - 4 uses.
332. place - 4 uses.
333. step - 4 uses.
334. crying - 4 uses.
335. least - 4 uses.
336. hearts - 4 uses.
337. any - 4 uses.
338. sula - 4 uses.
339. dad - 4 uses.
340. hope - 4 uses.
341. pack - 4 uses.
342. sucker - 4 uses.
343. green - 4 uses.
344. fistfull - 4 uses.
345. full - 4 uses.
346. school - 4 uses.
