Most used words by Holy Holy: 
Number of songs scanned: 50

1. let - 90 uses.
2. back - 65 uses.
3. leave - 59 uses.
4. feel - 55 uses.
5. dying - 52 uses.
6. couldnt - 51 uses.
7. love - 49 uses.
8. never - 48 uses.
9. heart - 39 uses.
10. hello - 38 uses.
11. took - 37 uses.
12. right - 37 uses.
13. nothing - 37 uses.
14. here - 36 uses.
15. always - 35 uses.
16. again - 34 uses.
17. hold - 33 uses.
18. teach - 33 uses.
19. night - 32 uses.
20. alone - 32 uses.
21. came - 31 uses.
22. light - 31 uses.
23. long - 31 uses.
24. down - 29 uses.
25. about - 29 uses.
26. keep - 27 uses.
27. leaving - 25 uses.
28. take - 23 uses.
29. hard - 23 uses.
30. left - 23 uses.
31. days - 21 uses.
32. through - 21 uses.
33. something - 21 uses.
34. breathing - 21 uses.
35. live - 19 uses.
36. outside - 19 uses.
37. die - 19 uses.
38. different - 19 uses.
39. ooh - 19 uses.
40. dream - 18 uses.
41. life - 18 uses.
42. wanted - 18 uses.
43. feeling - 18 uses.
44. only - 17 uses.
45. going - 17 uses.
46. ones - 16 uses.
47. true - 16 uses.
48. seeing - 16 uses.
49. knew - 15 uses.
50. found - 15 uses.
51. looking - 15 uses.
52. needed - 15 uses.
53. need - 14 uses.
54. far - 14 uses.
55. away - 14 uses.
56. sea - 14 uses.
57. about-ah - 14 uses.
58. lovers - 13 uses.
59. start - 13 uses.
60. apart - 13 uses.
61. felt - 13 uses.
62. stay - 13 uses.
63. wake - 13 uses.
64. hear - 13 uses.
65. lake - 13 uses.
66. waiting - 13 uses.
67. mind - 12 uses.
68. fell - 12 uses.
69. told - 12 uses.
70. darkness - 12 uses.
71. wheres - 12 uses.
72. aftergone - 12 uses.
73. child - 11 uses.
74. fall - 11 uses.
75. even - 11 uses.
76. things - 11 uses.
77. world - 11 uses.
78. standing - 11 uses.
79. maybe - 11 uses.
80. home - 11 uses.
81. piece - 11 uses.
82. while - 10 uses.
83. stand - 10 uses.
84. cold - 10 uses.
85. believe - 10 uses.
86. sky - 10 uses.
87. side - 10 uses.
88. pulling - 10 uses.
89. inside - 10 uses.
90. saw - 10 uses.
91. learn - 10 uses.
92. faces - 10 uses.
93. turn - 10 uses.
94. change - 9 uses.
95. lost - 9 uses.
96. lie - 9 uses.
97. trying - 9 uses.
98. place - 9 uses.
99. care - 9 uses.
100. river - 8 uses.
101. other - 8 uses.
102. dead - 8 uses.
103. eyes - 8 uses.
104. yourself - 8 uses.
105. behind - 8 uses.
106. everyone - 8 uses.
107. wait - 8 uses.
108. anything - 8 uses.
109. enough - 8 uses.
110. lifetime - 8 uses.
111. tide - 8 uses.
112. ah-ah - 8 uses.
113. tear - 8 uses.
114. should - 7 uses.
115. though - 7 uses.
116. show - 7 uses.
117. air - 7 uses.
118. new - 7 uses.
119. spend - 7 uses.
120. gave - 7 uses.
121. people - 7 uses.
122. gone - 7 uses.
123. valleys - 7 uses.
124. wondering - 7 uses.
125. holding - 7 uses.
126. coming - 7 uses.
127. rain - 7 uses.
128. stars - 7 uses.
129. watching - 7 uses.
130. streets - 7 uses.
131. known - 7 uses.
132. same - 7 uses.
133. non-believers - 7 uses.
134. times - 7 uses.
135. dreaming - 7 uses.
136. black - 6 uses.
137. under - 6 uses.
138. blood - 6 uses.
139. over - 6 uses.
140. wouldnt - 6 uses.
141. walking - 6 uses.
142. strong - 6 uses.
143. eye - 6 uses.
144. late - 6 uses.
145. hide - 6 uses.
146. without - 6 uses.
147. burn - 6 uses.
148. living - 6 uses.
149. lives - 6 uses.
150. line - 6 uses.
151. end - 6 uses.
152. fight - 6 uses.
153. went - 6 uses.
154. sound - 6 uses.
155. heard - 6 uses.
156. believed - 6 uses.
157. making - 6 uses.
158. broken - 6 uses.
159. wind - 6 uses.
160. between - 6 uses.
161. happiest - 6 uses.
162. beautiful - 6 uses.
163. bright - 6 uses.
164. ripe - 6 uses.
165. feels - 6 uses.
166. restless - 6 uses.
167. heartbreaker - 6 uses.
168. retrieve - 6 uses.
169. message - 6 uses.
170. wide - 6 uses.
171. little - 6 uses.
172. lack - 6 uses.
173. building - 6 uses.
174. houses - 6 uses.
175. shown - 6 uses.
176. bed - 5 uses.
177. past - 5 uses.
178. years - 5 uses.
179. memory - 5 uses.
180. words - 5 uses.
181. watchin - 5 uses.
182. lights - 5 uses.
183. broke - 5 uses.
184. blue - 5 uses.
185. water - 5 uses.
186. stone - 5 uses.
187. loved - 5 uses.
188. help - 5 uses.
189. alright - 5 uses.
190. moment - 5 uses.
191. mine - 5 uses.
192. warm - 5 uses.
193. soothe - 5 uses.
194. open - 5 uses.
195. think - 5 uses.
196. walk - 5 uses.
197. remember - 5 uses.
198. obsession - 5 uses.
199. space - 5 uses.
200. sleep - 5 uses.
201. oh-oh - 5 uses.
202. bells - 5 uses.
203. begin - 5 uses.
204. impossible - 5 uses.
205. grow - 5 uses.
206. truth - 5 uses.
207. used - 5 uses.
208. seas - 5 uses.
209. shore - 5 uses.
210. shadow - 5 uses.
211. speak - 5 uses.
212. history - 5 uses.
213. leaves - 5 uses.
214. sleeping - 5 uses.
215. waters - 5 uses.
216. believing - 5 uses.
217. knock - 5 uses.
218. door - 5 uses.
219. getting - 5 uses.
220. easy - 5 uses.
221. uuuuuuh - 5 uses.
222. run - 5 uses.
223. catch - 5 uses.
224. quiet - 4 uses.
225. ear - 4 uses.
226. shell - 4 uses.
227. tell - 4 uses.
228. passing - 4 uses.
229. bruise - 4 uses.
230. closest - 4 uses.
231. turned - 4 uses.
232. sometimes - 4 uses.
233. caught - 4 uses.
234. lose - 4 uses.
235. street - 4 uses.
236. head - 4 uses.
237. safe - 4 uses.
238. wise - 4 uses.
239. birds - 4 uses.
240. fear - 4 uses.
241. glass - 4 uses.
242. give - 4 uses.
243. regards - 4 uses.
244. reason - 4 uses.
245. watch - 4 uses.
246. silence - 4 uses.
247. year - 4 uses.
248. city - 4 uses.
249. ring - 4 uses.
250. drown - 4 uses.
251. dark - 4 uses.
252. close - 4 uses.
253. rest - 4 uses.
254. ask - 4 uses.
255. clouds - 4 uses.
256. slow - 4 uses.
257. weight - 4 uses.
258. sight - 4 uses.
259. shrinking - 4 uses.
260. yelling - 4 uses.
261. mistakes - 4 uses.
262. echoed - 4 uses.
263. alive - 4 uses.
264. trees - 4 uses.
265. song - 4 uses.
266. move - 4 uses.
267. dreamt - 4 uses.
268. wrong - 4 uses.
269. skin - 4 uses.
270. ages - 4 uses.
271. another - 4 uses.
272. pages - 4 uses.
273. taste - 4 uses.
274. after - 4 uses.
275. wall - 4 uses.
276. minds - 4 uses.
277. complicated - 4 uses.
278. wish - 4 uses.
279. since - 4 uses.
280. glory - 4 uses.
281. holy - 4 uses.
282. above - 4 uses.
283. autumn - 4 uses.
284. first - 4 uses.
285. perfect - 4 uses.
286. cool - 4 uses.
287. leading - 4 uses.
288. tired - 4 uses.
289. teeth - 4 uses.
290. risk - 4 uses.
291. low - 4 uses.
292. trap - 4 uses.
293. cracks - 4 uses.
294. otherside - 4 uses.
295. feelings - 4 uses.
296. freezing - 4 uses.
297. empty - 3 uses.
298. mountain - 3 uses.
299. ocean - 3 uses.
300. road - 3 uses.
301. nights - 3 uses.
302. morning - 3 uses.
303. cannot - 3 uses.
304. sun - 3 uses.
305. bone - 3 uses.
306. moved - 3 uses.
307. survive - 3 uses.
308. wash - 3 uses.
309. flight - 3 uses.
310. lot - 3 uses.
311. around - 3 uses.
312. colour - 3 uses.
313. winds - 3 uses.
314. storms - 3 uses.
315. happy - 3 uses.
316. sunshine - 3 uses.
317. wandering - 3 uses.
318. met - 3 uses.
319. name - 3 uses.
320. war - 3 uses.
321. talk - 3 uses.
322. pieces - 3 uses.
323. much - 3 uses.
324. three - 3 uses.
325. own - 3 uses.
326. meet - 3 uses.
327. underground - 3 uses.
328. crowd - 3 uses.
329. smoke - 3 uses.
330. room - 3 uses.
331. breaking - 3 uses.
332. ends - 3 uses.
333. solitude - 3 uses.
334. carry - 3 uses.
335. young - 3 uses.
336. car - 3 uses.
337. raining - 3 uses.
338. tried - 3 uses.
339. fire - 3 uses.
340. seems - 3 uses.
341. boats - 3 uses.
342. screams - 3 uses.
343. chance - 3 uses.
344. thousand - 3 uses.
345. till - 3 uses.
346. december - 3 uses.
347. bay - 3 uses.
348. music - 3 uses.
349. better - 3 uses.
350. less - 3 uses.
351. became - 3 uses.
352. waves - 3 uses.
353. bag - 3 uses.
354. wearing - 3 uses.
355. strangers - 3 uses.
356. mean - 3 uses.
357. set - 3 uses.
358. alight - 3 uses.
359. cages - 3 uses.
360. hiding - 3 uses.
361. throat - 3 uses.
362. pound - 3 uses.
363. asked - 3 uses.
364. work - 3 uses.
365. tomorrow - 3 uses.
366. decide - 3 uses.
367. pulls - 3 uses.
368. grief - 3 uses.
369. high - 3 uses.
370. storm - 3 uses.
371. awake - 3 uses.
372. st - 3 uses.
373. petersburg - 3 uses.
374. fill - 3 uses.
375. bones - 3 uses.
376. hoo - 3 uses.
377. somethin - 3 uses.
378. track - 3 uses.
379. friend - 3 uses.
380. hearts - 3 uses.
381. weve - 3 uses.
382. cards - 3 uses.
383. breathin - 3 uses.
384. shake - 3 uses.
385. oooh - 3 uses.
386. highway - 3 uses.
387. always-knowing - 3 uses.
388. always-loving - 3 uses.
389. present - 3 uses.
390. fine-tune - 3 uses.
391. ohhh - 3 uses.
392. pretty - 2 uses.
393. hopeless - 2 uses.
394. filled - 2 uses.
395. creek - 2 uses.
396. bank - 2 uses.
397. bury - 2 uses.
398. rustlings - 2 uses.
399. century - 2 uses.
400. fail - 2 uses.
401. singing - 2 uses.
402. ground - 2 uses.
403. edge - 2 uses.
404. cage - 2 uses.
405. wings - 2 uses.
406. cover - 2 uses.
