Most used words by Hop Along: 
Number of songs scanned: 51

1. down - 60 uses.
2. love - 53 uses.
3. here - 40 uses.
4. take - 34 uses.
5. back - 33 uses.
6. sun - 33 uses.
7. around - 32 uses.
8. old - 30 uses.
9. eyes - 29 uses.
10. over - 28 uses.
11. think - 28 uses.
12. again - 27 uses.
13. very - 27 uses.
14. says - 27 uses.
15. tell - 27 uses.
16. good - 26 uses.
17. thought - 25 uses.
18. home - 23 uses.
19. came - 22 uses.
20. only - 22 uses.
21. need - 22 uses.
22. young - 22 uses.
23. give - 22 uses.
24. happy - 21 uses.
25. mother - 20 uses.
26. talk - 19 uses.
27. never - 19 uses.
28. tried - 19 uses.
29. head - 19 uses.
30. about - 19 uses.
31. little - 19 uses.
32. hear - 18 uses.
33. nobody - 18 uses.
34. sing - 18 uses.
35. ahead - 17 uses.
36. left - 17 uses.
37. mind - 17 uses.
38. minute - 17 uses.
39. looked - 17 uses.
40. gone - 17 uses.
41. strange - 17 uses.
42. big - 17 uses.
43. things - 17 uses.
44. save - 17 uses.
45. right - 16 uses.
46. everything - 16 uses.
47. long - 15 uses.
48. everyone - 15 uses.
49. always - 15 uses.
50. best - 15 uses.
51. baby - 15 uses.
52. remember - 15 uses.
53. along - 15 uses.
54. found - 14 uses.
55. away - 14 uses.
56. song - 14 uses.
57. ones - 14 uses.
58. guess - 14 uses.
59. through - 14 uses.
60. friend - 14 uses.
61. while - 14 uses.
62. saw - 14 uses.
63. road - 14 uses.
64. something - 14 uses.
65. sky - 14 uses.
66. run - 14 uses.
67. goodbye - 14 uses.
68. suits - 14 uses.
69. wants - 13 uses.
70. theyll - 13 uses.
71. yes - 13 uses.
72. hand - 13 uses.
73. dark - 13 uses.
74. pretty - 13 uses.
75. let - 13 uses.
76. both - 13 uses.
77. ha - 13 uses.
78. witness - 12 uses.
79. keep - 12 uses.
80. ground - 12 uses.
81. used - 12 uses.
82. sad - 12 uses.
83. living - 12 uses.
84. heart - 12 uses.
85. done - 12 uses.
86. arms - 12 uses.
87. god - 12 uses.
88. try - 12 uses.
89. boy - 12 uses.
90. mattress - 11 uses.
91. morning - 11 uses.
92. true - 11 uses.
93. hard - 11 uses.
94. people - 11 uses.
95. together - 11 uses.
96. must - 11 uses.
97. wide - 11 uses.
98. bed - 11 uses.
99. other - 11 uses.
100. happen - 11 uses.
101. men - 11 uses.
102. kind - 11 uses.
103. singin - 11 uses.
104. powerful - 11 uses.
105. stay - 10 uses.
106. same - 10 uses.
107. changed - 10 uses.
108. marry - 10 uses.
109. white - 10 uses.
110. makers - 10 uses.
111. every - 10 uses.
112. mine - 10 uses.
113. please - 10 uses.
114. phone - 10 uses.
115. voice - 10 uses.
116. live - 10 uses.
117. before - 10 uses.
118. pair - 10 uses.
119. die - 10 uses.
120. house - 10 uses.
121. flowers - 10 uses.
122. hold - 10 uses.
123. much - 10 uses.
124. worry - 10 uses.
125. turned - 10 uses.
126. inside - 9 uses.
127. door - 9 uses.
128. once - 9 uses.
