Most used words by Hot Mulligan: 
Number of songs scanned: 46

1. home - 56 uses.
2. down - 42 uses.
3. wanted - 41 uses.
4. back - 40 uses.
5. never - 38 uses.
6. left - 38 uses.
7. hope - 37 uses.
8. better - 36 uses.
9. guess - 34 uses.
10. feel - 33 uses.
11. take - 32 uses.
12. stay - 31 uses.
13. every - 30 uses.
14. love - 28 uses.
15. until - 28 uses.
16. outside - 28 uses.
17. window - 28 uses.
18. about - 27 uses.
19. think - 26 uses.
20. feeling - 26 uses.
21. enough - 26 uses.
22. nothing - 25 uses.
23. fireworks - 24 uses.
24. sparks - 24 uses.
25. again - 23 uses.
26. maybe - 23 uses.
27. falling - 23 uses.
28. setting - 23 uses.
29. bedroom - 22 uses.
30. washed - 22 uses.
31. fires - 22 uses.
32. snow - 22 uses.
33. keep - 20 uses.
34. talk - 20 uses.
35. because - 20 uses.
36. alone - 20 uses.
37. away - 20 uses.
38. wait - 20 uses.
39. years - 19 uses.
40. forget - 19 uses.
41. everything - 19 uses.
42. always - 18 uses.
43. hey - 18 uses.
44. anything - 18 uses.
45. sleep - 18 uses.
46. gone - 18 uses.
47. things - 18 uses.
48. days - 17 uses.
49. let - 17 uses.
50. head - 17 uses.
51. fall - 17 uses.
52. wish - 17 uses.
53. sit - 17 uses.
54. around - 17 uses.
55. even - 17 uses.
56. else - 16 uses.
57. long - 16 uses.
58. here - 16 uses.
59. friends - 16 uses.
60. wasnt - 16 uses.
61. tell - 15 uses.
62. meant - 15 uses.
63. only - 15 uses.
64. please - 15 uses.
65. myself - 14 uses.
66. thought - 14 uses.
67. leave - 14 uses.
68. something - 14 uses.
69. new - 14 uses.
70. change - 14 uses.
71. thinking - 14 uses.
72. ever - 14 uses.
73. place - 14 uses.
74. give - 13 uses.
75. lost - 13 uses.
76. through - 13 uses.
77. tried - 13 uses.
78. hear - 13 uses.
79. hard - 13 uses.
80. same - 12 uses.
81. thoughts - 12 uses.
82. anyone - 12 uses.
83. family - 12 uses.
84. cuz - 12 uses.
85. yourself - 12 uses.
86. anymore - 12 uses.
87. human - 12 uses.
88. over - 11 uses.
89. smoke - 11 uses.
90. someone - 11 uses.
91. heart - 11 uses.
92. hate - 11 uses.
93. last - 11 uses.
94. phone - 11 uses.
95. nights - 11 uses.
96. fucking - 11 uses.
97. bed - 11 uses.
98. fuck - 11 uses.
99. house - 11 uses.
100. gave - 11 uses.
101. remember - 11 uses.
102. inside - 11 uses.
103. afraid - 11 uses.
104. kid - 11 uses.
105. shit - 10 uses.
106. little - 10 uses.
107. much - 10 uses.
108. try - 10 uses.
109. trying - 10 uses.
110. times - 10 uses.
111. says - 10 uses.
112. play - 10 uses.
113. bring - 10 uses.
114. harder - 10 uses.
115. apart - 9 uses.
116. salt - 9 uses.
117. show - 9 uses.
118. less - 9 uses.
119. another - 9 uses.
120. till - 9 uses.
121. break - 9 uses.
122. miss - 9 uses.
123. goes - 9 uses.
124. kept - 9 uses.
125. end - 9 uses.
126. used - 9 uses.
127. grow - 9 uses.
128. song - 8 uses.
129. right - 8 uses.
130. smile - 8 uses.
131. pretend - 8 uses.
132. hiding - 8 uses.
133. anyway - 8 uses.
134. wasted - 8 uses.
135. saw - 8 uses.
136. leaving - 8 uses.
137. sick - 8 uses.
138. while - 8 uses.
139. building - 8 uses.
140. might - 8 uses.
141. car - 8 uses.
142. need - 8 uses.
143. laughing - 8 uses.
144. boyfriend - 8 uses.
145. girls - 8 uses.
146. stupid - 8 uses.
147. understand - 8 uses.
148. stable - 8 uses.
149. difference - 7 uses.
150. fine - 7 uses.
151. help - 7 uses.
152. knew - 7 uses.
153. lives - 7 uses.
154. arm - 7 uses.
155. blood - 7 uses.
156. eyes - 7 uses.
157. looking - 7 uses.
158. wed - 7 uses.
159. burnt - 7 uses.
160. room - 7 uses.
161. pictures - 7 uses.
162. makes - 7 uses.
163. after - 7 uses.
164. came - 7 uses.
165. asleep - 7 uses.
166. follow - 7 uses.
167. without - 7 uses.
168. passed - 7 uses.
169. theyll - 7 uses.
170. lose - 7 uses.
171. drive - 7 uses.
172. basement - 7 uses.
173. struggling - 7 uses.
174. since - 6 uses.
175. high - 6 uses.
176. school - 6 uses.
177. life - 6 uses.
178. empty - 6 uses.
179. hand - 6 uses.
180. mind - 6 uses.
181. before - 6 uses.
182. broken - 6 uses.
183. finally - 6 uses.
184. rest - 6 uses.
185. sweat - 6 uses.
186. sugar - 6 uses.
187. asphalt - 6 uses.
188. hearts - 6 uses.
189. littering - 6 uses.
190. topsoil - 6 uses.
191. die - 6 uses.
192. old - 6 uses.
193. worth - 6 uses.
194. catch - 6 uses.
195. light - 6 uses.
196. peace - 6 uses.
197. different - 6 uses.
198. getting - 6 uses.
199. wreck - 6 uses.
200. reason - 6 uses.
201. fathers - 6 uses.
202. ago - 6 uses.
203. missed - 6 uses.
204. stayed - 6 uses.
205. memory - 6 uses.
206. person - 6 uses.
207. care - 6 uses.
208. faces - 6 uses.
209. bridge - 6 uses.
210. complacent - 6 uses.
211. youd - 6 uses.
212. best - 6 uses.
213. face - 6 uses.
214. good - 6 uses.
215. wrote - 6 uses.
216. blame - 6 uses.
217. selfish - 6 uses.
218. going - 6 uses.
219. voice - 6 uses.
220. gets - 6 uses.
221. happy - 6 uses.
222. homesick - 6 uses.
223. weekends - 6 uses.
224. badly - 6 uses.
225. visit - 6 uses.
226. standard - 6 uses.
227. based - 6 uses.
228. completely - 6 uses.
229. draw - 6 uses.
230. fade - 6 uses.
231. father - 6 uses.
232. hollow - 6 uses.
233. stranger - 6 uses.
234. unable - 6 uses.
235. scraps - 6 uses.
236. woes - 6 uses.
237. contemplate - 5 uses.
238. turn - 5 uses.
239. drives - 5 uses.
240. lake - 5 uses.
241. called - 5 uses.
242. full - 5 uses.
243. pocket - 5 uses.
244. stop - 5 uses.
245. money - 5 uses.
246. twisting - 5 uses.
247. attempt - 5 uses.
248. conscience - 5 uses.
249. clear - 5 uses.
250. college - 5 uses.
251. dead - 5 uses.
252. probably - 5 uses.
253. watching - 5 uses.
254. fact - 5 uses.
255. work - 5 uses.
256. past - 5 uses.
257. yo - 5 uses.
258. felt - 5 uses.
259. teeth - 5 uses.
260. world - 5 uses.
261. doesnt - 5 uses.
262. sorry - 5 uses.
263. skin - 5 uses.
264. staying - 5 uses.
265. smoking - 5 uses.
266. total - 5 uses.
267. being - 5 uses.
268. across - 5 uses.
269. walls - 5 uses.
