Most used words by It Looks Sad.: 
Number of songs scanned: 43

1. again - 39 uses.
2. love - 31 uses.
3. back - 26 uses.
4. fall - 25 uses.
5. everything - 24 uses.
6. never - 22 uses.
7. feel - 21 uses.
8. really - 17 uses.
9. home - 16 uses.
10. think - 15 uses.
11. miss - 14 uses.
12. right - 14 uses.
13. ever - 13 uses.
14. over - 13 uses.
15. here - 13 uses.
16. ocean - 13 uses.
17. things - 12 uses.
18. alone - 12 uses.
19. about - 11 uses.
20. night - 11 uses.
21. fading - 11 uses.
22. tell - 10 uses.
23. stay - 10 uses.
24. watch - 10 uses.
25. inside - 10 uses.
26. wonder - 10 uses.
27. hands - 10 uses.
28. life - 10 uses.
29. strange - 10 uses.
30. maybe - 10 uses.
31. changes - 9 uses.
32. room - 9 uses.
33. change - 9 uses.
34. wait - 9 uses.
35. okay - 8 uses.
36. head - 8 uses.
37. done - 8 uses.
38. start - 8 uses.
39. down - 8 uses.
40. heart - 8 uses.
41. always - 8 uses.
42. die - 8 uses.
43. everyday - 8 uses.
44. something - 8 uses.
45. born - 8 uses.
46. someone - 8 uses.
47. turn - 8 uses.
48. skin - 8 uses.
49. gone - 8 uses.
50. faded - 8 uses.
51. ahead - 8 uses.
52. broke - 7 uses.
53. new - 7 uses.
54. waiting - 7 uses.
55. leave - 7 uses.
56. place - 7 uses.
57. cold - 7 uses.
58. dark - 7 uses.
59. same - 7 uses.
60. hope - 7 uses.
61. daydreaming - 7 uses.
62. else - 7 uses.
63. alright - 7 uses.
64. found - 6 uses.
65. knew - 6 uses.
66. sure - 6 uses.
67. mean - 6 uses.
68. remember - 6 uses.
69. dream - 6 uses.
70. stole - 6 uses.
71. land - 6 uses.
72. away - 6 uses.
73. much - 6 uses.
74. thinking - 6 uses.
75. radical - 6 uses.
76. feeling - 6 uses.
77. fingers - 6 uses.
78. touch - 6 uses.
79. taking - 6 uses.
80. saw - 6 uses.
81. does - 6 uses.
82. yourself - 6 uses.
83. asked - 5 uses.
84. shape - 5 uses.
85. run - 5 uses.
86. end - 5 uses.
87. house - 5 uses.
88. moved - 5 uses.
89. blood - 5 uses.
90. outside - 5 uses.
91. glow - 5 uses.
92. tonight - 5 uses.
93. face - 5 uses.
94. ruined - 5 uses.
95. lost - 5 uses.
96. care - 5 uses.
97. everyone - 5 uses.
98. hate - 5 uses.
99. far - 5 uses.
100. sleep - 5 uses.
101. without - 5 uses.
102. need - 5 uses.
103. around - 5 uses.
104. felt - 5 uses.
105. slow - 5 uses.
106. truth - 4 uses.
107. good - 4 uses.
108. light - 4 uses.
109. eyes - 4 uses.
110. hold - 4 uses.
111. talking - 4 uses.
112. even - 4 uses.
113. sold - 4 uses.
114. summer - 4 uses.
115. welcome - 4 uses.
116. hide - 4 uses.
117. watching - 4 uses.
118. seasons - 4 uses.
119. apart - 4 uses.
120. little - 4 uses.
121. minds - 4 uses.
122. derange - 4 uses.
123. probably - 4 uses.
124. dirt - 4 uses.
125. youd - 4 uses.
126. mine - 4 uses.
127. going - 4 uses.
128. believe - 4 uses.
129. lame - 4 uses.
130. best - 4 uses.
131. spend - 4 uses.
132. cool - 4 uses.
133. put - 4 uses.
134. sit - 4 uses.
135. drool - 4 uses.
136. ride - 4 uses.
137. talk - 4 uses.
138. somebody - 4 uses.
139. doom - 4 uses.
140. help - 4 uses.
141. animaux - 4 uses.
142. sacrifice - 4 uses.
143. ready - 3 uses.
144. fingertips - 3 uses.
145. along - 3 uses.
146. nothing - 3 uses.
147. wanted - 3 uses.
148. whats - 3 uses.
149. wish - 3 uses.
150. show - 3 uses.
151. water - 3 uses.
152. last - 3 uses.
153. bones - 3 uses.
154. sometimes - 3 uses.
155. through - 3 uses.
156. wind - 3 uses.
157. another - 3 uses.
158. comes - 3 uses.
159. long - 3 uses.
160. years - 3 uses.
161. since - 3 uses.
162. feet - 3 uses.
163. standing - 3 uses.
164. sky - 3 uses.
165. mountains - 3 uses.
166. week - 3 uses.
167. sitting - 3 uses.
168. calmly - 3 uses.
169. quietly - 3 uses.
170. learning - 3 uses.
171. break - 3 uses.
172. today - 3 uses.
173. normal - 3 uses.
174. job - 3 uses.
175. car - 3 uses.
176. earth - 3 uses.
177. give - 3 uses.
178. burn - 3 uses.
179. accent - 3 uses.
180. caroline - 3 uses.
181. left - 3 uses.
182. mind - 3 uses.
183. holding - 3 uses.
184. bad - 3 uses.
185. used - 3 uses.
186. growing - 3 uses.
187. keep - 3 uses.
188. friend - 3 uses.
189. terrible - 3 uses.
190. before - 3 uses.
191. hear - 3 uses.
192. looking - 3 uses.
193. quiet - 3 uses.
194. whirlwind - 3 uses.
195. sacred - 3 uses.
196. own - 3 uses.
197. try - 3 uses.
198. wasnt - 3 uses.
199. people - 3 uses.
200. forget - 3 uses.
201. glad - 3 uses.
202. exist - 3 uses.
203. chances - 3 uses.
204. every - 3 uses.
205. tunnel - 3 uses.
206. vision - 3 uses.
207. swear - 3 uses.
208. behind - 3 uses.
209. world - 3 uses.
210. soon - 3 uses.
211. shadows - 3 uses.
212. met - 3 uses.
213. worth - 2 uses.
214. because - 2 uses.
215. happen - 2 uses.
216. while - 2 uses.
217. roams - 2 uses.
218. pull - 2 uses.
219. wake - 2 uses.
220. shave - 2 uses.
221. ends - 2 uses.
222. saying - 2 uses.
223. let - 2 uses.
224. take - 2 uses.
225. real - 2 uses.
226. after - 2 uses.
227. forgive - 2 uses.
228. apartment - 2 uses.
229. seen - 2 uses.
230. sand - 2 uses.
231. understand - 2 uses.
232. hard - 2 uses.
233. living - 2 uses.
234. shine - 2 uses.
235. meteor - 2 uses.
236. voice - 2 uses.
237. sound - 2 uses.
238. alive - 2 uses.
239. lets - 2 uses.
240. weak - 2 uses.
241. those - 2 uses.
242. learned - 2 uses.
243. finding - 2 uses.
244. rob - 2 uses.
245. plants - 2 uses.
246. kill - 2 uses.
247. fuck - 2 uses.
248. high - 2 uses.
249. bed - 2 uses.
250. florida - 2 uses.
251. trick - 2 uses.
252. darker - 2 uses.
253. brighter - 2 uses.
254. looks - 2 uses.
255. called - 2 uses.
256. other - 2 uses.
257. holiday - 2 uses.
258. inevitable - 2 uses.
259. trying - 2 uses.
260. days - 2 uses.
261. tied - 2 uses.
262. both - 2 uses.
263. chemicals - 2 uses.
264. moon - 2 uses.
265. skull - 2 uses.
266. yours - 2 uses.
267. sisters - 2 uses.
268. words - 2 uses.
269. dreaming - 2 uses.
270. disappear - 2 uses.
271. tv - 2 uses.
272. asleep - 2 uses.
273. suddenly - 2 uses.
274. choose - 2 uses.
275. tired - 2 uses.
276. falling - 2 uses.
277. meet - 2 uses.
278. arms - 2 uses.
279. till - 2 uses.
280. anytime - 2 uses.
281. anything - 2 uses.
282. crazy - 2 uses.
283. god - 2 uses.
284. fantasy - 2 uses.
285. enough - 2 uses.
286. wrong - 2 uses.
287. prove - 2 uses.
288. live - 2 uses.
289. buried - 2 uses.
290. appendages - 2 uses.
291. grocery - 2 uses.
292. leaving - 2 uses.
293. free - 2 uses.
294. old - 2 uses.
295. weather - 2 uses.
296. reason - 2 uses.
297. lungs - 2 uses.
298. guess - 2 uses.
299. palms - 2 uses.
300. broken - 2 uses.
301. visions - 2 uses.
302. move - 2 uses.
303. true - 2 uses.
304. summon - 2 uses.
305. shaking - 2 uses.
306. fit - 2 uses.
307. sorry - 2 uses.
308. hospital - 2 uses.
309. learn - 2 uses.
310. carpet - 2 uses.
311. whiskey - 2 uses.
312. pool - 2 uses.
313. worst - 2 uses.
314. better - 2 uses.
315. most - 2 uses.
316. visor - 2 uses.
317. three-legged - 2 uses.
318. dog - 2 uses.
319. walk - 2 uses.
320. leaf - 2 uses.
321. blowing - 2 uses.
322. close - 2 uses.
323. sea - 2 uses.
324. storm - 2 uses.
325. weird - 1 use.
326. shit - 1 use.
327. aah - 1 use.
328. dead - 1 use.
329. eye - 1 use.
330. shot - 1 use.
331. shooting - 1 use.
332. wildlife - 1 use.
333. once - 1 use.
334. twice - 1 use.
335. holidays - 1 use.
336. walking - 1 use.
337. floating - 1 use.
338. song - 1 use.
339. horns - 1 use.
340. full - 1 use.
341. fear - 1 use.
342. missed - 1 use.
343. punch - 1 use.
344. flowers - 1 use.
345. hair - 1 use.
346. slurring - 1 use.
347. speech - 1 use.
348. guard - 1 use.
349. marry - 1 use.
350. shadow - 1 use.
351. magics - 1 use.
352. spells - 1 use.
353. stand - 1 use.
354. speak - 1 use.
355. scared - 1 use.
356. terrified - 1 use.
357. handle - 1 use.
358. finally - 1 use.
359. four - 1 use.
360. supposed - 1 use.
361. cries - 1 use.
362. laughter - 1 use.
363. voices - 1 use.
364. comet - 1 use.
365. landed - 1 use.
366. crawl - 1 use.
367. barely - 1 use.
368. calling - 1 use.
369. name - 1 use.
370. fever - 1 use.
371. knees - 1 use.
372. mountain - 1 use.
373. peaks - 1 use.
374. springs - 1 use.
375. ago - 1 use.
376. wouldve - 1 use.
377. drowning - 1 use.
378. hurts - 1 use.
379. changed - 1 use.
380. rotting - 1 use.
381. inner - 1 use.
382. peace - 1 use.
383. release - 1 use.
