Most used words by Japanese Breakfast: 
Number of songs scanned: 69

1. love - 40 uses.
2. feel - 25 uses.
3. every - 20 uses.
4. back - 19 uses.
5. dark - 19 uses.
6. something - 18 uses.
7. heart - 16 uses.
8. keep - 16 uses.
9. believe - 16 uses.
10. woman - 15 uses.
11. head - 15 uses.
12. same - 15 uses.
13. leave - 14 uses.
14. try - 14 uses.
15. someone - 14 uses.
16. never - 14 uses.
17. home - 13 uses.
18. here - 13 uses.
19. right - 13 uses.
20. baby - 13 uses.
21. ever - 12 uses.
22. left - 11 uses.
23. good - 11 uses.
24. last - 11 uses.
25. around - 10 uses.
26. night - 10 uses.
27. coming - 10 uses.
28. let - 10 uses.
29. need - 10 uses.
30. much - 10 uses.
31. tell - 10 uses.
32. hurt - 10 uses.
33. always - 9 uses.
34. life - 9 uses.
35. while - 9 uses.
36. wanted - 9 uses.
37. great - 9 uses.
38. feeling - 8 uses.
39. show - 8 uses.
40. caught - 8 uses.
41. think - 8 uses.
42. things - 8 uses.
43. anything - 8 uses.
44. mind - 8 uses.
45. wrong - 8 uses.
46. run - 8 uses.
47. whats - 7 uses.
48. waiting - 7 uses.
49. better - 7 uses.
50. hell - 7 uses.
51. dreams - 7 uses.
52. place - 7 uses.
53. over - 7 uses.
54. away - 7 uses.
55. thought - 7 uses.
56. long - 7 uses.
57. hard - 7 uses.
58. move - 7 uses.
59. big - 7 uses.
60. sweet - 7 uses.
61. without - 7 uses.
62. half - 6 uses.
63. year - 6 uses.
64. bed - 6 uses.
65. dog - 6 uses.
66. little - 6 uses.
67. after - 6 uses.
68. those - 6 uses.
69. about - 6 uses.
70. best - 6 uses.
71. alone - 6 uses.
72. heels - 6 uses.
73. take - 6 uses.
74. days - 6 uses.
75. work - 6 uses.
76. essentially - 6 uses.
77. bring - 6 uses.
78. rugged - 6 uses.
79. finding - 6 uses.
80. through - 6 uses.
81. rush - 6 uses.
82. blame - 6 uses.
83. house - 5 uses.
84. feels - 5 uses.
85. watching - 5 uses.
86. nice - 5 uses.
87. summer - 5 uses.
88. fuck - 5 uses.
89. light - 5 uses.
90. trying - 5 uses.
91. going - 5 uses.
92. felt - 5 uses.
93. men - 5 uses.
94. face - 5 uses.
95. slowly - 5 uses.
96. blood - 5 uses.
97. name - 5 uses.
98. distance - 5 uses.
99. happens - 5 uses.
100. another - 5 uses.
101. room - 5 uses.
102. done - 5 uses.
103. bondage - 5 uses.
104. wants - 5 uses.
105. quite - 5 uses.
106. gone - 5 uses.
107. win - 5 uses.
108. til - 5 uses.
109. swallow - 5 uses.
110. found - 5 uses.
111. looks - 5 uses.
112. luck - 5 uses.
113. both - 5 uses.
114. dream - 5 uses.
115. pegasus - 5 uses.
116. empty - 5 uses.
117. course - 5 uses.
118. women - 4 uses.
119. desire - 4 uses.
120. youd - 4 uses.
121. even - 4 uses.
122. guess - 4 uses.
123. between - 4 uses.
124. door - 4 uses.
125. glider - 4 uses.
126. kind - 4 uses.
127. down - 4 uses.
128. should - 4 uses.
129. moon - 4 uses.
130. enough - 4 uses.
131. morning - 4 uses.
132. water - 4 uses.
133. channel - 4 uses.
134. christmas - 4 uses.
135. alive - 4 uses.
136. came - 4 uses.
137. running - 4 uses.
138. lost - 4 uses.
139. dreaming - 4 uses.
140. god - 4 uses.
141. wait - 4 uses.
142. closeness - 4 uses.
143. proximity - 4 uses.
144. soon - 4 uses.
145. theyll - 4 uses.
146. buy - 4 uses.
147. money - 4 uses.
148. thing - 4 uses.
149. six - 4 uses.
150. easy - 4 uses.
151. noose - 4 uses.
152. country - 4 uses.
153. seems - 4 uses.
154. again - 4 uses.
155. cruel - 4 uses.
156. else - 4 uses.
157. hows - 4 uses.
158. linger - 4 uses.
159. impossible - 4 uses.
160. jane - 4 uses.
161. cum - 4 uses.
162. doctors - 4 uses.
163. surprised - 4 uses.
164. heaven - 4 uses.
165. tackling - 4 uses.
166. obsessing - 4 uses.
167. start - 4 uses.
168. idea - 4 uses.
169. happy - 4 uses.
170. bit - 4 uses.
171. ran - 4 uses.
172. pump - 4 uses.
173. miles - 4 uses.
174. everybody - 4 uses.
175. cross - 4 uses.
176. sea - 4 uses.
177. full - 3 uses.
178. breakfast - 3 uses.
179. maybe - 3 uses.
180. buying - 3 uses.
181. everything - 3 uses.
182. moving - 3 uses.
183. reach - 3 uses.
184. hair - 3 uses.
185. new - 3 uses.
186. car - 3 uses.
187. loves - 3 uses.
188. told - 3 uses.
189. watch - 3 uses.
190. reason - 3 uses.
191. deals - 3 uses.
192. quiet - 3 uses.
193. old - 3 uses.
194. sun - 3 uses.
195. looking - 3 uses.
196. used - 3 uses.
197. grocery - 3 uses.
198. comes - 3 uses.
