Most used words by Jason Isbell: 
Number of songs scanned: 81

1. never - 79 uses.
2. done - 74 uses.
3. help - 74 uses.
4. here - 69 uses.
5. home - 59 uses.
6. down - 57 uses.
7. whatve - 56 uses.
8. alone - 55 uses.
9. night - 52 uses.
10. away - 52 uses.
11. back - 47 uses.
12. myself - 47 uses.
13. last - 45 uses.
14. love - 44 uses.
15. take - 43 uses.
16. eyes - 43 uses.
17. through - 42 uses.
18. still - 40 uses.
19. left - 39 uses.
20. again - 37 uses.
21. heart - 37 uses.
22. long - 34 uses.
23. let - 33 uses.
24. think - 33 uses.
25. where - 33 uses.
26. thing - 33 uses.
27. every - 32 uses.
28. somebody - 31 uses.
29. old - 31 uses.
30. nothing - 30 uses.
31. girl - 30 uses.
32. town - 30 uses.
33. took - 30 uses.
34. life - 30 uses.
35. maybe - 30 uses.
36. good - 29 uses.
37. right - 29 uses.
38. tired - 28 uses.
39. keep - 28 uses.
40. feel - 28 uses.
41. leave - 27 uses.
42. kind - 27 uses.
43. stay - 26 uses.
44. much - 26 uses.
45. used - 26 uses.
46. tell - 26 uses.
47. only - 26 uses.
48. even - 26 uses.
49. something - 26 uses.
50. baby - 26 uses.
51. thought - 25 uses.
52. ride - 25 uses.
53. world - 25 uses.
54. running - 25 uses.
55. days - 24 uses.
56. enough - 24 uses.
57. need - 24 uses.
58. work - 24 uses.
59. own - 24 uses.
60. little - 24 uses.
61. things - 24 uses.
62. years - 23 uses.
63. easy - 23 uses.
64. new - 23 uses.
65. yourself - 23 uses.
66. drive - 23 uses.
67. better - 22 uses.
68. dream - 22 uses.
69. before - 22 uses.
70. want - 22 uses.
71. ever - 22 uses.
72. name - 22 uses.
73. save - 22 uses.
74. gets - 22 uses.
75. grown - 22 uses.
76. try - 21 uses.
77. around - 21 uses.
78. living - 21 uses.
79. pain - 21 uses.
80. sleep - 20 uses.
81. die - 20 uses.
82. always - 20 uses.
83. guess - 20 uses.
84. those - 20 uses.
85. hard - 20 uses.
86. place - 19 uses.
87. sleeping - 19 uses.
88. true - 19 uses.
89. hope - 19 uses.
90. real - 19 uses.
91. big - 19 uses.
92. traveling - 19 uses.
93. afraid - 18 uses.
94. knew - 18 uses.
95. give - 18 uses.
96. another - 18 uses.
97. sky - 18 uses.
98. white - 18 uses.
99. best - 18 uses.
100. hand - 17 uses.
101. came - 17 uses.
102. nobody - 17 uses.
103. gone - 17 uses.
104. sad - 17 uses.
105. believe - 17 uses.
106. same - 17 uses.
107. live - 17 uses.
108. friend - 17 uses.
109. sing - 16 uses.
110. saw - 16 uses.
111. couple - 16 uses.
112. remember - 16 uses.
113. lost - 15 uses.
114. room - 15 uses.
115. couldnt - 15 uses.
116. daddy - 15 uses.
117. different - 15 uses.
118. hear - 15 uses.
119. somehow - 15 uses.
120. hell - 15 uses.
121. inside - 14 uses.
122. break - 14 uses.
123. going - 14 uses.
124. put - 14 uses.
125. taking - 14 uses.
126. teach - 14 uses.
127. whole - 14 uses.
128. beside - 14 uses.
129. anyway - 14 uses.
130. brand - 14 uses.
131. friends - 13 uses.
132. youd - 13 uses.
133. told - 13 uses.
134. light - 13 uses.
135. free - 13 uses.
136. burn - 13 uses.
137. over - 13 uses.
138. behind - 13 uses.
139. tonight - 13 uses.
140. hanging - 13 uses.
141. should - 13 uses.
142. somewhere - 13 uses.
143. merciless - 13 uses.
144. mind - 12 uses.
145. mans - 12 uses.
146. tried - 12 uses.
147. high - 12 uses.
148. god - 12 uses.
149. wouldnt - 12 uses.
150. ground - 12 uses.
151. walk - 12 uses.
152. went - 12 uses.
153. wish - 12 uses.
154. wine - 12 uses.
155. line - 12 uses.
156. truth - 12 uses.
157. fight - 12 uses.
158. matter - 12 uses.
159. follow - 12 uses.
160. actress - 12 uses.
161. woman - 11 uses.
162. run - 11 uses.
163. till - 11 uses.
164. taught - 11 uses.
165. worse - 11 uses.
