Most used words by Jeff Rosenstock: 
Number of songs scanned: 105

1. control - 92 uses.
2. away - 85 uses.
3. dream - 77 uses.
4. feel - 74 uses.
5. through - 66 uses.
6. again - 62 uses.
7. alone - 55 uses.
8. home - 46 uses.
9. let - 46 uses.
10. back - 44 uses.
11. never - 43 uses.
12. down - 43 uses.
13. only - 43 uses.
14. because - 42 uses.
15. love - 40 uses.
16. beat - 40 uses.
17. hey - 39 uses.
18. theyre - 39 uses.
19. something - 38 uses.
20. leave - 35 uses.
21. where - 34 uses.
22. night - 34 uses.
23. nothing - 34 uses.
24. tonight - 34 uses.
25. head - 30 uses.
26. old - 29 uses.
27. friends - 29 uses.
28. take - 29 uses.
29. things - 29 uses.
30. tired - 29 uses.
31. inside - 29 uses.
32. sleep - 28 uses.
33. people - 28 uses.
34. bed - 28 uses.
35. while - 27 uses.
36. life - 27 uses.
37. tell - 26 uses.
38. person - 26 uses.
39. wake - 25 uses.
40. eyes - 25 uses.
41. every - 25 uses.
42. sun - 25 uses.
43. wanted - 24 uses.
44. die - 24 uses.
45. fine - 24 uses.
46. fall - 24 uses.
47. please - 24 uses.
48. good - 23 uses.
49. shit - 22 uses.
50. anything - 22 uses.
51. waiting - 22 uses.
52. here - 22 uses.
53. sky - 22 uses.
54. line - 22 uses.
55. around - 22 uses.
56. burn - 22 uses.
57. whats - 21 uses.
58. care - 21 uses.
59. fuck - 21 uses.
60. fucking - 21 uses.
61. feeling - 21 uses.
62. think - 21 uses.
63. need - 20 uses.
64. try - 20 uses.
65. always - 20 uses.
66. right - 20 uses.
67. outside - 20 uses.
68. fame - 20 uses.
69. body - 19 uses.
70. getting - 19 uses.
71. wait - 19 uses.
72. gone - 19 uses.
73. makes - 19 uses.
74. coming - 19 uses.
75. even - 18 uses.
76. better - 18 uses.
77. until - 18 uses.
78. face - 18 uses.
79. doesnt - 18 uses.
80. watch - 18 uses.
81. trash - 18 uses.
82. stop - 17 uses.
83. being - 17 uses.
84. snow - 17 uses.
85. someone - 17 uses.
86. door - 17 uses.
87. feels - 17 uses.
88. bad - 17 uses.
89. whoa-whoa-whoa-oh - 17 uses.
90. oh-oh - 17 uses.
91. new - 16 uses.
92. little - 16 uses.
93. really - 16 uses.
94. days - 16 uses.
95. end - 16 uses.
96. under - 16 uses.
97. before - 16 uses.
98. start - 16 uses.
99. hold - 16 uses.
100. hate - 16 uses.
101. rain - 16 uses.
102. thing - 16 uses.
103. give - 15 uses.
104. told - 15 uses.
105. ever - 15 uses.
106. yourself - 15 uses.
107. place - 15 uses.
108. alive - 15 uses.
109. sometimes - 15 uses.
110. long - 15 uses.
111. turn - 15 uses.
112. magic - 15 uses.
113. friend - 15 uses.
114. everything - 15 uses.
115. times - 15 uses.
116. over - 15 uses.
117. fucked - 15 uses.
118. maybe - 15 uses.
119. dead - 15 uses.
120. wouldnt - 14 uses.
121. asleep - 14 uses.
122. stupid - 14 uses.
123. moment - 14 uses.
124. thinking - 14 uses.
125. trying - 14 uses.
126. thought - 14 uses.
127. hope - 14 uses.
128. stay - 14 uses.
129. done - 14 uses.
130. live - 14 uses.
131. miss - 14 uses.
132. after - 14 uses.
133. much - 14 uses.
134. melt - 14 uses.
135. dreams - 13 uses.
136. truth - 13 uses.
137. sorry - 13 uses.
138. bliss - 13 uses.
139. change - 13 uses.
140. today - 13 uses.
141. future - 13 uses.
142. stuck - 13 uses.
143. crash - 13 uses.
144. bang - 13 uses.
145. beach - 12 uses.
146. goodnight - 12 uses.
147. else - 12 uses.
148. real - 12 uses.
149. song - 12 uses.
150. gets - 12 uses.
151. soon - 12 uses.
152. looking - 12 uses.
153. run - 12 uses.
154. against - 12 uses.
155. gross - 12 uses.
156. rock - 12 uses.
157. allison - 12 uses.
158. name - 11 uses.
159. couldnt - 11 uses.
160. listening - 11 uses.
161. another - 11 uses.
162. hear - 11 uses.
163. believe - 11 uses.
164. yes - 11 uses.
165. might - 11 uses.
166. keep - 11 uses.
167. last - 11 uses.
168. years - 11 uses.
169. afraid - 11 uses.
170. power - 11 uses.
171. heart - 11 uses.
172. side - 11 uses.
173. show - 11 uses.
174. grow - 11 uses.
175. year - 11 uses.
176. pick - 11 uses.
177. work - 11 uses.
178. mean - 11 uses.
179. lets - 11 uses.
180. wall - 11 uses.
181. weve - 10 uses.
182. ones - 10 uses.
183. left - 10 uses.
184. em - 10 uses.
185. sleeping - 10 uses.
186. saw - 10 uses.
187. late - 10 uses.
188. world - 10 uses.
189. worth - 10 uses.
190. hard - 10 uses.
191. myself - 10 uses.
192. scream - 10 uses.
193. tried - 10 uses.
194. win - 10 uses.
195. towards - 10 uses.
196. empty - 10 uses.
197. isnt - 10 uses.
198. smile - 10 uses.
199. light - 10 uses.
200. meet - 10 uses.
201. should - 10 uses.
202. any - 10 uses.
203. summer - 10 uses.
204. happy - 9 uses.
205. went - 9 uses.
206. drunk - 9 uses.
207. stars - 9 uses.
208. high - 9 uses.
209. til - 9 uses.
210. mother - 9 uses.
211. monday - 9 uses.
212. spent - 9 uses.
213. five - 9 uses.
214. along - 9 uses.
215. break - 9 uses.
216. total - 9 uses.
217. leaving - 9 uses.
218. most - 9 uses.
219. anyone - 9 uses.
220. staring - 9 uses.
221. heading - 9 uses.
222. exits - 9 uses.
223. past - 9 uses.
224. throw - 9 uses.
225. cracks - 9 uses.
226. seem - 9 uses.
227. talk - 9 uses.
228. job - 9 uses.
229. vacant - 9 uses.
230. lost - 9 uses.
231. beating - 9 uses.
232. lose - 9 uses.
233. without - 9 uses.
234. mind - 9 uses.
235. piece - 9 uses.
236. mood - 9 uses.
237. kimi - 9 uses.
238. young - 8 uses.
239. worried - 8 uses.
240. tv - 8 uses.
241. somebody - 8 uses.
242. breathe - 8 uses.
243. walk - 8 uses.
244. wave - 8 uses.
245. city - 8 uses.
246. shitty - 8 uses.
247. floor - 8 uses.
248. window - 8 uses.
249. lives - 8 uses.
250. point - 8 uses.
251. energy - 8 uses.
252. bring - 8 uses.
253. fox - 8 uses.
254. cold - 8 uses.
255. listen - 8 uses.
256. least - 8 uses.
257. legs - 8 uses.
258. black - 8 uses.
259. pretend - 8 uses.
260. yall - 8 uses.
261. rather - 8 uses.
262. same - 8 uses.
263. broken - 8 uses.
264. letting - 8 uses.
265. scram - 8 uses.
266. forgotten - 8 uses.
267. silence - 8 uses.
268. steals - 8 uses.
269. started - 8 uses.
270. having - 8 uses.
271. throat - 8 uses.
272. junjo - 8 uses.
273. karen - 8 uses.
274. na - 8 uses.
275. moments - 8 uses.
276. enough - 7 uses.
277. parents - 7 uses.
278. skin - 7 uses.
279. kid - 7 uses.
280. happened - 7 uses.
281. together - 7 uses.
282. sit - 7 uses.
283. wish - 7 uses.
284. kids - 7 uses.
285. gotta - 7 uses.
286. noise - 7 uses.
287. save - 7 uses.
288. state - 7 uses.
289. reasons - 7 uses.
290. read - 7 uses.
291. nowhere - 7 uses.
292. once - 7 uses.
293. theyll - 7 uses.
294. easy - 7 uses.
295. remember - 7 uses.
296. dumb - 7 uses.
297. doing - 7 uses.
298. best - 7 uses.
299. morning - 7 uses.
300. strangers - 7 uses.
301. ears - 7 uses.
302. wrong - 7 uses.
303. nights - 7 uses.
304. fear - 7 uses.
305. building - 7 uses.
306. nobody - 7 uses.
307. 10 - 7 uses.
308. stoned - 7 uses.
309. space - 7 uses.
310. kind - 7 uses.
311. couple - 7 uses.
312. week - 7 uses.
313. brain - 7 uses.
314. werent - 7 uses.
315. moon - 7 uses.
316. weird - 7 uses.
317. hair - 7 uses.
318. sure - 7 uses.
319. kiss - 7 uses.
320. write - 7 uses.
321. ohio - 7 uses.
322. voice - 7 uses.
323. happiness - 7 uses.
324. drinking - 7 uses.
325. terrible - 7 uses.
326. used - 6 uses.
327. hours - 6 uses.
328. train - 6 uses.
329. eye - 6 uses.
330. yelling - 6 uses.
331. pictures - 6 uses.
332. god - 6 uses.
333. making - 6 uses.
334. leaves - 6 uses.
335. help - 6 uses.
336. ride - 6 uses.
337. dark - 6 uses.
338. wind - 6 uses.
339. street - 6 uses.
340. blue - 6 uses.
341. money - 6 uses.
342. needs - 6 uses.
343. guess - 6 uses.
344. matter - 6 uses.
345. bit - 6 uses.
346. beers - 6 uses.
347. coffee - 6 uses.
348. turned - 6 uses.
349. pull - 6 uses.
350. toss - 6 uses.
351. apartment - 6 uses.
352. mistakes - 6 uses.
353. cross - 6 uses.
354. pain - 6 uses.
355. 9 - 6 uses.
356. nightmare - 6 uses.
357. house - 6 uses.
358. ground - 6 uses.
359. phone - 6 uses.
360. bullshit - 6 uses.
361. disaster - 6 uses.
362. matters - 6 uses.
363. seek - 6 uses.
364. sent - 6 uses.
365. hide - 6 uses.
366. does - 6 uses.
367. keeps - 6 uses.
368. words - 6 uses.
369. lead - 6 uses.
370. party - 6 uses.
371. loud - 6 uses.
372. chasing - 6 uses.
373. movie - 6 uses.
374. shame - 6 uses.
375. full - 6 uses.
376. solve - 6 uses.
377. quit - 6 uses.
378. turnpike - 6 uses.
379. lines - 6 uses.
380. wa - 6 uses.
381. yo - 6 uses.
382. dakishimetai - 6 uses.
383. worry - 5 uses.
384. forget - 5 uses.
385. met - 5 uses.
386. play - 5 uses.
387. repeat - 5 uses.
388. escape - 5 uses.
389. corner - 5 uses.
390. those - 5 uses.
391. road - 5 uses.
392. took - 5 uses.
393. others - 5 uses.
394. difference - 5 uses.
395. screen - 5 uses.
396. running - 5 uses.
397. felt - 5 uses.
398. came - 5 uses.
399. honestly - 5 uses.
400. tight - 5 uses.
401. whenever - 5 uses.
402. blowing - 5 uses.
403. laugh - 5 uses.
404. anyway - 5 uses.
405. going - 5 uses.
406. fun - 5 uses.
407. second - 5 uses.
408. shake - 5 uses.
409. frozen - 5 uses.
410. air - 5 uses.
411. such - 5 uses.
412. room - 5 uses.
413. half - 5 uses.
414. saying - 5 uses.
415. ahead - 5 uses.
416. sound - 5 uses.
417. problems - 5 uses.
418. car - 5 uses.
419. seasons - 5 uses.
420. totally - 5 uses.
421. seen - 5 uses.
422. alright - 5 uses.
423. ate - 5 uses.
424. believing - 5 uses.
425. waste - 5 uses.
426. ghost - 5 uses.
