Most used words by Jeremy Zucker: 
Number of songs scanned: 87

1. down - 102 uses.
2. love - 101 uses.
3. let - 96 uses.
4. head - 94 uses.
5. girl - 86 uses.
6. keep - 80 uses.
7. need - 72 uses.
8. afloat - 65 uses.
9. d- - 64 uses.
10. feel - 63 uses.
11. through - 63 uses.
12. better - 60 uses.
13. never - 59 uses.
14. baby - 58 uses.
15. lets - 52 uses.
16. shit - 50 uses.
17. fuck - 48 uses.
18. away - 48 uses.
19. here - 46 uses.
20. back - 44 uses.
21. hold - 43 uses.
22. trying - 42 uses.
23. heart - 42 uses.
24. fall - 41 uses.
25. mind - 41 uses.
26. think - 41 uses.
27. bout - 40 uses.
28. tell - 39 uses.
29. about - 37 uses.
30. dream - 37 uses.
31. gone - 37 uses.
32. stay - 37 uses.
33. right - 36 uses.
34. alone - 33 uses.
35. swear - 32 uses.
36. really - 31 uses.
37. home - 30 uses.
38. should - 30 uses.
39. maybe - 30 uses.
40. night - 29 uses.
41. friends - 29 uses.
42. ever - 29 uses.
43. over - 29 uses.
44. life - 28 uses.
45. talk - 28 uses.
46. take - 28 uses.
47. always - 28 uses.
48. everything - 27 uses.
49. leave - 27 uses.
50. around - 27 uses.
51. eyes - 26 uses.
52. good - 26 uses.
53. though - 26 uses.
54. inside - 26 uses.
55. tonight - 26 uses.
56. days - 25 uses.
57. close - 25 uses.
58. alright - 25 uses.
59. even - 25 uses.
60. much - 24 uses.
61. feeling - 24 uses.
62. side - 24 uses.
63. while - 23 uses.
64. lost - 23 uses.
65. end - 23 uses.
66. scared - 23 uses.
67. same - 22 uses.
68. give - 22 uses.
69. things - 22 uses.
70. daydream - 22 uses.
71. before - 22 uses.
72. soul - 22 uses.
73. fear - 22 uses.
74. cold - 22 uses.
75. couldnt - 21 uses.
76. thought - 21 uses.
77. listen - 21 uses.
78. old - 21 uses.
79. cry - 21 uses.
80. hard - 21 uses.
81. nothing - 21 uses.
82. only - 20 uses.
83. damn - 20 uses.
84. high - 20 uses.
85. somebody - 20 uses.
86. every - 20 uses.
87. weve - 20 uses.
88. letting - 20 uses.
89. loves - 20 uses.
90. hate - 19 uses.
91. try - 19 uses.
92. left - 19 uses.
93. makes - 19 uses.
94. youd - 19 uses.
95. die - 19 uses.
96. ground - 19 uses.
97. hope - 18 uses.
98. fell - 18 uses.
99. seem - 18 uses.
100. change - 18 uses.
101. coming - 18 uses.
102. fine - 18 uses.
103. fucking - 18 uses.
104. ohh - 18 uses.
105. face - 17 uses.
106. open - 17 uses.
107. afraid - 17 uses.
108. sun - 17 uses.
109. honest - 17 uses.
110. again - 17 uses.
111. upside - 17 uses.
112. god - 17 uses.
113. friend - 17 uses.
114. bad - 16 uses.
115. going - 16 uses.
116. without - 16 uses.
117. sorry - 16 uses.
118. rather - 16 uses.
119. okay - 16 uses.
120. hear - 16 uses.
121. fire - 16 uses.
122. done - 16 uses.
123. doing - 16 uses.
124. told - 16 uses.
125. gets - 16 uses.
126. air - 16 uses.
127. breathe - 16 uses.
128. simple - 15 uses.
129. bed - 15 uses.
130. vibe - 15 uses.
131. phone - 15 uses.
132. city - 15 uses.
133. last - 15 uses.
134. own - 15 uses.
135. likes - 15 uses.
136. after - 15 uses.
137. overrated - 15 uses.
138. anymore - 14 uses.
139. wait - 14 uses.
140. put - 14 uses.
141. whats - 14 uses.
142. quit - 14 uses.
143. apart - 14 uses.
144. wonder - 14 uses.
145. making - 14 uses.
146. lie - 14 uses.
147. holding - 14 uses.
148. name - 14 uses.
149. sinking - 14 uses.
150. mine - 14 uses.
151. realize - 14 uses.
152. ya - 13 uses.
153. thing - 13 uses.
154. rest - 13 uses.
155. sky - 13 uses.
156. long - 13 uses.
157. both - 13 uses.
158. leaving - 13 uses.
159. sleep - 13 uses.
160. burning - 13 uses.
161. matter - 13 uses.
162. shut - 13 uses.
163. loving - 13 uses.
164. new - 12 uses.
165. else - 12 uses.
166. ask - 12 uses.
167. water - 12 uses.
168. nice - 12 uses.
169. ooh - 12 uses.
170. doesnt - 12 uses.
171. hurt - 12 uses.
172. believe - 12 uses.
173. reason - 12 uses.
174. falling - 12 uses.
175. turn - 12 uses.
176. next - 12 uses.
177. selfish - 12 uses.
178. pick - 12 uses.
179. peace - 12 uses.
180. since - 11 uses.
181. beautiful - 11 uses.
182. dying - 11 uses.
183. play - 11 uses.
184. hair - 11 uses.
185. miss - 11 uses.
186. summer - 11 uses.
187. does - 11 uses.
188. slow - 11 uses.
189. saw - 11 uses.
190. drunk - 11 uses.
191. another - 11 uses.
192. work - 11 uses.
193. wanted - 11 uses.
194. lights - 11 uses.
195. probably - 11 uses.
196. gotta - 11 uses.
197. waste - 11 uses.
198. enough - 11 uses.
199. mexico - 11 uses.
200. lay - 11 uses.
201. mouth - 11 uses.
202. darling - 11 uses.
203. wake - 11 uses.
204. yours - 11 uses.
205. decided - 11 uses.
206. straight - 10 uses.
207. wondering - 10 uses.
208. something - 10 uses.
209. silence - 10 uses.
210. might - 10 uses.
211. someone - 10 uses.
212. waiting - 10 uses.
213. til - 10 uses.
214. babe - 10 uses.
215. minute - 10 uses.
216. fight - 10 uses.
217. hit - 10 uses.
218. lot - 10 uses.
219. run - 10 uses.
220. promise - 10 uses.
221. flying - 10 uses.
222. smile - 9 uses.
223. true - 9 uses.
224. ride - 9 uses.
225. different - 9 uses.
226. lying - 9 uses.
227. beach - 9 uses.
228. stars - 9 uses.
229. heaven - 9 uses.
230. lonely - 9 uses.
231. came - 9 uses.
232. isnt - 9 uses.
233. knew - 9 uses.
234. feelings - 9 uses.
235. asleep - 9 uses.
236. care - 9 uses.
237. start - 9 uses.
238. best - 9 uses.
239. please - 9 uses.
240. started - 9 uses.
241. hurts - 9 uses.
242. under - 9 uses.
243. knows - 9 uses.
244. alive - 9 uses.
245. throwing - 9 uses.
246. signs - 9 uses.
247. wouldnt - 8 uses.
248. wasting - 8 uses.
249. feels - 8 uses.
250. reasons - 8 uses.
251. lately - 8 uses.
252. worried - 8 uses.
253. hide - 8 uses.
254. looking - 8 uses.
255. whole - 8 uses.
256. little - 8 uses.
257. less - 8 uses.
258. times - 8 uses.
259. walk - 8 uses.
260. sometimes - 8 uses.
261. calling - 8 uses.
262. sick - 8 uses.
263. drink - 8 uses.
264. went - 8 uses.
265. far - 8 uses.
266. help - 8 uses.
267. being - 8 uses.
268. fade - 8 uses.
269. dead - 8 uses.
