Most used words by Joanna Newsom: 
Number of songs scanned: 53

1. down - 80 uses.
2. love - 71 uses.
3. little - 45 uses.
4. night - 45 uses.
5. light - 44 uses.
6. heart - 43 uses.
7. long - 41 uses.
8. away - 40 uses.
9. kite - 37 uses.
10. flying - 37 uses.
11. here - 35 uses.
12. while - 35 uses.
13. through - 34 uses.
14. life - 33 uses.
15. take - 33 uses.
16. over - 31 uses.
17. old - 30 uses.
18. again - 28 uses.
19. though - 28 uses.
20. water - 28 uses.
21. gone - 27 uses.
22. back - 27 uses.
23. bear - 26 uses.
24. darling - 26 uses.
25. saw - 25 uses.
26. never - 24 uses.
27. tell - 23 uses.
28. white - 23 uses.
29. seen - 22 uses.
30. name - 22 uses.
31. last - 22 uses.
32. hold - 21 uses.
33. face - 21 uses.
34. came - 20 uses.
35. sweet - 20 uses.
36. only - 20 uses.
37. till - 20 uses.
38. place - 20 uses.
39. cold - 20 uses.
40. home - 19 uses.
41. keep - 19 uses.
42. eyes - 19 uses.
43. cannot - 18 uses.
44. sea - 18 uses.
45. beneath - 18 uses.
46. hand - 18 uses.
47. arms - 18 uses.
48. fire - 18 uses.
49. every - 17 uses.
50. before - 17 uses.
51. honey - 17 uses.
52. blue - 17 uses.
53. stay - 16 uses.
54. alone - 16 uses.
55. lay - 16 uses.
56. loved - 16 uses.
57. everything - 16 uses.
58. run - 16 uses.
59. wild - 16 uses.
60. god - 16 uses.
61. rest - 16 uses.
62. left - 15 uses.
63. across - 15 uses.
64. song - 15 uses.
65. far - 15 uses.
66. those - 15 uses.
67. believe - 15 uses.
68. hear - 15 uses.
69. done - 15 uses.
70. black - 14 uses.
71. must - 14 uses.
72. sky - 14 uses.
73. round - 14 uses.
74. right - 14 uses.
75. even - 14 uses.
76. along - 14 uses.
77. fall - 13 uses.
78. wide - 13 uses.
79. end - 13 uses.
80. bones - 13 uses.
81. thing - 13 uses.
82. own - 13 uses.
83. miss - 13 uses.
84. should - 13 uses.
85. feel - 12 uses.
86. upon - 12 uses.
87. dark - 12 uses.
88. around - 12 uses.
89. about - 12 uses.
90. wind - 12 uses.
91. speak - 12 uses.
92. river - 12 uses.
93. joy - 12 uses.
94. told - 11 uses.
95. garden - 11 uses.
96. called - 11 uses.
97. sleep - 11 uses.
98. stand - 11 uses.
99. desire - 11 uses.
100. days - 11 uses.
101. remember - 11 uses.
102. baby - 11 uses.
103. nor - 11 uses.
104. morning - 11 uses.
105. dance - 11 uses.
106. easy - 11 uses.
107. moves - 11 uses.
108. known - 10 uses.
109. wait - 10 uses.
110. thought - 10 uses.
111. among - 10 uses.
112. true - 10 uses.
113. dream - 10 uses.
114. knew - 10 uses.
115. woman - 10 uses.
116. bread - 10 uses.
117. dear - 10 uses.
118. being - 10 uses.
119. friend - 10 uses.
120. caught - 10 uses.
121. lord - 10 uses.
122. chew - 10 uses.
123. died - 10 uses.
124. eye - 10 uses.
125. same - 10 uses.
126. stars - 10 uses.
127. esme - 10 uses.
128. set - 9 uses.
129. hour - 9 uses.
130. ever - 9 uses.
131. going - 9 uses.
132. saying - 9 uses.
133. world - 9 uses.
134. bed - 9 uses.
135. stone - 9 uses.
136. road - 9 uses.
137. deep - 9 uses.
138. weve - 9 uses.
139. woke - 9 uses.
140. without - 9 uses.
141. poor - 9 uses.
142. other - 9 uses.
143. bound - 9 uses.
144. kindness - 9 uses.
145. great - 9 uses.
146. something - 9 uses.
147. clear - 9 uses.
148. broke - 8 uses.
149. soul - 8 uses.
150. bad - 8 uses.
151. quiet - 8 uses.
152. such - 8 uses.
153. think - 8 uses.
154. fine - 8 uses.
155. fell - 8 uses.
156. things - 8 uses.
157. enough - 8 uses.
158. leave - 8 uses.
159. city - 8 uses.
160. mean - 8 uses.
161. trying - 8 uses.
162. die - 8 uses.
163. took - 8 uses.
164. funny - 8 uses.
165. hard - 8 uses.
166. dust - 8 uses.
167. help - 8 uses.
168. rain - 8 uses.
169. give - 8 uses.
170. snow - 8 uses.
171. right-on - 8 uses.
172. open - 8 uses.
173. mine - 8 uses.
174. lawlessness - 8 uses.
175. o - 8 uses.
176. clean - 7 uses.
177. does - 7 uses.
178. land - 7 uses.
179. bone - 7 uses.
180. calling - 7 uses.
181. rise - 7 uses.
182. state - 7 uses.
183. save - 7 uses.
184. ship - 7 uses.
185. head - 7 uses.
186. below - 7 uses.
187. low - 7 uses.
188. death - 7 uses.
189. alive - 7 uses.
190. free - 7 uses.
191. close - 7 uses.
192. need - 7 uses.
193. flight - 7 uses.
194. pale - 7 uses.
195. red - 7 uses.
196. change - 7 uses.
197. sun - 7 uses.
198. after - 7 uses.
199. good - 7 uses.
200. born - 7 uses.
201. lost - 7 uses.
202. air - 7 uses.
203. forever - 7 uses.
204. comes - 7 uses.
205. seem - 7 uses.
206. felt - 7 uses.
207. watch - 7 uses.
208. paw - 7 uses.
209. carry - 7 uses.
210. dead - 7 uses.
211. sound - 7 uses.
212. later - 7 uses.
213. mind - 7 uses.
214. both - 7 uses.
215. side - 7 uses.
216. darlin - 7 uses.
217. until - 7 uses.
218. beyond - 7 uses.
219. lonely - 7 uses.
220. makes - 7 uses.
221. myself - 6 uses.
222. full - 6 uses.
223. meet - 6 uses.
224. moving - 6 uses.
225. watching - 6 uses.
226. longer - 6 uses.
227. nights - 6 uses.
228. any - 6 uses.
229. brown - 6 uses.
230. above - 6 uses.
231. first - 6 uses.
232. women - 6 uses.
233. bright - 6 uses.
234. west - 6 uses.
235. yours - 6 uses.
236. heat - 6 uses.
237. eat - 6 uses.
238. break - 6 uses.
239. turn - 6 uses.
240. let - 6 uses.
241. feet - 6 uses.
242. sheet - 6 uses.
243. shed - 6 uses.
244. burns - 6 uses.
245. heard - 6 uses.
246. youd - 6 uses.
247. spoke - 6 uses.
248. leaving - 6 uses.
249. gold - 6 uses.
250. fields - 6 uses.
251. stop - 6 uses.
252. ground - 6 uses.
253. pass - 6 uses.
254. winter - 6 uses.
255. dawn - 6 uses.
256. horse - 6 uses.
257. once - 6 uses.
258. falling - 6 uses.
259. child - 6 uses.
260. book - 6 uses.
261. shine - 6 uses.
262. slow - 6 uses.
263. years - 6 uses.
264. door - 6 uses.
265. held - 6 uses.
266. hair - 6 uses.
267. star - 6 uses.
268. silent - 6 uses.
269. whose - 6 uses.
270. row - 6 uses.
271. always - 6 uses.
272. because - 6 uses.
273. brought - 6 uses.
274. men - 6 uses.
275. blind - 6 uses.
276. path - 6 uses.
277. lives - 6 uses.
278. line - 6 uses.
279. hearts - 6 uses.
280. everyone - 6 uses.
281. precious - 6 uses.
282. rose - 6 uses.
283. sing - 6 uses.
284. within - 6 uses.
285. toast - 6 uses.
286. since - 5 uses.
287. kind - 5 uses.
288. dry - 5 uses.
289. burn - 5 uses.
290. someone - 5 uses.
291. almost - 5 uses.
292. golden - 5 uses.
293. afraid - 5 uses.
294. bow - 5 uses.
295. bearing - 5 uses.
296. most - 5 uses.
297. quick - 5 uses.
298. past - 5 uses.
299. wings - 5 uses.
300. clouds - 5 uses.
301. lady - 5 uses.
302. three - 5 uses.
303. very - 5 uses.
304. whole - 5 uses.
305. might - 5 uses.
306. better - 5 uses.
307. wet - 5 uses.
308. loneliness - 5 uses.
309. east - 5 uses.
310. seemed - 5 uses.
311. whats - 5 uses.
312. touch - 5 uses.
313. cut - 5 uses.
314. coat - 5 uses.
315. towards - 5 uses.
316. allowed - 5 uses.
317. sit - 5 uses.
318. master - 5 uses.
319. year - 5 uses.
320. against - 5 uses.
321. knees - 5 uses.
322. thrown - 5 uses.
323. colleen - 5 uses.
324. tried - 5 uses.
325. — - 5 uses.
326. sight - 5 uses.
327. songs - 5 uses.
328. asked - 5 uses.
329. swear - 5 uses.
330. weight - 5 uses.
331. start - 5 uses.
332. gnaw - 5 uses.
333. watched - 5 uses.
334. drop - 5 uses.
335. daddy - 5 uses.
336. longlegs - 5 uses.
337. king - 5 uses.
338. grace - 5 uses.
339. nothing - 5 uses.
340. lines - 5 uses.
341. slept - 5 uses.
342. heads - 5 uses.
343. space - 5 uses.
344. new - 5 uses.
345. gate - 5 uses.
346. daughter - 5 uses.
347. move - 5 uses.
348. talk - 5 uses.
349. went - 5 uses.
350. outside - 5 uses.
351. breaks - 5 uses.
352. lot - 5 uses.
353. behind - 5 uses.
354. difference - 5 uses.
355. near - 5 uses.
356. beautiful - 5 uses.
357. mighty - 5 uses.
358. negating - 5 uses.
359. loves - 5 uses.
360. repeating - 5 uses.
361. bell - 5 uses.
362. coming - 5 uses.
363. ought - 5 uses.
364. green - 5 uses.
365. please - 5 uses.
366. cmon - 5 uses.
367. waiting - 5 uses.
368. circles - 5 uses.
369. monkey - 5 uses.
370. lies - 5 uses.
371. thee - 5 uses.
372. late - 5 uses.
373. long-life - 5 uses.
374. show - 5 uses.
375. bird - 5 uses.
376. cassiopeia - 5 uses.
377. whoa-oh - 5 uses.
378. darkness - 4 uses.
379. fast - 4 uses.
380. endless - 4 uses.
381. edge - 4 uses.
382. heavy - 4 uses.
383. corn - 4 uses.
384. straight - 4 uses.
385. earth - 4 uses.
386. breath - 4 uses.
387. tide - 4 uses.
388. infinite - 4 uses.
389. pain - 4 uses.
390. best - 4 uses.
391. bind - 4 uses.
392. choose - 4 uses.
393. form - 4 uses.
394. count - 4 uses.
395. waves - 4 uses.
396. sand - 4 uses.
397. claim - 4 uses.
398. walk - 4 uses.
399. beats - 4 uses.
400. smoke - 4 uses.
401. bitch - 4 uses.
402. forget - 4 uses.
403. beat - 4 uses.
404. babes - 4 uses.
405. country - 4 uses.
406. short - 4 uses.
407. table - 4 uses.
408. wine - 4 uses.
409. winding - 4 uses.
410. mother - 4 uses.
411. taking - 4 uses.
412. hurt - 4 uses.
413. goose - 4 uses.
414. south - 4 uses.
415. bottle - 4 uses.
416. loose - 4 uses.
417. somewhere - 4 uses.
418. peace - 4 uses.
419. breathe - 4 uses.
420. hay - 4 uses.
421. hands - 4 uses.
422. glass - 4 uses.
423. wrote - 4 uses.
424. middle - 4 uses.
425. stare - 4 uses.
426. terror - 4 uses.
427. bay - 4 uses.
428. breeze - 4 uses.
429. bring - 4 uses.
430. return - 4 uses.
431. forgotten - 4 uses.
432. hate - 4 uses.
433. town - 4 uses.
434. words - 4 uses.
435. dried - 4 uses.
436. lights - 4 uses.
437. lead - 4 uses.
438. bodies - 4 uses.
439. freight - 4 uses.
440. trains - 4 uses.
441. pound - 4 uses.
442. drive - 4 uses.
443. sat - 4 uses.
444. read - 4 uses.
445. tall - 4 uses.
446. lola - 4 uses.
447. shake - 4 uses.
448. pretty - 4 uses.
449. drown - 4 uses.
450. friends - 4 uses.
451. between - 4 uses.
452. ask - 4 uses.
453. remains - 4 uses.
454. drunk - 4 uses.
455. runs - 4 uses.
456. taste - 4 uses.
457. ghosts - 4 uses.
458. hometown - 4 uses.
459. flew - 4 uses.
460. lying - 4 uses.
461. hardly - 4 uses.
462. pines - 4 uses.
463. moon - 4 uses.
464. floor - 4 uses.
465. houses - 4 uses.
466. salt - 4 uses.
467. right-ons - 4 uses.
468. pray - 4 uses.
469. ring - 4 uses.
470. dirt - 4 uses.
471. danger - 4 uses.
472. running - 4 uses.
473. swaying - 4 uses.
474. blood - 4 uses.
475. terrible - 4 uses.
476. teeth - 4 uses.
477. hey - 4 uses.
478. re-loo - 4 uses.
479. safe - 4 uses.
480. warm - 4 uses.
481. passed - 4 uses.
482. mark - 4 uses.
483. mirror - 4 uses.
484. appear - 4 uses.
485. laid - 4 uses.
486. hot - 4 uses.
487. none - 4 uses.
488. couldnt - 4 uses.
489. ears - 4 uses.
490. glue - 4 uses.
491. moment - 4 uses.
492. stood - 4 uses.
493. tolls - 4 uses.
494. meteors - 4 uses.
495. amen - 4 uses.
496. follow - 4 uses.
497. ashamed - 4 uses.
498. staring - 4 uses.
499. mercy - 4 uses.
500. slow-heart - 4 uses.
501. hole - 4 uses.
502. common - 4 uses.
503. rare - 4 uses.
504. hundred - 4 uses.
505. son - 4 uses.
506. fight - 4 uses.
