Most used words by John Mayer: 
Number of songs scanned: 120

1. love - 245 uses.
2. never - 95 uses.
3. right - 83 uses.
4. home - 79 uses.
5. down - 77 uses.
6. good - 76 uses.
7. heart - 75 uses.
8. take - 73 uses.
9. away - 71 uses.
10. life - 69 uses.
11. think - 65 uses.
12. waiting - 61 uses.
13. tell - 60 uses.
14. keep - 60 uses.
15. ever - 58 uses.
16. over - 58 uses.
17. feel - 55 uses.
18. baby - 55 uses.
19. through - 52 uses.
20. need - 52 uses.
21. world - 52 uses.
22. back - 52 uses.
23. here - 50 uses.
24. only - 49 uses.
25. comes - 48 uses.
26. again - 47 uses.
27. little - 47 uses.
28. free - 47 uses.
29. long - 46 uses.
30. give - 46 uses.
31. around - 44 uses.
32. alone - 43 uses.
33. leave - 42 uses.
34. hold - 42 uses.
35. try - 41 uses.
36. mind - 40 uses.
37. gone - 39 uses.
38. before - 38 uses.
39. til - 38 uses.
40. about - 36 uses.
41. might - 35 uses.
42. let - 35 uses.
43. another - 35 uses.
44. thing - 34 uses.
45. found - 34 uses.
46. night - 33 uses.
47. always - 33 uses.
48. face - 31 uses.
49. someone - 31 uses.
50. goodbye - 31 uses.
51. new - 31 uses.
52. maybe - 31 uses.
53. tonight - 31 uses.
54. ooh - 31 uses.
55. show - 30 uses.
56. something - 30 uses.
57. myself - 30 uses.
58. change - 30 uses.
59. remember - 30 uses.
60. fallin - 30 uses.
61. side - 29 uses.
62. lights - 28 uses.
63. light - 28 uses.
64. better - 28 uses.
65. much - 28 uses.
66. water - 28 uses.
67. last - 28 uses.
68. wait - 28 uses.
69. half - 28 uses.
70. line - 27 uses.
71. rain - 27 uses.
72. bed - 26 uses.
73. stay - 26 uses.
74. friends - 26 uses.
75. used - 26 uses.
76. run - 26 uses.
77. done - 25 uses.
78. inside - 25 uses.
79. changing - 25 uses.
80. everything - 24 uses.
81. whiskey - 24 uses.
82. things - 24 uses.
83. stop - 24 uses.
84. room - 23 uses.
85. lonely - 23 uses.
86. wrong - 23 uses.
87. girl - 22 uses.
88. every - 22 uses.
89. takes - 22 uses.
90. guess - 22 uses.
91. train - 22 uses.
92. town - 22 uses.
93. left - 21 uses.
94. head - 21 uses.
95. really - 21 uses.
96. while - 21 uses.
97. hand - 21 uses.
98. nothing - 21 uses.
99. days - 21 uses.
100. fool - 21 uses.
101. hearts - 21 uses.
102. eyes - 20 uses.
103. believe - 20 uses.
104. turn - 20 uses.
105. hard - 20 uses.
106. blue - 19 uses.
107. kind - 19 uses.
108. looking - 19 uses.
109. should - 19 uses.
110. getting - 19 uses.
111. walk - 19 uses.
112. loving - 19 uses.
113. came - 18 uses.
114. wonder - 18 uses.
115. break - 18 uses.
116. broken - 18 uses.
117. wanted - 18 uses.
118. nobody - 18 uses.
119. shoulda - 18 uses.
120. being - 18 uses.
121. roll - 18 uses.
122. boy - 18 uses.
123. alright - 18 uses.
124. says - 17 uses.
125. whatever - 17 uses.
126. body - 17 uses.
127. living - 17 uses.
128. same - 17 uses.
129. old - 17 uses.
130. running - 17 uses.
131. forever - 17 uses.
132. trying - 17 uses.
133. fall - 17 uses.
134. morning - 16 uses.
135. door - 16 uses.
136. behind - 16 uses.
137. live - 16 uses.
138. carry - 16 uses.
139. understand - 16 uses.
140. sleep - 16 uses.
141. shouldnt - 16 uses.
142. rest - 16 uses.
143. name - 16 uses.
144. end - 15 uses.
145. tried - 15 uses.
146. other - 15 uses.
147. own - 15 uses.
148. once - 15 uses.
149. going - 15 uses.
150. standing - 15 uses.
151. people - 15 uses.
152. gets - 15 uses.
153. tired - 15 uses.
154. move - 14 uses.
155. sure - 14 uses.
156. saw - 14 uses.
157. words - 14 uses.
158. keeps - 14 uses.
159. matter - 14 uses.
160. worry - 14 uses.
161. dream - 14 uses.
162. moving - 14 uses.
163. runnin - 14 uses.
