Most used words by John Moreland: 
Number of songs scanned: 48

1. let - 50 uses.
2. love - 36 uses.
3. down - 36 uses.
4. never - 32 uses.
5. through - 31 uses.
6. keep - 30 uses.
7. tell - 29 uses.
8. good - 29 uses.
9. ever - 26 uses.
10. back - 25 uses.
11. always - 24 uses.
12. feel - 22 uses.
13. heart - 19 uses.
14. sky - 18 uses.
15. need - 18 uses.
16. where - 18 uses.
17. thing - 18 uses.
18. think - 18 uses.
19. truth - 17 uses.
20. burn - 17 uses.
21. lost - 16 uses.
22. eyes - 16 uses.
23. stars - 16 uses.
24. baby - 16 uses.
25. right - 15 uses.
26. old - 15 uses.
27. here - 15 uses.
28. used - 15 uses.
29. inside - 14 uses.
30. long - 14 uses.
31. only - 14 uses.
32. times - 14 uses.
33. damn - 14 uses.
34. take - 14 uses.
35. break - 14 uses.
36. thought - 14 uses.
37. myself - 14 uses.
38. soul - 14 uses.
39. trying - 14 uses.
40. try - 14 uses.
41. lord - 14 uses.
42. looking - 13 uses.
43. again - 13 uses.
44. cold - 13 uses.
45. turn - 13 uses.
46. til - 12 uses.
47. forget - 12 uses.
48. leave - 12 uses.
49. night - 12 uses.
50. high - 12 uses.
51. songs - 12 uses.
52. fight - 12 uses.
53. found - 11 uses.
54. mind - 11 uses.
55. ground - 11 uses.
56. wrong - 11 uses.
57. blue - 11 uses.
58. losing - 11 uses.
59. guess - 11 uses.
60. show - 11 uses.
61. enough - 11 uses.
62. every - 10 uses.
63. song - 10 uses.
64. little - 10 uses.
65. days - 10 uses.
66. heavens - 10 uses.
67. left - 10 uses.
68. bad - 10 uses.
69. tears - 10 uses.
70. away - 10 uses.
71. life - 10 uses.
72. tonight - 10 uses.
73. something - 10 uses.
74. sleep - 10 uses.
75. heavy - 10 uses.
76. give - 10 uses.
77. babe - 9 uses.
78. before - 9 uses.
79. years - 9 uses.
80. put - 9 uses.
81. those - 9 uses.
82. hell - 9 uses.
83. while - 9 uses.
84. alive - 9 uses.
85. last - 9 uses.
86. rain - 9 uses.
87. hold - 9 uses.
88. black - 9 uses.
89. should - 9 uses.
