Most used words by Joyce Manor: 
Number of songs scanned: 66

1. never - 45 uses.
2. think - 38 uses.
3. love - 33 uses.
4. tell - 26 uses.
5. again - 25 uses.
6. away - 24 uses.
7. feel - 23 uses.
8. night - 22 uses.
9. same - 22 uses.
10. ever - 21 uses.
11. before - 21 uses.
12. something - 20 uses.
13. heart - 20 uses.
14. down - 20 uses.
15. nothing - 20 uses.
16. where - 19 uses.
17. back - 18 uses.
18. always - 18 uses.
19. here - 18 uses.
20. over - 17 uses.
21. even - 17 uses.
22. friends - 16 uses.
23. take - 16 uses.
24. right - 15 uses.
25. mind - 15 uses.
26. summer - 15 uses.
27. things - 14 uses.
28. better - 14 uses.
29. bad - 14 uses.
30. much - 14 uses.
31. because - 13 uses.
32. end - 13 uses.
33. only - 12 uses.
34. around - 12 uses.
35. through - 12 uses.
36. life - 11 uses.
37. feeling - 11 uses.
38. until - 11 uses.
39. try - 11 uses.
40. people - 11 uses.
41. true - 11 uses.
42. such - 11 uses.
43. last - 11 uses.
44. tattoo - 11 uses.
45. baby - 10 uses.
46. fucking - 10 uses.
47. song - 10 uses.
48. myself - 10 uses.
49. really - 10 uses.
50. sad - 10 uses.
51. going - 10 uses.
52. falling - 10 uses.
53. every - 10 uses.
54. whats - 9 uses.
55. wrong - 9 uses.
56. met - 9 uses.
57. gone - 9 uses.
58. old - 9 uses.
59. youd - 9 uses.
60. dumb - 9 uses.
61. inside - 8 uses.
62. child - 8 uses.
63. good - 8 uses.
64. believe - 8 uses.
65. alone - 8 uses.
66. sleep - 8 uses.
67. stand - 8 uses.
68. thing - 8 uses.
69. seem - 8 uses.
70. began - 8 uses.
71. though - 8 uses.
72. keep - 8 uses.
73. left - 7 uses.
74. hey - 7 uses.
75. face - 7 uses.
76. place - 7 uses.
77. while - 7 uses.
78. kind - 7 uses.
79. care - 7 uses.
80. should - 7 uses.
81. took - 7 uses.
82. long - 7 uses.
83. somebody - 7 uses.
84. else - 7 uses.
85. coming - 7 uses.
86. little - 7 uses.
87. hate - 7 uses.
88. wait - 7 uses.
89. hard - 7 uses.
90. online - 7 uses.
91. lonely - 7 uses.
92. great - 7 uses.
93. heard - 7 uses.
94. young - 7 uses.
95. remember - 7 uses.
96. used - 7 uses.
97. put - 7 uses.
98. smile - 7 uses.
99. watch - 7 uses.
100. knew - 7 uses.
101. thought - 7 uses.
102. doesnt - 7 uses.
103. let - 7 uses.
104. collect - 7 uses.
105. play - 6 uses.
106. meet - 6 uses.
107. sun - 6 uses.
108. tried - 6 uses.
109. goes - 6 uses.
110. real - 6 uses.
111. friend - 6 uses.
112. car - 6 uses.
113. found - 6 uses.
114. sidewalk - 6 uses.
115. everything - 6 uses.
116. big - 6 uses.
117. first - 6 uses.
118. dream - 6 uses.
119. miss - 6 uses.
120. new - 6 uses.
121. quiet - 6 uses.
122. mine - 6 uses.
123. closer - 6 uses.
124. loved - 6 uses.
125. dad - 6 uses.
126. brain - 6 uses.
127. kid - 6 uses.
128. light - 6 uses.
129. hanging - 6 uses.
130. wears - 6 uses.
