Most used words by Jukebox The Ghost: 
Number of songs scanned: 72

1. ah - 160 uses.
2. love - 93 uses.
3. ahh - 80 uses.
4. take - 76 uses.
5. never - 74 uses.
6. down - 67 uses.
7. heart - 64 uses.
8. think - 63 uses.
9. eyes - 61 uses.
10. let - 61 uses.
11. feel - 53 uses.
12. people - 52 uses.
13. good - 51 uses.
14. keep - 45 uses.
15. world - 43 uses.
16. somebody - 43 uses.
17. tell - 39 uses.
18. little - 39 uses.
19. over - 38 uses.
20. home - 36 uses.
21. long - 36 uses.
22. daa - 36 uses.
23. about - 35 uses.
24. again - 34 uses.
25. night - 34 uses.
26. through - 33 uses.
27. lets - 33 uses.
28. everybody - 33 uses.
29. back - 31 uses.
30. away - 31 uses.
31. every - 31 uses.
32. getting - 31 uses.
33. stop - 31 uses.
34. those - 30 uses.
35. need - 29 uses.
36. hey - 28 uses.
37. really - 28 uses.
38. someone - 27 uses.
39. hold - 27 uses.
40. should - 26 uses.
41. give - 26 uses.
42. inside - 26 uses.
43. girl - 25 uses.
44. only - 25 uses.
45. older - 25 uses.
46. maybe - 25 uses.
47. everybodys - 25 uses.
48. ah-ah-ah-ah - 25 uses.
49. better - 24 uses.
50. while - 24 uses.
51. start - 24 uses.
52. ever - 24 uses.
53. life - 24 uses.
54. baby - 24 uses.
55. because - 24 uses.
56. last - 23 uses.
57. another - 23 uses.
58. here - 23 uses.
59. song - 22 uses.
60. thing - 22 uses.
61. work - 22 uses.
62. lonely - 22 uses.
63. might - 21 uses.
64. broken - 21 uses.
65. same - 21 uses.
66. new - 21 uses.
67. under - 20 uses.
68. turn - 20 uses.
69. even - 20 uses.
70. other - 20 uses.
71. end - 20 uses.
72. cheers - 20 uses.
73. right - 20 uses.
74. sound - 20 uses.
75. place - 20 uses.
76. chance - 20 uses.
77. always - 19 uses.
78. alone - 18 uses.
79. years - 18 uses.
80. singing - 18 uses.
81. alright - 18 uses.
82. known - 18 uses.
83. thinking - 17 uses.
84. money - 17 uses.
85. change - 17 uses.
