Most used words by  Julien Baker: 
Number of songs scanned: 42

1. think - 36 uses.
2. gonna - 26 uses.
3. tell - 23 uses.
4. down - 23 uses.
5. nothing - 21 uses.
6. help - 21 uses.
7. theres - 19 uses.
8. myself - 19 uses.
9. back - 19 uses.
10. want - 19 uses.
11. something - 18 uses.
12. everything - 17 uses.
13. night - 16 uses.
14. loved - 16 uses.
15. good - 15 uses.
16. let - 15 uses.
17. still - 15 uses.
18. around - 15 uses.
19. believe - 15 uses.
20. id - 14 uses.
21. love - 14 uses.
22. repeats - 14 uses.
23. hate - 14 uses.
24. turn - 13 uses.
25. feel - 13 uses.
26. else - 13 uses.
27. well - 13 uses.
28. thought - 12 uses.
29. leave - 12 uses.
30. again - 12 uses.
31. only - 11 uses.
32. take - 11 uses.
33. stay - 11 uses.
34. trying - 11 uses.
35. thing - 11 uses.
36. through - 10 uses.
37. where - 10 uses.
38. left - 10 uses.
39. wanted - 10 uses.
40. god - 10 uses.
41. even - 10 uses.
42. body - 9 uses.
43. wish - 9 uses.
44. alone - 9 uses.
45. long - 9 uses.
46. always - 9 uses.
47. every - 9 uses.
48. same - 9 uses.
49. sink - 9 uses.
50. keep - 9 uses.
51. things - 9 uses.
52. need - 9 uses.
53. eyes - 9 uses.
54. last - 9 uses.
55. black - 9 uses.
56. anyone - 9 uses.
57. never - 9 uses.
58. try - 9 uses.
59. swim - 9 uses.
60. run - 9 uses.
61. much - 9 uses.
62. harder - 9 uses.
63. ever - 8 uses.
64. sleep - 8 uses.
65. anymore - 8 uses.
66. because - 8 uses.
67. over - 8 uses.
68. till - 8 uses.
69. while - 8 uses.
70. bad - 8 uses.
71. lights - 8 uses.
72. miss - 8 uses.
73. doesnt - 8 uses.
74. right - 8 uses.
75. mind - 8 uses.
76. faster - 8 uses.
77. between - 7 uses.
78. arms - 7 uses.
79. little - 7 uses.
80. enough - 7 uses.
81. scared - 7 uses.
82. asking - 7 uses.
83. guess - 7 uses.
84. isnt - 7 uses.
85. better - 7 uses.
86. change - 7 uses.
87. home - 7 uses.
88. break - 7 uses.
89. here - 7 uses.
90. heart - 7 uses.
91. until - 7 uses.
92. house - 7 uses.
93. alright - 7 uses.
94. light - 6 uses.
95. lord - 6 uses.
96. dark - 6 uses.
97. name - 6 uses.
98. youd - 6 uses.
99. easy - 6 uses.
100. shouldnt - 6 uses.
101. friends - 6 uses.
102. less - 6 uses.
103. couldnt - 6 uses.
104. away - 6 uses.
105. bed - 6 uses.
106. head - 6 uses.
107. tired - 6 uses.
108. before - 6 uses.
109. coming - 6 uses.
110. ooh - 6 uses.
111. remember - 6 uses.
112. maybe - 6 uses.
113. rejoice - 6 uses.
114. hear - 5 uses.
115. face - 5 uses.
116. watch - 5 uses.
117. hard - 5 uses.
118. screaming - 5 uses.
119. throw - 5 uses.
120. climb - 5 uses.
121. yourself - 5 uses.
122. side - 5 uses.
123. chest - 5 uses.
124. havent - 5 uses.
125. should - 5 uses.
126. used - 5 uses.
127. either - 5 uses.
128. worse - 5 uses.
129. inside - 5 uses.
130. going - 5 uses.
131. talking - 5 uses.
132. hands - 5 uses.
133. start - 5 uses.
134. kick - 5 uses.
135. beneath - 5 uses.
136. everybody - 5 uses.
137. holding - 5 uses.
138. whats - 5 uses.
139. looking - 5 uses.
140. car - 5 uses.
141. white - 5 uses.
142. leg - 5 uses.
143. visit - 5 uses.
144. missed - 5 uses.
145. stop - 4 uses.
146. heard - 4 uses.
147. any - 4 uses.
148. give - 4 uses.
149. hurt - 4 uses.
150. heavy - 4 uses.
151. blue - 4 uses.
152. teeth - 4 uses.
153. voice - 4 uses.
154. holiday - 4 uses.
155. dream - 4 uses.
156. wake - 4 uses.
157. watched - 4 uses.
158. leaving - 4 uses.
159. walking - 4 uses.
160. knew - 4 uses.
161. gone - 4 uses.
162. everyone - 4 uses.
163. anything - 4 uses.
164. talk - 4 uses.
165. listening - 4 uses.
166. fix - 4 uses.
167. swear - 4 uses.
168. went - 4 uses.
