Most used words by Kacey Musgraves: 
Number of songs scanned: 102

1. love - 124 uses.
2. christmas - 111 uses.
3. gonna - 87 uses.
4. down - 82 uses.
5. need - 75 uses.
6. good - 68 uses.
7. here - 68 uses.
8. always - 64 uses.
9. let - 60 uses.
10. wanna - 58 uses.
11. never - 58 uses.
12. back - 56 uses.
13. little - 55 uses.
14. really - 53 uses.
15. keep - 50 uses.
16. own - 48 uses.
17. want - 48 uses.
18. okay - 46 uses.
19. away - 45 uses.
20. take - 41 uses.
21. merry - 39 uses.
22. still - 39 uses.
23. light - 38 uses.
24. put - 38 uses.
25. maybe - 37 uses.
26. only - 37 uses.
27. without - 36 uses.
28. think - 36 uses.
29. where - 35 uses.
30. leave - 35 uses.
31. heart - 34 uses.
32. snow - 34 uses.
33. em - 33 uses.
34. night - 33 uses.
35. feel - 33 uses.
36. things - 33 uses.
37. right - 33 uses.
38. mind - 33 uses.
39. high - 32 uses.
40. home - 32 uses.
41. happy - 31 uses.
42. world - 31 uses.
43. give - 30 uses.
44. try - 30 uses.
45. hey - 30 uses.
46. baby - 29 uses.
47. around - 29 uses.
48. even - 28 uses.
49. kacey - 28 uses.
50. every - 28 uses.
51. done - 27 uses.
52. wish - 27 uses.
53. hard - 27 uses.
54. someone - 27 uses.
55. finally - 26 uses.
56. alright - 26 uses.
57. hoo - 25 uses.
58. might - 25 uses.
59. lo - 25 uses.
60. run - 24 uses.
61. coming - 24 uses.
62. fire - 24 uses.
63. round - 24 uses.
64. house - 23 uses.
65. star-crossed - 23 uses.
66. much - 22 uses.
67. year - 22 uses.
68. over - 22 uses.
69. lets - 22 uses.
70. tree - 22 uses.
71. gotta - 21 uses.
72. same - 21 uses.
73. hell - 21 uses.
74. knows - 21 uses.
75. going - 21 uses.
76. another - 21 uses.
77. lonely - 21 uses.
78. old - 21 uses.
79. easy - 21 uses.
80. tell - 21 uses.
81. should - 21 uses.
82. nothing - 21 uses.
83. y - 21 uses.
84. ever - 20 uses.
85. through - 20 uses.
86. new - 20 uses.
87. thing - 20 uses.
88. thanks - 20 uses.
89. getting - 20 uses.
90. life - 20 uses.
91. late - 20 uses.
92. help - 20 uses.
93. smoke - 19 uses.
94. bright - 19 uses.
95. alone - 19 uses.
96. everybody - 19 uses.
97. stop - 19 uses.
98. please - 19 uses.
99. before - 18 uses.
100. magic - 18 uses.
101. tonight - 18 uses.
102. real - 18 uses.
103. step - 18 uses.
104. til - 18 uses.
105. again - 18 uses.
106. under - 18 uses.
107. somebodys - 18 uses.
108. sky - 17 uses.
109. change - 17 uses.
110. anymore - 17 uses.
111. big - 17 uses.
112. seen - 17 uses.
113. theyre - 17 uses.
114. lot - 17 uses.
115. weve - 17 uses.
116. kiss - 17 uses.
117. inside - 17 uses.
118. stupid - 17 uses.
119. far - 16 uses.
120. better - 16 uses.
121. friends - 16 uses.
122. believe - 16 uses.
123. feliz - 16 uses.
124. doesnt - 16 uses.
125. ooh - 16 uses.
126. town - 16 uses.
127. else - 16 uses.
128. mean - 16 uses.
129. talk - 16 uses.
130. looking - 15 uses.
131. rain - 15 uses.
132. hold - 15 uses.
133. mele - 15 uses.
134. kalikimaka - 15 uses.
135. sun - 15 uses.
136. grow - 15 uses.
137. stay - 15 uses.
138. slow - 15 uses.
139. wind - 15 uses.
140. song - 15 uses.
141. everything - 15 uses.
142. family - 15 uses.
143. needs - 15 uses.
144. yourself - 15 uses.
145. bring - 15 uses.
146. any - 15 uses.
147. place - 15 uses.
148. lose - 15 uses.
149. que - 15 uses.
150. navidad - 15 uses.
151. wonder - 14 uses.
152. fun - 14 uses.
153. fine - 14 uses.
154. wouldnt - 14 uses.
155. somebody - 14 uses.
156. lookin - 14 uses.
157. kind - 14 uses.
158. silent - 14 uses.
159. party - 14 uses.
160. girl - 14 uses.
161. lots - 14 uses.
162. woman - 14 uses.
163. cry - 14 uses.
164. wants - 14 uses.
165. ribbons - 14 uses.
166. bows - 14 uses.
167. cure - 14 uses.
168. woes - 14 uses.
169. mary - 14 uses.
170. doing - 13 uses.
171. eve - 13 uses.
172. shine - 13 uses.
173. stars - 13 uses.
174. true - 13 uses.
175. face - 13 uses.
176. show - 13 uses.
177. turn - 13 uses.
178. nice - 13 uses.
179. thank - 13 uses.
180. god - 13 uses.
181. holiday - 13 uses.
182. sometimes - 13 uses.
183. anything - 13 uses.
184. enough - 13 uses.
185. small - 13 uses.
186. cheer - 13 uses.
187. gold - 13 uses.
188. el - 13 uses.
189. youd - 12 uses.
190. stand - 12 uses.
191. head - 12 uses.
192. missing - 12 uses.
193. ask - 12 uses.
194. live - 12 uses.
195. feeling - 12 uses.
196. kinda - 12 uses.
197. road - 12 uses.
198. lights - 12 uses.
199. end - 12 uses.
200. straight - 12 uses.
201. ha - 12 uses.
202. space - 12 uses.
203. blowin - 12 uses.
204. long - 12 uses.
205. ain’t - 12 uses.
206. la - 12 uses.
207. five - 12 uses.
208. sorry - 12 uses.
209. burn - 12 uses.
210. thought - 11 uses.
211. years - 11 uses.
212. green - 11 uses.
213. sound - 11 uses.
214. found - 11 uses.
215. lost - 11 uses.
216. being - 11 uses.
217. golden - 11 uses.
218. star - 11 uses.
219. hurt - 11 uses.
220. hope - 11 uses.
221. red - 11 uses.
222. willie - 11 uses.
223. something - 11 uses.
224. mistletoe - 11 uses.
225. eyes - 11 uses.
226. broken - 11 uses.
227. horse - 11 uses.
228. felt - 11 uses.
229. room - 11 uses.
230. makes - 11 uses.
231. win - 11 uses.
232. touch - 11 uses.
233. car - 11 uses.
234. dado - 11 uses.
235. heartache - 11 uses.
236. wrong - 10 uses.
237. tight - 10 uses.
238. crazy - 10 uses.
239. comes - 10 uses.
240. sleep - 10 uses.
241. hear - 10 uses.
242. until - 10 uses.
243. ground - 10 uses.
244. guess - 10 uses.
245. uh - 10 uses.
246. best - 10 uses.
247. truth - 10 uses.
248. top - 10 uses.
249. holidays - 10 uses.
250. came - 10 uses.
251. goin - 10 uses.
252. hangin - 10 uses.
253. less - 10 uses.
254. sure - 10 uses.
255. feels - 10 uses.
256. cold - 10 uses.
257. boys - 10 uses.
258. hoooo - 9 uses.
259. blow - 9 uses.
260. land - 9 uses.
261. fast - 9 uses.
262. mmm - 9 uses.
263. lie - 9 uses.
264. mother - 9 uses.
265. sad - 9 uses.
266. tears - 9 uses.
267. thinking - 9 uses.
268. kinds - 9 uses.
269. open - 9 uses.
270. knew - 9 uses.
271. set - 9 uses.
272. name - 9 uses.
273. next - 9 uses.
274. says - 9 uses.
275. city - 9 uses.
276. great - 9 uses.
277. tryin - 9 uses.
278. hate - 9 uses.
279. kill - 9 uses.
280. hour - 9 uses.
281. sweet - 9 uses.
282. standing - 9 uses.
283. whoa - 9 uses.
284. arrow - 9 uses.
285. hawaiis - 8 uses.
286. sing - 8 uses.
287. matter - 8 uses.
288. yes - 8 uses.
289. grass - 8 uses.
290. days - 8 uses.
291. pretty - 8 uses.
292. bout - 8 uses.
293. heres - 8 uses.
294. halfway - 8 uses.
295. times - 8 uses.
296. reindeer - 8 uses.
297. used - 8 uses.
298. weekend - 8 uses.
299. went - 8 uses.
300. white - 8 uses.
301. dinner - 8 uses.
302. um - 8 uses.
303. gets - 8 uses.
304. liar - 8 uses.
305. whole - 8 uses.
306. favorite - 8 uses.
307. having - 8 uses.
308. present - 8 uses.
309. bow - 8 uses.
310. tv - 8 uses.
311. storm - 8 uses.
312. map - 8 uses.
313. goes - 8 uses.
314. mine - 8 uses.
315. hippopotamus - 8 uses.
316. ol - 8 uses.
317. expensive - 8 uses.
318. rings - 8 uses.
319. diamond - 8 uses.
320. finger - 8 uses.
321. dandelion - 8 uses.
322. velvet - 8 uses.
323. elvis - 8 uses.
324. everybodys - 8 uses.
325. sir - 8 uses.
326. trees - 7 uses.
327. island - 7 uses.
328. send - 7 uses.
329. palm - 7 uses.
330. most - 7 uses.
331. together - 7 uses.
332. roll - 7 uses.
333. start - 7 uses.
334. bad - 7 uses.
335. told - 7 uses.
336. higher - 7 uses.
337. boy - 7 uses.
338. trying - 7 uses.
339. front - 7 uses.
340. gone - 7 uses.
341. drive - 7 uses.
342. wait - 7 uses.
343. taking - 7 uses.
344. mama - 7 uses.
345. ride - 7 uses.
346. store - 7 uses.
347. ready - 7 uses.
348. reach - 7 uses.
349. reason - 7 uses.
350. middle - 7 uses.
351. candy - 7 uses.
352. whered - 7 uses.
353. morning - 7 uses.
354. kansas - 7 uses.
355. cowboy - 7 uses.
356. miss - 7 uses.
357. bar - 7 uses.
358. movie - 7 uses.
359. hair - 7 uses.
360. work - 7 uses.
361. del - 7 uses.
362. club - 7 uses.
363. gracias - 7 uses.
364. vida - 7 uses.
365. jet - 7 uses.
366. already - 7 uses.
367. wife - 7 uses.
368. bed - 7 uses.
369. discount - 7 uses.
370. band - 7 uses.
371. cup - 7 uses.
372. dying - 7 uses.
373. waste - 7 uses.
374. honkytonk - 7 uses.
375. four - 6 uses.
376. hands - 6 uses.
377. game - 6 uses.
378. hawaiian - 6 uses.
379. greeting - 6 uses.
380. sway - 6 uses.
381. drunk - 6 uses.
382. die - 6 uses.
383. glass - 6 uses.
384. walk - 6 uses.
385. river - 6 uses.
386. darling - 6 uses.
387. those - 6 uses.
388. low - 6 uses.
389. phone - 6 uses.
390. dear - 6 uses.
391. angel - 6 uses.
392. fly - 6 uses.
393. talking - 6 uses.
394. tried - 6 uses.
395. feet - 6 uses.
396. beautiful - 6 uses.
397. probably - 6 uses.
398. whatever - 6 uses.
399. blue - 6 uses.
400. outta - 6 uses.
401. feelin - 6 uses.
402. kids - 6 uses.
403. rudolph - 6 uses.
404. ho - 6 uses.
405. million - 6 uses.
406. havent - 6 uses.
407. water - 6 uses.
408. last - 6 uses.
409. dreams - 6 uses.
410. everyone - 6 uses.
411. mouth - 6 uses.
412. giddy - 6 uses.
413. riding - 6 uses.
414. country - 6 uses.
415. trailer - 6 uses.
416. couldnt - 6 uses.
417. stead - 6 uses.
418. fall - 6 uses.
419. moving - 6 uses.
420. after - 6 uses.
421. line - 6 uses.
422. justified - 6 uses.
423. does - 6 uses.
424. flowers - 6 uses.
425. ya - 6 uses.
426. making - 6 uses.
427. sit - 6 uses.
428. stripes - 6 uses.
429. cane - 6 uses.
430. omaha - 6 uses.
431. sleeping - 6 uses.
432. since - 6 uses.
433. fence - 6 uses.
434. guys - 6 uses.
435. simple - 6 uses.
436. huh - 6 uses.
437. stopped - 6 uses.
438. close - 6 uses.
439. texas - 6 uses.
440. starts - 6 uses.
441. sincerely - 6 uses.
442. tea - 6 uses.
443. climbing - 6 uses.
444. fences - 6 uses.
445. bored - 6 uses.
446. dirty - 6 uses.
447. tanto - 6 uses.
448. de - 6 uses.
449. unless - 6 uses.
450. soon - 6 uses.
451. follow - 6 uses.
452. wherever - 6 uses.
453. points - 6 uses.
454. row - 6 uses.
455. roy - 6 uses.
456. searching - 6 uses.
457. cherry - 6 uses.
458. blossom - 6 uses.
459. undermine - 6 uses.
460. holy - 6 uses.
461. biscuits - 6 uses.
462. gravy - 6 uses.
463. hooked - 6 uses.
464. side - 5 uses.
465. silver - 5 uses.
466. fill - 5 uses.
467. luck - 5 uses.
468. very - 5 uses.
469. full - 5 uses.
