Most used words by Kings Of Leon: 
Number of songs scanned: 103

1. down - 101 uses.
2. take - 82 uses.
3. back - 81 uses.
4. away - 74 uses.
5. going - 63 uses.
6. never - 61 uses.
7. night - 56 uses.
8. little - 51 uses.
9. face - 48 uses.
10. coming - 47 uses.
11. here - 46 uses.
12. around - 44 uses.
13. home - 42 uses.
14. feel - 42 uses.
15. something - 40 uses.
16. love - 39 uses.
17. eyes - 38 uses.
18. always - 37 uses.
19. saw - 37 uses.
20. before - 36 uses.
21. cold - 33 uses.
22. party - 33 uses.
23. better - 32 uses.
24. heart - 31 uses.
25. place - 31 uses.
26. baby - 30 uses.
27. right - 30 uses.
28. mind - 29 uses.
29. only - 28 uses.
30. give - 28 uses.
31. nowhere - 27 uses.
32. gone - 27 uses.
33. again - 26 uses.
34. looking - 26 uses.
35. show - 26 uses.
36. over - 25 uses.
37. fire - 24 uses.
38. old - 24 uses.
39. line - 24 uses.
40. wait - 24 uses.
41. mile - 23 uses.
42. good - 22 uses.
43. through - 22 uses.
44. wave - 22 uses.
45. hey - 22 uses.
46. let - 22 uses.
47. keep - 21 uses.
48. hands - 21 uses.
49. hard - 21 uses.
50. times - 21 uses.
51. light - 21 uses.
52. story - 21 uses.
53. ever - 20 uses.
54. world - 20 uses.
55. leave - 20 uses.
56. hand - 20 uses.
57. every - 19 uses.
58. head - 19 uses.
59. lights - 19 uses.
60. everybody - 19 uses.
61. end - 19 uses.
62. friend - 19 uses.
63. nothing - 19 uses.
64. stay - 19 uses.
65. town - 18 uses.
66. says - 18 uses.
67. running - 18 uses.
68. ride - 18 uses.
69. dreaming - 18 uses.
70. closer - 17 uses.
71. taking - 17 uses.
72. try - 17 uses.
73. girl - 17 uses.
74. play - 17 uses.
75. seen - 17 uses.
76. alone - 17 uses.
77. roll - 17 uses.
78. came - 17 uses.
79. dance - 17 uses.
80. temple - 17 uses.
81. same - 16 uses.
82. long - 16 uses.
83. taste - 16 uses.
84. along - 16 uses.
85. turn - 16 uses.
86. shake - 16 uses.
87. somebody - 16 uses.
88. people - 15 uses.
89. til - 15 uses.
90. together - 15 uses.
91. life - 15 uses.
92. road - 15 uses.
93. round - 15 uses.
94. believe - 15 uses.
95. sound - 15 uses.
96. whooooooo - 15 uses.
97. far - 14 uses.
98. fight - 14 uses.
99. tell - 14 uses.
100. must - 14 uses.
101. waiting - 14 uses.
102. matter - 14 uses.
103. reverend - 14 uses.
104. run - 13 uses.
105. care - 13 uses.
106. living - 13 uses.
107. caught - 13 uses.
108. black - 13 uses.
109. red - 13 uses.
110. tonight - 13 uses.
111. fall - 13 uses.
112. comes - 13 uses.
113. shine - 13 uses.
114. wasted - 13 uses.
115. knock - 13 uses.
116. ooh - 13 uses.
117. open - 12 uses.
118. nobody - 12 uses.
119. waste - 12 uses.
120. rock - 12 uses.
121. pretty - 12 uses.
122. mean - 12 uses.
123. last - 12 uses.
124. corner - 12 uses.
125. girls - 12 uses.
126. enough - 12 uses.
127. walk - 12 uses.
128. walls - 12 uses.
129. found - 12 uses.
130. walking - 12 uses.
131. cut - 12 uses.
132. yourself - 12 uses.
133. lay - 12 uses.
134. southbound - 12 uses.
135. water - 11 uses.
136. think - 11 uses.
137. own - 11 uses.
138. thinking - 11 uses.
139. knows - 11 uses.
140. city - 11 uses.
141. change - 11 uses.
142. door - 11 uses.
143. givin - 11 uses.
144. street - 11 uses.
145. stand - 11 uses.
146. new - 11 uses.
147. smile - 11 uses.
148. lost - 11 uses.
149. beautiful - 11 uses.
150. fighting - 11 uses.
151. floor - 10 uses.
152. soul - 10 uses.
153. getting - 10 uses.
154. making - 10 uses.
155. everything - 10 uses.
156. even - 10 uses.
157. air - 10 uses.
158. dead - 10 uses.
159. hold - 10 uses.
160. war - 10 uses.
161. conversation - 10 uses.
162. myself - 10 uses.
163. another - 10 uses.
164. once - 10 uses.
165. such - 10 uses.
166. need - 10 uses.
167. cry - 10 uses.
168. those - 10 uses.
169. high - 10 uses.
170. radio - 10 uses.
171. ah - 10 uses.
172. white - 10 uses.
173. shape - 9 uses.
174. name - 9 uses.
175. shoes - 9 uses.
176. stone - 9 uses.
177. em - 9 uses.
178. best - 9 uses.
179. till - 9 uses.
180. body - 9 uses.
181. walker - 9 uses.
182. hell - 9 uses.
183. holding - 9 uses.
184. watch - 9 uses.
185. wild - 9 uses.
186. snow - 9 uses.
187. work - 9 uses.
188. while - 9 uses.
189. tongue - 9 uses.
190. shell - 9 uses.
191. hate - 9 uses.
192. near - 9 uses.
193. ground - 9 uses.
194. drive - 9 uses.
195. everyone - 9 uses.
196. someone - 9 uses.
197. crazy - 8 uses.
198. seems - 8 uses.
199. bar - 8 uses.
200. things - 8 uses.
201. thing - 8 uses.
202. break - 8 uses.
203. boy - 8 uses.
204. song - 8 uses.
205. eye - 8 uses.
206. south - 8 uses.
207. until - 8 uses.
208. days - 8 uses.
209. rise - 8 uses.
210. sky - 8 uses.
211. morning - 8 uses.
212. put - 8 uses.
213. hear - 8 uses.
214. whats - 8 uses.
215. pick - 8 uses.
216. wants - 8 uses.
217. trying - 8 uses.
218. start - 8 uses.
219. close - 8 uses.
220. sex - 8 uses.
221. used - 8 uses.
222. dark - 8 uses.
223. boys - 8 uses.
224. anymore - 8 uses.
225. forever - 8 uses.
226. slow - 8 uses.
227. stars - 8 uses.
228. about - 8 uses.
229. goodbye - 8 uses.
230. unless - 8 uses.
231. secret - 8 uses.
232. woman - 8 uses.
233. took - 7 uses.
234. sleep - 7 uses.
235. car - 7 uses.
236. blow - 7 uses.
237. smoke - 7 uses.
238. big - 7 uses.
239. feet - 7 uses.
240. goes - 7 uses.
241. awful - 7 uses.
242. feeling - 7 uses.
243. dirty - 7 uses.
244. strange - 7 uses.
245. seem - 7 uses.
246. bloody - 7 uses.
247. heartbreak - 7 uses.
248. dancing - 7 uses.
249. piece - 7 uses.
250. fast - 7 uses.
251. set - 7 uses.
252. echoing - 7 uses.
253. rage - 7 uses.
254. born - 7 uses.
255. kiss - 7 uses.
256. loosen - 7 uses.
