Most used words by Lady Lamb: 
Number of songs scanned: 85

1. love - 179 uses.
2. take - 73 uses.
3. blood - 51 uses.
4. back - 50 uses.
5. heart - 46 uses.
6. deep - 45 uses.
7. over - 45 uses.
8. down - 43 uses.
9. feel - 43 uses.
10. sea - 41 uses.
11. save - 41 uses.
12. own - 39 uses.
13. only - 39 uses.
14. let - 36 uses.
15. night - 34 uses.
16. looking - 34 uses.
17. eyes - 33 uses.
18. ground - 33 uses.
19. long - 32 uses.
20. head - 32 uses.
21. even - 31 uses.
22. found - 30 uses.
23. little - 30 uses.
24. blue - 29 uses.
25. life - 29 uses.
26. sun - 28 uses.
27. fall - 28 uses.
28. myself - 28 uses.
29. friend - 28 uses.
30. through - 27 uses.
31. hold - 27 uses.
32. sleep - 26 uses.
33. never - 25 uses.
34. home - 25 uses.
35. sky - 25 uses.
36. sing - 24 uses.
37. enough - 24 uses.
38. lets - 24 uses.
39. nothing - 23 uses.
40. while - 23 uses.
41. light - 22 uses.
42. song - 22 uses.
43. about - 22 uses.
44. away - 21 uses.
45. name - 21 uses.
46. run - 21 uses.
47. here - 21 uses.
48. need - 21 uses.
49. loss - 21 uses.
50. lost - 20 uses.
51. left - 20 uses.
52. hand - 19 uses.
53. hair - 19 uses.
54. red - 19 uses.
55. today - 19 uses.
56. around - 19 uses.
57. walk - 19 uses.
58. world - 19 uses.
59. good - 19 uses.
60. teeth - 19 uses.
61. always - 18 uses.
62. hands - 18 uses.
63. baby - 18 uses.
64. thought - 18 uses.
65. bed - 18 uses.
66. afraid - 18 uses.
67. soul - 18 uses.
68. singing - 18 uses.
69. think - 17 uses.
70. keep - 17 uses.
71. bones - 17 uses.
72. alone - 17 uses.
73. should - 17 uses.
74. god - 17 uses.
75. shoulders - 16 uses.
76. tell - 16 uses.
77. until - 16 uses.
78. skin - 16 uses.
79. cold - 16 uses.
80. apple - 16 uses.
81. room - 16 uses.
82. towards - 16 uses.
83. moon - 16 uses.
84. growing - 16 uses.
85. thing - 16 uses.
86. swim - 16 uses.
87. everything - 15 uses.
88. kiss - 15 uses.
89. animal - 15 uses.
90. dead - 15 uses.
91. lay - 15 uses.
92. maybe - 15 uses.
93. put - 15 uses.
94. give - 15 uses.
95. water - 15 uses.
96. words - 15 uses.
