Most used words by Lake Street Dive: 
Number of songs scanned: 68

1. love - 113 uses.
2. let - 94 uses.
3. baby - 90 uses.
4. good - 79 uses.
5. tell - 65 uses.
6. think - 50 uses.
7. down - 49 uses.
8. about - 44 uses.
9. change - 40 uses.
10. never - 39 uses.
11. stop - 36 uses.
12. old - 36 uses.
13. back - 35 uses.
14. care - 34 uses.
15. alone - 33 uses.
16. same - 32 uses.
17. long - 31 uses.
18. right - 31 uses.
19. should - 31 uses.
20. keep - 30 uses.
21. need - 30 uses.
22. easy - 30 uses.
23. feel - 29 uses.
24. take - 28 uses.
25. wrong - 28 uses.
26. really - 27 uses.
27. heart - 27 uses.
28. walking - 27 uses.
29. night - 27 uses.
30. mind - 27 uses.
31. ooh - 26 uses.
32. shame - 26 uses.
33. em - 26 uses.
34. far - 25 uses.
35. another - 25 uses.
36. money - 24 uses.
37. feels - 24 uses.
38. things - 23 uses.
39. girl - 23 uses.
40. away - 22 uses.
41. better - 22 uses.
42. little - 22 uses.
43. lover - 21 uses.
44. free - 21 uses.
45. making - 21 uses.
46. every - 21 uses.
47. light - 21 uses.
48. gotta - 21 uses.
49. side - 21 uses.
50. leave - 21 uses.
51. give - 20 uses.
52. around - 20 uses.
53. ask - 20 uses.
54. thing - 20 uses.
55. yourself - 20 uses.
56. hold - 19 uses.
57. before - 19 uses.
58. anymore - 19 uses.
59. whats - 19 uses.
60. being - 19 uses.
61. roll - 18 uses.
62. those - 17 uses.
63. much - 17 uses.
64. done - 17 uses.
65. hang - 17 uses.
66. woman - 17 uses.
67. nobodys - 17 uses.
68. name - 16 uses.
69. even - 16 uses.
70. again - 16 uses.
71. something - 16 uses.
72. bobby - 16 uses.
73. pony - 16 uses.
74. stopping - 16 uses.
75. sure - 15 uses.
76. wanted - 15 uses.
77. through - 15 uses.
78. cuz - 15 uses.
79. show - 15 uses.
80. runnin - 15 uses.
81. rock - 15 uses.
82. gone - 15 uses.
83. end - 15 uses.
84. home - 14 uses.
85. fall - 14 uses.
86. taking - 14 uses.
87. please - 14 uses.
88. kisser - 14 uses.
89. until - 14 uses.
90. comin - 14 uses.
91. last - 13 uses.
92. only - 13 uses.
93. ever - 13 uses.
94. over - 13 uses.
95. everything - 13 uses.
96. hear - 13 uses.
97. boy - 13 uses.
98. myself - 13 uses.
99. seen - 13 uses.
100. news - 12 uses.
101. next - 12 uses.
102. mine - 12 uses.
103. maybe - 12 uses.
104. broken - 12 uses.
105. anyway - 12 uses.
106. game - 11 uses.
107. wait - 11 uses.
108. red - 11 uses.
109. head - 11 uses.
110. glass - 11 uses.
111. told - 11 uses.
112. left - 11 uses.
113. behind - 11 uses.
114. matter - 11 uses.
115. everyone - 11 uses.
116. play - 10 uses.
117. whisper - 10 uses.
118. hand - 10 uses.
119. fight - 10 uses.
120. while - 10 uses.
121. try - 10 uses.
122. ready - 10 uses.
123. life - 10 uses.
124. hush - 10 uses.
125. always - 10 uses.
126. anything - 10 uses.
127. playing - 9 uses.
128. “hell - 9 uses.
129. yeah” - 9 uses.
130. enough - 9 uses.
131. giving - 9 uses.
132. mean - 9 uses.
133. somethin - 9 uses.
134. because - 9 uses.
135. doesnt - 9 uses.
136. dog - 9 uses.
137. ground - 9 uses.
138. once - 9 uses.
139. people - 9 uses.
140. someone - 9 uses.
141. other - 9 uses.
142. here - 9 uses.
143. fell - 9 uses.
144. inside - 9 uses.
145. yes - 9 uses.
146. space - 9 uses.
147. thoughts - 9 uses.
148. full - 9 uses.
149. wouldnt - 8 uses.
150. chance - 8 uses.
151. somehow - 8 uses.
152. gimme - 8 uses.
153. sign - 8 uses.
154. holdin - 8 uses.
155. couldnt - 8 uses.
156. hung - 8 uses.
157. used - 8 uses.
158. eyes - 8 uses.
159. hard - 8 uses.
160. world - 8 uses.
161. ones - 8 uses.
162. goodbye - 8 uses.
163. stay - 8 uses.
164. blind - 8 uses.
165. forever - 8 uses.
166. anythin - 8 uses.
167. musta - 8 uses.
168. stand - 8 uses.
169. wear - 8 uses.
170. rely - 8 uses.
171. job - 8 uses.
172. oo - 8 uses.
173. lackluster - 7 uses.
174. round - 7 uses.
175. talk - 7 uses.
176. knew - 7 uses.
177. room - 7 uses.
178. spend - 7 uses.
179. ya - 7 uses.
180. kisses - 7 uses.
181. along - 7 uses.
182. kind - 7 uses.
183. keeping - 7 uses.
184. trying - 7 uses.
185. ﬂoor - 7 uses.
186. having - 7 uses.
187. darlin - 7 uses.
188. clear - 7 uses.
189. living - 7 uses.
190. strong - 7 uses.
191. lot - 7 uses.
192. without - 7 uses.
193. under - 7 uses.
194. rules - 7 uses.
195. walk - 7 uses.
196. lets - 7 uses.
197. break - 7 uses.
198. sparrow - 7 uses.
199. rich - 7 uses.
200. caught - 7 uses.
201. feelin - 7 uses.
202. going - 6 uses.
203. put - 6 uses.
204. needs - 6 uses.
205. help - 6 uses.
206. tryin - 6 uses.
207. tired - 6 uses.
208. mister - 6 uses.
209. missus - 6 uses.
210. any - 6 uses.
211. pain - 6 uses.
212. friend - 6 uses.
213. jameson - 6 uses.
214. neighbors - 6 uses.
215. upstairs - 6 uses.
216. share - 6 uses.
217. fun - 6 uses.
218. human - 6 uses.
219. found - 6 uses.
220. turn - 6 uses.
221. apart - 6 uses.
222. okay - 6 uses.
223. damn - 6 uses.
