Most used words by Lana Del Rey: 
Number of songs scanned: 333

1. baby - 890 uses.
2. love - 781 uses.
3. down - 310 uses.
4. take - 303 uses.
5. never - 286 uses.
6. life - 286 uses.
7. boy - 283 uses.
8. let - 229 uses.
9. girl - 227 uses.
10. think - 224 uses.
11. back - 211 uses.
12. about - 191 uses.
13. blue - 190 uses.
14. tell - 185 uses.
15. bad - 174 uses.
16. only - 171 uses.
17. ah - 171 uses.
18. little - 169 uses.
19. night - 164 uses.
20. put - 161 uses.
21. right - 159 uses.
22. feel - 154 uses.
23. crazy - 154 uses.
24. god - 150 uses.
25. nothing - 148 uses.
26. hot - 148 uses.
27. good - 147 uses.
28. really - 144 uses.
29. over - 142 uses.
30. every - 139 uses.
31. tonight - 139 uses.
32. give - 139 uses.
33. run - 136 uses.
34. babe - 134 uses.
35. honey - 131 uses.
36. white - 129 uses.
37. eyes - 127 uses.
38. summer - 126 uses.
39. world - 123 uses.
40. need - 122 uses.
41. die - 122 uses.
42. high - 121 uses.
43. ooh - 121 uses.
44. again - 120 uses.
45. keep - 120 uses.
46. forever - 120 uses.
47. leave - 119 uses.
48. sing - 119 uses.
49. hard - 117 uses.
50. dance - 115 uses.
51. money - 114 uses.
52. party - 113 uses.
53. fun - 111 uses.
54. much - 111 uses.
55. heaven - 110 uses.
56. fire - 110 uses.
57. rock - 108 uses.
58. real - 107 uses.
59. hold - 107 uses.
60. side - 106 uses.
61. mind - 106 uses.
62. heart - 104 uses.
63. knows - 103 uses.
64. ever - 103 uses.
65. lets - 103 uses.
66. away - 101 uses.
67. talk - 101 uses.
68. kiss - 98 uses.
69. wrong - 97 uses.
70. long - 95 uses.
71. yes - 95 uses.
72. around - 94 uses.
73. stop - 93 uses.
74. going - 93 uses.
75. even - 92 uses.
76. lights - 92 uses.
77. beautiful - 92 uses.
78. sweet - 91 uses.
79. wild - 90 uses.
80. here - 90 uses.
81. ya - 90 uses.
82. hey - 90 uses.
83. alive - 89 uses.
84. things - 88 uses.
85. thing - 88 uses.
86. free - 86 uses.
87. always - 85 uses.
88. nobody - 83 uses.
89. dark - 83 uses.
90. stay - 82 uses.
91. black - 82 uses.
92. something - 82 uses.
93. everything - 81 uses.
94. true - 81 uses.
95. told - 80 uses.
96. mine - 80 uses.
97. queen - 80 uses.
98. live - 80 uses.
99. should - 78 uses.
100. loved - 77 uses.
101. til - 77 uses.
102. pretty - 77 uses.
103. em - 77 uses.
104. used - 76 uses.
105. better - 76 uses.
106. new - 74 uses.
107. through - 73 uses.
108. ride - 72 uses.
109. hit - 71 uses.
110. dream - 71 uses.
111. feeling - 70 uses.
112. while - 69 uses.
113. song - 69 uses.
114. play - 69 uses.
115. living - 68 uses.
116. hair - 68 uses.
117. best - 67 uses.
118. home - 67 uses.
119. hear - 67 uses.
120. body - 67 uses.
121. young - 67 uses.
122. girls - 67 uses.
123. because - 67 uses.
124. town - 65 uses.
125. try - 65 uses.
126. remember - 65 uses.
127. daddy - 65 uses.
128. lust - 65 uses.
129. wish - 64 uses.
130. cool - 64 uses.
131. waiting - 62 uses.
132. lost - 62 uses.
133. fuck - 62 uses.
134. keeps - 62 uses.
135. looking - 62 uses.
136. sun - 60 uses.
