Most used words by Lil Nas X: 
Number of songs scanned: 32

1. tell - 80 uses.
2. need - 61 uses.
3. nothin - 56 uses.
4. take - 54 uses.
5. back - 44 uses.
6. road - 41 uses.
7. horse - 40 uses.
8. nas - 40 uses.
9. ride - 38 uses.
10. down - 36 uses.
11. old - 36 uses.
12. here - 36 uses.
13. mmm - 35 uses.
14. town - 35 uses.
15. scoop - 34 uses.
16. nigga - 32 uses.
17. right - 32 uses.
18. ayy - 30 uses.
19. til - 30 uses.
20. never - 30 uses.
21. thought - 30 uses.
22. love - 29 uses.
23. run - 28 uses.
24. life - 27 uses.
25. let - 25 uses.
26. baby - 25 uses.
27. nobody - 24 uses.
28. naughty - 23 uses.
29. fuck - 22 uses.
30. leave - 21 uses.
31. gon - 20 uses.
32. took - 19 uses.
33. only - 19 uses.
34. even - 18 uses.
35. away - 18 uses.
36. everything - 18 uses.
37. bring - 18 uses.
38. every - 17 uses.
39. done - 17 uses.
40. skrrt - 17 uses.
41. hit - 16 uses.
42. name - 16 uses.
43. gotta - 16 uses.
44. bitch - 15 uses.
45. shit - 14 uses.
46. black - 14 uses.
47. ridin - 14 uses.
48. new - 14 uses.
49. feel - 14 uses.
50. sign - 14 uses.
51. tryna - 14 uses.
52. whats - 14 uses.
53. same - 14 uses.
54. hoes - 13 uses.
55. x - 13 uses.
56. face - 13 uses.
57. big - 13 uses.
58. while - 13 uses.
59. wanted - 13 uses.
60. should - 13 uses.
61. niggas - 12 uses.
62. song - 12 uses.
63. dog - 12 uses.
64. soldiers - 12 uses.
65. lil - 12 uses.
66. wouldnt - 12 uses.
67. hodo - 12 uses.
68. dolla - 12 uses.
69. slime - 12 uses.
70. hey - 11 uses.
71. stay - 11 uses.
72. top - 11 uses.
73.  - 11 uses.
74. over - 11 uses.
75. ooh - 11 uses.
76. lets - 11 uses.
77. sometimes - 11 uses.
78. forget - 11 uses.
79. someone - 11 uses.
80. ya - 11 uses.
81. waitin - 11 uses.
82. really - 11 uses.
83. pop - 10 uses.
84. kio - 10 uses.
85. hat - 10 uses.
86. always - 10 uses.
87. anyway - 10 uses.
88. keep - 10 uses.
89. three - 10 uses.
90. days - 10 uses.
91. couple - 10 uses.
92. told - 10 uses.
93. yall - 10 uses.
94. woo - 10 uses.
95. ten - 9 uses.
96. low - 9 uses.
97. ray - 9 uses.
98. ha - 9 uses.
99. happy - 9 uses.
100. okay - 9 uses.
101. ima - 9 uses.
102. night - 9 uses.
103. hear - 9 uses.
104. walk - 9 uses.
105. home - 9 uses.
106. bad - 8 uses.
107. whip - 8 uses.
108. talkin - 8 uses.
109. weed - 8 uses.
110. live - 8 uses.
111. mine - 8 uses.
112. envy - 8 uses.
113. long - 8 uses.
114. before - 8 uses.
115. alright - 8 uses.
116. aye - 8 uses.
117. bout - 8 uses.
118. think - 8 uses.
119. best - 8 uses.
120. give - 8 uses.
121. hope - 7 uses.
122. game - 7 uses.
123. today - 7 uses.
124. boots - 7 uses.
125. livin - 7 uses.
126. money - 7 uses.
127. kick - 7 uses.
128. much - 7 uses.
129. feeling - 7 uses.
130. hard - 7 uses.
131. place - 7 uses.
132. boy - 7 uses.
133. uh - 7 uses.
134. blue - 7 uses.
135. late - 7 uses.
136. little - 7 uses.
137. break - 7 uses.
138. gettin - 7 uses.
139. please - 7 uses.
