Most used words by  Limp Bizkit: 
Number of songs scanned: 103

1. fuck - 297 uses.
2. back - 209 uses.
3. gonna - 201 uses.
4. down - 183 uses.
5. shit - 173 uses.
6. rollin - 171 uses.
7. check - 143 uses.
8. wanna - 137 uses.
9. let - 136 uses.
10. keep - 133 uses.
11. never - 129 uses.
12. baby - 110 uses.
13. life - 108 uses.
14. world - 107 uses.
15. rock - 104 uses.
16. light - 103 uses.
17. take - 102 uses.
18. right - 101 uses.
19. tell - 96 uses.
20. ready - 95 uses.
21. give - 89 uses.
22. think - 86 uses.
23. away - 83 uses.
24. bring - 82 uses.
25. hate - 75 uses.
26. where - 74 uses.
27. ass - 74 uses.
28. another - 73 uses.
29. limp - 69 uses.
30. hands - 69 uses.
31. yall - 65 uses.
32. em - 65 uses.
33. through - 64 uses.
34. need - 64 uses.
35. bizkit - 63 uses.
36. little - 62 uses.
37. better - 61 uses.
38. gotta - 59 uses.
39. want - 58 uses.
40. fucked - 58 uses.
41. even - 55 uses.
42. red - 55 uses.
43. green - 55 uses.
44. motherfucker - 55 uses.
45. shut - 55 uses.
46. freak - 55 uses.
47. hey - 53 uses.
48. bitch - 53 uses.
49. always - 51 uses.
50. love - 51 uses.
51. ya - 48 uses.
52. theres - 47 uses.
53. live - 47 uses.
54. stop - 47 uses.
55. here - 47 uses.
56. inside - 47 uses.
57. nothing - 47 uses.
58. stick - 47 uses.
59. mind - 46 uses.
60. ima - 46 uses.
61. again - 46 uses.
62. youll - 45 uses.
63. nah - 45 uses.
64. nobody - 44 uses.
65. really - 44 uses.
66. over - 43 uses.
67. feel - 43 uses.
68. something - 43 uses.
69. good - 42 uses.
70. around - 42 uses.
71. pop - 42 uses.
72. mic - 41 uses.
73. face - 41 uses.
74. done - 40 uses.
75. things - 40 uses.
76. roll - 40 uses.
77. only - 40 uses.
78. head - 39 uses.
79. everybody - 39 uses.
80. die - 38 uses.
81. hell - 38 uses.
82. uh - 38 uses.
83. lonely - 38 uses.
84. still - 37 uses.
85. fuckin - 37 uses.
86. seen - 37 uses.
87. id - 36 uses.
88. break - 36 uses.
89. before - 36 uses.
90. gold - 36 uses.
91. place - 35 uses.
92. put - 35 uses.
93. kid - 35 uses.
94. maybe - 35 uses.
95. fucking - 34 uses.
96. new - 34 uses.
97. cry - 34 uses.
98. imma - 34 uses.
99. throw - 34 uses.
100. lets - 34 uses.
101. hot - 34 uses.
102. youve - 33 uses.
103. today - 33 uses.
104. run - 33 uses.
105. beat - 33 uses.
106. believe - 32 uses.
107. house - 32 uses.
108. hold - 32 uses.
109. big - 31 uses.
110. show - 31 uses.
111. well - 30 uses.
112. hard - 30 uses.
113. guess - 29 uses.
114. yourself - 29 uses.
115. every - 29 uses.
116. talk - 29 uses.
117. long - 29 uses.
118. such - 29 uses.
119. wrong - 29 uses.
120. reason - 29 uses.
121. fight - 28 uses.
122. much - 28 uses.
123. try - 28 uses.
124. fast - 28 uses.
125. eat - 28 uses.
126. bad - 28 uses.
127. ever - 28 uses.
128. left - 28 uses.
129. dead - 28 uses.
130. myself - 27 uses.
131. alive - 27 uses.
132. straight - 27 uses.
133. livin - 27 uses.
134. move - 27 uses.
135. golden - 27 uses.
136. everything - 26 uses.
137. change - 26 uses.
138. punk - 26 uses.
139. turn - 26 uses.
140. stay - 26 uses.
141. durst - 26 uses.
142. home - 26 uses.
143. play - 26 uses.
144. boy - 25 uses.
145. party - 25 uses.
146. yo - 25 uses.
147. real - 25 uses.
148. told - 25 uses.
149. while - 24 uses.
150. leave - 24 uses.
151. fake - 24 uses.
152. cash - 24 uses.
153. blame - 24 uses.
154. microphone - 24 uses.
155. anymore - 24 uses.
156. blow - 23 uses.
157. cmon - 23 uses.
158. hear - 23 uses.
159. truth - 23 uses.
160. nothin - 22 uses.
161. freakin - 22 uses.
162. goin - 22 uses.
163. should - 22 uses.
164. til - 22 uses.
165. whats - 22 uses.
166. fall - 22 uses.
167. crazy - 22 uses.
168. side - 22 uses.
169. wait - 22 uses.
170. outta - 22 uses.
171. breathe - 22 uses.
172. true - 22 uses.
173. heart - 22 uses.
174. feeling - 21 uses.
175. pain - 21 uses.
176. game - 21 uses.
177. wear - 21 uses.
178. damn - 21 uses.
179. end - 21 uses.
180. motherfuckin - 21 uses.
181. sweet - 21 uses.
182. – - 21 uses.
183. mine - 21 uses.
184. without - 21 uses.
185. floor - 21 uses.
186. until - 21 uses.
187. stuck - 21 uses.
188. somebody - 21 uses.
189. losing - 21 uses.
190. getting - 20 uses.
191. goodbye - 20 uses.
192. start - 20 uses.
193. mask - 20 uses.
194. counterfeit - 20 uses.
195. lie - 20 uses.
196. hit - 20 uses.
197. step - 20 uses.
198. night - 20 uses.
199. coming - 20 uses.
200. lane - 20 uses.
201. eyes - 20 uses.
202. those - 20 uses.
203. till - 19 uses.
204. next - 19 uses.
205. might - 19 uses.
206. full - 19 uses.
207. trust - 19 uses.
208. talking - 19 uses.
209. deserve - 19 uses.
210. somethin - 19 uses.
211. imagine - 19 uses.
212. whole - 18 uses.
213. two - 18 uses.
214. bag - 18 uses.
215. fred - 18 uses.
216. dialed - 18 uses.
217. fiend - 18 uses.
218. accepting - 18 uses.
219. gone - 17 uses.
220. older - 17 uses.
221. chump - 17 uses.
222. sick - 17 uses.
223. brain - 17 uses.
224. rockin - 17 uses.
225. please - 17 uses.
226. ladies - 17 uses.
227. burn - 17 uses.
228. waitin - 17 uses.
229. melody - 17 uses.
230. says - 16 uses.
231. kill - 16 uses.
232. under - 16 uses.
233. okay - 16 uses.
234. own - 16 uses.
235. track - 16 uses.
236. drop - 16 uses.
237. gimmie - 16 uses.
238. comin - 16 uses.
239. hole - 16 uses.
