Most used words by Lord Huron: 
Number of songs scanned: 61

1. night - 84 uses.
2. back - 66 uses.
3. ooh - 64 uses.
4. never - 61 uses.
5. love - 60 uses.
6. through - 51 uses.
7. die - 51 uses.
8. life - 50 uses.
9. world - 48 uses.
10. long - 45 uses.
11. again - 43 uses.
12. away - 40 uses.
13. ever - 40 uses.
14. baby - 39 uses.
15. gone - 36 uses.
16. forever - 34 uses.
17. sky - 32 uses.
18. take - 32 uses.
19. girl - 31 uses.
20. name - 28 uses.
21. mind - 27 uses.
22. days - 27 uses.
23. til - 27 uses.
24. tell - 27 uses.
25. lost - 26 uses.
26. gotta - 26 uses.
27. wait - 26 uses.
28. here - 26 uses.
29. end - 25 uses.
30. right - 24 uses.
31. leave - 24 uses.
32. eyes - 24 uses.
33. dead - 24 uses.
34. let - 23 uses.
35. run - 22 uses.
36. only - 22 uses.
37. face - 21 uses.
38. turn - 21 uses.
39. does - 21 uses.
40. came - 21 uses.
41. left - 20 uses.
42. lie - 20 uses.
43. light - 20 uses.
44. alone - 19 uses.
45. down - 19 uses.
46. follow - 19 uses.
47. sun - 19 uses.
48. place - 19 uses.
49. feel - 18 uses.
50. stars - 17 uses.
51. going - 17 uses.
52. done - 17 uses.
53. edge - 17 uses.
54. stay - 16 uses.
55. river - 16 uses.
56. grave - 16 uses.
57. live - 15 uses.
58. fire - 15 uses.
59. hell - 15 uses.
60. things - 15 uses.
61. should - 15 uses.
62. alive - 15 uses.
63. seen - 15 uses.
64. else - 15 uses.
65. together - 15 uses.
66. wanted - 14 uses.
67. death - 14 uses.
68. tonight - 14 uses.
69. bones - 14 uses.
70. met - 14 uses.
71. dream - 13 uses.
72. earth - 13 uses.
73. darkness - 13 uses.
74. little - 13 uses.
75. coming - 13 uses.
76. sing - 13 uses.
77. thought - 13 uses.
78. nothing - 13 uses.
79. years - 12 uses.
80. remember - 12 uses.
81. young - 12 uses.
82. every - 12 uses.
83. good - 12 uses.
84. void - 12 uses.
85. eye - 12 uses.
86. meet - 12 uses.
87. everybody - 12 uses.
88. sunrise - 12 uses.
89. lonely - 11 uses.
90. keep - 11 uses.
91. lake - 11 uses.
92. black - 11 uses.
93. road - 11 uses.
94. goodbye - 11 uses.
95. mine - 11 uses.
96. old - 11 uses.
97. ghost - 11 uses.
98. afraid - 11 uses.
99. lied - 11 uses.
100. told - 10 uses.
101. moon - 10 uses.
102. hear - 10 uses.
103. guess - 10 uses.
104. without - 10 uses.
105. change - 10 uses.
106. enough - 10 uses.
107. ground - 10 uses.
108. wild - 10 uses.
109. dreaming - 10 uses.
110. stand - 10 uses.
111. mean - 10 uses.
112. soul - 10 uses.
113. running - 9 uses.
114. those - 9 uses.
115. though - 9 uses.
116. went - 9 uses.
117. known - 9 uses.
118. must - 9 uses.
119. think - 9 uses.
120. loved - 9 uses.
121. cry - 9 uses.
122. space - 9 uses.
123. last - 9 uses.
124. lonesome - 8 uses.
125. land - 8 uses.
126. great - 8 uses.
127. west - 8 uses.
128. heart - 8 uses.
129. real - 8 uses.
130. everything - 8 uses.
131. fight - 8 uses.
132. curse - 8 uses.
133. endless - 8 uses.
134. try - 8 uses.
135. ender - 8 uses.
136. supposed - 8 uses.
137. coast - 8 uses.
138. lives - 8 uses.
139. took - 8 uses.
140. hold - 8 uses.
141. along - 8 uses.
142. inside - 8 uses.
143. tale - 8 uses.
144. born - 8 uses.
145. until - 8 uses.
146. over - 8 uses.
147. maybe - 8 uses.
148. while - 8 uses.
149. another - 8 uses.
150. anyone - 8 uses.
151. wind - 8 uses.
152. myself - 8 uses.
153. bad - 8 uses.
154. leaving - 8 uses.
155. pure - 8 uses.
156. fool - 8 uses.
157. give - 8 uses.
158. haunted - 8 uses.
159. dies - 8 uses.
160. mmm - 8 uses.
161. brother - 8 uses.
162. own - 7 uses.
163. tired - 7 uses.
164. forget - 7 uses.
165. before - 7 uses.
166. desert - 7 uses.
167. today - 7 uses.
168. turns - 7 uses.
169. first - 7 uses.
170. rest - 7 uses.
171. around - 7 uses.
172. lose - 7 uses.
173. fate - 7 uses.
174. put - 7 uses.
175. sleep - 7 uses.
176. unknown - 7 uses.
177. dust - 7 uses.
178. believe - 7 uses.
179. show - 7 uses.
180. trouble - 7 uses.
181. friends - 7 uses.
182. knows - 7 uses.
183. city - 7 uses.
184. saw - 7 uses.
185. morning - 7 uses.
186. nights - 7 uses.
187. trees - 7 uses.
188. sure - 7 uses.
