Most used words by Lucero: 
Number of songs scanned: 126

1. back - 151 uses.
2. down - 149 uses.
3. home - 110 uses.
4. long - 99 uses.
5. girl - 98 uses.
6. night - 97 uses.
7. love - 94 uses.
8. good - 86 uses.
9. never - 83 uses.
10. let - 81 uses.
11. little - 80 uses.
12. tonight - 72 uses.
13. heart - 67 uses.
14. here - 67 uses.
15. take - 62 uses.
16. baby - 59 uses.
17. tell - 59 uses.
18. away - 58 uses.
19. gone - 57 uses.
20. right - 55 uses.
21. enough - 54 uses.
22. much - 53 uses.
23. those - 51 uses.
24. mine - 51 uses.
25. nights - 51 uses.
26. only - 50 uses.
27. need - 48 uses.
28. left - 47 uses.
29. might - 47 uses.
30. darling - 46 uses.
31. eyes - 45 uses.
32. drink - 44 uses.
33. em - 42 uses.
34. think - 42 uses.
35. alright - 42 uses.
36. always - 41 uses.
37. feel - 41 uses.
38. boys - 41 uses.
39. coming - 41 uses.
40. hold - 41 uses.
41. darlin - 40 uses.
42. another - 40 uses.
43. around - 39 uses.
44. days - 39 uses.
45. close - 38 uses.
46. please - 37 uses.
47. town - 36 uses.
48. again - 36 uses.
49. run - 36 uses.
50. hear - 36 uses.
51. going - 36 uses.
52. nothing - 35 uses.
53. road - 33 uses.
54. along - 33 uses.
55. thing - 32 uses.
56. lost - 32 uses.
57. leave - 32 uses.
58. young - 32 uses.
59. other - 31 uses.
60. hell - 31 uses.
61. done - 30 uses.
62. through - 30 uses.
63. sweet - 30 uses.
64. looking - 30 uses.
65. stay - 30 uses.
66. lord - 29 uses.
67. far - 29 uses.
68. keep - 29 uses.
69. else - 28 uses.
70. burn - 28 uses.
71. own - 27 uses.
72. alone - 27 uses.
73. lonesome - 27 uses.
74. things - 26 uses.
75. running - 26 uses.
76. boy - 26 uses.
77. fire - 26 uses.
78. before - 26 uses.
79. found - 26 uses.
80. wait - 25 uses.
81. kind - 25 uses.
82. hearts - 25 uses.
83. sea - 25 uses.
84. better - 25 uses.
85. flames - 25 uses.
86. late - 24 uses.
87. should - 24 uses.
88. streets - 24 uses.
89. last - 24 uses.
90. waiting - 24 uses.
91. lets - 24 uses.
92. walk - 23 uses.
93. door - 23 uses.
94. world - 22 uses.
95. times - 22 uses.
96. sometimes - 22 uses.
97. over - 22 uses.
98. same - 22 uses.
99. side - 22 uses.
100. fell - 21 uses.
101. sure - 21 uses.
102. kiss - 21 uses.
103. about - 21 uses.
104. sing - 21 uses.
105. lonely - 21 uses.
106. outside - 21 uses.
107. cold - 21 uses.
108. empty - 21 uses.
109. life - 21 uses.
110. tears - 20 uses.
111. matter - 20 uses.
112. name - 20 uses.
113. something - 20 uses.
114. pain - 20 uses.
115. texas - 20 uses.
116. wrong - 20 uses.
117. bar - 20 uses.
118. girls - 20 uses.
119. song - 20 uses.
120. pull - 20 uses.
121. tired - 19 uses.
122. wake - 19 uses.
123. dark - 19 uses.
124. old - 19 uses.
125. tennessee - 19 uses.
126. work - 19 uses.
127. while - 19 uses.
128. thought - 19 uses.
129. lips - 18 uses.
130. til - 18 uses.
131. songs - 18 uses.
132. every - 18 uses.
133. easy - 18 uses.
134. pretty - 18 uses.
135. show - 18 uses.
136. even - 18 uses.
137. since - 18 uses.
138. cover - 18 uses.
139. fall - 17 uses.
140. goodbye - 17 uses.
141. chance - 17 uses.
142. behind - 17 uses.
143. try - 17 uses.
144. car - 17 uses.
145. brighter - 17 uses.
146. sun - 17 uses.
147. hand - 17 uses.
148. watch - 16 uses.
149. saw - 16 uses.
150. end - 16 uses.
151. fast - 16 uses.
152. dance - 16 uses.
153. ground - 16 uses.
154. hey - 16 uses.
155. river - 16 uses.
156. sleep - 16 uses.
157. city - 16 uses.
158. save - 16 uses.
159. ever - 15 uses.
160. being - 15 uses.
161. kid - 15 uses.
162. smoke - 15 uses.
163. give - 15 uses.
164. yes - 15 uses.
165. went - 14 uses.
166. mean - 14 uses.
167. getting - 14 uses.
168. came - 14 uses.
169. true - 14 uses.
170. turn - 14 uses.
171. carry - 14 uses.
172. wish - 14 uses.
173. took - 14 uses.
174. wasting - 14 uses.
175. bad - 14 uses.
176. trouble - 14 uses.
177. downtown - 14 uses.
178. falling - 14 uses.
179. best - 14 uses.
180. voice - 14 uses.
181. isabelle - 14 uses.
182. maggie - 14 uses.
183. buy - 13 uses.
184. start - 13 uses.
185. drive - 13 uses.
186. sky - 13 uses.
187. slow - 13 uses.
188. tried - 13 uses.
189. says - 13 uses.
190. looks - 13 uses.
191. moon - 13 uses.
192. short - 13 uses.
193. gotta - 13 uses.
194. lose - 13 uses.
195. break - 13 uses.
196. felt - 12 uses.
197. everything - 12 uses.
198. looked - 12 uses.
199. cry - 12 uses.
200. whiskey - 12 uses.
201. couldnt - 12 uses.
202. yours - 12 uses.
203. ago - 12 uses.
204. care - 12 uses.
205. stars - 12 uses.
206. shot - 12 uses.
207. both - 12 uses.
208. beautiful - 12 uses.
209. seen - 12 uses.
210. anymore - 12 uses.
211. after - 12 uses.
212. rock - 12 uses.
213. fathers - 12 uses.
214. california - 12 uses.
215. cmon - 12 uses.
216. hang - 12 uses.
217. once - 11 uses.
218. change - 11 uses.
219. honey - 11 uses.
220. taking - 11 uses.
221. street - 11 uses.
222. damn - 11 uses.
223. shed - 11 uses.
224. any - 11 uses.
225. years - 11 uses.
226. first - 11 uses.
227. line - 11 uses.
228. light - 11 uses.
229. hundred - 11 uses.
230. called - 11 uses.
231. outrun - 11 uses.
232. put - 11 uses.
233. west - 11 uses.
234. across - 11 uses.
235. new - 11 uses.
236. rest - 11 uses.
237. weight - 11 uses.
238. stop - 11 uses.
239. apart - 11 uses.
240. blame - 11 uses.
241. words - 11 uses.
242. believe - 11 uses.
243. sad - 11 uses.
244. lights - 11 uses.
245. wave - 11 uses.
246. live - 10 uses.
247. luck - 10 uses.
248. asked - 10 uses.
249. blood - 10 uses.
250. broken - 10 uses.
251. bring - 10 uses.
252. next - 10 uses.
253. dear - 10 uses.
254. met - 10 uses.
255. dawn - 10 uses.
256. knew - 10 uses.
257. set - 10 uses.
258. seems - 10 uses.
259. women - 10 uses.
260. wife - 10 uses.
261. heard - 10 uses.
262. unknown - 10 uses.
263. knows - 10 uses.
264. fight - 10 uses.
265. myself - 10 uses.
266. though - 10 uses.
267. till - 10 uses.
268. loved - 10 uses.
269. play - 10 uses.
270. drinking - 10 uses.
271. somehow - 10 uses.
272. friend - 10 uses.
273. wasted - 10 uses.
274. nice - 9 uses.
275. star - 9 uses.
276. forget - 9 uses.
277. breath - 9 uses.
278. die - 9 uses.
279. round - 9 uses.
280. open - 9 uses.
281. bout - 9 uses.
282. hard - 9 uses.
283. lot - 9 uses.
284. jukebox - 9 uses.
285. fade - 9 uses.
286. lay - 9 uses.
287. plan - 9 uses.
288. wind - 9 uses.
289. truth - 9 uses.
290. fine - 9 uses.
291. maybe - 9 uses.
292. follow - 9 uses.
293. eat - 9 uses.
294. ghosts - 9 uses.
295. seem - 9 uses.
296. really - 9 uses.
297. juniper - 9 uses.
298. half - 9 uses.
299. bottom - 9 uses.
300. roads - 9 uses.
301. howl - 9 uses.
302. cross - 8 uses.
303. losing - 8 uses.
304. game - 8 uses.
305. rain - 8 uses.
306. mind - 8 uses.
307. god - 8 uses.
308. until - 8 uses.
309. doesnt - 8 uses.
310. supposed - 8 uses.
311. hide - 8 uses.
312. theyll - 8 uses.
313. miles - 8 uses.
314. past - 8 uses.
315. gold - 8 uses.
316. waves - 8 uses.
317. whats - 8 uses.
318. morning - 8 uses.
319. alive - 8 uses.
320. place - 8 uses.
321. wild - 8 uses.
322. mistakes - 8 uses.
323. three - 8 uses.
324. everyone - 8 uses.
325. yet - 8 uses.
326. wouldnt - 8 uses.
327. blue - 8 uses.
328. floor - 8 uses.
329. feet - 8 uses.
330. less - 8 uses.
331. clear - 8 uses.
332. saying - 8 uses.
333. mama - 8 uses.
334. wanted - 8 uses.
335. nobodys - 8 uses.
336. house - 8 uses.
337. roll - 8 uses.
338. marry - 8 uses.
339. fear - 8 uses.
340. miss - 8 uses.
341. oooh-hio - 8 uses.
342. ones - 7 uses.
343. dreams - 7 uses.
344. held - 7 uses.
345. quite - 7 uses.
346. wear - 7 uses.
347. such - 7 uses.
348. stand - 7 uses.
349. catch - 7 uses.
350. outta - 7 uses.
351. storm - 7 uses.
352. black - 7 uses.
353. fair - 7 uses.
354. wash - 7 uses.
355. drunk - 7 uses.
356. smile - 7 uses.
357. picture - 7 uses.
358. waitin - 7 uses.
359. must - 7 uses.
360. hair - 7 uses.
361. shut - 7 uses.
362. ride - 7 uses.
363. beer - 7 uses.
364. count - 7 uses.
365. mary - 7 uses.
366. kissed - 7 uses.
367. knife - 7 uses.
368. thinking - 7 uses.
369. between - 7 uses.
370. wasnt - 7 uses.
371. theyd - 7 uses.
372. changed - 7 uses.
373. neon - 7 uses.
374. shell - 7 uses.
375. big - 7 uses.
376. beauty - 7 uses.
377. soul - 7 uses.
378. cut - 7 uses.
379. friends - 7 uses.
380. sound - 7 uses.
381. rise - 7 uses.
382. someone - 7 uses.
383. hit - 7 uses.
384. hands - 7 uses.
385. kids - 7 uses.
386. remember - 7 uses.
387. distance - 7 uses.
388. skin - 7 uses.
389. band - 7 uses.
390. halfway - 7 uses.
391. low - 7 uses.
392. wolves - 7 uses.
393. mountain - 7 uses.
394. tattoos - 7 uses.
395. dream - 7 uses.
396. safe - 7 uses.
397. mess - 6 uses.
398. glass - 6 uses.
399. stood - 6 uses.
400. woods - 6 uses.
401. told - 6 uses.
402. pay - 6 uses.
403. bars - 6 uses.
404. momma - 6 uses.
405. train - 6 uses.
406. job - 6 uses.
407. help - 6 uses.
408. jack - 6 uses.
409. strong - 6 uses.
410. breaks - 6 uses.
411. whole - 6 uses.
412. chest - 6 uses.
413. watching - 6 uses.
414. takes - 6 uses.
415. anything - 6 uses.
416. teeth - 6 uses.
417. dogtown - 6 uses.
418. cannot - 6 uses.
419. ocean - 6 uses.
420. playing - 6 uses.
421. arms - 6 uses.
422. used - 6 uses.
423. slip - 6 uses.
424. working - 6 uses.
425. stuck - 6 uses.
426. spent - 6 uses.
427. comes - 6 uses.
428. married - 6 uses.
429. inside - 6 uses.
430. flame - 6 uses.
431. preacher - 6 uses.
432. carried - 6 uses.
433. longer - 6 uses.
434. killer - 6 uses.
435. barely - 6 uses.
436. ohhhh - 6 uses.
437. driving - 6 uses.
438. drank - 6 uses.
439. most - 6 uses.
440. willing - 6 uses.
441. southern - 6 uses.
442. orleans - 6 uses.
443. cards - 6 uses.
444. outlaws - 6 uses.
445. guitar - 6 uses.
446. early - 6 uses.
447. arkansas - 6 uses.
448. country - 6 uses.
449. prove - 6 uses.
450. crying - 6 uses.
451. memphis - 6 uses.
452. sounds - 6 uses.
453. head - 6 uses.
454. weak - 6 uses.
455. redemption - 6 uses.
456. benny - 6 uses.
457. gave - 5 uses.
458. talk - 5 uses.
459. breathless - 5 uses.
460. waters - 5 uses.
461. tomorrow - 5 uses.
462. dancing - 5 uses.
463. hurt - 5 uses.
464. makin - 5 uses.
465. runnin - 5 uses.
466. sitting - 5 uses.
467. gettin - 5 uses.
468. taste - 5 uses.
469. worn - 5 uses.
470. sit - 5 uses.
471. toast - 5 uses.
472. bone - 5 uses.
473. hed - 5 uses.
474. men - 5 uses.
475. doing - 5 uses.
476. knees - 5 uses.
477. score - 5 uses.
478. free - 5 uses.
479. headed - 5 uses.
480. wall - 5 uses.
481. move - 5 uses.
482. tracks - 5 uses.
483. fool - 5 uses.
484. burning - 5 uses.
485. bit - 5 uses.
486. against - 5 uses.
487. full - 5 uses.
488. face - 5 uses.
489. bound - 5 uses.
490. kept - 5 uses.
491. worse - 5 uses.
492. keeps - 5 uses.
493. soon - 5 uses.
494. grown - 5 uses.
495. restless - 5 uses.
496. bridge - 5 uses.
497. fault - 5 uses.
498. hanging - 5 uses.
499. broke - 5 uses.
500. gets - 5 uses.
501. six - 5 uses.
502. hungry - 5 uses.
503. born - 5 uses.
504. cigarettes - 5 uses.
505. white - 5 uses.
506. johnny - 5 uses.
507. ours - 5 uses.
508. living - 5 uses.
509. middle - 5 uses.
510. knocks - 5 uses.
511. woke - 5 uses.
512. babe - 5 uses.
513. aw - 5 uses.
514. guns - 5 uses.
515. guessing - 5 uses.
516. darlings - 5 uses.
517. sight - 5 uses.
518. probably - 5 uses.
519. hills - 5 uses.
520. goes - 5 uses.
521. brothers - 5 uses.
522. falls - 5 uses.
523. further - 5 uses.
524. boots - 5 uses.
525. because - 5 uses.
526. raised - 5 uses.
527. ditch - 5 uses.
528. write - 5 uses.
529. awful - 5 uses.
530. hearted - 5 uses.
531. turned - 5 uses.
532. hill - 5 uses.
533. kitchen - 5 uses.
534. sailing - 5 uses.
535. bennys - 5 uses.
536. kathys - 5 uses.
537. sinking - 5 uses.
538. above - 5 uses.
539. kerosene - 5 uses.
540. izzy - 5 uses.
541. tear - 5 uses.
542. starlite - 5 uses.
543. wine - 5 uses.
544. devil - 5 uses.
545. sign - 5 uses.
546. sewn - 5 uses.
547. raise - 4 uses.
548. silver - 4 uses.
549. lucky - 4 uses.
550. cried - 4 uses.
551. forever - 4 uses.
552. wonder - 4 uses.
553. nowhere - 4 uses.
554. moonlight - 4 uses.
555. none - 4 uses.
556. fought - 4 uses.
557. son - 4 uses.
558. sorry - 4 uses.
559. straight - 4 uses.
560. calling - 4 uses.
561. twenty - 4 uses.
562. lookin - 4 uses.
563. promise - 4 uses.
564. thrown - 4 uses.
565. mouth - 4 uses.
566. busted - 4 uses.
567. dying - 4 uses.
568. ashes - 4 uses.
569. whered - 4 uses.
570. tomorrows - 4 uses.
571. honkey - 4 uses.
572. tonk - 4 uses.
573. tomahawk - 4 uses.
574. ex - 4 uses.
575. worst - 4 uses.
576. win - 4 uses.
577. bike - 4 uses.
578. anyways - 4 uses.
579. fights - 4 uses.
580. freedom - 4 uses.
581. faster - 4 uses.
582. loud - 4 uses.
583. spoke - 4 uses.
