Most used words by  Lucy Dacus: 
Number of songs scanned: 37

1. love - 38 uses.
2. never - 33 uses.
3. mine - 33 uses.
4. back - 30 uses.
5. feel - 28 uses.
6. youve - 28 uses.
7. away - 26 uses.
8. let - 26 uses.
9. take - 23 uses.
10. lord - 23 uses.
11. going - 22 uses.
12. tell - 22 uses.
13. home - 21 uses.
14. nothing - 19 uses.
15. dog - 19 uses.
16. fire - 18 uses.
17. without - 18 uses.
18. last - 18 uses.
19. eyes - 17 uses.
20. wanna - 17 uses.
21. triple - 17 uses.
22. dare - 17 uses.
23. before - 17 uses.
24. looking - 17 uses.
25. dark - 17 uses.
26. blame - 16 uses.
27. down - 16 uses.
28. coming - 16 uses.
29. even - 15 uses.
30. over - 15 uses.
31. want - 15 uses.
32. thought - 15 uses.
33. life - 15 uses.
34. here - 14 uses.
35. face - 14 uses.
36. anymore - 14 uses.
37. gave - 14 uses.
38. heart - 14 uses.
39. again - 13 uses.
40. yours - 13 uses.
41. fool - 13 uses.
42. mind - 13 uses.
43. stay - 13 uses.
44. knew - 12 uses.
45. believe - 12 uses.
46. keep - 12 uses.
47. else - 12 uses.
48. same - 12 uses.
49. think - 12 uses.
50. good - 12 uses.
51. kind - 12 uses.
52. strange - 12 uses.
53. torpedo - 12 uses.
54. loose - 12 uses.
55. addictions - 12 uses.
56. give - 11 uses.
57. need - 11 uses.
58. doesnt - 11 uses.
59. youll - 11 uses.
60. please - 11 uses.
61. something - 11 uses.
62. waiting - 11 uses.
63. mother - 11 uses.
64. hand - 11 uses.
65. tonight - 11 uses.
66. air - 11 uses.
67. walk - 10 uses.
68. start - 10 uses.
69. world - 10 uses.
70. next - 10 uses.
71. id - 10 uses.
72. play - 10 uses.
73. well - 10 uses.
74. soul - 10 uses.
75. bed - 10 uses.
76. surely - 10 uses.
77. turning - 10 uses.
78. la - 10 uses.
79. used - 9 uses.
80. dancing - 9 uses.
81. youd - 9 uses.
82. night - 9 uses.
83. skin - 9 uses.
84. run - 9 uses.
85. told - 9 uses.
86. put - 9 uses.
87. where - 9 uses.
88. baby - 9 uses.
89. bad - 9 uses.
90. body - 9 uses.
91. weak - 9 uses.
92. everybody - 9 uses.
93. somebody - 9 uses.
94. wouldnt - 8 uses.
95. only - 8 uses.
96. open - 8 uses.
97. far - 8 uses.
98. long - 8 uses.
99. someone - 8 uses.
100. hell - 8 uses.
101. wrong - 8 uses.
102. true - 8 uses.
103. years - 8 uses.
104. year - 8 uses.
105. pillar - 8 uses.
106. truth - 8 uses.
107. dust - 8 uses.
108. care - 8 uses.
109. place - 7 uses.
110. always - 7 uses.
111. ever - 7 uses.
112. mean - 7 uses.
113. hard - 7 uses.
114. through - 7 uses.
115. girl - 7 uses.
116. lot - 7 uses.
117. hands - 7 uses.
118. trying - 7 uses.
119. live - 7 uses.
120. second - 7 uses.
121. leave - 7 uses.
122. around - 7 uses.
123. nobody - 7 uses.
124. admit - 7 uses.
125. past - 7 uses.
126. forget - 7 uses.
127. save - 7 uses.
128. remember - 7 uses.
129. every - 7 uses.
130. christmas - 7 uses.
131. sight - 7 uses.
132. vie - 7 uses.
133. en - 7 uses.
134. moment - 7 uses.
135. hot - 6 uses.
136. wanted - 6 uses.
137. try - 6 uses.
138. hold - 6 uses.
139. sit - 6 uses.
140. red - 6 uses.
141. feeling - 6 uses.
142. tired - 6 uses.
143. end - 6 uses.
144. sure - 6 uses.
145. saw - 6 uses.
146. understand - 6 uses.
147. meet - 6 uses.
148. name - 6 uses.
149. reason - 6 uses.
150. full - 6 uses.
151. wasnt - 6 uses.
152. new - 6 uses.
153. forever - 6 uses.
154. gone - 6 uses.
155. words - 6 uses.
156. shell - 6 uses.
157. very - 6 uses.
158. tears - 6 uses.
159. special - 6 uses.
160. anybody - 6 uses.
161. complete - 6 uses.
162. lit - 6 uses.
163. rose - 6 uses.
164. couldnt - 5 uses.
165. best - 5 uses.
166. own - 5 uses.
167. wide - 5 uses.
168. show - 5 uses.
169. funny - 5 uses.
170. maybe - 5 uses.
171. done - 5 uses.
172. old - 5 uses.
173. yet - 5 uses.
174. still - 5 uses.
175. kid - 5 uses.
176. thinking - 5 uses.
177. after - 5 uses.
178. door - 5 uses.
179. die - 5 uses.
180. kiss - 5 uses.
181. right - 5 uses.
182. house - 5 uses.
183. light - 5 uses.
184. thing - 5 uses.
185. deep - 5 uses.
186. feet - 5 uses.
187. tried - 5 uses.
188. fun - 5 uses.
189. above - 5 uses.
190. keeps - 5 uses.
191. comes - 5 uses.
192. lips - 5 uses.
193. gold - 5 uses.
194. theres - 5 uses.
195. looks - 5 uses.
196. help - 5 uses.
197. falling - 5 uses.
198. talk - 5 uses.
199. kill - 5 uses.
200. hope - 5 uses.
201. inside - 5 uses.
202. young - 5 uses.
203. il - 5 uses.
204. makes - 4 uses.
205. blood - 4 uses.
206. heavy - 4 uses.
207. brain - 4 uses.
208. crowded - 4 uses.
209. street - 4 uses.
210. until - 4 uses.
211. enough - 4 uses.
212. myself - 4 uses.
213. better - 4 uses.
214. moon - 4 uses.
215. side - 4 uses.
216. hurt - 4 uses.
217. clothes - 4 uses.
218. read - 4 uses.
219. smile - 4 uses.
220. asked - 4 uses.
221. five - 4 uses.
222. afraid - 4 uses.
223. fight - 4 uses.
224. happen - 4 uses.
225. breath - 4 uses.
226. gonna - 4 uses.
227. morning - 4 uses.
228. stars - 4 uses.
229. holding - 4 uses.
230. round - 4 uses.
231. solid - 4 uses.
232. alone - 4 uses.
233. send - 4 uses.
234. close - 4 uses.
235. two - 4 uses.
236. since - 4 uses.
237. wall - 4 uses.
238. hair - 4 uses.
239. grow - 4 uses.
240. empty - 4 uses.
241. won - 4 uses.
242. plan - 4 uses.
243. taught - 4 uses.
244. god - 4 uses.
245. darker - 4 uses.
246. dad - 4 uses.
247. born - 4 uses.
248. town - 4 uses.
249. little - 4 uses.
250. owe - 4 uses.
251. theyve - 4 uses.
252. figured - 4 uses.
253. evil - 4 uses.
254. flag - 4 uses.
255. fly - 4 uses.
256. half - 4 uses.
257. mast - 4 uses.
258. black - 4 uses.
259. guns - 4 uses.
260. hire - 4 uses.
261. change - 4 uses.
262. future - 4 uses.
263. felt - 4 uses.
264. worth - 4 uses.
265. imagine - 4 uses.
266. stop - 4 uses.
267. much - 4 uses.
268. fall - 4 uses.
269. smiling - 4 uses.
270. under - 4 uses.
271. pain - 4 uses.
272. ooh - 4 uses.
273. covers - 4 uses.
274. anything - 4 uses.
275. head - 4 uses.
276. hit - 4 uses.
277. peace - 4 uses.
278. death - 4 uses.
279. whatd - 4 uses.
280. weve - 4 uses.
281. je - 4 uses.
282. songs - 4 uses.
283. lose - 4 uses.
284. parents - 3 uses.
285. sweet - 3 uses.
286. though - 3 uses.
287. went - 3 uses.
288. trust - 3 uses.
289. most - 3 uses.
290. wild - 3 uses.
