Most used words by MUNA: 
Number of songs scanned: 37

1. love - 65 uses.
2. down - 51 uses.
3. think - 49 uses.
4. ya-ya - 48 uses.
5. about - 45 uses.
6. stay - 41 uses.
7. lay - 40 uses.
8. give - 39 uses.
9. weapon - 37 uses.
10. taking - 36 uses.
11. baby - 33 uses.
12. home - 33 uses.
13. right - 32 uses.
14. never - 32 uses.
15. okay - 31 uses.
16. tonight - 30 uses.
17. feel - 30 uses.
18. away - 28 uses.
19. always - 27 uses.
20. feels - 26 uses.
21. sweet - 26 uses.
22. number - 26 uses.
23. even - 24 uses.
24. ay-ay - 24 uses.
25. life - 22 uses.
26. tell - 22 uses.
27. need - 22 uses.
28. sun - 22 uses.
29. here - 21 uses.
30. again - 21 uses.
31. hands - 21 uses.
32. touch - 20 uses.
33. try - 20 uses.
34. place - 20 uses.
35. good - 19 uses.
36. keep - 19 uses.
37. better - 17 uses.
38. last - 17 uses.
39. guess - 17 uses.
40. feeling - 16 uses.
41. leave - 16 uses.
42. end - 16 uses.
43. should - 16 uses.
44. move - 16 uses.
45. something - 15 uses.
46. let - 15 uses.
47. ooh - 15 uses.
48. ya - 15 uses.
49. alright - 15 uses.
50. everyone - 15 uses.
51. maybe - 14 uses.
52. hold - 14 uses.
53. basement - 14 uses.
54. body - 14 uses.
55. everythings - 14 uses.
56. girl - 13 uses.
57. hurt - 13 uses.
58. ask - 13 uses.
59. mind - 13 uses.
60. wait - 13 uses.
61. nothing - 13 uses.
62. afraid - 13 uses.
63. thinking - 12 uses.
64. promise - 12 uses.
65. heart - 12 uses.
66. desire - 12 uses.
67. hard - 12 uses.
68. back - 12 uses.
69. everything - 12 uses.
70. light - 12 uses.
71. blue - 12 uses.
72. gotta - 12 uses.
73. silk - 12 uses.
74. fan - 12 uses.
75. alone - 11 uses.
76. ever - 11 uses.
77. around - 11 uses.
78. really - 11 uses.
79. long - 11 uses.
80. myself - 11 uses.
81. lot - 11 uses.
82. wanted - 11 uses.
83. chiffon - 11 uses.
84. told - 10 uses.
85. thought - 10 uses.
86. both - 10 uses.
87. singing - 10 uses.
88. god - 10 uses.
89. free - 10 uses.
90. another - 10 uses.
91. bodies - 10 uses.
92. easy - 10 uses.
93. moon - 10 uses.
94. matters - 10 uses.
95. being - 10 uses.
96. trust - 10 uses.
97. loudspeaker - 10 uses.
98. put - 9 uses.
99. left - 9 uses.
100. things - 9 uses.
101. turn - 9 uses.
102. bad - 9 uses.
103. start - 9 uses.
104. crying - 9 uses.
105. high - 9 uses.
106. head - 9 uses.
107. seen - 9 uses.
108. inside - 9 uses.
109. dark - 9 uses.
110. telling - 9 uses.
111. somebody - 9 uses.
112. pull - 9 uses.
113. navy - 9 uses.
114. watch - 9 uses.
115. kill - 9 uses.
116. nihilist - 9 uses.
117. wouldnt - 9 uses.
118. fun - 9 uses.
119. dancing - 9 uses.
120. leaving - 8 uses.
121. thing - 8 uses.
122. must - 8 uses.
123. trying - 8 uses.
124. lies - 8 uses.
125. soft - 8 uses.
126. side - 8 uses.
127. false - 8 uses.
128. believe - 8 uses.
129. whole - 8 uses.
130. over - 8 uses.
131. happened - 8 uses.
132. sound - 8 uses.
133. i- - 8 uses.
134. happen - 8 uses.
135. moved - 8 uses.
136. lifes - 8 uses.
137. take - 7 uses.
138. bed - 7 uses.
139. break - 7 uses.
140. little - 7 uses.
