Most used words by Macdonald, Amy: 
Number of songs scanned: 73

1. love - 114 uses.
2. down - 109 uses.
3. never - 103 uses.
4. again - 96 uses.
5. world - 84 uses.
6. life - 79 uses.
7. back - 75 uses.
8. feel - 74 uses.
9. fall - 65 uses.
10. heart - 59 uses.
11. away - 59 uses.
12. right - 56 uses.
13. wish - 53 uses.
14. always - 53 uses.
15. something - 52 uses.
16. here - 50 uses.
17. long - 45 uses.
18. nothing - 44 uses.
19. fire - 44 uses.
20. start - 43 uses.
21. through - 41 uses.
22. dream - 38 uses.
23. home - 37 uses.
24. place - 37 uses.
25. top - 37 uses.
26. take - 36 uses.
27. waiting - 36 uses.
28. before - 36 uses.
29. tell - 36 uses.
30. far - 35 uses.
31. only - 34 uses.
32. stars - 34 uses.
33. matter - 34 uses.
34. every - 34 uses.
35. looking - 34 uses.
36. everything - 33 uses.
37. change - 33 uses.
38. eyes - 33 uses.
39. meet - 33 uses.
40. about - 33 uses.
41. rise - 33 uses.
42. ever - 32 uses.
43. face - 32 uses.
44. night - 32 uses.
45. alone - 32 uses.
46. end - 30 uses.
47. road - 29 uses.
48. living - 29 uses.
49. until - 29 uses.
50. young - 28 uses.
51. water - 28 uses.
52. together - 28 uses.
53. over - 27 uses.
54. live - 27 uses.
55. light - 27 uses.
56. song - 27 uses.
57. hold - 27 uses.
58. give - 27 uses.
59. free - 26 uses.
60. round - 25 uses.
61. true - 25 uses.
62. smile - 25 uses.
63. much - 25 uses.
64. running - 24 uses.
65. dreams - 24 uses.
66. believe - 24 uses.
67. head - 24 uses.
68. let - 24 uses.
69. united - 24 uses.
70. automatic - 23 uses.
71. set - 23 uses.
72. lost - 23 uses.
73. same - 22 uses.
74. left - 22 uses.
75. around - 22 uses.
76. run - 22 uses.
77. better - 22 uses.
78. knew - 22 uses.
79. old - 21 uses.
80. feeling - 21 uses.
81. tonight - 21 uses.
82. care - 21 uses.
83. under - 21 uses.
84. standing - 21 uses.
85. times - 21 uses.
86. sky - 20 uses.
87. game - 20 uses.
88. think - 20 uses.
89. stop - 19 uses.
90. tried - 19 uses.
91. while - 19 uses.
92. wrong - 19 uses.
93. years - 18 uses.
94. high - 18 uses.
95. happy - 18 uses.
96. yes - 18 uses.
97. please - 18 uses.
98. need - 17 uses.
99. trying - 17 uses.
100. dark - 17 uses.
101. wind - 16 uses.
102. sun - 16 uses.
103. rain - 16 uses.
104. ground - 16 uses.
105. gone - 16 uses.
106. gotta - 16 uses.
107. track - 16 uses.
108. songs - 16 uses.
109. used - 16 uses.
110. days - 16 uses.
111. good - 16 uses.
112. soul - 15 uses.
113. dreaming - 15 uses.
114. girl - 15 uses.
115. moving - 15 uses.
116. mine - 15 uses.
117. lets - 15 uses.
118. little - 15 uses.
119. things - 15 uses.
120. keep - 15 uses.
121. side - 15 uses.
122. hair - 15 uses.
123. stay - 15 uses.
124. last - 15 uses.
125. singing - 15 uses.
126. happened - 15 uses.
127. seen - 15 uses.
128. flying - 14 uses.
129. anymore - 14 uses.
130. apart - 14 uses.
131. someone - 14 uses.
132. nothings - 14 uses.
133. wait - 14 uses.
134. hear - 14 uses.
135. blue - 14 uses.
136. people - 14 uses.
137. hey - 14 uses.
138. baby - 14 uses.
139. feed - 14 uses.
140. coming - 13 uses.
141. lights - 13 uses.
142. fade - 13 uses.
143. stand - 13 uses.
144. mind - 13 uses.
145. air - 13 uses.
146. spark - 13 uses.
147. prepare - 13 uses.
148. thought - 13 uses.
149. theyll - 13 uses.
150. myself - 12 uses.
151. goodbye - 12 uses.
152. friend - 12 uses.
153. turn - 12 uses.
154. very - 12 uses.
155. shine - 12 uses.
156. soon - 12 uses.
157. feet - 12 uses.
158. worry - 12 uses.
159. even - 12 uses.
160. crazy - 12 uses.
161. without - 12 uses.
162. slow - 12 uses.
163. street - 12 uses.
164. summer - 12 uses.
165. tears - 11 uses.
166. listen - 11 uses.
167. across - 11 uses.
168. friends - 11 uses.
169. getting - 11 uses.
170. anything - 11 uses.
171. single - 11 uses.
172. cast - 11 uses.
173. strong - 11 uses.
174. christmas - 11 uses.
175. along - 11 uses.
176. guess - 11 uses.
177. shining - 11 uses.
178. flame - 11 uses.
179. low - 11 uses.
180. ready - 10 uses.
181. floor - 10 uses.
182. bring - 10 uses.
183. sing - 10 uses.
184. feels - 10 uses.
185. behind - 10 uses.
186. telling - 10 uses.
187. miles - 10 uses.
188. stone - 10 uses.
189. thinking - 10 uses.
190. lives - 10 uses.
191. try - 10 uses.
192. edge - 10 uses.
193. remember - 10 uses.
194. new - 10 uses.
195. born - 10 uses.
196. wanted - 10 uses.
197. sleep - 10 uses.
198. beautiful - 10 uses.
199. skin - 10 uses.
200. desire - 10 uses.
201. okay - 10 uses.
202. power - 10 uses.
203. else - 9 uses.
204. came - 9 uses.
205. roll - 9 uses.
206. ooh - 9 uses.
207. late - 9 uses.
208. takes - 9 uses.
209. today - 9 uses.
210. gave - 9 uses.
211. fly - 9 uses.
212. move - 9 uses.
213. fame - 9 uses.
214. nobody - 9 uses.
215. burning - 9 uses.
216. moment - 9 uses.
217. pain - 9 uses.
218. morning - 9 uses.
219. ten - 9 uses.
220. caught - 9 uses.
