Most used words by Mallrat: 
Number of songs scanned: 19

1. think - 48 uses.
2. about - 41 uses.
3. home - 41 uses.
4. stay - 40 uses.
5. ya - 35 uses.
6. hate - 34 uses.
7. list - 32 uses.
8. around - 30 uses.
9. round - 29 uses.
10. real - 29 uses.
11. everyone - 28 uses.
12. maybe - 27 uses.
13. drive - 26 uses.
14. bet - 24 uses.
15. same - 24 uses.
16. smile - 23 uses.
17. circles - 22 uses.
18. hope - 21 uses.
19. songs - 21 uses.
20. wears - 21 uses.
21. sunglasses - 21 uses.
22. take - 20 uses.
23. getting - 20 uses.
24. better - 20 uses.
25. sing - 20 uses.
26. love - 18 uses.
27. wait - 18 uses.
28. never - 17 uses.
29. laughing - 17 uses.
30. always - 16 uses.
31. running - 16 uses.
32. nobodys - 16 uses.
33. nothing - 15 uses.
34. play - 15 uses.
35. bit - 14 uses.
36. hearts - 14 uses.
37. coffee - 14 uses.
38. wrong - 13 uses.
39. alright - 13 uses.
40. feel - 13 uses.
41. sit - 13 uses.
42. close - 13 uses.
43. room - 13 uses.
44. dark - 12 uses.
45. mind - 12 uses.
46. forget - 12 uses.
47. glasses - 12 uses.
48. big - 12 uses.
49. give - 12 uses.
50. gimme - 12 uses.
51. old - 12 uses.
52. might - 12 uses.
53. really - 11 uses.
54. late - 11 uses.
55. wish - 11 uses.
56. high - 11 uses.
57. sky - 11 uses.
58. cold - 11 uses.
59. floor - 11 uses.
60. keep - 10 uses.
61. try - 10 uses.
62. missing - 10 uses.
63. tired - 10 uses.
64. even - 10 uses.
65. bus - 10 uses.
66. things - 10 uses.
67. inside - 10 uses.
68. texas - 10 uses.
69. glass - 10 uses.
70. lying - 10 uses.
71. kitchen - 10 uses.
72. feeling - 9 uses.
73. heart - 9 uses.
74. put - 9 uses.
75. should - 9 uses.
76. angel - 9 uses.
77. ufos - 9 uses.
78. mistake - 9 uses.
79. ask - 8 uses.
80. white - 8 uses.
81. fine - 8 uses.
82. long - 8 uses.
83. back - 8 uses.
84. monday - 8 uses.
85. silence - 8 uses.
86. away - 8 uses.
87. friends - 8 uses.
88. groceries - 8 uses.
89. supposed - 8 uses.
90. table - 8 uses.
91. pour - 8 uses.
92. wrist - 8 uses.
93. forever - 8 uses.
94. warm - 8 uses.
95. seat - 8 uses.
96. something - 7 uses.
97. dress - 7 uses.
98. fight - 7 uses.
99. right - 7 uses.
100. told - 7 uses.
101. couldnt - 7 uses.
102. let - 7 uses.
103. dreams - 7 uses.
104. trying - 7 uses.
105. run - 7 uses.
106. boy - 7 uses.
107. safe - 6 uses.
108. guide - 6 uses.
109. faith - 6 uses.
110. remember - 6 uses.
111. circus - 6 uses.
112. jumping - 6 uses.
113. through - 6 uses.
114. setting - 6 uses.
115. fire - 6 uses.
116. best - 6 uses.
117. much - 6 uses.
118. drift - 6 uses.
119. write - 6 uses.
120. need - 6 uses.
121. alone - 6 uses.
122. loud - 6 uses.
123. miss - 6 uses.
124. familiar - 6 uses.
125. runs - 6 uses.
126. tried - 6 uses.
127. pray - 6 uses.
128. again - 6 uses.
129. shouldnt - 6 uses.
130. empty - 6 uses.
131. rain - 6 uses.
132. tell - 5 uses.
133. leave - 5 uses.
134. thing - 5 uses.
135. doesnt - 5 uses.
136. rockstar - 5 uses.
137. sun - 5 uses.
138. ever - 5 uses.
139. everythings - 5 uses.
140. basket - 5 uses.
141. name - 5 uses.
142. everyones - 5 uses.
143. looking - 5 uses.
144. hurt - 5 uses.
145. eyes - 5 uses.
146. little - 5 uses.
147. side - 5 uses.
148. nice - 5 uses.
149. promise - 5 uses.
150. hide - 5 uses.
151. breakfast - 5 uses.
152. awake - 5 uses.
153. asleep - 5 uses.
154. living - 5 uses.
155. die - 5 uses.
156. outside - 5 uses.
157. dance - 5 uses.
158. heard - 5 uses.
159. next - 5 uses.
160. place - 5 uses.
161. falling - 5 uses.
162. started - 5 uses.
163. toothless - 5 uses.
164. excuses - 5 uses.
165. excited - 5 uses.
166. uninvited - 5 uses.
167. amazing - 5 uses.
168. car - 5 uses.
169. only - 4 uses.
170. talk - 4 uses.
171. lets - 4 uses.
172. days - 4 uses.
173. meet - 4 uses.
174. anymore - 4 uses.
175. older - 4 uses.
176. dye - 4 uses.
177. cut - 4 uses.
178. script - 4 uses.
179. plastic - 4 uses.
180. talks - 4 uses.
181. nicely - 4 uses.
182. invite - 4 uses.
183. quiet - 4 uses.
184. someone - 4 uses.
185. beside - 4 uses.
186. anything - 4 uses.
187. alive - 4 uses.
188. summer - 4 uses.
189. ends - 4 uses.
190. sweet - 4 uses.
191. night - 4 uses.
192. down - 4 uses.
193. baby - 4 uses.
194. live - 4 uses.
195. sleep - 4 uses.
196. sign - 4 uses.
197. lots - 4 uses.
198. believe - 4 uses.
199. myself - 4 uses.
200. window - 4 uses.
201. smiles - 4 uses.
202. stand - 4 uses.
203. start - 4 uses.
204. fall - 4 uses.
205. married - 4 uses.
206. won - 4 uses.
207. grammys - 4 uses.
208. own - 4 uses.
209. family - 4 uses.
210. cups - 4 uses.
211. tea - 4 uses.
212. charlie - 4 uses.
213. roads - 4 uses.
214. plenty - 4 uses.
215. sports - 4 uses.
216. blah - 4 uses.
217. less - 4 uses.
