Most used words by Mannequin Pussy: 
Number of songs scanned: 35

1. tell - 22 uses.
2. feel - 20 uses.
3. eyes - 20 uses.
4. darling - 17 uses.
5. down - 16 uses.
6. always - 15 uses.
7. need - 15 uses.
8. myself - 15 uses.
9. feeling - 13 uses.
10. gotta - 13 uses.
11. never - 12 uses.
12. lie - 12 uses.
13. everyone - 12 uses.
14. baby - 11 uses.
15. everything - 11 uses.
16. waiting - 11 uses.
17. think - 10 uses.
18. away - 10 uses.
19. nice - 10 uses.
20. love - 10 uses.
21. blood - 10 uses.
22. around - 10 uses.
23. fine - 10 uses.
24. somethings - 10 uses.
25. take - 9 uses.
26. again - 9 uses.
27. getting - 9 uses.
28. better - 9 uses.
29. spit - 9 uses.
30. alone - 9 uses.
31. hell - 9 uses.
32. defend - 9 uses.
33. yourself - 8 uses.
34. nothing - 8 uses.
35. wanted - 8 uses.
36. here - 7 uses.
37. perfect - 7 uses.
38. much - 7 uses.
39. living - 7 uses.
40. standing - 7 uses.
41. gates - 7 uses.
42. over - 6 uses.
43. kind - 6 uses.
44. close - 6 uses.
45. walking - 6 uses.
46. body - 6 uses.
47. whats - 6 uses.
48. give - 6 uses.
49. sleep - 6 uses.
50. back - 6 uses.
51. says - 6 uses.
52. rather - 6 uses.
53. shines - 6 uses.
54. talk - 5 uses.
55. heart - 5 uses.
56. friend - 5 uses.
57. drink - 5 uses.
58. kiss - 5 uses.
59. burn - 5 uses.
60. about - 5 uses.
61. night - 5 uses.
62. really - 5 uses.
63. patience - 5 uses.
64. skin - 5 uses.
65. change - 5 uses.
66. inside - 5 uses.
67. took - 5 uses.
68. ones - 5 uses.
69. anyone - 5 uses.
70. try - 5 uses.
71. knows - 5 uses.
72. high - 4 uses.
73. dance - 4 uses.
74. bad - 4 uses.
75. lets - 4 uses.
76. starting - 4 uses.
77. let - 4 uses.
78. beside - 4 uses.
79. best - 4 uses.
80. face - 4 uses.
81. deeply - 4 uses.
82. put - 4 uses.
83. stop - 4 uses.
84. every - 4 uses.
85. else - 4 uses.
86. beg - 4 uses.
87. till - 4 uses.
88. meant - 4 uses.
89. lose - 4 uses.
90. words - 4 uses.
91. fucked - 4 uses.
92. needed - 4 uses.
93. decide - 4 uses.
94. life - 4 uses.
95. wants - 4 uses.
96. money - 4 uses.
97. little - 4 uses.
98. anything - 4 uses.
99. missy - 4 uses.
100. half - 4 uses.
101. pitcher - 4 uses.
102. drown - 4 uses.
103. answer - 4 uses.
104. those - 4 uses.
105. lonely - 4 uses.
106. side - 3 uses.
107. walk - 3 uses.
108. scum - 3 uses.
109. last - 3 uses.
110. wrong - 3 uses.
111. agree - 3 uses.
112. times - 3 uses.
113. start - 3 uses.
114. keeps - 3 uses.
115. through - 3 uses.
116. fuck - 3 uses.
117. ow - 3 uses.
118. holding - 3 uses.
119. light - 3 uses.
120. sure - 3 uses.
121. before - 3 uses.
122. beauty - 3 uses.
123. does - 3 uses.
124. pick - 3 uses.
125. next - 3 uses.
126. head - 3 uses.
127. regret - 3 uses.
128. unlearn - 3 uses.
129. keep - 3 uses.
130. girl - 3 uses.
131. home - 3 uses.
132. breathe - 3 uses.
133. lost - 3 uses.
134. right - 3 uses.
135. fear - 3 uses.
136. screaming - 3 uses.
