Most used words by Mayday Parade: 
Number of songs scanned: 112

1. down - 166 uses.
2. love - 162 uses.
3. never - 126 uses.
4. away - 121 uses.
5. back - 108 uses.
6. over - 107 uses.
7. tell - 99 uses.
8. take - 99 uses.
9. let - 97 uses.
10. again - 96 uses.
11. heart - 92 uses.
12. hold - 87 uses.
13. every - 86 uses.
14. here - 85 uses.
15. keep - 82 uses.
16. think - 78 uses.
17. everything - 70 uses.
18. right - 69 uses.
19. home - 68 uses.
20. stay - 65 uses.
21. sing - 61 uses.
22. things - 57 uses.
23. alone - 57 uses.
24. long - 57 uses.
25. head - 55 uses.
26. need - 54 uses.
27. hope - 52 uses.
28. night - 52 uses.
29. always - 52 uses.
30. please - 50 uses.
31. give - 49 uses.
32. only - 48 uses.
33. nothing - 46 uses.
34. something - 46 uses.
35. ever - 46 uses.
36. feel - 46 uses.
37. left - 45 uses.
38. about - 45 uses.
39. through - 44 uses.
40. until - 42 uses.
41. enough - 42 uses.
42. lets - 42 uses.
43. fall - 41 uses.
44. sleep - 40 uses.
45. youd - 40 uses.
46. told - 40 uses.
47. around - 40 uses.
48. tonight - 40 uses.
49. little - 40 uses.
50. place - 39 uses.
51. world - 38 uses.
52. song - 38 uses.
53. broken - 38 uses.
54. save - 38 uses.
55. believe - 37 uses.
56. forget - 37 uses.
57. lost - 37 uses.
58. days - 36 uses.
59. last - 35 uses.
60. leave - 35 uses.
61. gone - 34 uses.
62. words - 34 uses.
63. far - 34 uses.
64. bad - 34 uses.
65. baby - 33 uses.
66. friends - 33 uses.
67. sorry - 32 uses.
68. without - 32 uses.
69. burn - 32 uses.
70. before - 31 uses.
71. promise - 31 uses.
72. inside - 30 uses.
73. reason - 30 uses.
74. side - 30 uses.
75. myself - 29 uses.
76. might - 29 uses.
77. mine - 29 uses.
78. while - 28 uses.
79. try - 28 uses.
80. help - 28 uses.
81. anything - 28 uses.
82. together - 28 uses.
83. lonely - 28 uses.
84. found - 28 uses.
85. first - 28 uses.
86. name - 27 uses.
87. life - 27 uses.
88. coming - 27 uses.
89. whoa - 27 uses.
90. good - 26 uses.
91. wrong - 26 uses.
92. someone - 26 uses.
93. after - 25 uses.
94. forever - 25 uses.
95. even - 25 uses.
96. wanted - 25 uses.
97. room - 25 uses.
98. girl - 24 uses.
99. kiss - 24 uses.
100. same - 24 uses.
101. seems - 24 uses.
102. new - 24 uses.
103. apart - 24 uses.
104. hand - 24 uses.
105. much - 23 uses.
106. fade - 23 uses.
107. start - 23 uses.
108. thing - 23 uses.
109. somebody - 23 uses.
110. remember - 23 uses.
111. soon - 23 uses.
112. care - 23 uses.
113. fine - 23 uses.
114. wait - 23 uses.
115. used - 22 uses.
116. bring - 22 uses.
117. boy - 22 uses.
118. easy - 22 uses.
119. swear - 22 uses.
120. means - 22 uses.
121. turn - 22 uses.
122. maybe - 22 uses.
123. really - 22 uses.
124. thought - 22 uses.
125. along - 22 uses.
126. hoping - 21 uses.
127. fire - 21 uses.
128. another - 21 uses.
129. hearts - 21 uses.
130. whats - 21 uses.
131. god - 21 uses.
132. lie - 21 uses.
133. die - 21 uses.
134. because - 21 uses.
135. singing - 20 uses.
136. breathe - 20 uses.
137. hear - 20 uses.
138. afraid - 20 uses.
139. moment - 20 uses.
140. hard - 20 uses.
141. getting - 20 uses.
142. slowly - 20 uses.
143. scared - 20 uses.
144. worth - 20 uses.
145. break - 20 uses.
146. knows - 20 uses.
147. eyes - 19 uses.
148. onto - 19 uses.
149. mind - 19 uses.
150. show - 19 uses.
151. walk - 19 uses.
152. miss - 19 uses.
153. knew - 19 uses.
154. dream - 19 uses.
155. til - 19 uses.
156. run - 19 uses.
157. songs - 18 uses.
158. dreams - 18 uses.
159. watch - 18 uses.
160. stars - 18 uses.
161. whisper - 18 uses.
162. going - 18 uses.
163. wish - 18 uses.
164. better - 18 uses.
165. speak - 18 uses.
166. write - 18 uses.
167. trying - 18 uses.
168. live - 18 uses.
169. fell - 18 uses.
170. happy - 17 uses.
171. missed - 17 uses.
172. yourself - 17 uses.
173. cut - 17 uses.
174. best - 17 uses.
175. makes - 17 uses.
176. put - 17 uses.
177. times - 17 uses.
178. guess - 17 uses.
179. cloud - 17 uses.
180. closer - 17 uses.
181. summer - 17 uses.
182. play - 17 uses.
183. black - 17 uses.
184. sound - 16 uses.
185. stand - 16 uses.
186. fight - 16 uses.
187. hurts - 16 uses.
188. keeps - 16 uses.
189. says - 16 uses.
190. fast - 16 uses.
191. touch - 16 uses.
192. waiting - 16 uses.
193. ha - 16 uses.
194. talk - 16 uses.
195. should - 16 uses.
196. voice - 16 uses.
197. mean - 16 uses.
198. memory - 16 uses.
199. feeling - 16 uses.
200. today - 16 uses.
201. gets - 16 uses.
202. ah - 16 uses.
203. meant - 16 uses.
204. other - 16 uses.
205. screaming - 15 uses.
206. shell - 15 uses.
207. whole - 15 uses.
208. drive - 15 uses.
209. least - 15 uses.
210. coast - 15 uses.
211. ask - 15 uses.
212. full - 15 uses.
213. does - 15 uses.
214. secret - 15 uses.
215. both - 15 uses.
216. ones - 15 uses.
217. letting - 15 uses.
218. burning - 15 uses.
219. tear - 15 uses.
220. move - 15 uses.
221. any - 15 uses.
222. breathing - 15 uses.
223. pieces - 15 uses.
224. face - 15 uses.
225. hollow - 15 uses.
226. fly - 14 uses.
227. pain - 14 uses.
228. mistakes - 14 uses.
229. change - 14 uses.
230. line - 14 uses.
231. ears - 14 uses.
232. those - 14 uses.
