Most used words by  Microwave: 
Number of songs scanned: 41

1. god - 32 uses.
2. never - 32 uses.
3. want - 32 uses.
4. really - 29 uses.
5. right - 29 uses.
6. back - 27 uses.
7. love - 25 uses.
8. down - 24 uses.
9. things - 24 uses.
10. give - 19 uses.
11. still - 19 uses.
12. night - 19 uses.
13. here - 18 uses.
14. theres - 18 uses.
15. ever - 17 uses.
16. keep - 17 uses.
17. friends - 15 uses.
18. leave - 15 uses.
19. last - 15 uses.
20. hate - 14 uses.
21. life - 14 uses.
22. only - 14 uses.
23. take - 14 uses.
24. again - 14 uses.
25. old - 14 uses.
26. hope - 14 uses.
27. youve - 14 uses.
28. shit - 13 uses.
29. inside - 13 uses.
30. nothing - 13 uses.
31. home - 13 uses.
32. georgia - 13 uses.
33. years - 12 uses.
34. think - 12 uses.
35. need - 12 uses.
36. everything - 12 uses.
37. where - 12 uses.
38. probably - 12 uses.
39. something - 12 uses.
40. stay - 12 uses.
41. let - 11 uses.
42. used - 11 uses.
43. same - 11 uses.
44. hard - 11 uses.
45. few - 11 uses.
46. car - 11 uses.
47. feel - 11 uses.
48. every - 11 uses.
49. mind - 10 uses.
50. wanted - 10 uses.
51. away - 10 uses.
52. guess - 10 uses.
53. id - 10 uses.
54. wrong - 10 uses.
55. spent - 10 uses.
56. through - 10 uses.
57. sick - 10 uses.
58. blood - 9 uses.
59. youll - 9 uses.
60. even - 9 uses.
61. found - 9 uses.
62. face - 9 uses.
63. watch - 9 uses.
64. broke - 9 uses.
65. because - 9 uses.
66. around - 9 uses.
67. while - 9 uses.
68. myself - 8 uses.
69. bed - 8 uses.
70. two - 8 uses.
71. forget - 8 uses.
72. yourself - 8 uses.
73. changed - 8 uses.
74. took - 8 uses.
75. long - 8 uses.
76. left - 8 uses.
77. always - 8 uses.
78. arms - 8 uses.
79. stop - 8 uses.
80. don’t - 8 uses.
81. loose - 8 uses.
82. calling - 8 uses.
83. anything - 8 uses.
84. told - 8 uses.
85. thing - 8 uses.
86. pull - 8 uses.
87. eyes - 8 uses.
88. trying - 8 uses.
89. sleeping - 8 uses.
90. start - 8 uses.
91. best - 8 uses.
92. those - 7 uses.
93. talk - 7 uses.
94. believe - 7 uses.
95. room - 7 uses.
96. favorite - 7 uses.
97. makes - 7 uses.
98. well - 7 uses.
99. new - 7 uses.
100. sleep - 7 uses.
101. fine - 7 uses.
102. days - 7 uses.
103. nowhere - 7 uses.
104. another - 7 uses.
105. such - 7 uses.
106. knows - 7 uses.
107. whatever - 7 uses.
108. under - 7 uses.
109. playing - 7 uses.
110. real - 7 uses.
111. gods - 7 uses.
112. though - 6 uses.
113. care - 6 uses.
114. feels - 6 uses.
115. lets - 6 uses.
116. finally - 6 uses.
117. knew - 6 uses.
118. answer - 6 uses.
119. kind - 6 uses.
120. stupid - 6 uses.
121. song - 6 uses.
122. head - 6 uses.
123. little - 6 uses.
124. maybe - 6 uses.
125. please - 6 uses.
126. better - 6 uses.
127. outside - 6 uses.
128. teeth - 6 uses.
129. without - 6 uses.
130. else - 6 uses.
131. next - 6 uses.
132. doing - 6 uses.
133. lost - 6 uses.
134. gave - 5 uses.
135. youd - 5 uses.
136. before - 5 uses.
137. change - 5 uses.
138. tried - 5 uses.
139. touch - 5 uses.
140. i’ll - 5 uses.
141. alright - 5 uses.
142. i’m - 5 uses.
143. silence - 5 uses.
144. high - 5 uses.
145. side - 5 uses.
146. soon - 5 uses.
147. fix - 5 uses.
148. means - 5 uses.
149. speak - 5 uses.
150. called - 5 uses.
151. after - 5 uses.
152. remember - 5 uses.
153. heart - 5 uses.
154. own - 5 uses.
155. devil - 5 uses.
156. watched - 5 uses.
157. getting - 5 uses.
158. waiting - 5 uses.
159. road - 5 uses.
160. ears - 5 uses.
161. name - 5 uses.
162. someone - 5 uses.
163. turned - 5 uses.
164. house - 5 uses.
165. dreams - 5 uses.
166. pray - 5 uses.
167. gonna - 5 uses.
168. whats - 5 uses.
169. black - 5 uses.
170. tell - 5 uses.
171. bury - 5 uses.
172. feet - 5 uses.
173. sweet - 5 uses.
174. keeps - 5 uses.
175. bottom - 5 uses.
176. accept - 5 uses.
177. raised - 5 uses.
178. van - 5 uses.
179. mansion - 5 uses.
180. air - 4 uses.
181. wake - 4 uses.
