Most used words by Mika: 
Number of songs scanned: 106

1. love - 384 uses.
2. only - 174 uses.
3. boum - 150 uses.
4. le - 133 uses.
5. cry - 99 uses.
6. never - 96 uses.
7. girl - 90 uses.
8. about - 89 uses.
9. little - 88 uses.
10. life - 88 uses.
11. let - 86 uses.
12. down - 81 uses.
13. world - 81 uses.
14. de - 72 uses.
15. et - 72 uses.
16. je - 71 uses.
17. boy - 70 uses.
18. high - 70 uses.
19. pas - 70 uses.
20. tu - 65 uses.
21. again - 61 uses.
22. words - 60 uses.
23. even - 58 uses.
24. take - 57 uses.
25. blue - 57 uses.
26. think - 55 uses.
27. need - 55 uses.
28. un - 55 uses.
29. elle - 55 uses.
30. ever - 54 uses.
31. around - 53 uses.
32. big - 50 uses.
33. baby - 50 uses.
34. good - 49 uses.
35. dit - 49 uses.
36. beautiful - 49 uses.
37. sun - 48 uses.
38. qui - 48 uses.
39. les - 47 uses.
40. eyes - 46 uses.
41. better - 46 uses.
42. heart - 46 uses.
43. des - 46 uses.
44. matter - 46 uses.
45. away - 45 uses.
46. popular - 45 uses.
47. happy - 44 uses.
48. wants - 44 uses.
49. running - 43 uses.
50. things - 43 uses.
51. talk - 43 uses.
52. every - 42 uses.
53. bad - 42 uses.
54. wake - 41 uses.
55. rain - 41 uses.
56. que - 40 uses.
57. feel - 39 uses.
58. everything - 39 uses.
59. loves - 39 uses.
60. emily - 39 uses.
61. care - 38 uses.
62. cest - 37 uses.
63. blame - 37 uses.
64. stop - 36 uses.
65. gone - 36 uses.
66. fait - 36 uses.
67. leave - 35 uses.
68. give - 35 uses.
69. dans - 35 uses.
70. jealous - 35 uses.
71. tiny - 35 uses.
72. over - 34 uses.
73. another - 34 uses.
74. face - 34 uses.
75. left - 34 uses.
76. stay - 34 uses.
77. ready - 34 uses.
78. à - 33 uses.
79. going - 32 uses.
80. looking - 32 uses.
81. tell - 32 uses.
82. hold - 32 uses.
83. bit - 32 uses.
84. put - 32 uses.
85. long - 31 uses.
86. live - 31 uses.
87. moi - 31 uses.
88. vie - 31 uses.
89. ça - 31 uses.
90. house - 31 uses.
91. whats - 31 uses.
92. whole - 31 uses.
93. sur - 30 uses.
94. nothing - 30 uses.
95. toi - 30 uses.
96. dance - 30 uses.
97. keep - 29 uses.
98. doesnt - 29 uses.
99. thing - 29 uses.
100. quand - 29 uses.
101. di - 29 uses.
102. place - 29 uses.
103. jai - 29 uses.
104. enough - 28 uses.
105. vive - 28 uses.
106. ta - 28 uses.
107. se - 28 uses.
108. today - 28 uses.
109. everybody - 28 uses.
110. lonely - 27 uses.
111. cœur - 27 uses.
112. tomorrow - 26 uses.
113. comme - 26 uses.
114. says - 26 uses.
115. home - 26 uses.
116. else - 25 uses.
117. wrong - 25 uses.
118. pourquoi - 25 uses.
119. god - 25 uses.
120. step - 25 uses.
121. lets - 25 uses.
122. staring - 25 uses.
123. snow - 25 uses.
124. domani - 25 uses.
125. here - 24 uses.
126. show - 24 uses.
127. old - 24 uses.
128. night - 24 uses.
129. hurt - 24 uses.
130. guys - 24 uses.
131. hearts - 24 uses.
132. soleil - 24 uses.
133. hearing - 24 uses.
134. brown - 24 uses.
135. ya - 23 uses.
136. try - 23 uses.
137. head - 23 uses.
138. feels - 23 uses.
139. pour - 23 uses.
140. ce - 23 uses.
141. hear - 23 uses.
142. devil - 22 uses.
143. il - 22 uses.
144. should - 22 uses.
145. hey - 22 uses.
146. en - 22 uses.
147. same - 22 uses.
148. sound - 22 uses.
149. maybe - 21 uses.
150. listen - 21 uses.
151. fall - 21 uses.
152. au - 21 uses.
153. jealousy - 21 uses.
154. hard - 21 uses.
155. garde - 21 uses.
156. somebody - 20 uses.
157. something - 20 uses.
158. sky - 20 uses.
159. underwater - 20 uses.
160. stars - 20 uses.
161. tout - 20 uses.
162. est - 20 uses.
163. mais - 20 uses.
164. ne - 20 uses.
165. back - 20 uses.
166. song - 20 uses.
167. karen - 20 uses.
168. lamour - 20 uses.
169. end - 20 uses.
170. overrated - 20 uses.
171. ordinary - 20 uses.
172. reason - 19 uses.
173. vent - 19 uses.
174. quoi - 19 uses.
175. tas - 19 uses.
176. thought - 19 uses.
177. knees - 19 uses.
178. alone - 19 uses.
179. other - 19 uses.
180. always - 19 uses.
181. doing - 19 uses.
182. non - 19 uses.
183. hate - 19 uses.
184. celebrate - 19 uses.
185. disaster - 18 uses.
186. found - 18 uses.
187. really - 18 uses.
188. mind - 18 uses.
189. breathe - 18 uses.
190. thank - 18 uses.
191. temps - 18 uses.
192. plus - 18 uses.
193. envie - 18 uses.
194. party - 18 uses.
195. play - 17 uses.
196. mean - 17 uses.
197. getting - 17 uses.
198. lover - 17 uses.
199. someone - 17 uses.
200. blood - 17 uses.
201. du - 17 uses.
202. girls - 17 uses.
203. run - 17 uses.
204. easy - 17 uses.
205. crazy - 17 uses.
206. fool - 17 uses.
207. true - 17 uses.
208. si - 16 uses.
209. broken - 16 uses.
210. might - 16 uses.
211. goes - 16 uses.
212. much - 16 uses.
213. heaven - 16 uses.
214. guess - 16 uses.
215. rest - 16 uses.
216. people - 16 uses.
217. everyone - 16 uses.
218. coming - 16 uses.
219. while - 16 uses.
220. fell - 16 uses.
221. knew - 16 uses.
222. chante - 16 uses.
223. mother - 16 uses.
224. pick - 16 uses.
225. light - 16 uses.
