Most used words by Mindless Self Indulgence: 
Number of songs scanned: 148

1. na - 258 uses.
2. never - 165 uses.
3. fuck - 139 uses.
4. shit - 122 uses.
5. unto - 121 uses.
6. fucking - 116 uses.
7. down - 109 uses.
8. yo - 106 uses.
9. ooh - 94 uses.
10. love - 92 uses.
11. hey - 91 uses.
12. right - 86 uses.
13. need - 83 uses.
14. rock - 82 uses.
15. good - 80 uses.
16. better - 79 uses.
17. baby - 75 uses.
18. everybody - 74 uses.
19. money - 71 uses.
20. god - 71 uses.
21. little - 69 uses.
22. think - 69 uses.
23. life - 65 uses.
24. kill - 61 uses.
25. because - 61 uses.
26. really - 60 uses.
27. fuckin - 60 uses.
28. yourself - 55 uses.
29. uh - 54 uses.
30. here - 52 uses.
31. about - 49 uses.
32. take - 49 uses.
33. big - 47 uses.
34. stupid - 47 uses.
35. give - 46 uses.
36. girl - 46 uses.
37. nothing - 46 uses.
38. whoa - 46 uses.
39. myself - 45 uses.
40. back - 45 uses.
41. ass - 44 uses.
42. much - 43 uses.
43. old - 42 uses.
44. always - 41 uses.
45. doing - 41 uses.
46. show - 41 uses.
47. ah - 40 uses.
48. let - 40 uses.
49. hard - 39 uses.
50. going - 39 uses.
51. bad - 39 uses.
52. wrong - 39 uses.
53. hit - 38 uses.
54. hate - 38 uses.
55. girls - 38 uses.
56. makes - 37 uses.
57. world - 37 uses.
58. does - 36 uses.
59. please - 36 uses.
60. others - 36 uses.
61. ever - 35 uses.
62. friends - 35 uses.
63. feel - 35 uses.
64. wee-oh - 35 uses.
65. nobody - 34 uses.
66. mean - 34 uses.
67. fucked - 33 uses.
68. every - 32 uses.
69. best - 32 uses.
70. motherfucker - 32 uses.
71. tell - 32 uses.
72. enough - 32 uses.
73. watch - 32 uses.
74. only - 31 uses.
75. seem - 31 uses.
76. anymore - 31 uses.
77. gone - 31 uses.
78. brain - 30 uses.
79. again - 30 uses.
80. whats - 30 uses.
81. hell - 29 uses.
82. bitches - 29 uses.
83. kiss - 28 uses.
84. ha - 28 uses.
85. things - 28 uses.
86. try - 28 uses.
87. own - 27 uses.
88. horny - 27 uses.
89. young - 27 uses.
90. mind - 27 uses.
91. done - 27 uses.
92. ladies - 27 uses.
93. wants - 27 uses.
94. black - 27 uses.
95. stop - 26 uses.
96. fun - 26 uses.
97. put - 26 uses.
98. face - 26 uses.
99. suck - 26 uses.
100. rest - 26 uses.
101. animal - 26 uses.
102. piece - 26 uses.
103. yall - 25 uses.
104. wait - 25 uses.
105. help - 25 uses.
106. over - 24 uses.
107. bitch - 24 uses.
108. shut - 23 uses.
109. ya - 23 uses.
110. cool - 23 uses.
111. son - 23 uses.
112. something - 22 uses.
113. sex - 22 uses.
114. whip - 22 uses.
115. gay - 22 uses.
116. lets - 22 uses.
117. through - 22 uses.
118. self - 22 uses.
119. live - 21 uses.
120. turn - 21 uses.
121. beat - 21 uses.
122. nothin - 21 uses.
123. damn - 21 uses.
124. night - 21 uses.
125. tonight - 21 uses.
126. touch - 21 uses.
127. gettin - 21 uses.
128. heaven - 21 uses.
129. doot - 21 uses.
130. another - 20 uses.
131. thing - 20 uses.
132. woah-oh-oh - 20 uses.
133. sa - 20 uses.
134. last - 20 uses.
135. very - 20 uses.
136. rhymes - 20 uses.
137. forget - 20 uses.
138. pay - 20 uses.
139. should - 20 uses.
140. most - 20 uses.
141. play - 20 uses.
142. isnt - 20 uses.
143. faggot - 19 uses.
144. song - 19 uses.
145. understand - 19 uses.
146. wouldnt - 19 uses.
147. ruckus - 19 uses.
148. pretty - 19 uses.
149. people - 19 uses.
150. white - 18 uses.
151. someone - 18 uses.
152. straight - 18 uses.
153. after - 18 uses.
154. likes - 18 uses.
155. alright - 18 uses.
156. dick - 18 uses.
