Most used words by Modern Baseball: 
Number of songs scanned: 58

1. love - 49 uses.
2. about - 47 uses.
3. here - 45 uses.
4. away - 44 uses.
5. let - 34 uses.
6. home - 31 uses.
7. never - 30 uses.
8. maybe - 27 uses.
9. around - 27 uses.
10. friends - 25 uses.
11. face - 25 uses.
12. night - 25 uses.
13. think - 24 uses.
14. same - 24 uses.
15. back - 24 uses.
16. everything - 23 uses.
17. thought - 23 uses.
18. heart - 23 uses.
19. life - 22 uses.
20. leave - 20 uses.
21. long - 20 uses.
22. thinking - 20 uses.
23. another - 20 uses.
24. need - 20 uses.
25. every - 20 uses.
26. guess - 20 uses.
27. tell - 19 uses.
28. down - 19 uses.
29. right - 19 uses.
30. eyes - 19 uses.
31. tonight - 19 uses.
32. take - 19 uses.
33. things - 19 uses.
34. before - 19 uses.
35. forever - 18 uses.
36. lost - 18 uses.
37. feel - 18 uses.
38. trying - 18 uses.
39. awake - 18 uses.
40. wish - 17 uses.
41. together - 17 uses.
42. days - 17 uses.
43. again - 17 uses.
44. without - 17 uses.
45. head - 16 uses.
46. words - 16 uses.
47. hate - 16 uses.
48. nights - 16 uses.
49. beholder - 16 uses.
50. mind - 16 uses.
51. keep - 15 uses.
52. those - 15 uses.
53. wait - 15 uses.
54. fucking - 15 uses.
55. good - 15 uses.
56. sleep - 15 uses.
57. always - 14 uses.
58. alone - 14 uses.
59. through - 14 uses.
60. walk - 14 uses.
61. hands - 14 uses.
62. better - 14 uses.
63. over - 14 uses.
64. safe - 13 uses.
65. last - 13 uses.
66. spend - 13 uses.
67. give - 13 uses.
68. past - 12 uses.
69. much - 12 uses.
70. new - 12 uses.
71. stuck - 12 uses.
72. heard - 12 uses.
73. change - 12 uses.
74. yet - 12 uses.
75. though - 12 uses.
76. hard - 12 uses.
77. name - 12 uses.
78. ever - 11 uses.
79. told - 11 uses.
80. old - 11 uses.
81. little - 11 uses.
82. even - 11 uses.
83. hold - 11 uses.
84. high - 11 uses.
85. sure - 11 uses.
86. far - 11 uses.
87. sing - 11 uses.
88. only - 11 uses.
89. because - 11 uses.
90. nothing - 11 uses.
91. forget - 11 uses.
92. least - 11 uses.
93. lie - 11 uses.
94. searching - 11 uses.
95. girl - 11 uses.
96. dark - 10 uses.
97. once - 10 uses.
98. enough - 10 uses.
