Most used words by Mom Jeans: 
Number of songs scanned: 27

1. still - 31 uses.
2. need - 31 uses.
3. love - 23 uses.
4. think - 23 uses.
5. back - 22 uses.
6. feel - 22 uses.
7. want - 21 uses.
8. things - 18 uses.
9. ever - 18 uses.
10. stay - 17 uses.
11. much - 15 uses.
12. hard - 15 uses.
13. tell - 15 uses.
14. myself - 15 uses.
15. every - 14 uses.
16. fucking - 14 uses.
17. right - 13 uses.
18. anymore - 13 uses.
19. because - 13 uses.
20. sad - 12 uses.
21. take - 12 uses.
22. friends - 12 uses.
23. never - 11 uses.
24. alone - 11 uses.
25. scared - 10 uses.
26. mind - 10 uses.
27. might - 10 uses.
28. fine - 10 uses.
29. lie - 10 uses.
30. try - 9 uses.
31. leave - 9 uses.
32. through - 9 uses.
33. told - 9 uses.
34. care - 9 uses.
35. only - 9 uses.
36. here - 9 uses.
37. tired - 9 uses.
38. sometimes - 9 uses.
39. sorry - 9 uses.
40. guess - 9 uses.
41. mean - 8 uses.
42. life - 8 uses.
43. trying - 8 uses.
44. everything - 8 uses.
45. before - 8 uses.
46. happy - 8 uses.
47. always - 8 uses.
48. getting - 8 uses.
49. around - 7 uses.
50. bed - 7 uses.
51. again - 7 uses.
52. away - 7 uses.
53. whats - 7 uses.
54. feeling - 7 uses.
55. eating - 7 uses.
56. inside - 7 uses.
57. help - 7 uses.
58. fuck - 7 uses.
59. face - 7 uses.
60. sleep - 7 uses.
61. reason - 6 uses.
62. else - 6 uses.
63. youd - 6 uses.
64. enough - 6 uses.
65. going - 6 uses.
66. exactly - 6 uses.
67. wait - 6 uses.
68. smoke - 6 uses.
69. same - 6 uses.
70. anything - 6 uses.
71. yourself - 6 uses.
72. lungs - 6 uses.
73. please - 6 uses.
74. losing - 5 uses.
75. nice - 5 uses.
76. ones - 5 uses.
77. quite - 5 uses.
78. someone - 5 uses.
79. breath - 5 uses.
80. except - 5 uses.
81. hands - 5 uses.
82. any - 5 uses.
83. shit - 5 uses.
84. really - 5 uses.
85. work - 5 uses.
86. fun - 5 uses.
87. loved - 5 uses.
88. felt - 5 uses.
89. heart - 5 uses.
90. home - 5 uses.
91. stop - 5 uses.
92. fault - 5 uses.
93. sleeping - 5 uses.
94. afraid - 5 uses.
95. even - 5 uses.
96. house - 5 uses.
97. problem - 5 uses.
98. ask - 4 uses.
99. took - 4 uses.
100. gave - 4 uses.
101. glad - 4 uses.
102. let - 4 uses.
