Most used words by Moose Blood: 
Number of songs scanned: 41

1. nigga - 59 uses.
2. home - 34 uses.
3. better - 33 uses.
4. never - 33 uses.
5. took - 31 uses.
6. about - 28 uses.
7. enough - 26 uses.
8. think - 25 uses.
9. tell - 25 uses.
10. remember - 25 uses.
11. girl - 25 uses.
12. stay - 24 uses.
13. back - 24 uses.
14. far - 24 uses.
15. hunnid - 24 uses.
16. mothafuckin - 24 uses.
17. drop - 24 uses.
18. always - 23 uses.
19. thought - 23 uses.
20. havent - 22 uses.
21. mine - 22 uses.
22. guess - 22 uses.
23. feel - 21 uses.
24. told - 20 uses.
25. take - 19 uses.
26. again - 19 uses.
27. even - 18 uses.
28. here - 18 uses.
29. need - 18 uses.
30. same - 18 uses.
31. let - 17 uses.
32. ever - 16 uses.
33. much - 16 uses.
34. hand - 16 uses.
35. gotta - 16 uses.
36. sleep - 16 uses.
37. down - 15 uses.
38. mind - 15 uses.
39. over - 15 uses.
40. left - 15 uses.
41. good - 14 uses.
42. though - 14 uses.
43. those - 14 uses.
44. god - 13 uses.
45. while - 12 uses.
46. forever - 12 uses.
47. hear - 12 uses.
48. everything - 12 uses.
49. drunk - 12 uses.
50. give - 12 uses.
51. promise - 12 uses.
52. wanted - 12 uses.
53. because - 12 uses.
54. around - 11 uses.
55. talk - 11 uses.
56. spent - 11 uses.
57. doesnt - 11 uses.
58. best - 11 uses.
59. thing - 11 uses.
60. love - 10 uses.
61. hard - 10 uses.
62. eyes - 10 uses.
63. forget - 10 uses.
64. being - 10 uses.
65. tonight - 10 uses.
66. hold - 10 uses.
67. okay - 10 uses.
68. through - 10 uses.
69. yet - 10 uses.
70. getting - 10 uses.
71. feeling - 10 uses.
72. morning - 10 uses.
73. keep - 10 uses.
74. days - 10 uses.
75. without - 10 uses.
76. maybe - 9 uses.
77. loved - 9 uses.
78. used - 9 uses.
79. cuz - 9 uses.
80. last - 9 uses.
81. believe - 9 uses.
82. old - 9 uses.
83. friends - 9 uses.
84. name - 9 uses.
85. knew - 9 uses.
86. things - 9 uses.
87. only - 9 uses.
