Most used words by Movements: 
Number of songs scanned: 34

1. give - 49 uses.
2. left - 38 uses.
3. feel - 36 uses.
4. keep - 34 uses.
5. end - 27 uses.
6. something - 26 uses.
7. night - 26 uses.
8. never - 25 uses.
9. again - 23 uses.
10. love - 23 uses.
11. fall - 22 uses.
12. through - 22 uses.
13. skin - 22 uses.
14. think - 21 uses.
15. always - 21 uses.
16. mind - 21 uses.
17. home - 20 uses.
18. ghost - 20 uses.
19. life - 19 uses.
20. without - 18 uses.
21. myself - 18 uses.
22. back - 18 uses.
23. nothing - 18 uses.
24. head - 17 uses.
25. eyes - 17 uses.
26. inside - 16 uses.
27. stay - 16 uses.
28. whats - 16 uses.
29. better - 16 uses.
30. wish - 16 uses.
31. lost - 16 uses.
32. anything - 16 uses.
33. away - 15 uses.
34. heart - 15 uses.
35. stuck - 15 uses.
36. rest - 14 uses.
37. right - 14 uses.
38. mine - 14 uses.
39. comes - 14 uses.
40. gone - 14 uses.
41. yourself - 13 uses.
42. dark - 13 uses.
43. world - 13 uses.
44. here - 13 uses.
45. believe - 13 uses.
46. long - 13 uses.
47. let - 12 uses.
48. living - 12 uses.
49. much - 12 uses.
50. take - 12 uses.
51. try - 12 uses.
52. emptiness - 12 uses.
53. another - 12 uses.
54. meant - 12 uses.
55. about - 11 uses.
56. body - 11 uses.
57. only - 11 uses.
58. maybe - 11 uses.
59. good - 11 uses.
60. move - 10 uses.
61. instead - 10 uses.
62. help - 10 uses.
63. side - 10 uses.
64. deep - 10 uses.
65. close - 10 uses.
66. fine - 10 uses.
67. felt - 10 uses.
68. new - 10 uses.
69. losing - 10 uses.
70. every - 10 uses.
71. tried - 10 uses.
72. vision - 10 uses.
73. break - 9 uses.
74. blood - 9 uses.
75. forever - 9 uses.
76. quiet - 9 uses.
77. leave - 9 uses.
78. bed - 9 uses.
79. while - 9 uses.
80. fight - 9 uses.
81. last - 9 uses.
82. feet - 9 uses.
83. house - 9 uses.
84. same - 9 uses.
85. disguise - 9 uses.
86. things - 9 uses.
87. goodbye - 9 uses.
88. tunnel - 9 uses.
89. sight - 9 uses.
90. change - 8 uses.
91. cold - 8 uses.
92. everything - 8 uses.
93. really - 8 uses.
94. hell - 8 uses.
95. bleed - 8 uses.
96. walk - 8 uses.
97. down - 8 uses.
98. hard - 8 uses.
99. desperate - 8 uses.
100. first - 8 uses.
101. blind - 8 uses.
102. red - 8 uses.
