Most used words by My Chemical Romance: 
Number of songs scanned: 103

1. na - 252 uses.
2. never - 237 uses.
3. down - 173 uses.
4. take - 115 uses.
5. again - 109 uses.
6. love - 102 uses.
7. here - 100 uses.
8. uh - 98 uses.
9. die - 97 uses.
10. home - 91 uses.
11. away - 89 uses.
12. let - 87 uses.
13. world - 85 uses.
14. think - 84 uses.
15. stay - 84 uses.
16. give - 81 uses.
17. back - 79 uses.
18. alone - 74 uses.
19. tonight - 73 uses.
20. whoa - 73 uses.
21. stop - 71 uses.
22. life - 71 uses.
23. sing - 68 uses.
24. heart - 65 uses.
25. keep - 63 uses.
26. everybody - 59 uses.
27. about - 59 uses.
28. believe - 59 uses.
29. ooh - 58 uses.
30. every - 57 uses.
31. baby - 55 uses.
32. gun - 55 uses.
33. run - 53 uses.
34. long - 52 uses.
35. dead - 50 uses.
36. right - 49 uses.
37. nothing - 49 uses.
38. only - 48 uses.
39. leave - 48 uses.
40. alright - 47 uses.
41. because - 46 uses.
42. tell - 46 uses.
43. sleep - 44 uses.
44. eyes - 43 uses.
45. people - 42 uses.
46. live - 41 uses.
47. party - 41 uses.
48. another - 40 uses.
49. mean - 38 uses.
50. ever - 38 uses.
51. better - 38 uses.
52. care - 37 uses.
53. kill - 37 uses.
54. much - 37 uses.
55. wants - 37 uses.
56. fall - 36 uses.
57. things - 36 uses.
58. night - 36 uses.
59. mama - 36 uses.
60. put - 35 uses.
61. through - 35 uses.
62. last - 35 uses.
63. light - 35 uses.
64. goodbye - 34 uses.
65. need - 34 uses.
66. lights - 34 uses.
67. remember - 34 uses.
68. hands - 33 uses.
69. end - 33 uses.
70. sometimes - 33 uses.
71. bad - 33 uses.
72. gone - 33 uses.
73. lets - 32 uses.
74. hide - 32 uses.
75. hope - 32 uses.
76. friends - 31 uses.
77. far - 31 uses.
78. walk - 31 uses.
79. after - 31 uses.
80. save - 31 uses.
81. sound - 30 uses.
82. thing - 30 uses.
83. hell - 30 uses.
84. ba-ba-ba - 30 uses.
85. blood - 30 uses.
86. carry - 29 uses.
87. kiss - 28 uses.
88. even - 28 uses.
89. place - 28 uses.
90. song - 28 uses.
91. afraid - 28 uses.
92. destroya - 28 uses.
93. words - 27 uses.
94. fucking - 27 uses.
95. watch - 26 uses.
96. going - 26 uses.
97. someone - 26 uses.
98. sun - 26 uses.
99. hear - 26 uses.
100. cry - 26 uses.
101. sad - 25 uses.
102. play - 24 uses.
103. face - 24 uses.
104. living - 24 uses.
105. behind - 24 uses.
106. black - 24 uses.
107. maybe - 24 uses.
108. hard - 24 uses.
109. rickety - 24 uses.
110. show - 23 uses.
111. common - 23 uses.
112. fuck - 23 uses.
113. really - 23 uses.
114. coming - 23 uses.
115. change - 23 uses.
116. without - 22 uses.
117. hand - 22 uses.
118. dance - 22 uses.
119. burn - 22 uses.
120. body - 22 uses.
