Most used words by My Morning Jacket: 
Number of songs scanned: 123

1. love - 120 uses.
2. never - 102 uses.
3. back - 91 uses.
4. only - 88 uses.
5. world - 72 uses.
6. down - 70 uses.
7. tell - 70 uses.
8. feel - 64 uses.
9. long - 59 uses.
10. ooh - 59 uses.
11. believe - 58 uses.
12. life - 54 uses.
13. baby - 51 uses.
14. always - 47 uses.
15. right - 46 uses.
16. first - 46 uses.
17. need - 45 uses.
18. heart - 42 uses.
19. remain - 42 uses.
20. light - 41 uses.
21. take - 38 uses.
22. much - 37 uses.
23. again - 37 uses.
24. over - 34 uses.
25. ever - 32 uses.
26. think - 32 uses.
27. good - 32 uses.
28. else - 31 uses.
29. thing - 31 uses.
30. memories - 31 uses.
31. give - 30 uses.
32. nothing - 30 uses.
33. enough - 29 uses.
34. gotta - 29 uses.
35. let - 29 uses.
36. home - 29 uses.
37. hope - 29 uses.
38. wait - 29 uses.
39. black - 28 uses.
40. ready - 27 uses.
41. new - 27 uses.
42. ride - 27 uses.
43. wonderful - 26 uses.
44. nobody - 25 uses.
45. metal - 25 uses.
46. things - 24 uses.
47. here - 24 uses.
48. night - 24 uses.
49. head - 24 uses.
50. highly - 24 uses.
51. suspicious - 24 uses.
52. knew - 24 uses.
53. mind - 23 uses.
54. done - 23 uses.
55. door - 23 uses.
56. lucky - 23 uses.
57. range - 23 uses.
58. live - 22 uses.
59. sweet - 22 uses.
60. went - 22 uses.
61. going - 22 uses.
62. whats - 22 uses.
63. really - 22 uses.
64. sun - 21 uses.
65. dark - 21 uses.
66. keep - 21 uses.
67. color - 21 uses.
68. through - 20 uses.
69. slow - 20 uses.
70. dance - 20 uses.
71. try - 20 uses.
72. around - 20 uses.
73. water - 20 uses.
74. cmon - 20 uses.
75. alive - 20 uses.
76. run - 19 uses.
77. saw - 19 uses.
78. something - 18 uses.
79. real - 18 uses.
80. soul - 18 uses.
81. should - 18 uses.
82. gone - 18 uses.
83. big - 18 uses.
84. put - 18 uses.
85. before - 18 uses.
86. evil - 17 uses.
87. hey - 17 uses.
88. eyes - 17 uses.
89.  - 17 uses.
90. better - 17 uses.
91. feeling - 17 uses.
92. waiting - 16 uses.
93. does - 16 uses.
94. wish - 16 uses.
95. another - 16 uses.
96. gave - 16 uses.
97. touch - 16 uses.
98. knows - 16 uses.
99. own - 15 uses.
100. called - 15 uses.
101. wrong - 15 uses.
102. mother - 15 uses.
103. forever - 15 uses.
104. coming - 15 uses.
105. matters - 15 uses.
106. same - 14 uses.
107. bad - 14 uses.
108. times - 14 uses.
109. little - 14 uses.
110. far - 14 uses.
111. ground - 14 uses.
112. about - 14 uses.
113. days - 14 uses.
114. earth - 14 uses.
115. land - 14 uses.
116. people - 14 uses.
117. air - 14 uses.
118. round - 14 uses.
119. amazed - 14 uses.
120. tonight - 14 uses.
121. heads - 14 uses.
122. open - 14 uses.
123. care - 13 uses.
124. every - 13 uses.
125. hold - 13 uses.
126. yourself - 13 uses.
127. appears - 13 uses.
128. river - 13 uses.
129. mean - 13 uses.
130. record - 13 uses.
131. outta - 13 uses.
132. welcome - 13 uses.
133. thought - 12 uses.
134. four - 12 uses.
135. boy - 12 uses.
136. even - 12 uses.
137. car - 12 uses.
138. end - 12 uses.
139. ahh - 12 uses.
140. told - 12 uses.
141. walking - 12 uses.
142. song - 12 uses.
143. line - 12 uses.
144. wasted - 12 uses.
145. glory - 12 uses.
146. between - 11 uses.
147. waitin - 11 uses.
148. everything - 11 uses.
149. makes - 11 uses.
150. warm - 11 uses.
151. sound - 11 uses.
152. though - 11 uses.
153. seem - 11 uses.
154. away - 11 uses.
155. lovers - 11 uses.
156. turn - 11 uses.
157. anymore - 11 uses.
158. someone - 11 uses.
159. hand - 11 uses.
160. easy - 11 uses.
161. hear - 11 uses.
162. work - 11 uses.
163. after - 11 uses.
164. comes - 11 uses.
165. next - 11 uses.
166. sure - 11 uses.
167. sometimes - 11 uses.
168. youd - 11 uses.
169. idea - 11 uses.
170. freak - 11 uses.
171. least - 11 uses.
172. wonder - 11 uses.
173. show - 11 uses.
174. hell - 11 uses.
175. point - 11 uses.
176. spinning - 11 uses.
177. tired - 10 uses.
178. felt - 10 uses.
179. stay - 10 uses.
180. change - 10 uses.
181. face - 10 uses.
182. true - 10 uses.
183. side - 10 uses.
184. old - 10 uses.
185. shit - 10 uses.
186. watch - 10 uses.
187. till - 10 uses.
188. cold - 10 uses.
189. dream - 10 uses.
190. babe - 10 uses.
191. walk - 10 uses.
192. start - 10 uses.
193. young - 10 uses.
194. harder - 10 uses.
195. set - 10 uses.
196. those - 10 uses.
197. words - 10 uses.
198. lost - 10 uses.
199. system - 10 uses.
200. road - 10 uses.
201. human - 9 uses.
202. quite - 9 uses.
203. trying - 9 uses.
204. goes - 9 uses.
205. blood - 9 uses.
206. forget - 9 uses.
207. stand - 9 uses.
208. except - 9 uses.
209. place - 9 uses.
210. hair - 9 uses.
211. wasnt - 9 uses.
212. walkin - 9 uses.
213. matter - 9 uses.
214. tune - 9 uses.
215. living - 9 uses.
216. hillside - 9 uses.
217. rid - 9 uses.
218. wheels - 9 uses.
219. anybody - 8 uses.
220. any - 8 uses.
221. saying - 8 uses.
222. complex - 8 uses.
223. pay - 8 uses.
224. feels - 8 uses.
225. mine - 8 uses.
226. sea - 8 uses.
227. close - 8 uses.
228. rollin - 8 uses.
229. other - 8 uses.
230. clear - 8 uses.
231. left - 8 uses.
232. above - 8 uses.
233. looking - 8 uses.
234. victory - 8 uses.
235. setting - 8 uses.
236. park - 8 uses.
237. whys - 8 uses.
238. heaven - 8 uses.
239. watching - 8 uses.
240. soft - 8 uses.
241. therell - 8 uses.
242. knock - 8 uses.
243. tomorrow - 8 uses.
244. holdin - 8 uses.
245. penny - 8 uses.
246. doing - 8 uses.
247. anyway - 8 uses.
248. glad - 8 uses.
249. myself - 8 uses.
250. share - 8 uses.
251. years - 8 uses.
252. brother - 8 uses.
253. letter - 8 uses.
254. free - 7 uses.
255. wrapped - 7 uses.
256. listen - 7 uses.
257. mahgeetah - 7 uses.
258. fight - 7 uses.
259. lord - 7 uses.
260. trees - 7 uses.
261. without - 7 uses.
262. thoughts - 7 uses.
263. three - 7 uses.
264. evening - 7 uses.
265. bring - 7 uses.
266. high - 7 uses.
267. guess - 7 uses.
268. held - 7 uses.
269. learn - 7 uses.
270. past - 7 uses.
271. came - 7 uses.
272. yes - 7 uses.
273. lights - 7 uses.
274. deep - 7 uses.
275. most - 7 uses.
276. peace - 7 uses.
277. goin - 7 uses.
278. last - 7 uses.
279. near - 7 uses.
280. sorry - 7 uses.
281. getting - 7 uses.
282. sounds - 7 uses.
283. feelin - 7 uses.
284. stop - 7 uses.
285. death - 7 uses.
286. hangin - 7 uses.
287. help - 7 uses.
288. took - 7 uses.
289. sing - 7 uses.
290. cared - 7 uses.
291. expected - 7 uses.
292. woah - 7 uses.
293. ya - 6 uses.
294. someday - 6 uses.
295. breathe - 6 uses.
296. dawn - 6 uses.
297. hard - 6 uses.
298. beats - 6 uses.
299. anything - 6 uses.
300. kid - 6 uses.
301. devils - 6 uses.
302. fall - 6 uses.
303. god - 6 uses.
304. fear - 6 uses.
305. apart - 6 uses.
306. seems - 6 uses.
307. anywhere - 6 uses.
308. somebody - 6 uses.
309. move - 6 uses.
310. roll - 6 uses.
311. morning - 6 uses.
312. power - 6 uses.
313. whole - 6 uses.
314. sleep - 6 uses.
315. moves - 6 uses.
316. strong - 6 uses.
317. thank - 6 uses.
318. theyll - 6 uses.
319. body - 6 uses.
320. hands - 6 uses.
321. lack - 6 uses.
322. break - 6 uses.
323. thin - 6 uses.
324. hotter - 6 uses.
325. kind - 6 uses.
326. towards - 6 uses.
327. loving - 6 uses.
328. fool - 6 uses.
