Most used words by Neck Deep: 
Number of songs scanned: 64

1. never - 71 uses.
2. back - 66 uses.
3. here - 65 uses.
4. let - 61 uses.
5. things - 60 uses.
6. better - 54 uses.
7. feel - 53 uses.
8. hope - 52 uses.
9. world - 50 uses.
10. think - 50 uses.
11. down - 47 uses.
12. away - 46 uses.
13. life - 46 uses.
14. place - 42 uses.
15. always - 40 uses.
16. again - 39 uses.
17. take - 38 uses.
18. over - 36 uses.
19. god - 34 uses.
20. fall - 33 uses.
21. about - 32 uses.
22. nothing - 31 uses.
23. night - 31 uses.
24. stop - 30 uses.
25. through - 30 uses.
26. head - 30 uses.
27. myself - 30 uses.
28. long - 29 uses.
29. left - 29 uses.
30. home - 29 uses.
31. trying - 28 uses.
32. yourself - 28 uses.
33. good - 28 uses.
34. wish - 28 uses.
35. before - 27 uses.
36. keep - 25 uses.
37. hold - 25 uses.
38. tell - 25 uses.
39. much - 24 uses.
40. every - 24 uses.
41. right - 23 uses.
42. love - 23 uses.
43. miss - 23 uses.
44. break - 23 uses.
45. feels - 22 uses.
46. need - 22 uses.
47. late - 22 uses.
48. last - 22 uses.
49. light - 22 uses.
50. everything - 21 uses.
51. little - 21 uses.
52. lost - 21 uses.
53. getting - 21 uses.
54. face - 21 uses.
55. eyes - 21 uses.
56. remember - 21 uses.
57. feeling - 20 uses.
58. sleep - 20 uses.
59. far - 20 uses.
60. fuck - 20 uses.
61. only - 19 uses.
62. hard - 19 uses.
63. dead - 19 uses.
64. thought - 19 uses.
65. change - 19 uses.
66. same - 18 uses.
67. else - 18 uses.
68. inside - 18 uses.
69. hell - 18 uses.
70. floor - 18 uses.
71. lonely - 18 uses.
72. believe - 18 uses.
73. baby - 18 uses.
74. line - 17 uses.
75. another - 17 uses.
76. thing - 17 uses.
77. something - 17 uses.
78. end - 17 uses.
79. perfect - 16 uses.
80. youd - 16 uses.
81. real - 16 uses.
82. friends - 16 uses.
83. without - 16 uses.
84. try - 16 uses.
85. might - 16 uses.
86. own - 16 uses.
87. words - 16 uses.
88. sick - 16 uses.
89. heart - 16 uses.
90. grow - 16 uses.
91. seem - 16 uses.
92. even - 15 uses.
93. guess - 15 uses.
94. days - 15 uses.
95. mind - 15 uses.
96. gets - 15 uses.
97. torn - 15 uses.
98. times - 14 uses.
99. room - 14 uses.
100. ever - 14 uses.
101. sometimes - 14 uses.
102. standing - 14 uses.
103. put - 14 uses.
104. worth - 14 uses.
105. town - 14 uses.
106. dark - 14 uses.
107. december - 14 uses.
108. thinking - 13 uses.
109. used - 13 uses.
110. felt - 13 uses.
111. seems - 13 uses.
112. broken - 13 uses.
113. around - 13 uses.
114. fucking - 13 uses.
115. next - 13 uses.
116. bed - 13 uses.
117. lay - 13 uses.
118. cold - 13 uses.
119. stay - 13 uses.
120. wake - 13 uses.
121. start - 12 uses.
122. forget - 12 uses.
123. mean - 12 uses.
124. because - 12 uses.
125. live - 12 uses.
126. came - 12 uses.
