Most used words by Neutral Milk Hotel: 
Number of songs scanned: 65

1. love - 59 uses.
2. through - 44 uses.
3. life - 38 uses.
4. around - 34 uses.
5. down - 34 uses.
6. world - 32 uses.
7. inside - 30 uses.
8. never - 29 uses.
9. away - 28 uses.
10. right - 28 uses.
11. take - 25 uses.
12. eyes - 24 uses.
13. liar - 24 uses.
14. dream - 23 uses.
15. let - 22 uses.
16. here - 22 uses.
17. feel - 21 uses.
18. hold - 21 uses.
19. over - 21 uses.
20. hear - 21 uses.
21. pieces - 21 uses.
22. only - 20 uses.
23. ever - 19 uses.
24. together - 19 uses.
25. really - 18 uses.
26. everything - 17 uses.
27. smile - 17 uses.
28. theyre - 16 uses.
29. sky - 16 uses.
30. again - 16 uses.
31. beautiful - 16 uses.
32. sleep - 16 uses.
33. until - 16 uses.
34. little - 16 uses.
35. flower - 16 uses.
36. water - 15 uses.
37. soul - 15 uses.
38. heart - 15 uses.
39. long - 15 uses.
40. puzzle - 15 uses.
41. flowers - 14 uses.
42. sweet - 14 uses.
43. sun - 14 uses.
44. pretty - 14 uses.
45. mean - 14 uses.
46. place - 13 uses.
47. sing - 13 uses.
48. need - 13 uses.
49. glow - 13 uses.
50. face - 13 uses.
51. alone - 13 uses.
52. put - 13 uses.
53. body - 13 uses.
54. jennifer - 13 uses.
55. hands - 12 uses.
56. always - 12 uses.
57. waiting - 12 uses.
58. mother - 12 uses.
59. own - 12 uses.
60. every - 12 uses.
61. keep - 12 uses.
62. mouth - 11 uses.
63. those - 11 uses.
64. open - 11 uses.
65. found - 11 uses.
66. save - 11 uses.
67. please - 11 uses.
68. girl - 10 uses.
69. about - 10 uses.
70. deep - 10 uses.
71. myself - 10 uses.
72. die - 10 uses.
73. must - 10 uses.
74. arms - 10 uses.
75. gave - 10 uses.
76. dead - 10 uses.
77. because - 10 uses.
78. leave - 10 uses.
79. fly - 10 uses.
80. boy - 10 uses.
81. going - 10 uses.
82. bring - 10 uses.
83. morning - 10 uses.
84. exist - 9 uses.
85. hanging - 9 uses.
86. sleeping - 9 uses.
87. hard - 9 uses.
88. follow - 9 uses.
89. night - 9 uses.
90. against - 9 uses.
91. something - 9 uses.
92. anger - 9 uses.
93. watch - 9 uses.
94. across - 9 uses.
95. wanted - 9 uses.
96. family - 9 uses.
97. makes - 9 uses.
98. thought - 9 uses.
99. clothes - 9 uses.
100. took - 9 uses.
101. sinking - 9 uses.
102. lie - 9 uses.
103. mind - 8 uses.
104. believe - 8 uses.
105. blow - 8 uses.
106. room - 8 uses.
107. song - 8 uses.
108. finally - 8 uses.
109. filled - 8 uses.
110. angels - 8 uses.
111. yourself - 8 uses.
112. things - 8 uses.
113. above - 8 uses.
114. home - 8 uses.
115. sister - 8 uses.
116. fingers - 8 uses.
117. even - 8 uses.
118. alive - 8 uses.
119. push - 8 uses.
120. real - 8 uses.
121. dark - 8 uses.
122. hole - 8 uses.
123. soft - 8 uses.
124. small - 8 uses.
125. another - 8 uses.
126. blood - 8 uses.
127. shit - 7 uses.
128. within - 7 uses.
129. safe - 7 uses.
130. falls - 7 uses.
131. child - 7 uses.
132. afraid - 7 uses.
133. hoping - 7 uses.
134. fade - 7 uses.
135. spinning - 7 uses.
136. fear - 7 uses.
137. feeling - 7 uses.
138. voice - 7 uses.
139. baby - 7 uses.
140. babies - 7 uses.
141. empty - 7 uses.
142. floor - 7 uses.
143. wrapped - 7 uses.
144. spit - 7 uses.
145. cracks - 7 uses.
146. words - 7 uses.
147. once - 7 uses.
148. while - 7 uses.
149. head - 7 uses.
150. guess - 7 uses.
151. name - 7 uses.
152. dog - 7 uses.
153. wait - 7 uses.
154. memory - 7 uses.
155. left - 7 uses.
156. far - 7 uses.
157. move - 7 uses.
158. swollen - 7 uses.
159. silver - 7 uses.
160. tongue - 7 uses.
161. tearing - 7 uses.
162. weird - 7 uses.
163. full - 7 uses.
164. coming - 7 uses.
165. portrait - 7 uses.
166. goodbye - 7 uses.
167. goes - 7 uses.
168. watching - 6 uses.
169. gone - 6 uses.
170. show - 6 uses.
171. told - 6 uses.
172. sea - 6 uses.
173. softly - 6 uses.
174. breaking - 6 uses.
175. fading - 6 uses.
176. skin - 6 uses.
177. fill - 6 uses.
178. till - 6 uses.
179. okay - 6 uses.
180. much - 6 uses.
181. machine - 6 uses.
182. rest - 6 uses.
183. anything - 6 uses.
184. bright - 6 uses.
185. without - 6 uses.
186. sheets - 6 uses.
187. thing - 6 uses.
188. tuesday - 6 uses.
189. moon - 6 uses.
190. flying - 6 uses.
191. burning - 6 uses.
192. sound - 6 uses.
193. wrap - 6 uses.
194. weight - 6 uses.
195. ok - 6 uses.
196. yes - 6 uses.
197. moving - 6 uses.
198. father - 6 uses.
199. green - 6 uses.
200. remember - 6 uses.
201. theyll - 6 uses.
202. came - 6 uses.
203. light - 6 uses.
204. high - 6 uses.
205. round - 6 uses.
206. beat - 6 uses.
207. times - 6 uses.
208. should - 6 uses.
209. break - 6 uses.
210. miles - 6 uses.
211. control - 6 uses.
212. age - 5 uses.
213. buried - 5 uses.
214. grow - 5 uses.
215. wind - 5 uses.
216. snow - 5 uses.
217. fall - 5 uses.
218. dreams - 5 uses.
219. hate - 5 uses.
220. someone - 5 uses.
221. ones - 5 uses.
222. rain - 5 uses.
223. children - 5 uses.
224. calls - 5 uses.
225. dear - 5 uses.
226. free - 5 uses.
227. close - 5 uses.
228. door - 5 uses.
229. lost - 5 uses.
230. taste - 5 uses.
231. climb - 5 uses.
232. escape - 5 uses.
233. trees - 5 uses.
234. holy - 5 uses.
235. lay - 5 uses.
236. learn - 5 uses.
237. window - 5 uses.
