Most used words by Nine Inch Nails: 
Number of songs scanned: 128

1. away - 220 uses.
2. down - 183 uses.
3. feel - 134 uses.
4. myself - 132 uses.
5. everything - 119 uses.
6. inside - 118 uses.
7. back - 105 uses.
8. take - 104 uses.
9. think - 92 uses.
10. never - 90 uses.
11. here - 90 uses.
12. world - 88 uses.
13. stop - 86 uses.
14. let - 83 uses.
15. right - 81 uses.
16. give - 80 uses.
17. need - 79 uses.
18. god - 74 uses.
19. something - 70 uses.
20. love - 70 uses.
21. every - 69 uses.
22. nothing - 66 uses.
23. maybe - 65 uses.
24. anymore - 63 uses.
25. through - 63 uses.
26. tell - 58 uses.
27. head - 57 uses.
28. only - 57 uses.
29. control - 57 uses.
30. breathe - 55 uses.
31. hey - 55 uses.
32. keep - 55 uses.
33. tried - 54 uses.
34. running - 53 uses.
35. believe - 50 uses.
36. really - 49 uses.
37. place - 47 uses.
38. last - 47 uses.
39. again - 46 uses.
40. cannot - 46 uses.
41. gone - 45 uses.
42. perfect - 45 uses.
43. ever - 44 uses.
44. try - 44 uses.
45. remember - 44 uses.
46. nipples - 43 uses.
47. na - 43 uses.
48. little - 42 uses.
49. better - 41 uses.
50. anything - 40 uses.
51. trying - 40 uses.
52. hard - 40 uses.
53. break - 39 uses.
54. used - 38 uses.
55. apart - 38 uses.
56. help - 38 uses.
57. getting - 38 uses.
58. feels - 38 uses.
59. keeps - 37 uses.
60. hold - 37 uses.
61. greed - 37 uses.
62. fucking - 37 uses.
63. far - 37 uses.
64. new - 36 uses.
65. left - 35 uses.
66. isnt - 35 uses.
67. coming - 35 uses.
68. end - 34 uses.
69. came - 34 uses.
70. else - 33 uses.
71. wake - 33 uses.
72. drug - 33 uses.
73. stay - 32 uses.
74. thing - 32 uses.
75. hurt - 32 uses.
76. slowly - 32 uses.
77. enough - 31 uses.
78. turn - 31 uses.
79. happening - 31 uses.
80. someone - 31 uses.
81. whats - 31 uses.
82. start - 30 uses.
83. skin - 30 uses.
84. high - 30 uses.
85. things - 30 uses.
86. smashed - 30 uses.
87. over - 29 uses.
88. going - 29 uses.
89. none - 29 uses.
90. fuck - 29 uses.
91. black - 29 uses.
92. once - 29 uses.
93. before - 29 uses.
94. starfuckers - 29 uses.
95. happiness - 29 uses.
96. sky - 28 uses.
97. even - 28 uses.
98. everyone - 28 uses.
99. hide - 28 uses.
100. same - 28 uses.
101. about - 27 uses.
102. done - 27 uses.
103. eyes - 27 uses.
104. thought - 27 uses.
105. whole - 26 uses.
106. pain - 26 uses.
107. push - 25 uses.
108. real - 25 uses.
109. slipping - 25 uses.
110. much - 25 uses.
111. lie - 25 uses.
112. save - 25 uses.
113. please - 24 uses.
114. become - 24 uses.
115. always - 24 uses.
116. throw - 24 uses.
117. letting - 24 uses.
118. slavery - 24 uses.
119. true - 23 uses.
120. closer - 23 uses.
121. doesnt - 23 uses.
122. knees - 23 uses.
123. pigs - 23 uses.
124. calling - 23 uses.
125. copy - 23 uses.
126. care - 22 uses.
