Most used words by Nirvana: 
Number of songs scanned: 131

1. take - 194 uses.
2. home - 121 uses.
3. beat - 113 uses.
4. grandma - 107 uses.
5. girl - 102 uses.
6. away - 96 uses.
7. should - 95 uses.
8. think - 91 uses.
9. never - 74 uses.
10. hello - 72 uses.
11. hey - 71 uses.
12. dive - 67 uses.
13. ever - 65 uses.
14. let - 64 uses.
15. little - 62 uses.
16. back - 61 uses.
17. love - 60 uses.
18. heart - 59 uses.
19. mind - 59 uses.
20. even - 58 uses.
21. old - 56 uses.
22. care - 56 uses.
23. myself - 55 uses.
24. help - 55 uses.
25. something - 54 uses.
26. need - 52 uses.
27. god - 52 uses.
28. happy - 51 uses.
29. here - 50 uses.
30. likes - 48 uses.
31. sun - 47 uses.
32. new - 47 uses.
33. again - 45 uses.
34. play - 45 uses.
35. right - 44 uses.
36. feel - 44 uses.
37. son - 44 uses.
38. please - 43 uses.
39. straight - 42 uses.
40. yourself - 42 uses.
41. daddys - 42 uses.
42. shame - 41 uses.
43. keeps - 40 uses.
44. ride - 40 uses.
45. shit - 39 uses.
46. ooh - 38 uses.
47. comes - 38 uses.
48. kiss - 38 uses.
49. night - 37 uses.
50. getting - 37 uses.
51. gun - 36 uses.
52. better - 36 uses.
53. nothing - 36 uses.
54. eyes - 36 uses.
55. afraid - 35 uses.
56. die - 34 uses.
57. only - 33 uses.
58. dumb - 32 uses.
59. over - 31 uses.
60. cut - 31 uses.
61. must - 31 uses.
62. wouldnt - 30 uses.
63. pay - 30 uses.
64. mmm - 29 uses.
65. hold - 29 uses.
66. pumpin - 28 uses.
67. marijuana - 28 uses.
68. stay - 28 uses.
69. rape - 28 uses.
70. room - 27 uses.
71. gimme - 27 uses.
72. friend - 26 uses.
73. another - 26 uses.
74. down - 26 uses.
75. stain - 26 uses.
76. eat - 25 uses.
77. through - 25 uses.
78. anything - 25 uses.
79. memoria - 24 uses.
80. promise - 24 uses.
81. low - 24 uses.
82. negative - 24 uses.
83. creep - 24 uses.
84. gut - 24 uses.
85. around - 23 uses.
86. good - 23 uses.
87. polly - 23 uses.
88. wants - 23 uses.
89. cold - 23 uses.
90. sound - 22 uses.
91. lie - 22 uses.
92. true - 22 uses.
93. hmm - 22 uses.
94. milk - 22 uses.
95. life - 22 uses.
96. put - 21 uses.
97. dirty - 21 uses.
98. told - 21 uses.
99. wrong - 20 uses.
100. spayed - 20 uses.
101. clean - 20 uses.
102. isnt - 20 uses.
103. pines - 20 uses.
104. fun - 20 uses.
105. titillate - 20 uses.
106. denial - 20 uses.
107. wait - 19 uses.
108. always - 19 uses.
109. face - 19 uses.
110. alcohol - 19 uses.
111. million - 19 uses.
