Most used words by Noah and the Whale: 
Number of songs scanned: 40

1. love - 124 uses.
2. heart - 48 uses.
3. back - 40 uses.
4. life - 33 uses.
5. night - 30 uses.
6. little - 26 uses.
7. own - 24 uses.
8. think - 23 uses.
9. through - 23 uses.
10. tonight - 22 uses.
11. always - 22 uses.
12. give - 21 uses.
13. world - 21 uses.
14. again - 19 uses.
15. down - 19 uses.
16. only - 19 uses.
17. need - 18 uses.
18. change - 18 uses.
19. sun - 18 uses.
20. turn - 18 uses.
21. feel - 17 uses.
22. feels - 17 uses.
23. over - 16 uses.
24. before - 15 uses.
25. years - 15 uses.
26. never - 15 uses.
27. someone - 15 uses.
28. let - 15 uses.
29. away - 14 uses.
30. therell - 14 uses.
31. light - 14 uses.
32. fun - 14 uses.
33. everything - 14 uses.
34. hard - 13 uses.
35. waiting - 13 uses.
36. show - 13 uses.
37. late - 13 uses.
38. chance - 12 uses.
39. while - 12 uses.
40. head - 12 uses.
41. met - 12 uses.
42. 5000 - 12 uses.
43. darkness - 12 uses.
44. exactly - 12 uses.
45. grow - 11 uses.
46. ever - 11 uses.
47. blue - 11 uses.
48. going - 11 uses.
49. break - 11 uses.
50. bodies - 11 uses.
51. fell - 11 uses.
52. about - 11 uses.
53. free - 11 uses.
54. door - 11 uses.
55. things - 11 uses.
56. stars - 11 uses.
57. any - 11 uses.
58. friends - 11 uses.
59. line - 11 uses.
60. til - 11 uses.
61. wherever - 11 uses.
62. believe - 10 uses.
63. nothing - 10 uses.
64. old - 10 uses.
65. sing - 10 uses.
66. surrounds - 10 uses.
67. hoping - 9 uses.
68. new - 9 uses.
69. last - 9 uses.
70. leave - 9 uses.
71. cos - 9 uses.
72. start - 9 uses.
73. hold - 9 uses.
74. much - 9 uses.
75. something - 9 uses.
76. looking - 9 uses.
77. honey - 9 uses.
78. kind - 9 uses.
79. lives - 8 uses.
80. earth - 8 uses.
81. used - 8 uses.
82. coming - 8 uses.
83. body - 8 uses.
84. lifetime - 8 uses.
85. hear - 8 uses.
86. lonely - 8 uses.
87. laughing - 8 uses.
88. slow - 8 uses.
89. tonights - 8 uses.
90. hope - 7 uses.
91. every - 7 uses.
92. bed - 7 uses.
93. dream - 7 uses.
94. lying - 7 uses.
95. right - 7 uses.
96. thing - 7 uses.
97. heaven - 7 uses.
98. real - 7 uses.
99. eyes - 7 uses.
100. dark - 7 uses.
101. comes - 7 uses.
102. hand - 7 uses.
103. death - 7 uses.
104. lie - 7 uses.
105. standing - 7 uses.
106. after - 7 uses.
107. five - 7 uses.
108. here - 6 uses.
109. though - 6 uses.
110. skies - 6 uses.
111. mind - 6 uses.
112. hands - 6 uses.
113. pulse - 6 uses.
114. mine - 6 uses.
115. apart - 6 uses.
116. young - 6 uses.
117. alone - 6 uses.
118. baby - 6 uses.
119. floor - 6 uses.
120. window - 6 uses.
121. stared - 6 uses.
122. run - 6 uses.
123. live - 6 uses.
124. wild - 6 uses.
125. living - 6 uses.
126. hair - 6 uses.
127. town - 6 uses.
128. round - 6 uses.
129. joy - 6 uses.
130. please - 6 uses.
131. makes - 6 uses.
132. glass - 6 uses.
133. shy - 6 uses.
134. brave - 6 uses.
135. lifegoeson - 6 uses.
136. people - 6 uses.
137. might - 6 uses.
138. open - 6 uses.
139. gone - 6 uses.
140. faith - 6 uses.
141. trees - 5 uses.
142. worth - 5 uses.
143. ready - 5 uses.
144. become - 5 uses.
145. person - 5 uses.
146. song - 5 uses.
147. broken - 5 uses.
148. those - 5 uses.
149. end - 5 uses.
150. between - 5 uses.
151. left - 5 uses.
152. home - 5 uses.
153. thought - 5 uses.
154. god - 5 uses.
155. shining - 5 uses.
156. since - 5 uses.
157. leaves - 5 uses.
158. being - 5 uses.
159. ground - 5 uses.
160. inside - 5 uses.
161. forget - 5 uses.
162. dreams - 5 uses.
163. shell - 5 uses.
164. walk - 5 uses.
165. champion - 5 uses.
166. lisa - 5 uses.
167. below - 5 uses.
168. mary - 5 uses.
169. maybe - 5 uses.
170. try - 5 uses.
171. finger - 5 uses.
172. follow - 5 uses.
173. passing - 5 uses.
174. spring - 4 uses.
175. cut - 4 uses.
176. year - 4 uses.
177. anyone - 4 uses.
178. anything - 4 uses.
179. happy - 4 uses.
180. keep - 4 uses.
181. same - 4 uses.
182. hearts - 4 uses.
183. because - 4 uses.
184. moment - 4 uses.
185. ago - 4 uses.
186. fall - 4 uses.
187. thinking - 4 uses.
188. knows - 4 uses.
189. saying - 4 uses.
190. around - 4 uses.
191. together - 4 uses.
192. morning - 4 uses.
193. ways - 4 uses.
194. far - 4 uses.
195. sky - 4 uses.
196. black - 4 uses.
197. die - 4 uses.
198. rock - 4 uses.
199. roll - 4 uses.
200. other - 4 uses.
201. making - 4 uses.
202. days - 4 uses.
203. gunna - 4 uses.
204. tune - 4 uses.
205. girl - 4 uses.
206. finding - 4 uses.
207. found - 4 uses.
208. diamond - 4 uses.
209. hide - 4 uses.
210. sense - 4 uses.
211. blood - 4 uses.
212. orchestra - 4 uses.
213. cry - 4 uses.
214. others - 4 uses.
215. perfect - 4 uses.
216. fear - 4 uses.
217. outside - 4 uses.
218. good - 4 uses.
219. forgive - 4 uses.
220. offer - 4 uses.
221. first - 3 uses.
222. water - 3 uses.
223. everyone - 3 uses.
224. fuck - 3 uses.
225. tree - 3 uses.
226. bigger - 3 uses.
227. flower - 3 uses.
228. grows - 3 uses.
229. longer - 3 uses.
230. believed - 3 uses.
231. write - 3 uses.
232. even - 3 uses.
233. behind - 3 uses.
234. inseparably - 3 uses.
235. piece - 3 uses.
236. bond - 3 uses.
237. christmas - 3 uses.
238. demons - 3 uses.
239. soon - 3 uses.
240. grew - 3 uses.
241. few - 3 uses.
242. spend - 3 uses.
243. whole - 3 uses.
244. watches - 3 uses.
245. wrong - 3 uses.
246. jennifer - 3 uses.
247. remember - 3 uses.
248. kiss - 3 uses.
249. both - 3 uses.
250. talking - 3 uses.
251. gave - 3 uses.
252. else - 3 uses.
253. gotta - 3 uses.
254. without - 3 uses.
255. band - 3 uses.
256. kids - 3 uses.
257. parents - 3 uses.
258. takes - 3 uses.
259. walking - 3 uses.
260. speak - 3 uses.
261. ones - 3 uses.
262. stay - 3 uses.
263. fine - 3 uses.
264. better - 3 uses.
265. fickle - 3 uses.
266. loved - 3 uses.
267. saw - 3 uses.
268. pain - 3 uses.
269. enough - 3 uses.
270. cold - 3 uses.
271. wind - 3 uses.
272. hell - 3 uses.
273. drunk - 3 uses.
274. make-up - 3 uses.
275. says - 3 uses.
276. lips - 3 uses.
277. money - 3 uses.
278. friend - 3 uses.
279. face - 3 uses.
280. best - 3 uses.
281. truth - 3 uses.
282. pay - 3 uses.
283. done - 3 uses.
284. songs - 3 uses.
285. rocks - 3 uses.
286. knees - 3 uses.
287. matter - 3 uses.
288. single - 3 uses.
289. another - 3 uses.
290. wanted - 3 uses.
291. lets - 3 uses.
292. side - 3 uses.
293. least - 3 uses.
294. peaceful - 3 uses.
295. whatever - 3 uses.
296. underground - 3 uses.
297. lost - 3 uses.
298. past - 3 uses.
299. searching - 3 uses.
300. burns - 3 uses.
301. moon - 3 uses.
302. front - 3 uses.
303. pretty - 3 uses.
304. river - 2 uses.
305. yours - 2 uses.
306. atoms - 2 uses.
307. molecule - 2 uses.
308. combined - 2 uses.
309. rope - 2 uses.
310. pieces - 2 uses.
311. vine - 2 uses.
312. separate - 2 uses.
313. angels - 2 uses.
314. wear - 2 uses.
315. high - 2 uses.
316. thousand - 2 uses.
317. times - 2 uses.
318. guess - 2 uses.
319. getting - 2 uses.
320. married - 2 uses.
321. brother - 2 uses.
322. mostly - 2 uses.
323. summer - 2 uses.
324. pray - 2 uses.
325. hate - 2 uses.
326. stretched - 2 uses.
327. months - 2 uses.
328. talk - 2 uses.
329. closely - 2 uses.
330. scream - 2 uses.
331. stranger - 2 uses.
332. somebody - 2 uses.
333. took - 2 uses.
334. set - 2 uses.
335. greater - 2 uses.
336. hed - 2 uses.
337. threw - 2 uses.
338. car - 2 uses.
339. shape - 2 uses.
340. hollow - 2 uses.
341. chest - 2 uses.
342. great - 2 uses.
343. weight - 2 uses.
344. snow - 2 uses.
345. helps - 2 uses.
346. alive - 2 uses.
347. called - 2 uses.
348. wed - 2 uses.
349. play - 2 uses.
350. bedroom - 2 uses.
351. working - 2 uses.
352. performance - 2 uses.
353. victory - 2 uses.
354. watch - 2 uses.
355. next - 2 uses.
356. smile - 2 uses.
357. take - 2 uses.
358. lead - 2 uses.
359. figure - 2 uses.
360. myself - 2 uses.
361. pleasure - 2 uses.
362. must - 2 uses.
363. bones - 2 uses.
364. leaving - 2 uses.
365. a-calling - 2 uses.
366. trust - 2 uses.
367. seen - 2 uses.
368. birds - 2 uses.
369. yesterday - 2 uses.
370. upon - 2 uses.
371. rot - 2 uses.
372. blow - 2 uses.
373. yell - 2 uses.
374. waves - 2 uses.
375. lived - 2 uses.
376. bright - 2 uses.
377. photos - 2 uses.
378. cigarettes - 2 uses.
379. romantic - 2 uses.
380. trying - 2 uses.
381. flame - 2 uses.
382. deep - 2 uses.
383. almost - 2 uses.
384. turned - 2 uses.
385. gray - 2 uses.
386. map - 2 uses.
387. work - 2 uses.
388. breathe - 2 uses.
389. air - 2 uses.
390. carrying - 2 uses.
391. gimme - 2 uses.
392. sorrow - 2 uses.
393. stabbed - 2 uses.
394. singing - 2 uses.
395. tried - 2 uses.
396. strangers - 2 uses.
397. sea - 2 uses.
398. erosion - 2 uses.
399. defeat - 2 uses.
400. given - 2 uses.
401. although - 2 uses.
402. under - 2 uses.
403. shines - 2 uses.
404. shoes - 2 uses.
405. comforts - 2 uses.
406. picked - 2 uses.
407. blown - 2 uses.
408. carry - 2 uses.
409. theyll - 2 uses.
410. lovers - 2 uses.
411. dead - 2 uses.
412. nearly - 2 uses.
413. words - 2 uses.
414. lied - 2 uses.
415. birthday - 2 uses.
416. really - 2 uses.
417. shut - 2 uses.
418. mouth - 2 uses.
419. dawn - 2 uses.
420. learn - 2 uses.
421. everyones - 2 uses.
422. turning - 2 uses.
423. backs - 2 uses.
424. suns - 2 uses.
425. misery - 2 uses.
426. game - 2 uses.
427. won - 2 uses.
428. rage - 2 uses.
429. soul - 2 uses.
430. sleep - 2 uses.
431. stains - 2 uses.
432. anger - 2 uses.
433. teeth - 2 uses.
434. breeze - 2 uses.
435. sarahs - 2 uses.
436. laid - 2 uses.
437. footsteps - 2 uses.
438. skin - 2 uses.
439. belong - 2 uses.
440. freedom - 2 uses.
441. heels - 2 uses.
442. street - 2 uses.
443. gold - 2 uses.
444. till - 2 uses.
445. lays - 2 uses.
446. compare - 2 uses.
447. darling - 2 uses.
448. beat - 2 uses.
449. itself - 2 uses.
450. reality - 2 uses.
451. put - 2 uses.
452. x - 2 uses.
453. blame - 2 uses.
454. ashamed - 2 uses.
455. brooding - 2 uses.
456. demure - 2 uses.
457. keeps - 2 uses.
458. spins - 2 uses.
459. wheel - 2 uses.
460. moments - 2 uses.
461. movements - 2 uses.
462. true - 2 uses.
463. okay - 2 uses.
464. sure - 2 uses.
465. cure - 2 uses.
466. hanging - 2 uses.
467. glimmer - 2 uses.
468. stupid - 2 uses.
469. goodbye - 2 uses.
470. ohhh - 2 uses.
