Most used words by Ok Go: 
Number of songs scanned: 59

1. down - 132 uses.
2. let - 123 uses.
3. here - 41 uses.
4. love - 38 uses.
5. keep - 36 uses.
6. together - 34 uses.
7. right - 32 uses.
8. fucking - 32 uses.
9. nerd - 32 uses.
10. bad - 29 uses.
11. tonight - 28 uses.
12. never - 28 uses.
13. good - 28 uses.
14. eyes - 27 uses.
15. think - 26 uses.
16. over - 26 uses.
17. maybe - 26 uses.
18. seemed - 25 uses.
19. much - 24 uses.
20. night - 23 uses.
21. understand - 23 uses.
22. long - 22 uses.
23. stop - 21 uses.
24. lost - 21 uses.
25. about - 20 uses.
26. invincible - 20 uses.
27. tell - 20 uses.
28. house - 20 uses.
29. give - 19 uses.
30. turn - 19 uses.
31. through - 18 uses.
32. moon - 18 uses.
33. morning - 18 uses.
34. fire - 18 uses.
35. million - 18 uses.
36. ways - 18 uses.
37. little - 17 uses.
38. mind - 17 uses.
39. always - 17 uses.
40. before - 16 uses.
41. thing - 16 uses.
42. everything - 16 uses.
43. obsession - 16 uses.
44. done - 16 uses.
45. only - 15 uses.
46. lot - 15 uses.
47. blue - 15 uses.
48. head - 15 uses.
49. comes - 15 uses.
50. lettin - 15 uses.
51. might - 15 uses.
52. likes - 15 uses.
53. alone - 15 uses.
54. lets - 15 uses.
55. mean - 15 uses.
56. took - 14 uses.
57. breathe - 14 uses.
58. feel - 14 uses.
59. trying - 14 uses.
60. aw - 14 uses.
61. need - 14 uses.
62. idea - 14 uses.
63. whose - 14 uses.
64. leave - 13 uses.
65. someone - 13 uses.
66. yet - 13 uses.
67. baby - 13 uses.
68. myself - 13 uses.
69. waiting - 13 uses.
70. dream - 13 uses.
71. every - 13 uses.
72. wins - 13 uses.
73. hands - 13 uses.
74. cruel - 13 uses.
75. red - 13 uses.
76. days - 12 uses.
77. while - 12 uses.
78. rain - 12 uses.
79. ones - 12 uses.
80. darling - 12 uses.
81. forever - 12 uses.
82. yellow - 12 uses.
83. matters - 12 uses.
84. shine - 12 uses.
85. again - 11 uses.
86. hey - 11 uses.
87. life - 11 uses.
88. pour - 11 uses.
89. gotta - 11 uses.
90. sky - 11 uses.
91. lights - 11 uses.
92. white - 11 uses.
93. kill - 11 uses.
94. hell - 11 uses.
95. chrysalis - 11 uses.
96. going - 11 uses.
97. moment - 11 uses.
98. build - 11 uses.
99. ya - 10 uses.
100. things - 10 uses.
101. soon - 10 uses.
102. kind - 10 uses.
103. sleep - 10 uses.
104. people - 10 uses.
105. ever - 10 uses.
106. everyone - 10 uses.
107. until - 10 uses.
108. wrong - 10 uses.
109. burn - 10 uses.
110. gone - 9 uses.
111. remember - 9 uses.
112. such - 9 uses.
113. better - 9 uses.
114. perfect - 9 uses.
115. dark - 9 uses.
116. last - 9 uses.
117. back - 9 uses.
118. new - 9 uses.
119. another - 9 uses.
120. high - 9 uses.
121. world - 9 uses.
122. true - 9 uses.
123. rape - 9 uses.
124. tigers - 9 uses.
125. same - 9 uses.
126. town - 9 uses.
127. blind - 9 uses.
128. television - 9 uses.
129. should - 8 uses.
130. even - 8 uses.
131. glass - 8 uses.
132. grow - 8 uses.
133. hallelujah - 8 uses.
134. around - 8 uses.
135. really - 8 uses.
136. enough - 8 uses.
137. heart - 8 uses.
138. colors - 8 uses.
139. lose - 8 uses.
140. inside - 8 uses.
141. quite - 8 uses.
142. shooting - 8 uses.
143. haunting - 8 uses.
144. forget - 7 uses.
145. something - 7 uses.
146. years - 7 uses.
147. quiet - 7 uses.
148. sugar - 7 uses.
149. hard - 7 uses.
150. hot - 7 uses.
151. own - 7 uses.
152. god - 7 uses.
153. bring - 7 uses.
154. arms - 7 uses.
155. friends - 7 uses.
156. standing - 7 uses.
157. bright - 7 uses.
158. must - 7 uses.
159. open - 7 uses.
160. upside - 7 uses.
161. crash - 7 uses.
162. weve - 7 uses.
163. year - 6 uses.
164. helped - 6 uses.
165. half - 6 uses.
166. goes - 6 uses.
167. guess - 6 uses.
168. old - 6 uses.
169. saw - 6 uses.
170. whats - 6 uses.
171. change - 6 uses.
172. blame - 6 uses.
173. those - 6 uses.
174. end - 6 uses.
175. reason - 6 uses.
176. show - 6 uses.
177. try - 6 uses.
178. finally - 6 uses.
179. please - 6 uses.
180. pass - 6 uses.
181. rise - 6 uses.
182. hair - 6 uses.
183. straight - 6 uses.
184. stay - 6 uses.
185. light - 6 uses.
186. different - 6 uses.
187. rest - 6 uses.
188. real - 6 uses.
189. knows - 6 uses.
190. nothing - 6 uses.
191. jacob - 6 uses.
192. uh - 6 uses.
193. huh - 6 uses.
194. book - 6 uses.
195. abandoned - 6 uses.
196. bed - 6 uses.
197. thought - 6 uses.
198. radio - 6 uses.
199. everybody - 6 uses.
200. beat - 6 uses.
201. three - 6 uses.
202. primary - 6 uses.
203. orange - 6 uses.
204. purple - 6 uses.
205. smile - 5 uses.
206. side - 5 uses.
207. known - 5 uses.
208. car - 5 uses.
209. supposed - 5 uses.
210. crazy - 5 uses.
211. blow - 5 uses.
212. crying - 5 uses.
213. running - 5 uses.
214. bit - 5 uses.
215. hiding - 5 uses.
216. does - 5 uses.
217. felt - 5 uses.
218. door - 5 uses.
219. damn - 5 uses.
220. best - 5 uses.
221. other - 5 uses.
222. earth - 5 uses.
223. thousand - 5 uses.
224. behind - 5 uses.
225. wild - 5 uses.
226. clear - 5 uses.
227. alright - 5 uses.
228. shall - 5 uses.
