Most used words by Olivia Rodrigo: 
Number of songs scanned: 20

1. think - 28 uses.
2. love - 27 uses.
3. maybe - 24 uses.
4. never - 22 uses.
5. good - 21 uses.
6. really - 18 uses.
7. hope - 18 uses.
8. knew - 15 uses.
9. feel - 15 uses.
10. guess - 15 uses.
11. about - 15 uses.
12. wish - 14 uses.
13. much - 14 uses.
14. god - 13 uses.
15. jealousy - 13 uses.
16. ever - 13 uses.
17. everything - 13 uses.
18. happy - 13 uses.
19. back - 13 uses.
20. hate - 12 uses.
21. someone - 12 uses.
22. always - 11 uses.
23. bad - 11 uses.
24. girl - 11 uses.
25. baby - 11 uses.
26. friends - 10 uses.
27. only - 10 uses.
28. life - 10 uses.
29. enough - 10 uses.
30. anyone - 10 uses.
31. pretender - 10 uses.
32. loved - 9 uses.
33. heart - 9 uses.
34. déjà - 9 uses.
35. vu - 9 uses.
36. every - 9 uses.
37. rather - 9 uses.
38. boy - 9 uses.
39. sorry - 8 uses.
40. before - 8 uses.
41. let - 8 uses.
42. drive - 8 uses.
43. kinda - 8 uses.
44. things - 8 uses.
45. even - 7 uses.
46. new - 7 uses.
47. perfect - 7 uses.
48. crime - 7 uses.
49. mine - 7 uses.
50. world - 7 uses.
51. tell - 7 uses.
52. else - 7 uses.
53. cared - 7 uses.
54. myself - 7 uses.
55. ooh - 7 uses.
56. talked - 6 uses.
57. took - 6 uses.
58. true - 6 uses.
59. through - 6 uses.
60. without - 6 uses.
61. found - 6 uses.
62. today - 6 uses.
63. mean - 6 uses.
64. forever - 6 uses.
65. past - 6 uses.
66. over - 6 uses.
67. give - 6 uses.
68. better - 6 uses.
69. great - 6 uses.
70. pretty - 6 uses.
71. here - 6 uses.
72. understand - 6 uses.
73. step - 6 uses.
74. forward - 6 uses.
75. three - 6 uses.
76. steps - 6 uses.
77. funny - 5 uses.
78. second - 5 uses.
79. used - 5 uses.
80. thought - 5 uses.
81. youd - 5 uses.
82. kind - 5 uses.
83. song - 5 uses.
84. gone - 5 uses.
85. alone - 5 uses.
86. wanted - 5 uses.
87. night - 5 uses.
88. emotional - 5 uses.
89. does - 5 uses.
90. take - 5 uses.
91. broke - 5 uses.
92. long - 5 uses.
93. happier - 5 uses.
94. sick - 5 uses.
95. favorite - 5 uses.
96. people - 5 uses.
97. white - 4 uses.
98. played - 4 uses.
99. hurt - 4 uses.
100. together - 4 uses.
101. weeks - 4 uses.
102. traitor - 4 uses.
103. remember - 4 uses.
104. selfish - 4 uses.
105. floor - 4 uses.
106. something - 4 uses.
107. victim - 4 uses.
108. room - 4 uses.
109. mind - 4 uses.
110. change - 4 uses.
111. car - 4 uses.
112. bout - 4 uses.
113. thinks - 4 uses.
114. crying - 4 uses.
115. werent - 4 uses.
116. insecure - 4 uses.
117. street - 4 uses.
118. tired - 4 uses.
119. miss - 4 uses.
120. babe - 4 uses.
121. yourself - 4 uses.
122. ask - 4 uses.
123. doing - 4 uses.
124. should - 4 uses.
125. crush - 4 uses.
126. start - 4 uses.
127. help - 4 uses.
128. talk - 4 uses.
129. exciting - 4 uses.
130. cryin - 4 uses.
131. wrong - 4 uses.
132. satisfied - 4 uses.
133. girls - 4 uses.
134. anything - 4 uses.
135. nothings - 4 uses.
136. best - 4 uses.
137. gross - 4 uses.
138. care - 4 uses.
139. forth - 4 uses.
140. created - 4 uses.
141. own - 4 uses.
142. brutal - 4 uses.
143. brown - 3 uses.
144. guilty - 3 uses.
145. keep - 3 uses.
146. hell - 3 uses.
147. betrayed - 3 uses.
148. worst - 3 uses.
149. matter - 3 uses.
150. date - 3 uses.
151. cheat - 3 uses.
152. around - 3 uses.
153. down - 3 uses.
154. somebody - 3 uses.
155. fell - 3 uses.
156. boys - 3 uses.
157. young - 3 uses.
158. whats - 3 uses.
159. feels - 3 uses.
160. friend - 3 uses.
161. hands - 3 uses.
162. isnt - 3 uses.
163. looks - 3 uses.
164. bet - 3 uses.
165. reused - 3 uses.
166. first - 3 uses.
167. nothing - 3 uses.
168. house - 3 uses.
169. drove - 3 uses.
170. suburbs - 3 uses.
171. felt - 3 uses.
172. imagine - 3 uses.
173. okay - 3 uses.
174. wrote - 3 uses.
175. theyll - 3 uses.
176. face - 3 uses.
177. fucking - 3 uses.
178. crossed - 3 uses.
179. moved - 3 uses.
180. healthy - 3 uses.
181. lost - 3 uses.
182. spent - 3 uses.
183. bathroom - 3 uses.
184. unaffected - 3 uses.
185. getting - 3 uses.
186. taking - 3 uses.
187. salt - 3 uses.
188. left - 3 uses.
189. until - 3 uses.
190. flowers - 3 uses.
191. somehow - 3 uses.
192. losing - 3 uses.
193. years - 3 uses.
194. walk - 3 uses.
195. smart - 3 uses.
196. need - 3 uses.
197. hard - 3 uses.
198. pictures - 3 uses.
199. angel - 3 uses.
200. close - 3 uses.
201. most - 3 uses.
202. sounds - 3 uses.
203. killing - 3 uses.
204. slowly - 3 uses.
205. kids - 3 uses.
206. started - 3 uses.
207. following - 3 uses.
208. again - 3 uses.
209. cool - 3 uses.
210. 21st - 3 uses.
211. century - 3 uses.
212. real - 3 uses.
213. ego - 3 uses.
214. eyes - 2 uses.
215. little - 2 uses.
216. lies - 2 uses.
217. dumb - 2 uses.
218. called - 2 uses.
219. bring - 2 uses.
220. show - 2 uses.
221. damn - 2 uses.
222. brought - 2 uses.
223. told - 2 uses.
224. went - 2 uses.
225. gave - 2 uses.
226. apart - 2 uses.
227. blood - 2 uses.
228. messed - 2 uses.
229. mess - 2 uses.
230. blame - 2 uses.
231. knife - 2 uses.
232. deep - 2 uses.
233. hear - 2 uses.
234. red - 2 uses.
235. blue - 2 uses.
236. deserve - 2 uses.
237. finally - 2 uses.
238. swore - 2 uses.
239. sitting - 2 uses.
240. end - 2 uses.
241. drink - 2 uses.
242. present - 2 uses.
243. rebel - 2 uses.
244. clue - 2 uses.
245. lets - 2 uses.
246. sit - 2 uses.
247. watch - 2 uses.
248. malibu - 2 uses.
249. strawberry - 2 uses.
250. ice - 2 uses.
251. cream - 2 uses.
252. tradin - 2 uses.
253. jackets - 2 uses.
254. small - 2 uses.
