Most used words by Oso Oso: 
Number of songs scanned: 44

1. never - 53 uses.
2. away - 43 uses.
3. love - 43 uses.
4. down - 40 uses.
5. feel - 32 uses.
6. head - 29 uses.
7. think - 27 uses.
8. tell - 26 uses.
9. those - 26 uses.
10. back - 25 uses.
11. here - 24 uses.
12. hate - 23 uses.
13. mean - 22 uses.
14. trying - 21 uses.
15. need - 21 uses.
16. always - 21 uses.
17. felt - 21 uses.
18. give - 20 uses.
19. ever - 20 uses.
20. stay - 20 uses.
21. let - 20 uses.
22. something - 19 uses.
23. nothing - 19 uses.
24. feeling - 19 uses.
25. thought - 19 uses.
26. words - 19 uses.
27. fall - 18 uses.
28. feels - 18 uses.
29. only - 17 uses.
30. things - 17 uses.
31. couldnt - 17 uses.
32. tried - 17 uses.
33. old - 16 uses.
34. left - 16 uses.
35. eyes - 16 uses.
36. through - 16 uses.
37. keep - 16 uses.
38. take - 16 uses.
39. really - 16 uses.
40. wrong - 15 uses.
41. new - 15 uses.
42. mess - 15 uses.
43. every - 14 uses.
44. another - 14 uses.
45. again - 14 uses.
46. thing - 14 uses.
47. hold - 13 uses.
48. feet - 13 uses.
49. alone - 13 uses.
50. right - 13 uses.
51. easy - 13 uses.
52. enough - 13 uses.
53. neighbors - 13 uses.
54. late - 12 uses.
55. big - 12 uses.
56. found - 12 uses.
57. days - 12 uses.
58. ta - 12 uses.
59. everything - 12 uses.
60. far - 11 uses.
61. start - 11 uses.
62. sleep - 11 uses.
63. room - 11 uses.
64. anyone - 11 uses.
65. same - 10 uses.
66. wait - 10 uses.
67. place - 10 uses.
68. nice - 10 uses.
69. try - 10 uses.
70. both - 10 uses.
71. sun - 10 uses.
72. myself - 10 uses.
73. much - 10 uses.
74. glow - 10 uses.
75. knew - 10 uses.
76. em - 10 uses.
77. hope - 10 uses.
78. saw - 10 uses.
79. since - 10 uses.
80. whoa-oh - 10 uses.
81. song - 9 uses.
82. wanted - 9 uses.
83. coming - 9 uses.
84. inside - 9 uses.
85. believe - 9 uses.
86. running - 9 uses.
87. told - 9 uses.
88. hear - 9 uses.
89. over - 9 uses.
90. yes - 9 uses.
91. next - 9 uses.
92. sorry - 9 uses.
93. once - 9 uses.
94. till - 9 uses.
95. fuck - 9 uses.
96. even - 9 uses.
97. basking - 9 uses.
98. around - 9 uses.
99. living - 8 uses.
100. name - 8 uses.
101. little - 8 uses.
102. youd - 8 uses.
103. fine - 8 uses.
104. home - 8 uses.
105. slow - 8 uses.
106. underneath - 8 uses.
107. most - 8 uses.
108. hell - 8 uses.
109. ends - 8 uses.
110. gotta - 8 uses.
111. dead - 8 uses.
112. game - 8 uses.
113. learn - 8 uses.
114. space - 8 uses.
115. might - 8 uses.
116. hang - 8 uses.
117. subside - 8 uses.
118. without - 7 uses.
119. whole - 7 uses.
120. leaning - 7 uses.
121. wave - 7 uses.
122. leave - 7 uses.
123. safe - 7 uses.
124. save - 7 uses.
125. looking - 7 uses.
126. waiting - 7 uses.
127. open - 7 uses.
128. mind - 7 uses.
129. cool - 7 uses.
130. end - 7 uses.
131. figure - 7 uses.
132. past - 7 uses.
133. read - 7 uses.
134. friend - 7 uses.
135. voice - 7 uses.
136. heard - 7 uses.
137. turn - 6 uses.
138. sense - 6 uses.
139. someone - 6 uses.
140. grows - 6 uses.
141. tired - 6 uses.
142. side - 6 uses.
143. put - 6 uses.
144. about - 6 uses.
145. walls - 6 uses.
146. escape - 6 uses.
147. ones - 6 uses.
148. last - 6 uses.
149. says - 6 uses.
150. alright - 6 uses.
151. talk - 6 uses.
152. hand - 6 uses.
153. touch - 6 uses.
154. break - 6 uses.
155. truth - 6 uses.
156. view - 6 uses.
157. face - 6 uses.
158. sure - 6 uses.
159. carry - 6 uses.
160. lit - 6 uses.
161. slip - 6 uses.
162. does - 6 uses.
