Most used words by Owl City: 
Number of songs scanned: 130

1. love - 124 uses.
2. never - 124 uses.
3. take - 124 uses.
4. away - 119 uses.
5. down - 119 uses.
6. eyes - 105 uses.
7. through - 104 uses.
8. feel - 102 uses.
9. heart - 99 uses.
10. night - 98 uses.
11. home - 97 uses.
12. back - 97 uses.
13. light - 95 uses.
14. life - 91 uses.
15. sky - 90 uses.
16. tonight - 87 uses.
17. world - 86 uses.
18. again - 86 uses.
19. alone - 76 uses.
20. shine - 74 uses.
21. around - 73 uses.
22. let - 69 uses.
23. good - 65 uses.
24. right - 63 uses.
25. always - 61 uses.
26. hope - 54 uses.
27. every - 53 uses.
28. live - 53 uses.
29. here - 49 uses.
30. believe - 49 uses.
31. dreams - 49 uses.
32. christmas - 48 uses.
33. fly - 47 uses.
34. fall - 46 uses.
35. even - 46 uses.
36. new - 46 uses.
37. alive - 45 uses.
38. lost - 44 uses.
39. stars - 44 uses.
40. everything - 44 uses.
41. sun - 44 uses.
42. leave - 43 uses.
43. dream - 43 uses.
44. over - 42 uses.
45. because - 41 uses.
46. sing - 40 uses.
47. fire - 40 uses.
48. wish - 39 uses.
49. lights - 39 uses.
50. heres - 39 uses.
51. meet - 38 uses.
52. turn - 38 uses.
53. hear - 38 uses.
54. tell - 37 uses.
55. only - 36 uses.
56. close - 35 uses.
57. hand - 35 uses.
58. need - 35 uses.
59. mind - 34 uses.
60. cold - 34 uses.
61. ever - 34 uses.
62. lets - 33 uses.
63. watch - 33 uses.
64. high - 33 uses.
65. dark - 33 uses.
66. far - 33 uses.
67. above - 33 uses.
68. left - 32 uses.
69. goodbye - 32 uses.
70. please - 32 uses.
71. remember - 32 uses.
72. after - 32 uses.
73. air - 32 uses.
74. run - 32 uses.
75. woah - 32 uses.
76. da-da-da - 32 uses.
77. beautiful - 31 uses.
78. friends - 31 uses.
79. driving - 31 uses.
80. hard - 30 uses.
81. show - 30 uses.
82. die - 30 uses.
83. awake - 30 uses.
84. goes - 30 uses.
85. top - 30 uses.
86. hey - 29 uses.
87. about - 29 uses.
88. stand - 29 uses.
89. rather - 28 uses.
90. days - 28 uses.
91. give - 28 uses.
92. sound - 28 uses.
93. think - 28 uses.
94. before - 28 uses.
95. without - 28 uses.
96. feeling - 28 uses.
97. hands - 28 uses.
98. woo-oo - 28 uses.
99. forever - 27 uses.
100. gotta - 27 uses.
101. try - 27 uses.
102. put - 27 uses.
103. inside - 27 uses.
104. though - 27 uses.
105. bright - 27 uses.
106. hello - 27 uses.
107. blue - 26 uses.
108. hold - 26 uses.
109. keep - 26 uses.
110. deep - 25 uses.
111. finally - 25 uses.
112. breath - 25 uses.
113. follow - 25 uses.
114. kiss - 24 uses.
115. knew - 24 uses.
116. bah - 24 uses.
117. crazy - 24 uses.
118. rain - 24 uses.
119. unbelievable - 24 uses.
120. wings - 23 uses.
121. matter - 23 uses.
122. sea - 23 uses.
123. smile - 23 uses.
124. changes - 23 uses.
125. felt - 22 uses.
126. own - 22 uses.
127. lives - 22 uses.
128. mine - 22 uses.
129. wide - 22 uses.
130. jesus - 22 uses.
131. sleep - 22 uses.
132. falling - 22 uses.
133. side - 22 uses.
134. star - 21 uses.
135. nothing - 21 uses.
136. lead - 21 uses.
137. walk - 21 uses.
138. room - 21 uses.
139. stay - 21 uses.
140. ready - 21 uses.
141. whats - 21 uses.
142. warm - 21 uses.
143. eye - 21 uses.
144. asleep - 21 uses.
145. tree - 20 uses.
146. coming - 20 uses.
147. open - 20 uses.
148. rest - 20 uses.
149. myself - 20 uses.
150. true - 20 uses.
151. came - 20 uses.
152. old - 20 uses.
153. gets - 19 uses.
154. today - 19 uses.
155. wed - 19 uses.
156. isnt - 19 uses.
157. behind - 19 uses.
158. first - 19 uses.
159. found - 19 uses.
160. afraid - 19 uses.
161. fight - 19 uses.
162. summer - 18 uses.
163. real - 18 uses.
164. street - 18 uses.
165. forget - 18 uses.
166. god - 18 uses.
167. sometimes - 18 uses.
168. door - 18 uses.
169. those - 18 uses.
170. city - 18 uses.
171. green - 18 uses.
172. ground - 18 uses.
173. house - 18 uses.
174. other - 18 uses.
175. alligator - 18 uses.
176. looking - 18 uses.
177. gold - 18 uses.
178. tokyo - 18 uses.
179. whoa-oh-oh - 18 uses.
180. dance - 17 uses.
181. long - 17 uses.
182. tear - 17 uses.
183. yet - 17 uses.
184. another - 17 uses.
185. window - 17 uses.
186. sweet - 17 uses.
187. going - 17 uses.
188. wind - 17 uses.
189. brighter - 17 uses.
190. road - 17 uses.
191. spend - 17 uses.
192. great - 16 uses.
193. tears - 16 uses.
194. things - 16 uses.
195. floor - 16 uses.
196. free - 16 uses.
197. sight - 16 uses.
198. holiday - 16 uses.
199. hallelujah - 16 uses.
200. wake - 16 uses.
201. seattle - 16 uses.
202. da-da-whoa-oh - 16 uses.
203. moonlight - 15 uses.
204. nights - 15 uses.
205. ohohoh - 15 uses.
206. swear - 15 uses.
207. began - 15 uses.
208. grace - 15 uses.
209. face - 15 uses.
210. crash - 15 uses.
211. both - 15 uses.
212. cry - 15 uses.
213. fast - 15 uses.
214. alright - 15 uses.
215. saw - 15 uses.
216. tomorrow - 15 uses.
217. head - 15 uses.
218. darling - 15 uses.
219. thought - 15 uses.
220. story - 15 uses.
221. arms - 15 uses.
222. end - 15 uses.
223. waving - 15 uses.
224. doesnt - 15 uses.
225. ocean - 15 uses.
226. dementia - 15 uses.
227. lose - 14 uses.
228. wouldnt - 14 uses.
229. gone - 14 uses.
230. while - 14 uses.
231. chase - 14 uses.
232. dear - 14 uses.
233. together - 14 uses.
234. held - 14 uses.
235. brought - 14 uses.
236. everywhere - 14 uses.
237. whoa-oh-oh-oh-oh-oh - 14 uses.
238. year - 14 uses.
239. montana - 14 uses.
240. em - 14 uses.
241. wait - 14 uses.
242. ‘cause - 14 uses.
243. hot - 14 uses.
244. woo - 14 uses.
245. cuz - 13 uses.
246. moon - 13 uses.
247. everybodys - 13 uses.
248. start - 13 uses.
249. moment - 13 uses.
250. beach - 13 uses.
251. makes - 13 uses.
252. lot - 13 uses.
253. red - 13 uses.
254. town - 13 uses.
255. anymore - 13 uses.
256. break - 13 uses.
257. anywhere - 13 uses.
258. burn - 13 uses.
259. turned - 13 uses.
260. snow - 13 uses.
261. gave - 13 uses.
262. place - 13 uses.
263. brave - 13 uses.
264. wonder - 13 uses.
265. nobody - 13 uses.
266. winter - 13 uses.
267. bird - 13 uses.
268. fill - 13 uses.
269. yours - 13 uses.
270. lovely - 13 uses.
271. became - 13 uses.
272. fell - 13 uses.
273. mission - 13 uses.
274. verge - 13 uses.
275. paper - 12 uses.
276. speed - 12 uses.
277. lift - 12 uses.
278. apart - 12 uses.
279. earth - 12 uses.
280. mountains - 12 uses.
281. beneath - 12 uses.
282. carry - 12 uses.
283. rise - 12 uses.
284. bags - 12 uses.
285. wander - 12 uses.
286. went - 12 uses.
287. evening - 12 uses.
288. black - 12 uses.
289. girls - 12 uses.
290. learned - 12 uses.
291. slow - 12 uses.
292. theyll - 12 uses.
293. magic - 12 uses.
294. waves - 12 uses.
295. woah-oh - 12 uses.
296. eagle - 12 uses.
297. lemme - 12 uses.
298. anna - 12 uses.
299. oh-oh-oh - 12 uses.
300. sad - 11 uses.
301. tried - 11 uses.
302. racing - 11 uses.
303. feet - 11 uses.
304. much - 11 uses.
305. until - 11 uses.
306. enough - 11 uses.
307. tired - 11 uses.
308. burning - 11 uses.
309. joy - 11 uses.
310. glow - 11 uses.
311. fine - 11 uses.
312. little - 11 uses.
313. reach - 11 uses.
314. pack - 11 uses.
315. wherever - 11 uses.
316. ear - 11 uses.
317. havent - 11 uses.
318. last - 11 uses.
319. whatever - 11 uses.
320. rockets - 11 uses.
321. ahead - 11 uses.
322. letting - 11 uses.
323. grow - 11 uses.
324. edge - 11 uses.
325. luck - 11 uses.
326. loved - 11 uses.
327. big - 11 uses.
328. till - 11 uses.
329. 5th - 11 uses.
330. july - 11 uses.
331. angel - 11 uses.
332. people - 11 uses.
333. bay - 11 uses.
334. play - 11 uses.
335. bad - 11 uses.
336. must - 11 uses.
337. thanks - 11 uses.
338. half - 11 uses.
339. duh - 11 uses.
340. saying - 11 uses.
341. under - 10 uses.
342. hit - 10 uses.
343. island - 10 uses.
344. afternoon - 10 uses.
345. stop - 10 uses.
346. spread - 10 uses.
347. thousand - 10 uses.
348. guess - 10 uses.
349. words - 10 uses.
350. bed - 10 uses.
351. silhouette - 10 uses.
352. past - 10 uses.
353. cloud - 10 uses.
354. baby - 10 uses.
355. drive - 10 uses.
356. thing - 10 uses.
357. broken - 10 uses.
358. help - 10 uses.
359. begin - 10 uses.
360. ghost - 10 uses.
361. quite - 10 uses.
362. starry - 10 uses.
363. flight - 10 uses.
364. youd - 10 uses.
365. something - 10 uses.
366. pretty - 10 uses.
367. dust - 10 uses.
368. forest - 10 uses.
369. death - 10 uses.
370. seems - 10 uses.
371. carried - 10 uses.
372. taking - 10 uses.
373. west - 10 uses.
374. boy - 10 uses.
375. below - 10 uses.
376. such - 10 uses.
377. turns - 10 uses.
378. everyone - 10 uses.
379. wing - 10 uses.
380. babe - 10 uses.
381. blonde - 10 uses.
382. lying - 10 uses.
383. galaxies - 10 uses.
384. clap - 10 uses.
385. sail - 9 uses.
386. til - 9 uses.
387. taste - 9 uses.
388. clouds - 9 uses.
389. race - 9 uses.
390. everynight - 9 uses.
391. voice - 9 uses.
392. metropolis - 9 uses.
393. years - 9 uses.
394. lonely - 9 uses.
395. making - 9 uses.
396. breathe - 9 uses.
397. better - 9 uses.
398. dying - 9 uses.
399. full - 9 uses.
400. gift - 9 uses.
401. whole - 9 uses.
402. talk - 9 uses.
403. should - 9 uses.
404. weve - 9 uses.
405. view - 9 uses.
406. heaven - 9 uses.
407. perfect - 9 uses.
408. best - 9 uses.
409. darkness - 9 uses.
410. mystery - 9 uses.
411. tide - 9 uses.
412. hours - 9 uses.
413. survive - 9 uses.
414. country - 9 uses.
415. next - 9 uses.
416. kid - 9 uses.
417. north - 9 uses.
418. outside - 9 uses.
419. storm - 9 uses.
420. hearts - 9 uses.
421. heavy - 9 uses.
422. step - 9 uses.
423. yourself - 9 uses.
424. dead - 9 uses.
425. anything - 9 uses.
426. bring - 9 uses.
427. thinking - 9 uses.
428. falls - 9 uses.
429. met - 9 uses.
430. once - 9 uses.
431. angels - 9 uses.
432. times - 9 uses.
433. water - 9 uses.
434. shooting - 9 uses.
435. york - 9 uses.
436. cave - 9 uses.
437. atmosphere - 8 uses.
438. coast - 8 uses.
439. plane - 8 uses.
440. train - 8 uses.
441. touch - 8 uses.
442. shout - 8 uses.
443. scream - 8 uses.
444. pull - 8 uses.
445. grew - 8 uses.
446. bombs - 8 uses.
447. cut - 8 uses.
448. lots - 8 uses.
449. change - 8 uses.
450. waiting - 8 uses.
451. songs - 8 uses.
452. lake - 8 uses.
453. does - 8 uses.
454. singing - 8 uses.
455. set - 8 uses.
456. trees - 8 uses.
457. breeze - 8 uses.
458. burned - 8 uses.
459. hills - 8 uses.
460. parking - 8 uses.
461. glass - 8 uses.
462. getting - 8 uses.
463. headed - 8 uses.
464. bought - 8 uses.
465. keeping - 8 uses.
466. passing - 8 uses.
467. hospital - 8 uses.
