Most used words by  PUP: 
Number of songs scanned: 46

1. nothing - 48 uses.
2. never - 41 uses.
3. through - 38 uses.
4. back - 35 uses.
5. again - 33 uses.
6. down - 32 uses.
7. bah - 31 uses.
8. where - 26 uses.
9. need - 25 uses.
10. anymore - 25 uses.
11. shadow - 24 uses.
12. feeling - 23 uses.
13. feel - 23 uses.
14. well - 23 uses.
15. keep - 23 uses.
16. still - 22 uses.
17. whoa-oh - 22 uses.
18. doesnt - 21 uses.
19. hope - 21 uses.
20. better - 20 uses.
21. getting - 20 uses.
22. try - 20 uses.
23. left - 20 uses.
24. hole - 19 uses.
25. wanna - 18 uses.
26. high - 17 uses.
27. care - 17 uses.
28. trying - 17 uses.
29. id - 16 uses.
30. own - 16 uses.
31. take - 16 uses.
32. want - 16 uses.
33. heart - 16 uses.
34. doing - 16 uses.
35. around - 15 uses.
36. think - 15 uses.
37. outta - 15 uses.
38. even - 15 uses.
39. always - 15 uses.
40. ever - 15 uses.
41. something - 15 uses.
42. before - 15 uses.
43. gone - 14 uses.
44. home - 14 uses.
45. reservoir - 14 uses.
46. face - 14 uses.
47. cold - 14 uses.
48. old - 14 uses.
49. ba - 14 uses.
50. after - 13 uses.
51. change - 13 uses.
52. alone - 13 uses.
53. everything - 13 uses.
54. same - 13 uses.
55. away - 13 uses.
56. started - 13 uses.
57. thought - 12 uses.
58. here - 12 uses.
59. good - 12 uses.
60. ba-da-ba-dap - 12 uses.
61. under - 12 uses.
62. maybe - 11 uses.
63. end - 11 uses.
64. felt - 11 uses.
65. inside - 11 uses.
66. kill - 11 uses.
67. lionheart - 11 uses.
68. car - 10 uses.
69. theres - 10 uses.
70. guess - 10 uses.
71. youll - 10 uses.
72. letting - 10 uses.
73. things - 10 uses.
74. tell - 10 uses.
75. every - 10 uses.
76. whats - 10 uses.
77. starting - 10 uses.
78. lose - 10 uses.
79. wait - 10 uses.
80. days - 10 uses.
81. weve - 10 uses.
82. blood - 10 uses.
83. oh-oh - 10 uses.
84. point - 10 uses.
85. walk - 9 uses.
86. life - 9 uses.
87. looking - 9 uses.
88. sick - 9 uses.
89. gonna - 9 uses.
90. couldnt - 9 uses.
91. right - 9 uses.
92. love - 9 uses.
93. new - 9 uses.
94. crawling - 9 uses.
95. spilling - 9 uses.
96. valley - 9 uses.
97. pine - 9 uses.
98. night - 8 uses.
99. went - 8 uses.
100. anyway - 8 uses.
101. isnt - 8 uses.
102. die - 8 uses.
103. watching - 8 uses.
104. little - 8 uses.
105. alive - 8 uses.
106. anything - 8 uses.
107. youve - 8 uses.
108. closure - 8 uses.
109. having - 8 uses.
110. myself - 8 uses.
111. leave - 8 uses.
112. baby - 8 uses.
113. wasnt - 8 uses.
114. along - 8 uses.
115. changes - 8 uses.
116. whatever - 8 uses.
117. together - 8 uses.
118. sad - 8 uses.
119. special - 8 uses.
120. while - 7 uses.
121. came - 7 uses.
122. room - 7 uses.
123. should - 7 uses.
124. meet - 7 uses.
125. sinking - 7 uses.
126. stone - 7 uses.
127. apart - 7 uses.
128. only - 7 uses.
129. stuck - 7 uses.
130. let - 7 uses.
131. best - 7 uses.
132. fine - 7 uses.
133. lying - 7 uses.
134. lets - 7 uses.
135. theyre - 7 uses.
136. bad - 7 uses.
137. spent - 7 uses.
138. barely - 7 uses.
139. believe - 7 uses.
140. fucked - 7 uses.
141. west - 7 uses.
142. feels - 7 uses.
143. might - 7 uses.
144. working - 7 uses.
145. three - 7 uses.
146. drink - 7 uses.
147. drunk - 7 uses.
148. says - 7 uses.
149. fucking - 6 uses.
150. help - 6 uses.
151. makes - 6 uses.
152. less - 6 uses.
153. live - 6 uses.
154. thoughts - 6 uses.
155. city - 6 uses.
156. morning - 6 uses.
157. without - 6 uses.
158. hard - 6 uses.
159. light - 6 uses.
160. doubts - 6 uses.
161. supposed - 6 uses.
162. winter - 6 uses.
163. real - 6 uses.
164. hands - 6 uses.
165. ice - 6 uses.
166. words - 6 uses.
167. matter - 6 uses.
168. long - 6 uses.
169. spine - 6 uses.
170. undone - 6 uses.
171. shit - 6 uses.
172. enough - 6 uses.
173. yukon - 6 uses.
174. win - 6 uses.
175. much - 6 uses.
176. dark - 6 uses.
177. beneath - 6 uses.
178. over - 6 uses.
179. tour - 6 uses.
180. breathe - 6 uses.
181. thinking - 5 uses.
182. luck - 5 uses.
183. deserve - 5 uses.
184. fell - 5 uses.
185. bored - 5 uses.
186. dream - 5 uses.
187. sleeping - 5 uses.
188. years - 5 uses.
189. stoned - 5 uses.
190. youd - 5 uses.
191. holding - 5 uses.
192. eating - 5 uses.
193. coming - 5 uses.
194. havent - 5 uses.
195. eyes - 5 uses.
196. miserable - 5 uses.
197. far - 5 uses.
198. hell - 5 uses.
199. watch - 5 uses.
200. em - 5 uses.
201. instead - 5 uses.
202. shitty - 5 uses.
203. being - 5 uses.
204. used - 5 uses.
205. river - 5 uses.
206. takes - 5 uses.
207. alright - 5 uses.
208. fill - 5 uses.
209. goes - 5 uses.
210. town - 5 uses.
211. head - 5 uses.
212. giving - 5 uses.
213. pretty - 5 uses.
214. taking - 5 uses.
215. eye - 5 uses.
216. bleed - 5 uses.
217. heart— - 5 uses.
218. dragging - 5 uses.
219. killing - 4 uses.
220. body - 4 uses.
221. lake - 4 uses.
222. wire - 4 uses.
223. soon - 4 uses.
224. drive - 4 uses.
225. took - 4 uses.
226. happy - 4 uses.
227. stay - 4 uses.
228. empty - 4 uses.
229. forever - 4 uses.
230. running - 4 uses.
231. lost - 4 uses.
232. step - 4 uses.
233. memory - 4 uses.
234. really - 4 uses.
235. anyone - 4 uses.
236. dead - 4 uses.
237. dying - 4 uses.
238. world - 4 uses.
239. apartment - 4 uses.
240. last - 4 uses.
241. talk - 4 uses.
242. bit - 4 uses.
243. set - 4 uses.
244. til - 4 uses.
245. cut - 4 uses.
246. keeps - 4 uses.
247. finally - 4 uses.
248. bags - 4 uses.
249. floor - 4 uses.
250. whole - 4 uses.
251. saying - 4 uses.
252. hate - 4 uses.
253. born - 4 uses.
254. business - 4 uses.
255. rolling - 4 uses.
256. full - 4 uses.
257. staring - 4 uses.
258. basement - 4 uses.
259. backseat - 4 uses.
260. thick - 4 uses.
261. everyone - 4 uses.
262. another - 4 uses.
263. comes - 4 uses.
264. seeing - 4 uses.
265. headed - 4 uses.
266. bleeding - 4 uses.
267. four - 4 uses.
268. ay-ay - 4 uses.
269. times - 4 uses.
270. knees - 4 uses.
271. found - 4 uses.
272. rocks - 4 uses.
273. begin - 4 uses.
274. growing - 4 uses.
275. worse - 4 uses.
276. burn - 4 uses.
277. listen - 4 uses.
278. ask - 4 uses.
279. maxed - 4 uses.
280. everythings - 4 uses.
281. grave - 4 uses.
282. wish - 4 uses.
283. rip - 4 uses.
284. place - 4 uses.
285. wounds - 4 uses.
286. hasnt - 4 uses.
287. rough - 4 uses.
288. freeze - 4 uses.
289. least - 4 uses.
290. test - 4 uses.
291. patience - 4 uses.
292. guts - 4 uses.
293. messed - 4 uses.
294. grow - 4 uses.
295. confess - 4 uses.
296. freaking - 4 uses.
297. kept - 4 uses.
298. prize - 4 uses.
299. till - 3 uses.
300. water - 3 uses.
301. mabu - 3 uses.
302. engine - 3 uses.
303. runs - 3 uses.
304. put - 3 uses.
305. gets - 3 uses.
306. fast - 3 uses.
307. start - 3 uses.
308. going - 3 uses.
309. learn - 3 uses.
310. wasted - 3 uses.
311. truth - 3 uses.
312. seem - 3 uses.
313. everybody - 3 uses.
314. pissed - 3 uses.
315. bed - 3 uses.
316. buried - 3 uses.
317. family - 3 uses.
318. tired - 3 uses.
319. falling - 3 uses.
320. months - 3 uses.
321. shoulda - 3 uses.
322. wanted - 3 uses.
323. sleep - 3 uses.
324. wasting - 3 uses.
325. spend - 3 uses.
326. waiting - 3 uses.
327. awake - 3 uses.
328. pack - 3 uses.
329. move - 3 uses.
330. closed - 3 uses.
331. coast - 3 uses.
332. grown - 3 uses.
333. cracks - 3 uses.
334. phase - 3 uses.
335. hoping - 3 uses.
336. someone - 3 uses.
337. funeral - 3 uses.
338. walls - 3 uses.
339. keeping - 3 uses.
340. outside - 3 uses.
341. bare - 3 uses.
342. trip - 3 uses.
343. shouldve - 3 uses.
344. knowing - 3 uses.
345. summer - 3 uses.
346. riff-raff - 3 uses.
347. faced - 3 uses.
348. facts - 3 uses.
349. drugs - 3 uses.
350. repeating - 3 uses.
351. lines - 3 uses.
352. teeth - 3 uses.
353. mirror - 3 uses.
354. great - 3 uses.
355. glass - 3 uses.
356. lie - 3 uses.
357. two - 3 uses.
358. playing - 3 uses.
359. deep - 3 uses.
360. sound - 3 uses.
361. hanging - 3 uses.
362. stand - 3 uses.
363. red - 3 uses.
364. stare - 3 uses.
365. abyss - 3 uses.
366. wonder - 3 uses.
367. fun - 3 uses.
368. ceiling - 3 uses.
369. wheel - 3 uses.
370. east - 3 uses.
371. sit - 3 uses.
372. picture - 3 uses.
373. mattress - 3 uses.
374. honest - 3 uses.
375. drown - 3 uses.
376. hurt - 3 uses.
377. backs - 3 uses.
378. against - 3 uses.
379. wall - 3 uses.
380. burnout - 3 uses.
381. anyways - 3 uses.
382. living - 3 uses.
383. door - 3 uses.
384. lately - 3 uses.
385. game - 3 uses.
386. name - 3 uses.
387. fake - 3 uses.
388. must - 3 uses.
389. mistake - 3 uses.
390. wooooooooooo - 3 uses.
391. knew - 3 uses.
392. skateboardings - 3 uses.
393. crime - 3 uses.
394. thinks - 3 uses.
395. weighed - 3 uses.
396. restless - 3 uses.
397. battle - 3 uses.
398. raging - 3 uses.
399. open - 3 uses.
400. embarrassing - 3 uses.
401. survived - 3 uses.
402. breaks - 3 uses.
403. tryna - 3 uses.
404. stick - 3 uses.
