Most used words by Pavement: 
Number of songs scanned: 130

1. down - 123 uses.
2. need - 84 uses.
3. never - 74 uses.
4. back - 66 uses.
5. tryin - 65 uses.
6. life - 53 uses.
7. about - 42 uses.
8. take - 40 uses.
9. away - 39 uses.
10. god - 39 uses.
11. waiting - 39 uses.
12. let - 38 uses.
13. baby - 36 uses.
14. around - 33 uses.
15. try - 31 uses.
16. things - 29 uses.
17. every - 29 uses.
18. keep - 28 uses.
19. love - 27 uses.
20. give - 26 uses.
21. over - 25 uses.
22. feel - 24 uses.
23. little - 24 uses.
24. run - 24 uses.
25. here - 23 uses.
26. long - 23 uses.
27. because - 23 uses.
28. cry - 22 uses.
29. right - 22 uses.
30. fall - 22 uses.
31. set - 22 uses.
32. ask - 22 uses.
33. bad - 21 uses.
34. roll - 21 uses.
35. bring - 20 uses.
36. lost - 20 uses.
37. coming - 20 uses.
38. mind - 20 uses.
39. home - 20 uses.
40. lot - 20 uses.
41. better - 20 uses.
42. change - 20 uses.
43. stay - 19 uses.
44. hold - 19 uses.
45. nothing - 19 uses.
46. hit - 19 uses.
47. new - 19 uses.
48. maybe - 19 uses.
49. through - 18 uses.
50. sun - 18 uses.
51. makes - 18 uses.
52. eyes - 17 uses.
53. lets - 17 uses.
54. open - 17 uses.
55. sleep - 17 uses.
56. wait - 17 uses.
57. babe - 16 uses.
58. money - 16 uses.
59. live - 16 uses.
60. taking - 16 uses.
61. rattled - 16 uses.
62. rush - 16 uses.
63. hope - 15 uses.
64. before - 15 uses.
65. watch - 15 uses.
66. leave - 15 uses.
67. crown - 15 uses.
68. whenever - 15 uses.
69. wind - 15 uses.
70. left - 15 uses.
71. cret - 15 uses.
72. fun - 14 uses.
73. only - 14 uses.
74. put - 14 uses.
75. fine - 14 uses.
76. myself - 14 uses.
77. face - 14 uses.
78. always - 14 uses.
79. hey - 14 uses.
80. old - 14 uses.
81. good - 14 uses.
82. plane - 14 uses.
83. wrong - 13 uses.
84. everybody - 13 uses.
85. heart - 13 uses.
86. everybodys - 13 uses.
87. those - 13 uses.
88. major - 13 uses.
89. last - 13 uses.
90. line - 13 uses.
91. hand - 13 uses.
92. along - 13 uses.
93. again - 13 uses.
94. head - 13 uses.
95. inside - 13 uses.
96. far - 13 uses.
97. black - 13 uses.
98. dry - 13 uses.
