Most used words by Pearl Jam: 
Number of songs scanned: 193

1. love - 160 uses.
2. back - 155 uses.
3. down - 143 uses.
4. away - 120 uses.
5. never - 110 uses.
6. here - 93 uses.
7. nothing - 88 uses.
8. world - 84 uses.
9. take - 84 uses.
10. myself - 83 uses.
11. feel - 79 uses.
12. need - 77 uses.
13. believe - 74 uses.
14. life - 72 uses.
15. home - 71 uses.
16. again - 68 uses.
17. light - 68 uses.
18. let - 65 uses.
19. long - 60 uses.
20. spin - 60 uses.
21. thought - 59 uses.
22. comes - 58 uses.
23. keep - 54 uses.
24. before - 54 uses.
25. awoo - 54 uses.
26. little - 53 uses.
27. much - 52 uses.
28. face - 50 uses.
29. hold - 50 uses.
30. once - 50 uses.
31. better - 50 uses.
32. help - 49 uses.
33. something - 49 uses.
34. gone - 48 uses.
35. around - 47 uses.
36. think - 47 uses.
37. goes - 47 uses.
38. hey - 47 uses.
39. always - 46 uses.
40. ooh - 45 uses.
41. alone - 45 uses.
42. only - 44 uses.
43. right - 44 uses.
44. tell - 43 uses.
45. things - 42 uses.
46. big - 42 uses.
47. frank - 42 uses.
48. left - 41 uses.
49. hear - 41 uses.
50. dirty - 41 uses.
51. whats - 40 uses.
52. drifting - 40 uses.
53. night - 40 uses.
54. please - 40 uses.
55. ah - 39 uses.
56. christmas - 37 uses.
57. wish - 36 uses.
58. whole - 36 uses.
59. walk - 35 uses.
60. over - 35 uses.
61. black - 35 uses.
62. high - 34 uses.
63. own - 34 uses.
64. about - 34 uses.
65. truth - 34 uses.
66. held - 34 uses.
67. eyes - 34 uses.
68. free - 34 uses.
69. place - 34 uses.
70. em - 34 uses.
71. mind - 33 uses.
72. road - 33 uses.
73. everything - 33 uses.
74. days - 32 uses.
75. through - 32 uses.
76. live - 32 uses.
77. give - 32 uses.
78. hands - 31 uses.
79. lost - 31 uses.
80. last - 31 uses.
81. soon - 31 uses.
82. today - 31 uses.
83. gimme - 31 uses.
84. sun - 30 uses.
85. arms - 30 uses.
86. heart - 30 uses.
87. god - 29 uses.
88. side - 29 uses.
89. hand - 29 uses.
90. leave - 29 uses.
91. lets - 29 uses.
92. every - 28 uses.
93. friend - 28 uses.
94. stop - 28 uses.
95. falling - 28 uses.
96. sound - 27 uses.
97. sleep - 27 uses.
98. sometimes - 27 uses.
99. thing - 27 uses.
100. already - 27 uses.
101. someday - 27 uses.
102. set - 27 uses.
103. evacuation - 27 uses.
104. fight - 26 uses.
105. good - 26 uses.
106. another - 26 uses.
107. enough - 26 uses.
108. head - 26 uses.
109. stand - 26 uses.
110. baby - 26 uses.
111. lip - 26 uses.
112. living - 25 uses.
113. dream - 25 uses.
114. old - 25 uses.
115. different - 25 uses.
116. alive - 25 uses.
117. put - 25 uses.
118. rise - 25 uses.
119. ones - 24 uses.
120. deep - 24 uses.
121. change - 24 uses.
122. try - 24 uses.
123. thoughts - 24 uses.
124. wave - 24 uses.
125. lies - 24 uses.
126. youd - 24 uses.
