Most used words by Phoebe Bridgers: 
Number of songs scanned: 38

1. down - 31 uses.
2. nothing - 29 uses.
3. never - 29 uses.
4. feel - 26 uses.
5. back - 25 uses.
6. through - 25 uses.
7. home - 25 uses.
8. always - 25 uses.
9. whatever - 24 uses.
10. bom - 24 uses.
11. heart - 22 uses.
12. sound - 21 uses.
13. love - 19 uses.
14. missed - 17 uses.
15. alone - 17 uses.
16. comes - 17 uses.
17. coming - 17 uses.
18. over - 16 uses.
19. something - 16 uses.
20. night - 16 uses.
21. anything - 16 uses.
22. knew - 15 uses.
23. ever - 15 uses.
24. god - 15 uses.
25. around - 14 uses.
26. sleep - 14 uses.
27. feeling - 13 uses.
28. went - 13 uses.
29. open - 13 uses.
30. wasnt - 13 uses.
31. let - 13 uses.
32. test - 13 uses.
33. fall - 12 uses.
34. here - 12 uses.
35. even - 12 uses.
36. baby - 12 uses.
37. mind - 12 uses.
38. wants - 12 uses.
39. looking - 11 uses.
40. hard - 11 uses.
41. else - 11 uses.
42. good - 10 uses.
43. before - 10 uses.
44. mouth - 10 uses.
45. until - 10 uses.
46. georgia - 10 uses.
47. about - 10 uses.
48. little - 10 uses.
49. hate - 10 uses.
50. words - 9 uses.
51. take - 9 uses.
52. right - 9 uses.
53. times - 9 uses.
54. killer - 9 uses.
55. end - 9 uses.
56. christmas - 9 uses.
57. sick - 9 uses.
58. head - 9 uses.
59. every - 9 uses.
60. dog - 9 uses.
61. string - 9 uses.
62. friday - 9 uses.
63. house - 8 uses.
64. couldnt - 8 uses.
65. much - 8 uses.
66. show - 8 uses.
67. watch - 8 uses.
68. windows - 8 uses.
69. walking - 8 uses.
70. lonesome - 8 uses.
71. drown - 8 uses.
72. again - 8 uses.
73. blood - 8 uses.
74. think - 8 uses.
75. live - 8 uses.
76. somebody - 8 uses.
77. sickness - 8 uses.
78. fine - 8 uses.
79. cared - 8 uses.
80. december - 8 uses.
81. things - 7 uses.
82. friends - 7 uses.
83. bad - 7 uses.
84. hide - 7 uses.
85. wanted - 7 uses.
86. emotional - 7 uses.
87. room - 7 uses.
88. tired - 7 uses.
89. sometimes - 7 uses.
90. myself - 7 uses.
91. kid - 7 uses.
92. bed - 7 uses.
93. life - 7 uses.
94. guess - 7 uses.
95. getting - 7 uses.
96. matters - 7 uses.
97. anyone - 7 uses.
98. window - 6 uses.
99. blue - 6 uses.
100. listening - 6 uses.
101. scream - 6 uses.
102. soul - 6 uses.
103. while - 6 uses.
104. most - 6 uses.
105. waiting - 6 uses.
106. place - 6 uses.
107. met - 6 uses.
108. new - 6 uses.
109. talking - 6 uses.
110. fire - 6 uses.
111. hand - 6 uses.
112. eyes - 6 uses.
113. goes - 6 uses.
114. away - 6 uses.
115. close - 6 uses.
116. next - 6 uses.
117. year - 6 uses.
118. bored - 6 uses.
119. sorry - 6 uses.
120. long - 6 uses.
121. stay - 6 uses.
122. burn - 6 uses.
123. wednesday - 6 uses.
124. thursday - 6 uses.
125. motion - 6 uses.
126. english - 6 uses.
127. dom - 6 uses.
128. asked - 5 uses.
129. last - 5 uses.
130. hear - 5 uses.
131. running - 5 uses.
132. prison - 5 uses.
133. everything - 5 uses.
134. moon - 5 uses.
135. watching - 5 uses.
136. only - 5 uses.
137. forget - 5 uses.
138. sure - 5 uses.
139. work - 5 uses.
140. better - 5 uses.
141. world - 5 uses.
142. play - 5 uses.
143. miss - 5 uses.
144. chase - 5 uses.
145. makes - 5 uses.
146. tell - 5 uses.
147. anymore - 5 uses.
148. dead - 5 uses.
149. understand - 5 uses.
150. tonight - 5 uses.
151. stranger - 5 uses.
152. listen - 5 uses.
153. touch - 5 uses.
154. water - 5 uses.
155. doesnt - 5 uses.
156. forever - 5 uses.
157. without - 5 uses.
158. care - 5 uses.
159. late - 5 uses.
160. roll - 5 uses.
161. try - 5 uses.
162. hanging - 4 uses.
163. sun - 4 uses.
164. died - 4 uses.
165. came - 4 uses.
166. list - 4 uses.
167. took - 4 uses.
168. dream - 4 uses.
169. told - 4 uses.
170. knows - 4 uses.
171. same - 4 uses.
172. start - 4 uses.
173. far - 4 uses.
174. stand - 4 uses.
175. fix - 4 uses.
176. til - 4 uses.
177. floor - 4 uses.
178. big - 4 uses.
179. turn - 4 uses.
180. cold - 4 uses.
181. lee - 4 uses.
182. keep - 4 uses.
183. count - 4 uses.
184. scared - 4 uses.
185. death - 4 uses.
186. breath - 4 uses.
187. tame - 4 uses.
188. might - 4 uses.
189. yourself - 4 uses.
190. feels - 4 uses.
191. must - 4 uses.
192. because - 4 uses.
193. spit - 4 uses.
194. alright - 4 uses.
195. choking - 4 uses.
196. supposed - 4 uses.
197. remember - 4 uses.
198. panic - 4 uses.
199. routine - 4 uses.
200. roses - 4 uses.
201. misery - 4 uses.
202. matter - 4 uses.
203. outside - 4 uses.
204. brother - 4 uses.
205. needs - 4 uses.
206. ask - 4 uses.
207. holy - 4 uses.
208. round - 4 uses.
209. heavenly - 4 uses.
210. peace - 4 uses.
211. garden - 4 uses.
212. band - 4 uses.
213. tuesday - 4 uses.
214. maybe - 4 uses.
215. hardly - 4 uses.
216. language - 4 uses.
217. clean - 4 uses.
218. surrender - 4 uses.
219. saw - 3 uses.
220. phone - 3 uses.
221. once - 3 uses.
222. gave - 3 uses.
223. wouldnt - 3 uses.
224. leave - 3 uses.
225. morning - 3 uses.
226. looked - 3 uses.
227. sky - 3 uses.
228. longer - 3 uses.
229. lost - 3 uses.
230. ground - 3 uses.
231. sirens - 3 uses.
232. driving - 3 uses.
233. park - 3 uses.
234. quite - 3 uses.
235. river - 3 uses.
236. walk - 3 uses.
237. snow - 3 uses.
238. sight - 3 uses.
239. trust - 3 uses.
240. wish - 3 uses.
241. face - 3 uses.
242. ooh - 3 uses.
243. best - 3 uses.
244. talk - 3 uses.
245. hope - 3 uses.
246. car - 3 uses.
247. wide - 3 uses.
248. trying - 3 uses.
249. crying - 3 uses.
250. stars - 3 uses.
251. old - 3 uses.
252. haunted - 3 uses.
253. rain - 3 uses.
254. easy - 3 uses.
255. sadness - 3 uses.
256. crashin - 3 uses.
257. brick - 3 uses.
258. happy - 3 uses.
259. tears - 3 uses.
260. shore - 3 uses.
261. wake - 3 uses.
262. dreams - 3 uses.
263. yours - 3 uses.
264. drive - 3 uses.
265. liar - 3 uses.
266. black - 3 uses.
267. apart - 3 uses.
268. together - 3 uses.
269. found - 3 uses.
270. young - 3 uses.
271. street - 3 uses.
272. body - 3 uses.
273. plus - 3 uses.
274. pretty - 3 uses.
275. left - 3 uses.
276. machine - 3 uses.
277. pull - 3 uses.
278. given - 3 uses.
279. singing - 3 uses.
280. sad - 3 uses.
281. breathe - 3 uses.
282. believe - 3 uses.
283. kill - 3 uses.
284. someone - 3 uses.
285. merry - 3 uses.
286. light - 3 uses.
287. days - 3 uses.
288. near - 3 uses.
289. someday - 3 uses.
290. soon - 3 uses.
291. lay - 3 uses.
292. quiet - 3 uses.
293. gotta - 3 uses.
294. mean - 3 uses.
295. bird - 3 uses.
296. song - 3 uses.
297. turned - 3 uses.
298. thinking - 3 uses.
299. playing - 3 uses.
300. used - 3 uses.
301. fuck - 3 uses.
302. enough - 3 uses.
303. changed - 3 uses.
304. sending - 3 uses.
305. smoke - 3 uses.
306. signals - 3 uses.
307. pelicans - 3 uses.
308. circling - 3 uses.
309. burning - 3 uses.
310. trash - 3 uses.
311. beach - 3 uses.
312. lies - 3 uses.
313. mother - 3 uses.
314. boy - 3 uses.
315. fallen - 3 uses.
316. middle - 3 uses.
317. collar - 3 uses.
318. hoping - 3 uses.
319. carry - 3 uses.
320. wait - 3 uses.
321. smiling - 3 uses.
322. dying - 3 uses.
323. hands - 3 uses.
324. brain - 3 uses.
325. wilt - 3 uses.
326. taste - 3 uses.
327. bury - 3 uses.
328. scarin - 3 uses.
329. opposed - 3 uses.
330. lovin - 3 uses.
331. walls - 3 uses.
332. suicide - 3 uses.
333. pact - 3 uses.
334. family - 3 uses.
335. hundred - 3 uses.
336. different - 3 uses.
337. happen - 3 uses.
338. partner - 3 uses.
339. crime - 3 uses.
340. unless - 3 uses.
341. halloween - 3 uses.
342. everythings - 3 uses.
343. hold - 3 uses.
344. born - 3 uses.
345. mondays - 3 uses.
346. monday - 3 uses.
347. throwing - 3 uses.
348. trusting - 3 uses.
349. bring - 3 uses.
350. teenage - 3 uses.
351. falling - 3 uses.
352. valley - 3 uses.
353. california - 3 uses.
354. web - 3 uses.
355. worm - 3 uses.
356. broke - 2 uses.
357. sitting - 2 uses.
358. drinking - 2 uses.
359. pulled - 2 uses.
360. any - 2 uses.
361. control - 2 uses.
362. going - 2 uses.
363. movies - 2 uses.
364. skin - 2 uses.
365. started - 2 uses.
366. really - 2 uses.
367. cracked - 2 uses.
368. set - 2 uses.
369. dollar - 2 uses.
370. tried - 2 uses.
371. yard - 2 uses.
372. read - 2 uses.
373. dark - 2 uses.
374. laying - 2 uses.
375. childhood - 2 uses.
376. wild - 2 uses.
377. bite - 2 uses.
378. speed - 2 uses.
379. lived - 2 uses.
380. thought - 2 uses.
381. side - 2 uses.
382. chemical - 2 uses.
383. either - 2 uses.
384. summers - 2 uses.
385. flying - 2 uses.
386. line - 2 uses.
387. whole - 2 uses.
388. shadows - 2 uses.
389. cross - 2 uses.
390. leg - 2 uses.
391. years - 2 uses.
392. hang - 2 uses.
393. picture - 2 uses.
394. country - 2 uses.
395. beer - 2 uses.
396. road - 2 uses.
397. holiday - 2 uses.
398. looks - 2 uses.
399. run - 2 uses.
400. clear - 2 uses.
401. mine - 2 uses.
402. land - 2 uses.
403. rising - 2 uses.
404. works - 2 uses.
405. doing - 2 uses.
406. ten - 2 uses.
407. across - 2 uses.
408. somewhere - 2 uses.
409. mom - 2 uses.
410. dahmer - 2 uses.
411. couch - 2 uses.
412. harmless - 2 uses.
413. faking - 2 uses.
414. hungry - 2 uses.
415. barely - 2 uses.
416. keeps - 2 uses.
417. alive - 2 uses.
418. losing - 2 uses.
419. hair - 2 uses.
420. kiss - 2 uses.
421. rotten - 2 uses.
422. plug - 2 uses.
423. burned - 2 uses.
424. playlist - 2 uses.
425. stupid - 2 uses.
426. older - 2 uses.
427. dad - 2 uses.
428. waving - 2 uses.
429. stuff - 2 uses.
430. jesus - 2 uses.
431. christ - 2 uses.
432. woke - 2 uses.
433. troubles - 2 uses.
434. dear - 2 uses.
435. three - 2 uses.
436. wave - 2 uses.
437. under - 2 uses.
438. lips - 2 uses.
439. along - 2 uses.
440. first - 2 uses.
441. picket - 2 uses.
442. fence - 2 uses.
443. afraid - 2 uses.
444. disappear - 2 uses.
445. drums - 2 uses.
446. grew - 2 uses.
447. spent - 2 uses.
448. happened - 2 uses.
449. inside - 2 uses.
450. put - 2 uses.
451. em - 2 uses.
452. past - 2 uses.
453. hall - 2 uses.
454. wall - 2 uses.
455. ride - 2 uses.
456. train - 2 uses.
457. revolution - 2 uses.
458. music - 2 uses.
459. amazed - 2 uses.
460. very - 2 uses.
461. chelsea - 2 uses.
462. poor - 2 uses.
463. own - 2 uses.
464. washed - 2 uses.
465. keeping - 2 uses.
466. stone - 2 uses.
467. fight - 2 uses.
468. living - 2 uses.
469. shit - 2 uses.
470. heaven - 2 uses.
471. dreaming - 2 uses.
472. birthday - 2 uses.
473. seen - 2 uses.
474. give - 2 uses.
475. married - 2 uses.
476. surgeons - 2 uses.
477. drunk - 2 uses.
478. mans - 2 uses.
479. nothin - 2 uses.
480. changes - 2 uses.
481. snowflakes - 2 uses.
482. veins - 2 uses.
483. melt - 2 uses.
484. blame - 2 uses.
485. bless - 2 uses.
486. guilt - 2 uses.
487. songs - 2 uses.
488. wrote - 2 uses.
489. gone - 2 uses.
490. instead - 2 uses.
491. screamin - 2 uses.
492. sign - 2 uses.
493. meant - 2 uses.
494. background - 2 uses.
495. laid - 2 uses.
496. tall - 2 uses.
497. ways - 2 uses.
498. please - 2 uses.
499. other - 2 uses.
500. stoned - 2 uses.
501. darkness - 2 uses.
502. danger - 2 uses.
503. asking - 2 uses.
504. beat - 2 uses.
505. silent - 2 uses.
506. calm - 2 uses.
507. bright - 2 uses.
508. yon - 2 uses.
509. virgin - 2 uses.
510. child - 2 uses.
511. infant - 2 uses.
512. tender - 2 uses.
513. mild - 2 uses.
514. should - 2 uses.
515. taller - 2 uses.
516. bridge - 2 uses.
517. turns - 2 uses.
518. doctor - 2 uses.
519. shoes - 2 uses.
520. picks - 2 uses.
521. stare - 2 uses.
522. shell - 2 uses.
523. called - 2 uses.
524. skies - 2 uses.
525. fixed - 2 uses.
526. tuesdays - 2 uses.
527. grey - 2 uses.
528. break - 2 uses.
529. saturday - 2 uses.
530. sunday - 2 uses.
531. hesitate - 2 uses.
532. such - 2 uses.
533. opened - 2 uses.
534. ours - 2 uses.
535. seek - 2 uses.
536. everyday - 2 uses.
537. view - 2 uses.
538. broken - 2 uses.
539. gun - 2 uses.
540. faked - 2 uses.
541. fifteen - 2 uses.
542. hypnotherapist - 2 uses.
543. slide - 2 uses.
544. fell - 2 uses.
545. ago - 2 uses.
546. rocks - 2 uses.
547. bleeding - 2 uses.
548. glass - 2 uses.
549. glad - 2 uses.
550. sing - 2 uses.
551. accent - 2 uses.
552. change - 2 uses.
553. plan - 2 uses.
554. ashamed - 2 uses.
555. name - 2 uses.
556. anyway - 2 uses.
557. bones - 2 uses.
558. dreamt - 2 uses.
559. drowned - 2 uses.
560. dum - 2 uses.
561. done - 2 uses.
562. sorrow - 2 uses.
563. flood - 2 uses.
564. rock - 2 uses.
565. ages - 2 uses.
566. coldest - 2 uses.
567. winter - 2 uses.
568. shiver - 2 uses.
569. plans - 2 uses.
570. warmer - 2 uses.
571. town - 2 uses.
572. summertime - 2 uses.
573. girl - 2 uses.
574. escape - 2 uses.
575. coke - 1 use.
576. whiskey - 1 use.
577. bra - 1 use.
578. underwear - 1 use.
579. kitchen - 1 use.
580. nicely - 1 use.
581. pack - 1 use.
582. reassuring - 1 use.
583. shiv - 1 use.
584. struck - 1 use.
585. slow - 1 use.
586. watched - 1 use.
587. rose - 1 use.
588. cry - 1 use.
589. relief - 1 use.
590. chased - 1 use.
591. stairs - 1 use.
592. pinned - 1 use.
593. underneath - 1 use.
594. whimpering - 1 use.
595. rattled - 1 use.
596. kissed - 1 use.
597. downtown - 1 use.
598. wheeling - 1 use.
599. showing - 1 use.
600. backyard - 1 use.
601. barbecues - 1 use.
602. reunions - 1 use.
603. laughing - 1 use.
604. clenched - 1 use.
605. wrist - 1 use.
606. thing - 1 use.
607. parking - 1 use.
608. lot - 1 use.
609. fields - 1 use.
610. policemen - 1 use.
611. hit - 1 use.
612. skull - 1 use.
613. dragged - 1 use.
614. jail - 1 use.
615. million - 1 use.
616. bail - 1 use.
617. tie - 1 use.
618. noose - 1 use.
619. failed - 1 use.
620. loose - 1 use.
621. racing - 1 use.
622. shot - 1 use.
623. tower - 1 use.
624. guard - 1 use.
625. shins - 1 use.
626. arms - 1 use.
627. strapped - 1 use.
628. gurney - 1 use.
629. infirmary - 1 use.
630. priest - 1 use.
631. rites - 1 use.
632. poetic - 1 use.
633. flowing - 1 use.
634. sea - 1 use.
635. lifeblood - 1 use.
636. draining - 1 use.
637. scene - 1 use.
638. beams - 1 use.
639. fishing - 1 use.
640. reeds - 1 use.
641. ohio - 1 use.
642. flow - 1 use.
643. bullhead - 1 use.
644. catfishes - 1 use.
645. downriver - 1 use.
646. moundsville - 1 use.
647. graveyard - 1 use.
648. kicks - 1 use.
649. store - 1 use.
650. white - 1 use.
651. wonder - 1 use.
652. storybook - 1 use.
653. tiles - 1 use.
654. roof - 1 use.
655. favorite - 1 use.
656. dianetics - 1 use.
657. stucco - 1 use.
658. drugstores - 1 use.
659. real - 1 use.
660. reason - 1 use.
661. moved - 1 use.
662. east - 1 use.
663. plain - 1 use.
664. everyone - 1 use.
665. stories - 1 use.
666. bar - 1 use.
667. worst - 1 use.
668. sweet - 1 use.
669. funds - 1 use.
670. punishers - 1 use.
671. swear - 1 use.
672. angry - 1 use.
673. copycat - 1 use.
674. cut - 1 use.
675. careless - 1 use.
676. caught - 1 use.
677. stop - 1 use.
678. ends - 1 use.
679. bend - 1 use.
680. swimming - 1 use.
681. suits - 1 use.
682. drying - 1 use.
683. meet - 1 use.
684. per - 1 use.
685. conversation - 1 use.
686. ruin - 1 use.
687. vacation - 1 use.
688. ceiling - 1 use.
689. snowing - 1 use.
690. valentines - 1 use.
691. breaks - 1 use.
692. hearts - 1 use.
693. minds - 1 use.
694. random - 1 use.
695. ol - 1 use.
696. easter - 1 use.
697. egg - 1 use.
698. win - 1 use.
699. eve - 1 use.
700. bound - 1 use.
701. bars - 1 use.
702. faster - 1 use.
703. comin - 1 use.
704. food - 1 use.
705. lousy - 1 use.
706. winters - 1 use.
707. dry - 1 use.
708. dirt - 1 use.
709. dusty - 1 use.
710. lightest - 1 use.
711. bacteria - 1 use.
712. bloom - 1 use.
713. tethered - 1 use.
