Most used words by Phoenix: 
Number of songs scanned: 57

1. tell - 85 uses.
2. never - 84 uses.
3. long - 83 uses.
4. love - 61 uses.
5. funky - 60 uses.
6. squaredance - 60 uses.
7. better - 56 uses.
8. let - 47 uses.
9. run - 45 uses.
10. gone - 38 uses.
11. think - 35 uses.
12. far - 35 uses.
13. down - 34 uses.
14. things - 33 uses.
15. fall - 31 uses.
16. follow - 30 uses.
17. night - 29 uses.
18. alright - 29 uses.
19. away - 28 uses.
20. keep - 28 uses.
21. always - 28 uses.
22. everything - 27 uses.
23. hey - 27 uses.
24. only - 26 uses.
25. fold - 26 uses.
26. fallin - 25 uses.
27. talk - 25 uses.
28. sick - 25 uses.
29. te - 24 uses.
30.  - 24 uses.
31. thought - 24 uses.
32. identical - 24 uses.
33. about - 23 uses.
34. till - 23 uses.
35. last - 22 uses.
36. feel - 22 uses.
37. try - 22 uses.
38. right - 22 uses.
39. real - 21 uses.
40. take - 20 uses.
41. care - 20 uses.
42. hard - 19 uses.
43. low - 19 uses.
44. same - 19 uses.
45. give - 19 uses.
46. loud - 19 uses.
47. good - 18 uses.
48. over - 18 uses.
49. letters - 17 uses.
50. less - 17 uses.
51. show - 17 uses.
52. another - 17 uses.
53. together - 17 uses.
54. around - 16 uses.
55. nothing - 16 uses.
56. matter - 16 uses.
57. asking - 16 uses.
58. wrong - 16 uses.
59. alone - 16 uses.
60. di - 16 uses.
61. riding - 16 uses.
62. mind - 15 uses.
63. lost - 15 uses.
64. thinking - 15 uses.
65. life - 15 uses.
66. else - 15 uses.
67. trying - 15 uses.
68. lonely - 15 uses.
69. trip - 15 uses.
70. senza - 15 uses.
71. doing - 14 uses.
72. going - 14 uses.
73. lies - 14 uses.
74. before - 14 uses.
75. lets - 14 uses.
76. almost - 14 uses.
77. summer - 14 uses.
78. capital - 14 uses.
79. own - 13 uses.
80. ever - 13 uses.
81. leave - 13 uses.
82. please - 13 uses.
83. even - 13 uses.
84. tears - 13 uses.
85. much - 13 uses.
86. through - 13 uses.
87. back - 13 uses.
88. watch - 13 uses.
89. hear - 13 uses.
90. anything - 13 uses.
91. looking - 13 uses.
92. party - 13 uses.
93. rome - 13 uses.
94. little - 12 uses.
95. eyes - 12 uses.
96. true - 12 uses.
97. couldnt - 12 uses.
98. live - 12 uses.
99. without - 12 uses.
100. need - 12 uses.
101. done - 12 uses.
102. rest - 12 uses.
103. til - 12 uses.
104. comes - 12 uses.
105. role - 12 uses.
106. falls - 12 uses.
107. lovers - 12 uses.
108. again - 11 uses.
109. thing - 11 uses.
110. days - 11 uses.
111. blame - 11 uses.
112. heart - 11 uses.
113. change - 11 uses.
114. calling - 11 uses.
115. knew - 11 uses.
116. says - 11 uses.
117. lonesome - 11 uses.
118. city - 11 uses.
119. lose - 11 uses.
120. distance - 11 uses.
121. tired - 10 uses.
122. fire - 10 uses.
123. those - 10 uses.
124. someone - 10 uses.
125. here - 10 uses.
126. everlasting - 10 uses.
