Most used words by Pinegrove: 
Number of songs scanned: 49

1. through - 34 uses.
2. let - 32 uses.
3. good - 27 uses.
4. feeling - 22 uses.
5. feel - 22 uses.
6. nothing - 22 uses.
7. down - 21 uses.
8. about - 20 uses.
9. back - 20 uses.
10. over - 17 uses.
11. hold - 17 uses.
12. love - 17 uses.
13. leave - 17 uses.
14. head - 16 uses.
15. right - 16 uses.
16. light - 16 uses.
17. away - 16 uses.
18. long - 15 uses.
19. around - 15 uses.
20. looking - 15 uses.
21. enough - 15 uses.
22. need - 14 uses.
23. much - 13 uses.
24. eyes - 13 uses.
25. knew - 13 uses.
26. life - 13 uses.
27. thinking - 12 uses.
28. morning - 12 uses.
29. things - 12 uses.
30. better - 12 uses.
31. whatever - 11 uses.
32. under - 11 uses.
33. again - 10 uses.
34. little - 10 uses.
35. every - 10 uses.
36. eye - 10 uses.
37. sometimes - 10 uses.
38. room - 10 uses.
39. think - 10 uses.
40. really - 10 uses.
41. town - 10 uses.
42. days - 10 uses.
43. try - 10 uses.
44. everything - 10 uses.
45. forever - 10 uses.
46. never - 9 uses.
47. night - 9 uses.
48. only - 9 uses.
49. take - 9 uses.
50. sound - 9 uses.
51. should - 9 uses.
52. endless - 9 uses.
53. remember - 9 uses.
54. easy - 9 uses.
55. hand - 8 uses.
56. myself - 8 uses.
57. rings - 8 uses.
58. side - 8 uses.
59. while - 8 uses.
60. line - 8 uses.
61. forget - 8 uses.
62. scared - 8 uses.
63. bugs - 8 uses.
64. talk - 7 uses.
65. home - 7 uses.
66. thought - 7 uses.
67. since - 7 uses.
68. along - 7 uses.
69. anything - 7 uses.
70. saying - 7 uses.
71. maybe - 7 uses.
72. before - 7 uses.
73. shadow - 7 uses.
74. whats - 7 uses.
75. new - 7 uses.
76. saw - 7 uses.
77. tell - 7 uses.
78. end - 7 uses.
79. else - 7 uses.
80. talking - 7 uses.
81. always - 7 uses.
82. yes - 7 uses.
83. dark - 6 uses.
84. here - 6 uses.
85. fine - 6 uses.
86. ways - 6 uses.
87. live - 6 uses.
88. felt - 6 uses.
89. place - 6 uses.
90. walking - 6 uses.
91. move - 6 uses.
92. mind - 6 uses.
93. coming - 6 uses.
94. singing - 6 uses.
95. cuz - 6 uses.
96. work - 6 uses.
97. soon - 6 uses.
98. bad - 6 uses.
99. friends - 6 uses.
100. howd - 6 uses.
101. truth - 6 uses.
102. together - 5 uses.
103. water - 5 uses.
104. left - 5 uses.
105. keep - 5 uses.
106. wait - 5 uses.
107. spend - 5 uses.
108. lives - 5 uses.
109. understand - 5 uses.
110. put - 5 uses.
111. lost - 5 uses.
112. might - 5 uses.
113. far - 5 uses.
114. another - 5 uses.
115. fall - 5 uses.
116. woke - 5 uses.
117. old - 5 uses.
118. caught - 5 uses.
119. sleep - 5 uses.
120. bed - 5 uses.
121. ooooh - 5 uses.
122. bicker - 5 uses.
123. natural - 5 uses.
124. heres - 5 uses.
125. afraid - 5 uses.
126. calling - 5 uses.
127. alone - 5 uses.
128. help - 4 uses.
129. inside - 4 uses.
130. climb - 4 uses.
131. held - 4 uses.
132. leaning - 4 uses.
133. stoned - 4 uses.
134. ideas - 4 uses.
135. between - 4 uses.
136. tonight - 4 uses.
137. kept - 4 uses.
138. such - 4 uses.
139. wake - 4 uses.
140. went - 4 uses.
141. song - 4 uses.
142. lay - 4 uses.
143. mark - 4 uses.
144. happy - 4 uses.
145. whole - 4 uses.
146. people - 4 uses.
147. someone - 4 uses.
148. world - 4 uses.
149. moon - 4 uses.
150. colors - 4 uses.
151. torn - 4 uses.
152. window - 4 uses.
153. seem - 4 uses.
154. blood - 4 uses.
155. outside - 4 uses.
156. already - 4 uses.
157. drink - 4 uses.
158. living - 4 uses.
159. wish - 4 uses.
160. believe - 4 uses.
161. ignore - 4 uses.
162. shoulder - 4 uses.
163. across - 4 uses.
164. because - 4 uses.
165. sing - 4 uses.
166. comedown - 4 uses.
167. wanted - 4 uses.
168. shaking - 4 uses.
169. tangled - 4 uses.
170. ask - 4 uses.
171. read - 4 uses.
172. same - 4 uses.
173. leo - 4 uses.
174. thoughts - 4 uses.
175. ever - 4 uses.
176. awful - 4 uses.
177. clothes - 4 uses.
178. catching - 4 uses.
179. bringing - 4 uses.
180. moving - 4 uses.
181. skylight - 4 uses.
182. wandering - 4 uses.
183. thank - 4 uses.
184. neck - 4 uses.
185. safe - 4 uses.
186. mather - 4 uses.
187. knoll - 4 uses.
188. ampersand - 3 uses.
189. o - 3 uses.
190. open - 3 uses.
191. wide - 3 uses.
192. agree - 3 uses.
193. tactics - 3 uses.
194. practical - 3 uses.
195. practically - 3 uses.
196. words - 3 uses.
197. crying - 3 uses.
198. alright - 3 uses.
199. something - 3 uses.
200. wrong - 3 uses.
201. gone - 3 uses.
202. wrote - 3 uses.
203. worn - 3 uses.
204. pass - 3 uses.
205. nor - 3 uses.
206. cutting - 3 uses.
207. suddenly - 3 uses.
208. darkness - 3 uses.
209. keeps - 3 uses.
210. meanwhile - 3 uses.
211. lilacs - 3 uses.
212. blooming - 3 uses.
213. strong - 3 uses.
214. windows - 3 uses.
215. trying - 3 uses.
216. spent - 3 uses.
217. hear - 3 uses.
218. body - 3 uses.
219. thorns - 3 uses.
220. care - 3 uses.
221. follow - 3 uses.
222. unless - 3 uses.
223. hang - 3 uses.
224. lights - 3 uses.
225. yet - 3 uses.
226. nervous - 3 uses.
227. process - 3 uses.
228. sleeping - 3 uses.
229. smiling - 3 uses.
230. beautifully - 3 uses.
231. dotted - 3 uses.
232. fantasy - 3 uses.
233. memory - 3 uses.
234. draw - 3 uses.
235. wondering - 3 uses.
236. forgetting - 3 uses.
237. summer - 3 uses.
238. own - 3 uses.
239. going - 3 uses.
240. outcomes - 3 uses.
241. once - 3 uses.
242. illogical - 3 uses.
243. split - 3 uses.
244. foot - 3 uses.
245. behind - 3 uses.
246. blue - 3 uses.
247.  - 3 uses.
248. past - 3 uses.
249. bark - 3 uses.
250. other - 3 uses.
251. tryna - 3 uses.
252. both - 3 uses.
253. morningtime - 3 uses.
254. red - 3 uses.
255. falls - 3 uses.
256. even - 3 uses.
257. grey - 3 uses.
258. sky - 3 uses.
259. anyone - 3 uses.
260. liked - 3 uses.
261. drugs - 3 uses.
262. today - 3 uses.
263. lets - 3 uses.
264. house - 3 uses.
265. paterson - 3 uses.
266. worst - 3 uses.
267. happen - 3 uses.
268. hands - 3 uses.
269. told - 3 uses.
270. nice - 3 uses.
271. feels - 3 uses.
272. limits - 3 uses.
273. neighbor - 3 uses.
274. behavior - 3 uses.
275. bout - 3 uses.
276. mouth - 2 uses.
277. start - 2 uses.
278. mean - 2 uses.
279. self - 2 uses.
280. blinds - 2 uses.
281. wind - 2 uses.
282. clear - 2 uses.
283. throat - 2 uses.
284. mile - 2 uses.
285. pattern - 2 uses.
286. hide - 2 uses.
287. isnt - 2 uses.
288. example - 2 uses.
289. stop - 2 uses.
290. also - 2 uses.
291. loss - 2 uses.
292. lonely - 2 uses.
293. satisfied - 2 uses.
294. lot - 2 uses.
295. aphasia - 2 uses.
296. nerves - 2 uses.
297. confidence - 2 uses.
298. stick - 2 uses.
299. stride - 2 uses.
300. quiet - 2 uses.
301. next - 2 uses.
302. silence - 2 uses.
303. full - 2 uses.
304. doubt - 2 uses.
305. nah - 2 uses.
306. reaching - 2 uses.
307. overthrown - 2 uses.
308. edge - 2 uses.
309. ears - 2 uses.
310. hours - 2 uses.
311. nothing… - 2 uses.
312. contorted - 2 uses.
313. row - 2 uses.
314. antlers - 2 uses.
315. cut - 2 uses.
316. bodies - 2 uses.
317. unison - 2 uses.
318. within - 2 uses.
319. burning - 2 uses.
320. houses - 2 uses.
321. moved - 2 uses.
322. being - 2 uses.
323. certain - 2 uses.
324. angry - 2 uses.
325. weak - 2 uses.
326. longing - 2 uses.
327. rectangle - 2 uses.
328. bet - 2 uses.
329. darling - 2 uses.
330. wonder - 2 uses.
331. commit - 2 uses.
332. road - 2 uses.
333. loud - 2 uses.
334. early - 2 uses.
335. ourselves - 2 uses.
336. trembling - 2 uses.
337. horizons - 2 uses.
338. collapsing - 2 uses.
339. shit - 2 uses.
340. floor - 2 uses.
341. uniform - 2 uses.
342. divided - 2 uses.
343. align - 2 uses.
344. wreckage - 2 uses.
