Most used words by Pink: 
Number of songs scanned: 153

1. love - 363 uses.
2. down - 182 uses.
3. let - 181 uses.
4. feel - 180 uses.
5. away - 173 uses.
6. think - 157 uses.
7. back - 150 uses.
8. life - 142 uses.
9. here - 137 uses.
10. never - 132 uses.
11. tell - 125 uses.
12. good - 123 uses.
13. about - 122 uses.
14. take - 117 uses.
15. try - 116 uses.
16. give - 109 uses.
17. baby - 106 uses.
18. right - 101 uses.
19. keep - 98 uses.
20. night - 97 uses.
21. run - 96 uses.
22. again - 93 uses.
23. always - 93 uses.
24. eh - 92 uses.
25. need - 92 uses.
26. better - 90 uses.
27. girl - 87 uses.
28. ever - 85 uses.
29. everything - 82 uses.
30. world - 82 uses.
31. truth - 76 uses.
32. only - 76 uses.
33. little - 75 uses.
34. even - 72 uses.
35. please - 72 uses.
36. god - 68 uses.
37. heart - 67 uses.
38. bad - 66 uses.
39. over - 64 uses.
40. thing - 64 uses.
41. enough - 62 uses.
42. wish - 61 uses.
43. gotta - 59 uses.
44. long - 59 uses.
45. nothing - 57 uses.
46. pretty - 57 uses.
47. happy - 57 uses.
48. before - 56 uses.
49. tonight - 56 uses.
50. hard - 56 uses.
51. real - 56 uses.
52. leave - 56 uses.
53. every - 55 uses.
54. stop - 55 uses.
55. alright - 55 uses.
56. through - 55 uses.
57. head - 55 uses.
58. wrong - 54 uses.
59. doo - 53 uses.
60. much - 52 uses.
61. really - 52 uses.
62. help - 52 uses.
63. last - 52 uses.
64. change - 51 uses.
65. things - 50 uses.
66. hey - 50 uses.
67. revenge - 50 uses.
68. alone - 49 uses.
69. gone - 49 uses.
70. cuz - 48 uses.
71. trouble - 47 uses.
72. maybe - 47 uses.
73. lets - 47 uses.
74. home - 46 uses.
75. old - 45 uses.
76. myself - 45 uses.
77. stay - 45 uses.
78. walk - 45 uses.
79. lonely - 44 uses.
80. show - 44 uses.
81. party - 43 uses.
82. does - 43 uses.
83. something - 43 uses.
84. days - 41 uses.
85. face - 40 uses.
86. comes - 40 uses.
87. shit - 40 uses.
88. around - 40 uses.
89. crazy - 39 uses.
90. light - 39 uses.
91. fast - 38 uses.
92. might - 38 uses.
93. somebody - 38 uses.
94. everybody - 38 uses.
95. thought - 38 uses.
96. hear - 38 uses.
97. mind - 38 uses.
98. uh - 38 uses.
99. high - 38 uses.
100. weve - 37 uses.
101. break - 37 uses.
102. should - 36 uses.
103. fuck - 36 uses.
104. hold - 36 uses.
105. whatever - 36 uses.
106. pretend - 36 uses.
107. lost - 35 uses.
108. together - 35 uses.
109. push - 35 uses.
110. pain - 35 uses.
111. perfect - 35 uses.
112. friend - 35 uses.
113. another - 34 uses.
114. mean - 34 uses.
115. play - 34 uses.
116. work - 34 uses.
117. hope - 34 uses.
118. own - 33 uses.
119. times - 33 uses.
120. fall - 33 uses.
121. far - 33 uses.
122. inside - 33 uses.
123. done - 33 uses.
124. nobody - 33 uses.
125. trying - 32 uses.
126. comin - 32 uses.
127. hustle - 32 uses.
128. turn - 31 uses.
129. people - 31 uses.
130. else - 31 uses.
131. start - 31 uses.
132. game - 31 uses.
133. broken - 31 uses.
134. started - 31 uses.
135. understand - 30 uses.
136. goes - 30 uses.
137. put - 30 uses.
138. eyes - 30 uses.
139. true - 30 uses.
140. guess - 30 uses.
141. left - 29 uses.
142. must - 29 uses.
143. dreams - 29 uses.
144. friends - 29 uses.
145. live - 29 uses.
146. river - 29 uses.
147. rock - 28 uses.
148. coming - 28 uses.
149. sometimes - 28 uses.
150. ya - 28 uses.
151. waiting - 28 uses.
152. burn - 28 uses.
153. kiss - 28 uses.
154. someone - 27 uses.
155. soon - 27 uses.
156. wonder - 27 uses.
157. looking - 27 uses.
158. feeling - 27 uses.
159. new - 27 uses.
160. same - 27 uses.
161. scared - 27 uses.
162. miss - 27 uses.
163. walking - 27 uses.
164. knew - 27 uses.
165. after - 27 uses.
166. knows - 27 uses.
167. dear - 27 uses.
168. free - 27 uses.
169. talk - 26 uses.
170. going - 26 uses.
171. any - 26 uses.
172. tired - 26 uses.
173. fight - 26 uses.
174. dance - 26 uses.
175. because - 25 uses.
176. stupid - 25 uses.
177. believe - 25 uses.
178. living - 25 uses.
179. numb - 25 uses.
180. remember - 24 uses.
181. hell - 24 uses.
182. makes - 24 uses.
183. while - 24 uses.
184. car - 24 uses.
185. floor - 24 uses.
186. damn - 23 uses.
187. ask - 23 uses.
188. easy - 23 uses.
189. without - 23 uses.
190. boy - 23 uses.
191. blow - 23 uses.
192. forget - 22 uses.
193. rest - 22 uses.
194. big - 22 uses.
195. act - 22 uses.
196. alive - 22 uses.
197. fire - 22 uses.
198. hate - 22 uses.
199. watch - 22 uses.
200. promise - 22 uses.
201. bout - 22 uses.
202. anything - 21 uses.
203. second - 21 uses.
204. secrets - 21 uses.
205. money - 21 uses.
206. hurt - 21 uses.
207. girls - 21 uses.
208. words - 21 uses.
209. family - 21 uses.
210. beat - 21 uses.
211. told - 21 uses.
212. trust - 21 uses.
213. everybodys - 21 uses.
214. hit - 21 uses.
215. breath - 21 uses.
216. full - 21 uses.
217. song - 21 uses.
218. whats - 20 uses.
219. glass - 20 uses.
220. loud - 20 uses.
221. die - 20 uses.
222. such - 20 uses.
223. first - 20 uses.
224. place - 20 uses.
225. dead - 20 uses.
226. being - 20 uses.
227. dream - 20 uses.
228. care - 20 uses.
229. tonights - 20 uses.
230. walked - 20 uses.
231. sleep - 20 uses.
232. late - 19 uses.
233. youd - 19 uses.
234. wouldnt - 19 uses.
235. goodbye - 19 uses.
236. hurts - 19 uses.
237. whataya - 19 uses.
238. anymore - 19 uses.
239. came - 19 uses.
240. sick - 19 uses.
241. lookin - 19 uses.
242. kind - 19 uses.
243. sweet - 19 uses.
244. wind - 19 uses.
245. raise - 18 uses.
246. fool - 18 uses.
247. mouth - 18 uses.
248. until - 18 uses.
249. took - 18 uses.
250. someday - 18 uses.
251. bed - 18 uses.
252. chance - 18 uses.
253. till - 18 uses.
254. name - 18 uses.
255. ah - 18 uses.
256. share - 18 uses.
257. nothin - 18 uses.
258. yourself - 18 uses.
259. called - 18 uses.
260. rain - 18 uses.
261. courage - 18 uses.
262. throw - 18 uses.
263. catch - 18 uses.
264. todays - 18 uses.
265. “eh - 18 uses.
266. eheh - 18 uses.
267. lose - 17 uses.
268. best - 17 uses.
269. close - 17 uses.
270. hand - 17 uses.
271. mine - 17 uses.
272. daddy - 17 uses.
273. sense - 17 uses.
274. road - 17 uses.
275. beautiful - 17 uses.
276. today - 17 uses.
277. town - 17 uses.
278. lie - 17 uses.
279. everyone - 17 uses.
280. leavin - 17 uses.
281. used - 17 uses.
282. door - 16 uses.
283. turned - 16 uses.
284. line - 16 uses.
285. gets - 16 uses.
286. years - 16 uses.
287. end - 16 uses.
288. kinda - 16 uses.
289. fine - 16 uses.
290. heard - 16 uses.
291. nights - 16 uses.
292. tried - 16 uses.
293. touch - 16 uses.
294. babe - 16 uses.
295. imma - 16 uses.
296. okay - 16 uses.
297. king - 16 uses.
298. shut - 16 uses.
299. spinning - 16 uses.
300. hot - 15 uses.
301. cry - 15 uses.
302. side - 15 uses.
303. stars - 15 uses.
304. stare - 15 uses.
305. blows - 15 uses.
306. thinking - 15 uses.
307. save - 15 uses.
308. move - 15 uses.
309. arms - 15 uses.
310. most - 15 uses.
311. fun - 15 uses.
312. hands - 15 uses.
313. driving - 15 uses.
314. goin - 15 uses.
315. lordy - 15 uses.
316. sad - 15 uses.
317. dj - 15 uses.
318. eh” - 15 uses.
319. behind - 14 uses.
320. room - 14 uses.
321. pink - 14 uses.
322. ways - 14 uses.
323. already - 14 uses.
324. sing - 14 uses.
325. circle - 14 uses.
326. count - 14 uses.
327. silly - 14 uses.
328. star - 14 uses.
329. seen - 14 uses.
330. gave - 14 uses.
331. falling - 14 uses.
332. hiccup-cup - 14 uses.
333. hiccups - 14 uses.
334. misery - 14 uses.
335. boring - 14 uses.
336. wake - 14 uses.
337. million - 14 uses.
338. scurvy - 14 uses.
339. secret - 14 uses.
340. dark - 13 uses.
341. couldnt - 13 uses.
342. cool - 13 uses.
343. almost - 13 uses.
344. meet - 13 uses.
345. wasnt - 13 uses.
346.  - 13 uses.
347. watching - 13 uses.
348. picture - 13 uses.
349. felt - 13 uses.
350. pill - 13 uses.
351. drink - 13 uses.
352. whole - 13 uses.
353. holding - 13 uses.
354. coulda - 13 uses.
355. making - 13 uses.
356. outta - 13 uses.
357. fingers - 13 uses.
358. tears - 13 uses.
359. house - 13 uses.
360. set - 13 uses.
361. weekend - 13 uses.
362. hearts - 13 uses.
363. round - 13 uses.
364. drug - 13 uses.
365. learn - 13 uses.
366. -- - 13 uses.
367. fucking - 12 uses.
368. doesnt - 12 uses.
369. feelings - 12 uses.
370. open - 12 uses.
371. ones - 12 uses.
372. werent - 12 uses.
373. hiding - 12 uses.
374. pieces - 12 uses.
375. window - 12 uses.
376. those - 12 uses.
377. shake - 12 uses.
378. slow - 12 uses.
379. once - 12 uses.
380. reality - 12 uses.
381. though - 12 uses.
382. beam - 12 uses.
383. piece - 12 uses.
384. ready - 12 uses.
385. scene - 12 uses.
386. attic - 12 uses.
387. come-come - 12 uses.
388. tight - 12 uses.
389. stand - 12 uses.
390. seems - 12 uses.
391. lot - 12 uses.
392. instead - 12 uses.
393. makin - 12 uses.
394. badadadadadadadadadada - 12 uses.
395. playing - 11 uses.
396. til - 11 uses.
397. problem - 11 uses.
398. three - 11 uses.
399. lucky - 11 uses.
400. black - 11 uses.
401. apart - 11 uses.
402. ooh - 11 uses.
403. laughing - 11 uses.
404. hair - 11 uses.
405. street - 11 uses.
406. anyone - 11 uses.
407. war - 11 uses.
408. air - 11 uses.
409. both - 11 uses.
410. sky - 11 uses.
411. fly - 11 uses.
412. forever - 11 uses.
413. speak - 11 uses.
414. yes - 11 uses.
415. walls - 11 uses.
416. slut - 11 uses.
417. fear - 11 uses.
418. worse - 11 uses.
419. running - 11 uses.
420. takes - 11 uses.
421. anyway - 11 uses.
422. scars - 11 uses.
423. foot - 11 uses.
424. sirens - 11 uses.
425. less - 11 uses.
426. centerfold - 11 uses.
427. darling - 11 uses.
428. tear - 11 uses.
429. yall - 11 uses.
430. quite - 10 uses.
431. getting - 10 uses.
432. lights - 10 uses.
433. rewind - 10 uses.
434. tryin - 10 uses.
435. thinkin - 10 uses.
436. cracks - 10 uses.
437. shame - 10 uses.
438. body - 10 uses.
439. shoes - 10 uses.
440. listen - 10 uses.
441. music - 10 uses.
442. breathe - 10 uses.
443. mistakes - 10 uses.
444. lovin - 10 uses.
445. win - 10 uses.
446. anybody - 10 uses.
447. bling - 10 uses.
448. ching - 10 uses.
449. probably - 10 uses.
450. since - 10 uses.
451. swear - 10 uses.
452. sit - 10 uses.
453. sorry - 10 uses.
454. crack - 10 uses.
455. sure - 10 uses.
456. sun - 10 uses.
457. fucked - 10 uses.
458. above - 10 uses.
459. morning - 10 uses.
460. wants - 10 uses.
461. says - 10 uses.
462. very - 10 uses.
463. ride - 10 uses.
464. written - 10 uses.
465. mmm - 10 uses.
466. diary - 10 uses.
467. grow - 9 uses.
468. simple - 9 uses.
469. roll - 9 uses.
470. doing - 9 uses.
471. changed - 9 uses.
472. different - 9 uses.
473. magic - 9 uses.
474. freeze - 9 uses.
475. fill - 9 uses.
476. point - 9 uses.
477. given - 9 uses.
478. looks - 9 uses.
479. spend - 9 uses.
480. pay - 9 uses.
481. pull - 9 uses.
482. strong - 9 uses.
483. pick - 9 uses.
484. nowhere - 9 uses.
485. crash - 9 uses.
486. other - 9 uses.
487. went - 9 uses.
488. sunshine - 9 uses.
489. yours - 9 uses.
490. shorty - 9 uses.
491. vietnam - 9 uses.
492. bitch - 9 uses.
493. minute - 9 uses.
494. ass - 9 uses.
495. reason - 9 uses.
496. hide - 9 uses.
