Most used words by Porches: 
Number of songs scanned: 71

1. live - 48 uses.
2. think - 45 uses.
3. baby - 42 uses.
4. count - 39 uses.
5. cash - 39 uses.
6. down - 35 uses.
7. back - 34 uses.
8. okay - 34 uses.
9. need - 29 uses.
10. lately - 29 uses.
11. around - 28 uses.
12. feel - 27 uses.
13. water - 27 uses.
14. let - 27 uses.
15. comedown - 27 uses.
16. about - 26 uses.
17. thought - 26 uses.
18. inside - 25 uses.
19. good - 25 uses.
20. take - 24 uses.
21. something - 24 uses.
22. friends - 23 uses.
23. ever - 22 uses.
24. watch - 22 uses.
25. everybody - 22 uses.
26. gets - 21 uses.
27. never - 20 uses.
28. little - 20 uses.
29. miss - 20 uses.
30. dance - 20 uses.
31. thing - 19 uses.
32. through - 19 uses.
33. face - 19 uses.
34. only - 18 uses.
35. love - 18 uses.
36. die - 17 uses.
37. tell - 17 uses.
38. believe - 16 uses.
39. bad - 16 uses.
40. goes - 16 uses.
41. slow - 15 uses.
42. thinking - 15 uses.
43. put - 15 uses.
44. hear - 15 uses.
45. born - 14 uses.
46. pull - 14 uses.
47. alone - 13 uses.
48. broke - 13 uses.
49. lookin - 12 uses.
50. eyes - 12 uses.
51. walk - 12 uses.
52. night - 12 uses.
53. myself - 12 uses.
54. screaming - 12 uses.
55. hope - 12 uses.
56. black - 11 uses.
57. air - 11 uses.
58. stay - 11 uses.
59. coming - 11 uses.
60. blood - 11 uses.
61. over - 11 uses.
62. home - 11 uses.
63. head - 10 uses.
64. again - 10 uses.
65. pretty - 10 uses.
66. before - 10 uses.
67. really - 10 uses.
68. away - 10 uses.
69. leave - 10 uses.
70. knew - 10 uses.
71. u - 10 uses.
72. ride - 10 uses.
73. teeth - 10 uses.
74. motion - 10 uses.
75. ooo - 10 uses.
76. bed - 9 uses.
77. right - 9 uses.
78. sometimes - 9 uses.
79. anything - 9 uses.
80. machine - 9 uses.
81. life - 9 uses.
82. promise - 9 uses.
83. cosmos - 9 uses.
84. cry - 8 uses.
85. always - 8 uses.
86. fucking - 8 uses.
87. try - 8 uses.
88. show - 8 uses.
89. wait - 8 uses.
90. stop - 8 uses.
91. land - 8 uses.
92. cut - 8 uses.
93. spinning - 8 uses.
94. here - 8 uses.
95. hold - 8 uses.
96. big - 8 uses.
97. swimming - 8 uses.
98. proud - 8 uses.
99. outside - 8 uses.
100. should - 7 uses.
101. franklin - 7 uses.
102. blue - 7 uses.
103. pool - 7 uses.
104. sleep - 7 uses.
105. saw - 7 uses.
106. close - 7 uses.
107. light - 7 uses.
108. school - 7 uses.
109. song - 7 uses.
110. please - 7 uses.
111. sing - 7 uses.
112. keep - 7 uses.
113. real - 7 uses.
114. touch - 7 uses.
115. adore - 7 uses.
116. staying - 7 uses.
117. uh - 7 uses.
118. rooting - 7 uses.
119. ooh - 7 uses.
120. safe - 7 uses.
121. kinda - 6 uses.
122. dark - 6 uses.
123. long - 6 uses.
124. o - 6 uses.
125. fuckin - 6 uses.
126. wanted - 6 uses.
127. sad - 6 uses.
128. body - 6 uses.
129. wish - 6 uses.
130. cool - 6 uses.
131. end - 6 uses.
132. even - 6 uses.
133. cuz - 6 uses.
134. grass - 6 uses.
135. deep - 6 uses.
136. maybe - 6 uses.
137. much - 6 uses.
138. dripping - 6 uses.
139. across - 6 uses.
140. cold - 6 uses.
141. going - 6 uses.
142. heart - 6 uses.
143. jeg - 6 uses.
144. så - 6 uses.
145. talk - 6 uses.
146. happy - 6 uses.
147. book - 6 uses.
148. sighed - 6 uses.
149. liked - 6 uses.
150. giving - 6 uses.
151. lying - 6 uses.
152. boyish - 6 uses.
153. emotions - 6 uses.
154. aaron - 6 uses.
155. fire - 6 uses.
156. give - 5 uses.
157. clean - 5 uses.
158. mine - 5 uses.
159. move - 5 uses.
160. guess - 5 uses.
161. strange - 5 uses.
162. hands - 5 uses.
163. heads - 5 uses.
164. fine - 5 uses.
165. moon - 5 uses.
166. mouth - 5 uses.
167. bite - 5 uses.
168. same - 5 uses.
169. arms - 5 uses.
170. truth - 5 uses.
171. julie - 5 uses.
172. friend - 5 uses.
173. taking - 5 uses.
174. place - 5 uses.
175. soft - 5 uses.
176. bit - 5 uses.
177. mind - 5 uses.
178. beneath - 5 uses.
179. turn - 5 uses.
180. ground - 5 uses.
181. fun - 5 uses.
182. lie - 5 uses.
183. overthinking - 5 uses.
184. huh - 5 uses.
185. hair - 4 uses.
186. old - 4 uses.
187. meet - 4 uses.
188. brown - 4 uses.
189. used - 4 uses.
190. high - 4 uses.
191. wake - 4 uses.
192. anymore - 4 uses.
193. mean - 4 uses.
194. under - 4 uses.
195. things - 4 uses.
196. hi - 4 uses.
197. underwater - 4 uses.
198. apart - 4 uses.
199. darkness - 4 uses.
200. wet - 4 uses.
201. most - 4 uses.
202. wonder - 4 uses.
203. house - 4 uses.
204. patient - 4 uses.
205. wouldnt - 4 uses.
206. tried - 4 uses.
207. eat - 4 uses.
208. change - 4 uses.
209. car - 4 uses.
210. run - 4 uses.
211. needed - 4 uses.
212. other - 4 uses.
213. felt - 4 uses.
214. feeling - 4 uses.
215. crazy - 4 uses.
216. lazy - 4 uses.
217. longing - 4 uses.
218. ricky - 4 uses.
219. went - 4 uses.
220. wrong - 4 uses.
221. pick - 4 uses.
222. security - 4 uses.
223. everything - 4 uses.
224. lake - 4 uses.
225. lay - 4 uses.
226. break - 4 uses.
227. hook - 4 uses.
228. looks - 4 uses.
229. easy - 4 uses.
230. phone - 4 uses.
231. today - 4 uses.
232. city - 4 uses.
233. while - 4 uses.
234. though - 4 uses.
235. nothing - 4 uses.
236. honey - 4 uses.
237. page - 4 uses.
238. en - 4 uses.
239. og - 4 uses.
240. somewhere - 4 uses.
241. ugly - 4 uses.
242. empty - 4 uses.
243. couldnt - 4 uses.
244. boy - 4 uses.
245. once - 4 uses.
246. news - 4 uses.
247. every - 4 uses.
248. neck - 4 uses.
249. believes - 4 uses.
250. glow - 4 uses.
251. lips - 4 uses.
252. thinkin - 4 uses.
253. songs - 4 uses.
254. pumpkin - 4 uses.
255. innocent - 4 uses.
256. soon - 4 uses.
257. first - 3 uses.
258. found - 3 uses.
259. golden - 3 uses.
260. rush - 3 uses.
261. kind - 3 uses.
262. looking - 3 uses.
263. heavy - 3 uses.
264. room - 3 uses.
265. falling - 3 uses.
266. escape - 3 uses.
267. hanging - 3 uses.
268. side - 3 uses.
269. tonight - 3 uses.
270. does - 3 uses.
271. whole - 3 uses.
272. fuck - 3 uses.
273. any - 3 uses.
274. become - 3 uses.
275. sip - 3 uses.
276. sweet - 3 uses.
277. summer - 3 uses.
278. mall - 3 uses.
279. those - 3 uses.
280. parts - 3 uses.
281. almost - 3 uses.
282. sound - 3 uses.
283. slid - 3 uses.
284. pink - 3 uses.
285. yea - 3 uses.
286. falls - 3 uses.
287. til - 3 uses.
288. smell - 3 uses.
289. slide - 3 uses.
290. dreaming - 3 uses.
291. probably - 3 uses.
292. powerful - 3 uses.
293. watching - 3 uses.
294. pumping - 3 uses.
295. glowing - 3 uses.
296. breath - 3 uses.
297. rangerover - 3 uses.
298. dirt - 3 uses.
299. new - 3 uses.
300. sun - 3 uses.
301. name - 3 uses.
302. kiss - 3 uses.
303. kids - 3 uses.
304. kissed - 3 uses.
305. making - 3 uses.
306. train - 3 uses.
307. skin - 3 uses.
308. bridge - 3 uses.
309. grab - 3 uses.
310. short - 3 uses.
311. round - 3 uses.
312. beauty - 3 uses.
313. hard - 3 uses.
314. lets - 3 uses.
315. motions - 3 uses.
316. tree - 3 uses.
317. slip - 3 uses.
318. earth - 3 uses.
319. sweat - 3 uses.
320. cigarette - 3 uses.
321. shut - 3 uses.
322. better - 3 uses.
323. lights - 3 uses.
324. known - 3 uses.
325. fill - 3 uses.
326. till - 3 uses.
327. play - 3 uses.
328. understand - 3 uses.
329. figured - 3 uses.
330. another - 3 uses.
331. tired - 3 uses.
332. hour - 3 uses.
333. power - 3 uses.
334. else - 3 uses.
335. sit - 3 uses.
336. times - 3 uses.
337. sink - 3 uses.
338. threw - 3 uses.
339. rotten - 3 uses.
340. oh-oh-oh - 3 uses.
341. idea - 3 uses.
342. girl - 3 uses.
343. vacant - 3 uses.
344. wrote - 3 uses.
345. stomach - 3 uses.
346. devotion - 3 uses.
347. busted - 2 uses.
348. disarming - 2 uses.
349. brush - 2 uses.
350. true - 2 uses.
351. parents - 2 uses.
352. happened - 2 uses.
353. shirt - 2 uses.
354. bodys - 2 uses.
355. brain - 2 uses.
356. laughing - 2 uses.
357. watched - 2 uses.
358. belong - 2 uses.
359. drove - 2 uses.
360. wondering - 2 uses.
361. moves - 2 uses.
362. given - 2 uses.
363. trying - 2 uses.
364. flop - 2 uses.
365. takes - 2 uses.
366. salt - 2 uses.
367. both - 2 uses.
368. field - 2 uses.
369. burn - 2 uses.
370. free - 2 uses.
371. holding - 2 uses.
372. heard - 2 uses.
373. shit - 2 uses.
374. triple - 2 uses.
375. whatever - 2 uses.
376. floor - 2 uses.
377. bags - 2 uses.
378. leaf - 2 uses.
379. smile - 2 uses.
380. sucked - 2 uses.
381. glass - 2 uses.
382. windows - 2 uses.
383. camel - 2 uses.
384. blame - 2 uses.
385. relate - 2 uses.
386. makes - 2 uses.
387. tony - 2 uses.
388. dinner - 2 uses.
389. very - 2 uses.
390. comes - 2 uses.
391. videocamera - 2 uses.
392. shaky - 2 uses.
393. muscle - 2 uses.
394. running - 2 uses.
395. against - 2 uses.
396. ask - 2 uses.
397. motionless - 2 uses.
398. yourself - 2 uses.
399. riding - 2 uses.
400. pulled - 2 uses.
401. fast - 2 uses.
402. singin - 2 uses.
403. piece - 2 uses.
404. alive - 2 uses.
405. patience - 2 uses.
406. arm - 2 uses.
407. dress - 2 uses.
408. powerless - 2 uses.
409. ooooooh - 2 uses.
410. white - 2 uses.
411. grief - 2 uses.
412. warm - 2 uses.
413. eyelids - 2 uses.
414. dumb - 2 uses.
415. fat - 2 uses.
416. cheek - 2 uses.
417. insane - 2 uses.
418. gotta - 2 uses.
419. blow - 2 uses.
420. along - 2 uses.
421. laid - 2 uses.
422. fog - 2 uses.
423. fruits - 2 uses.
424. might - 2 uses.
425. roses - 2 uses.
426. hips - 2 uses.
427. heck - 2 uses.
428. kid - 2 uses.
429. fruit - 2 uses.
430. pit - 2 uses.
431. left - 2 uses.
432. helm - 2 uses.
433. care - 2 uses.
434. send - 2 uses.
435. certainly - 2 uses.
436. drunk - 2 uses.
437. swallow - 2 uses.
438. peach - 2 uses.
439. couch - 2 uses.
440. deeper - 2 uses.
441. somehow - 2 uses.
442. henne - 2 uses.
443. åkeren - 2 uses.
444. ham - 2 uses.
445. lyser - 2 uses.
446. dem - 2 uses.
447. på - 2 uses.
448. parkeringsplassen - 2 uses.
449. fredags - 2 uses.
450. kveld - 2 uses.
451. kirsebær - 2 uses.
452. rød - 2 uses.
453. mot - 2 uses.
454. himmelen - 2 uses.
455. varme - 2 uses.
456. mellom - 2 uses.
457. høy - 2 uses.
458. stjerner - 2 uses.
459. satt - 2 uses.
460. vi - 2 uses.
461. der - 2 uses.
462. svevende - 2 uses.
463. meg - 2 uses.
464. prove - 2 uses.
465. jealousy - 2 uses.
466. hangs - 2 uses.
467. knees - 2 uses.
468. hollow - 2 uses.
469. enter - 2 uses.
470. undone - 2 uses.
471. bodies - 2 uses.
472. ya - 2 uses.
473. nice - 2 uses.
474. loner - 2 uses.
475. theyd - 2 uses.
476. mad - 2 uses.
477. blacked - 2 uses.
478. bet - 2 uses.
479. waaaaaaahhh - 2 uses.
480. learned - 2 uses.
481. flirt - 2 uses.
482. hurt - 2 uses.
483. speak - 2 uses.
484. town - 2 uses.
485. purple - 2 uses.
