Most used words by Real Estate: 
Number of songs scanned: 55

1. back - 35 uses.
2. days - 29 uses.
3. thing - 29 uses.
4. always - 24 uses.
5. night - 21 uses.
6. feel - 21 uses.
7. ooh - 21 uses.
8. down - 19 uses.
9. only - 19 uses.
10. same - 18 uses.
11. through - 18 uses.
12. real - 15 uses.
13. home - 15 uses.
14. stay - 15 uses.
15. dream - 14 uses.
16. hard - 14 uses.
17. around - 14 uses.
18. sun - 14 uses.
19. love - 13 uses.
20. long - 13 uses.
21. past - 13 uses.
22. true - 13 uses.
23. sky - 13 uses.
24. whoa - 13 uses.
25. stand - 12 uses.
26. something - 12 uses.
27. green - 11 uses.
28. next - 11 uses.
29. waiting - 11 uses.
30. right - 11 uses.
31. over - 11 uses.
32. those - 11 uses.
33. old - 10 uses.
34. under - 10 uses.
35. here - 10 uses.
36. ground - 10 uses.
37. live - 10 uses.
38. town - 10 uses.
39. believe - 9 uses.
40. another - 9 uses.
41. alright - 9 uses.
42. might - 9 uses.
43. other - 9 uses.
44. main - 9 uses.
45. pulling - 8 uses.
46. hill - 8 uses.
47. searching - 8 uses.
48. enough - 8 uses.
49. eyes - 8 uses.
50. tune - 8 uses.
51. never - 8 uses.
52. until - 7 uses.
53. things - 7 uses.
54. again - 7 uses.
55. yellow - 7 uses.
56. light - 7 uses.
57. take - 7 uses.
58. even - 7 uses.
59. place - 7 uses.
60. people - 7 uses.
61. going - 7 uses.
62. morning - 7 uses.
63. life - 7 uses.
64. turn - 7 uses.
65. leave - 7 uses.
66. own - 7 uses.
67. let - 7 uses.
68. young - 6 uses.
69. trying - 6 uses.
70. seem - 6 uses.
71. lost - 6 uses.
72. suburban - 6 uses.
73. dogs - 6 uses.
74. feeling - 6 uses.
75. door - 6 uses.
76. despite - 6 uses.
77. after - 6 uses.
78. away - 6 uses.
79. soon - 6 uses.
80. clear - 6 uses.
81. free - 6 uses.
82. melody - 6 uses.
83. far - 6 uses.
84. mind - 6 uses.
85. play - 6 uses.
86. words - 6 uses.
87. cannot - 6 uses.
88. hold - 6 uses.
89. phone - 6 uses.
90. sound - 6 uses.
91. sense - 6 uses.
92. behind - 6 uses.
93. walk - 6 uses.
94. came - 6 uses.
95. side - 6 uses.
96. ever - 5 uses.
97. fortunate - 5 uses.
98. remain - 5 uses.
99. naive - 5 uses.
100. think - 5 uses.
101. moving - 5 uses.
102. walked - 5 uses.
103. water - 5 uses.
104. keep - 5 uses.
105. quietly - 5 uses.
106. sea - 5 uses.
107. meet - 5 uses.
108. diamond - 5 uses.
109. eye - 5 uses.
110. put - 5 uses.
111. open - 5 uses.
112. lights - 5 uses.
113. wrong - 5 uses.
114. before - 5 uses.
115. because - 5 uses.
116. left - 5 uses.
117. try - 5 uses.
118. world - 5 uses.
119. hope - 5 uses.
120. bright - 5 uses.
121. river - 5 uses.
122. sit - 5 uses.
123. trees - 5 uses.
124. impatiently - 5 uses.
125. moon - 5 uses.
126. white - 5 uses.
127. song - 5 uses.
128. lit - 5 uses.
129. hear - 5 uses.
130. any - 5 uses.
131. landscape - 5 uses.
132. lines - 5 uses.
133. gold - 4 uses.
134. without - 4 uses.
135. new - 4 uses.
136. please - 4 uses.
137. remember - 4 uses.
138. should - 4 uses.
139. mine - 4 uses.
140. street - 4 uses.
141. fields - 4 uses.
142. born - 4 uses.
143. seems - 4 uses.
144. looking - 4 uses.
145. stop - 4 uses.
146. felt - 4 uses.
147. though - 4 uses.
148. better - 4 uses.
149. used - 4 uses.
150. tide - 4 uses.
151. memory - 4 uses.
152. woke - 4 uses.
153. last - 4 uses.
154. recall - 4 uses.
155. already - 4 uses.
156. hands - 4 uses.
157. year - 4 uses.
158. control - 4 uses.
159. matter - 4 uses.
160. whole - 4 uses.
161. standing - 4 uses.
