Most used words by  Real Friends: 
Number of songs scanned: 64

1. never - 87 uses.
2. back - 64 uses.
3. away - 61 uses.
4. feel - 58 uses.
5. myself - 57 uses.
6. keep - 57 uses.
7. want - 51 uses.
8. down - 49 uses.
9. here - 49 uses.
10. eyes - 41 uses.
11. over - 41 uses.
12. still - 40 uses.
13. through - 39 uses.
14. youll - 39 uses.
15. lost - 38 uses.
16. everything - 38 uses.
17. only - 37 uses.
18. past - 37 uses.
19. always - 36 uses.
20. well - 36 uses.
21. ever - 34 uses.
22. need - 32 uses.
23. let - 32 uses.
24. much - 31 uses.
25. take - 30 uses.
26. even - 30 uses.
27. hope - 30 uses.
28. getting - 30 uses.
29. night - 29 uses.
30. alone - 29 uses.
31. same - 29 uses.
32. knees - 27 uses.
33. every - 27 uses.
34. while - 27 uses.
35. things - 26 uses.
36. right - 26 uses.
37. where - 26 uses.
38. tonight - 26 uses.
39. think - 25 uses.
40. theres - 25 uses.
41. home - 25 uses.
42. used - 25 uses.
43. better - 24 uses.
44. left - 24 uses.
45. without - 24 uses.
46. stay - 24 uses.
47. looking - 23 uses.
48. again - 23 uses.
49. mind - 23 uses.
50. nothing - 23 uses.
51. liar - 22 uses.
52. life - 22 uses.
53. around - 21 uses.
54. good - 20 uses.
55. year - 20 uses.
56. something - 20 uses.
57. trying - 20 uses.
58. two - 19 uses.
59. fall - 19 uses.
60. head - 19 uses.
61. put - 19 uses.
62. place - 19 uses.
63. thought - 19 uses.
64. else - 19 uses.
65. bed - 18 uses.
66. really - 18 uses.
67. talk - 18 uses.
68. last - 18 uses.
69. lets - 18 uses.
70. skin - 17 uses.
71. before - 17 uses.
72. sleep - 17 uses.
73. old - 17 uses.
74. leave - 17 uses.
75. years - 17 uses.
76. bony - 17 uses.
77. far - 17 uses.
78. thinking - 17 uses.
79. everyone - 16 uses.
80. broken - 16 uses.
81. chance - 16 uses.
82. stand - 16 uses.
83. stuck - 16 uses.
84. okay - 15 uses.
85. id - 15 uses.
86. believe - 15 uses.
87. inside - 15 uses.
88. different - 15 uses.
89. feet - 15 uses.
90. spent - 15 uses.
91. care - 15 uses.
92. hold - 15 uses.
93. lately - 15 uses.
94. seems - 14 uses.
95. seem - 14 uses.
96. open - 14 uses.
97. being - 14 uses.
98. fine - 14 uses.
99. worry - 14 uses.
100. heart - 14 uses.
101. empty - 14 uses.
102. miss - 14 uses.
