Most used words by Red City Radio: 
Number of songs scanned: 58

1. never - 81 uses.
2. down - 65 uses.
3. let - 63 uses.
4. world - 61 uses.
5. need - 58 uses.
6. anymore - 52 uses.
7. take - 49 uses.
8. think - 46 uses.
9. want - 41 uses.
10. where - 41 uses.
11. nothing - 40 uses.
12. only - 40 uses.
13. something - 39 uses.
14. give - 39 uses.
15. tell - 39 uses.
16. back - 37 uses.
17. last - 37 uses.
18. around - 36 uses.
19. wanna - 36 uses.
20. fire - 35 uses.
21. home - 34 uses.
22. before - 32 uses.
23. life - 32 uses.
24. better - 31 uses.
25. keep - 31 uses.
26. again - 31 uses.
27. shit - 31 uses.
28. always - 29 uses.
29. songs - 28 uses.
30. right - 28 uses.
31. gonna - 28 uses.
32. theyre - 27 uses.
33. little - 27 uses.
34. love - 27 uses.
35. show - 27 uses.
36. feel - 26 uses.
37. ever - 26 uses.
38. here - 26 uses.
39. damn - 26 uses.
40. every - 25 uses.
41. wasnt - 25 uses.
42. end - 25 uses.
43. along - 24 uses.
44. god - 23 uses.
45. leave - 23 uses.
46. thing - 23 uses.
47. wasted - 23 uses.
48. doesnt - 23 uses.
49. long - 22 uses.
50. myself - 22 uses.
51. rebels - 22 uses.
52. new - 22 uses.
53. ride - 21 uses.
54. left - 21 uses.
55. baby - 21 uses.
56. hold - 21 uses.
57. help - 21 uses.
58. believe - 20 uses.
59. burn - 20 uses.
60. ground - 19 uses.
61. own - 19 uses.
62. coming - 19 uses.
63. fucking - 19 uses.
64. fear - 18 uses.
65. wrong - 18 uses.
66. alone - 17 uses.
67. high - 17 uses.
68. used - 17 uses.
69. because - 17 uses.
70. anything - 17 uses.
71. together - 17 uses.
72. looking - 17 uses.
73. night - 17 uses.
74. sun - 16 uses.
75. catch - 16 uses.
76. enough - 16 uses.
77. matter - 16 uses.
78. tonight - 16 uses.
79. going - 15 uses.
80. singing - 15 uses.
81. still - 15 uses.
82. town - 15 uses.
83. good - 15 uses.
84. light - 15 uses.
85. everything - 15 uses.
86. came - 15 uses.
87. nowhere - 14 uses.
88. hard - 14 uses.
89. whats - 14 uses.
90. maybe - 14 uses.
91. run - 14 uses.
92. gone - 14 uses.
93. choose - 14 uses.
94. lose - 14 uses.
95. city - 14 uses.
96. edmond - 14 uses.
97. girls - 14 uses.
98. lost - 13 uses.
99. heart - 13 uses.
100. lie - 13 uses.
101. hand - 13 uses.
102. even - 13 uses.
103. try - 13 uses.
104. days - 13 uses.
105. everyone - 13 uses.
106. does - 13 uses.
107. fall - 12 uses.
108. same - 12 uses.
109. trying - 12 uses.
110. hearts - 12 uses.
111. care - 12 uses.
112. away - 12 uses.
113. knew - 12 uses.
114. finally - 12 uses.
115. old - 12 uses.
116. loved - 12 uses.
117. die - 12 uses.
118. put - 12 uses.
119. place - 12 uses.
120. forget - 12 uses.
121. worst - 12 uses.
122. friends - 11 uses.
123. hope - 11 uses.
124. fight - 11 uses.
