Most used words by Red Hot Chili Peppers: 
Number of songs scanned: 253

1. love - 489 uses.
2. take - 256 uses.
3. down - 248 uses.
4. away - 247 uses.
5. never - 202 uses.
6. give - 195 uses.
7. right - 182 uses.
8. little - 161 uses.
9. girl - 161 uses.
10. baby - 155 uses.
11. tell - 153 uses.
12. hey - 153 uses.
13. life - 145 uses.
14. good - 145 uses.
15. dance - 139 uses.
16. around - 137 uses.
17. long - 135 uses.
18. lets - 129 uses.
19. let - 126 uses.
20. another - 119 uses.
21. feel - 114 uses.
22. back - 112 uses.
23. through - 101 uses.
24. please - 93 uses.
25. mind - 92 uses.
26. world - 89 uses.
27. night - 88 uses.
28. better - 86 uses.
29. over - 84 uses.
30. lord - 84 uses.
31. must - 84 uses.
32. something - 81 uses.
33. show - 81 uses.
34. inside - 79 uses.
35. face - 79 uses.
36. friend - 78 uses.
37. think - 78 uses.
38. ooh - 78 uses.
39. turn - 76 uses.
40. everything - 75 uses.
41. need - 75 uses.
42. always - 74 uses.
43. ever - 72 uses.
44. keep - 72 uses.
45. play - 71 uses.
46. stay - 69 uses.
47. someone - 68 uses.
48. every - 66 uses.
49. ah - 66 uses.
50. again - 65 uses.
51. hot - 64 uses.
52. about - 64 uses.
53. only - 64 uses.
54. eyes - 63 uses.
55. much - 62 uses.
56. lonely - 62 uses.
57. sun - 61 uses.
58. ride - 61 uses.
59. sky - 60 uses.
60. knows - 59 uses.
61. sing - 58 uses.
62. knock - 58 uses.
63. here - 58 uses.
64. home - 57 uses.
65. before - 56 uses.
66. blood - 56 uses.
67. light - 56 uses.
68. red - 56 uses.
69. friends - 56 uses.
70. hard - 54 uses.
71. going - 54 uses.
72. believe - 54 uses.
73. jump - 54 uses.
74. yes - 54 uses.
75. things - 54 uses.
76. told - 54 uses.
77. kiss - 52 uses.
78. alone - 52 uses.
79. big - 52 uses.
80. fat - 52 uses.
81. god - 51 uses.
82. strong - 51 uses.
83. place - 50 uses.
84. because - 50 uses.
85. fire - 50 uses.
86. everybody - 50 uses.
87. free - 49 uses.
88. really - 49 uses.
89. wrong - 49 uses.
90. hollywood - 48 uses.
91. high - 48 uses.
92. coming - 47 uses.
93. fuck - 47 uses.
94. found - 47 uses.
95. walk - 47 uses.
96. live - 47 uses.
97. share - 47 uses.
98. best - 46 uses.
99. head - 46 uses.
100. along - 46 uses.
101. save - 46 uses.
102. gettin - 46 uses.
103. perfect - 45 uses.
104. gotta - 45 uses.
105. slow - 45 uses.
106. cry - 44 uses.
107. stop - 44 uses.
108. space - 44 uses.
109. soul - 44 uses.
110. lover - 44 uses.
111. magik - 44 uses.
112. dream - 43 uses.
113. ya - 43 uses.
114. heart - 43 uses.
115. boy - 43 uses.
116. sweet - 43 uses.
117. song - 43 uses.
118. kind - 42 uses.
119. black - 42 uses.
120. fight - 42 uses.
121. sound - 41 uses.
122. very - 41 uses.
123. deep - 41 uses.
124. knew - 40 uses.
125. run - 40 uses.
126. thing - 40 uses.
127. hold - 40 uses.
128. whatever - 40 uses.
129. waiting - 39 uses.
130. feeling - 39 uses.
131. funky - 39 uses.
132. wait - 39 uses.
133. full - 39 uses.
134. rock - 39 uses.
135. nothing - 39 uses.
136. ayo - 39 uses.
137. side - 38 uses.
138. put - 38 uses.
139. lost - 38 uses.
140. sex - 38 uses.
141. lay - 38 uses.
142. wanted - 37 uses.
143. looking - 37 uses.
144. top - 37 uses.
145. far - 37 uses.
146. smile - 37 uses.
147. peace - 37 uses.
148. gone - 37 uses.
149. used - 36 uses.
150. road - 36 uses.
151. other - 36 uses.
152. dead - 36 uses.
153. end - 35 uses.
154. fall - 35 uses.
155. falling - 35 uses.
156. break - 35 uses.
157. blue - 34 uses.
158. bad - 34 uses.
159. old - 34 uses.
160. hand - 34 uses.
161. loving - 34 uses.
162. comes - 34 uses.
163. hear - 34 uses.
164. party - 34 uses.
165. gets - 33 uses.
166. guess - 33 uses.
167. while - 33 uses.
168. star - 33 uses.
169. move - 33 uses.
170. band - 33 uses.
171. anything - 33 uses.
172. even - 33 uses.
173. start - 32 uses.
174. moon - 32 uses.
175. enough - 32 uses.
176. die - 32 uses.
177. bob - 32 uses.
178. came - 32 uses.
179. jungle - 32 uses.
180. great - 32 uses.
181. left - 31 uses.
182. water - 31 uses.
183. those - 31 uses.
184. dirty - 31 uses.
185. afraid - 31 uses.
186. reason - 31 uses.
187. everyone - 31 uses.
188. new - 30 uses.
189. open - 30 uses.
190. true - 30 uses.
191. king - 30 uses.
192. care - 30 uses.
193. today - 30 uses.
194. getting - 30 uses.
195. mighty - 30 uses.
196. whats - 30 uses.
197. ask - 30 uses.
198. sure - 30 uses.
199. young - 30 uses.
200. story - 30 uses.
201. dirt - 30 uses.
202. girls - 30 uses.
203. hole - 30 uses.
204. tonight - 30 uses.
205. cums - 30 uses.
206. yertle - 30 uses.
207. seen - 29 uses.
208. without - 29 uses.
209. crazy - 29 uses.
210. pain - 29 uses.
211. upon - 29 uses.
212. brothers - 29 uses.
213. leave - 28 uses.
214. hell - 28 uses.
215. woman - 28 uses.
216. bit - 28 uses.
217. saw - 28 uses.
218. sitting - 28 uses.
219. thought - 28 uses.
220. pussy - 28 uses.
221. yourself - 28 uses.
222. might - 28 uses.
223. cold - 28 uses.
224. brother - 28 uses.
225. same - 28 uses.
226. calling - 28 uses.
227. people - 28 uses.
228. does - 27 uses.
229. rain - 27 uses.
230. last - 27 uses.
231. jam - 27 uses.
232. fine - 27 uses.
233. ass - 27 uses.
234. listen - 27 uses.
