Most used words by Remo Drive: 
Number of songs scanned: 60

1. love - 40 uses.
2. down - 38 uses.
3. feel - 37 uses.
4. long - 34 uses.
5. nothing - 34 uses.
6. done - 34 uses.
7. myself - 27 uses.
8. back - 25 uses.
9. never - 25 uses.
10. even - 23 uses.
11. heart - 22 uses.
12. hate - 22 uses.
13. whats - 21 uses.
14. through - 21 uses.
15. need - 20 uses.
16. every - 19 uses.
17. think - 19 uses.
18. burning - 18 uses.
19. until - 18 uses.
20. night - 17 uses.
21. take - 17 uses.
22. away - 17 uses.
23. only - 17 uses.
24. something - 17 uses.
25. really - 17 uses.
26. hard - 16 uses.
27. let - 16 uses.
28. ever - 15 uses.
29. right - 15 uses.
30. lost - 15 uses.
31. perfect - 15 uses.
32. around - 14 uses.
33. theyre - 14 uses.
34. tell - 14 uses.
35. ah - 14 uses.
36. here - 14 uses.
37. shame - 14 uses.
38. before - 14 uses.
39. always - 14 uses.
40. keep - 13 uses.
41. start - 13 uses.
42. felt - 13 uses.
43. eyes - 13 uses.
44. sure - 13 uses.
45. another - 13 uses.
46. remember - 13 uses.
47. waiting - 12 uses.
48. burn - 12 uses.
49. yourself - 12 uses.
50. easy - 12 uses.
51. sun - 12 uses.
52. friends - 12 uses.
53. maybe - 12 uses.
54. erase - 12 uses.
55. santa - 12 uses.
56. mind - 11 uses.
57. hell - 11 uses.
58. falling - 11 uses.
59. someone - 11 uses.
60. good - 11 uses.
61. without - 11 uses.
62. baby - 11 uses.
63. head - 11 uses.
64. hit - 11 uses.
65. lately - 11 uses.
66. else - 11 uses.
67. air - 10 uses.
68. feet - 10 uses.
69. ground - 10 uses.
70. again - 10 uses.
71. behind - 10 uses.
72. because - 10 uses.
73. face - 10 uses.
74. new - 10 uses.
75. please - 10 uses.
76. getting - 10 uses.
77. should - 10 uses.
78. watch - 9 uses.
79. while - 9 uses.
80. hold - 9 uses.
81. bad - 9 uses.
82. end - 9 uses.
83. alone - 9 uses.
84. trying - 9 uses.
85. blue - 9 uses.
86. thing - 9 uses.
87. behaved - 9 uses.
88. tv - 8 uses.
89. lie - 8 uses.
90. yet - 8 uses.
91. kid - 8 uses.
92. home - 8 uses.
93. young - 8 uses.
94. life - 8 uses.
95. fear - 8 uses.
96. hope - 8 uses.
97. feels - 8 uses.
98. very - 8 uses.
99. sky - 8 uses.
100. wanted - 8 uses.
101. looking - 8 uses.
102. found - 8 uses.
103. smile - 7 uses.
104. speak - 7 uses.
105. become - 7 uses.
106. wrong - 7 uses.
107. lay - 7 uses.
108. simple - 7 uses.
109. teeth - 7 uses.
110. own - 7 uses.
111. late - 7 uses.
112. hear - 7 uses.
113. worth - 7 uses.
114. chest - 7 uses.
115. hands - 7 uses.
116. honey - 7 uses.
117. lets - 7 uses.
118. pass - 7 uses.
119. enough - 7 uses.
120. lips - 7 uses.
121. leave - 7 uses.
122. killing - 7 uses.
123. truth - 7 uses.
124. heard - 7 uses.
125. hand - 7 uses.
126. em - 7 uses.
127. goes - 7 uses.
128. doesnt - 6 uses.
129. much - 6 uses.
130. words - 6 uses.
131. quiet - 6 uses.
132. anymore - 6 uses.
133. fire - 6 uses.
134. yer - 6 uses.
135. put - 6 uses.
136. glass - 6 uses.
137. sleep - 6 uses.
138. try - 6 uses.
139. same - 6 uses.
140. forever - 6 uses.
141. problems - 6 uses.
142. weve - 6 uses.
143. money - 6 uses.
144. screaming - 6 uses.
145. stay - 6 uses.
146. wish - 6 uses.
147. blame - 6 uses.
148. between - 6 uses.
149. feeling - 6 uses.
150. neck - 6 uses.
151. cold - 6 uses.
152. wait - 6 uses.
153. goddamn - 6 uses.
154. mine - 6 uses.
155. water - 6 uses.
156. over - 6 uses.
157. honest - 6 uses.
158. skin - 6 uses.
159. separate - 6 uses.
160. men - 6 uses.
161. lasts - 6 uses.
162. where - 6 uses.
163. play - 6 uses.
164. fun - 6 uses.
165. next - 6 uses.
166. wouldnt - 6 uses.
167. eat - 6 uses.
168. often - 6 uses.
169. test - 6 uses.
170. must - 6 uses.
171. waving - 6 uses.
172. pretty - 6 uses.
173. morning - 6 uses.
174. inside - 6 uses.
175. memory - 6 uses.
176. naked - 5 uses.
177. deep - 5 uses.
178. thought - 5 uses.
179. single - 5 uses.
180. year - 5 uses.
181. fall - 5 uses.
182. sense - 5 uses.
183. believe - 5 uses.
184. tired - 5 uses.
185. sweet - 5 uses.
186. does - 5 uses.
187. care - 5 uses.
188. everything - 5 uses.
189. die - 5 uses.
190. being - 5 uses.
191. ass - 5 uses.
192. child - 5 uses.
193. dark - 5 uses.
194. summer - 5 uses.
195. isnt - 5 uses.
196. reach - 5 uses.
197. blood - 5 uses.
198. give - 5 uses.
