Most used words by SZA: 
Number of songs scanned: 60

1. love - 143 uses.
2. hit - 143 uses.
3. different - 138 uses.
4. feel - 71 uses.
5. high - 71 uses.
6. here - 63 uses.
7. never - 60 uses.
8. mind - 59 uses.
9. take - 56 uses.
10. keep - 52 uses.
11. even - 50 uses.
12. think - 49 uses.
13. need - 49 uses.
14. baby - 42 uses.
15. down - 42 uses.
16. good - 39 uses.
17. little - 38 uses.
18. tell - 38 uses.
19. shit - 37 uses.
20. back - 37 uses.
21. ya - 37 uses.
22. god - 33 uses.
23. enough - 33 uses.
24. stay - 32 uses.
25. girl - 32 uses.
26. let - 30 uses.
27. right - 30 uses.
28. myself - 30 uses.
29. side - 29 uses.
30. alone - 29 uses.
31. night - 28 uses.
32. warm - 27 uses.
33. hear - 26 uses.
34. bless - 26 uses.
35. only - 26 uses.
36. should - 25 uses.
37. weekend - 25 uses.
38. over - 24 uses.
39. wish - 23 uses.
40. pussy - 23 uses.
41. power - 23 uses.
42. ride - 23 uses.
43. real - 22 uses.
44. better - 22 uses.
45. much - 22 uses.
46. ooh - 22 uses.
47. yourself - 22 uses.
48. always - 22 uses.
49. through - 21 uses.
50. mean - 21 uses.
51. really - 21 uses.
52. inside - 21 uses.
53. hard - 20 uses.
54. nothing - 20 uses.
55. pretend - 20 uses.
56. lets - 20 uses.
57. might - 19 uses.
58. again - 19 uses.
59. about - 19 uses.
60. na-na-na - 19 uses.
61. heart - 18 uses.
62. carry - 18 uses.
63. 20 - 18 uses.
64. gotta - 17 uses.
65. long - 17 uses.
66. maybe - 17 uses.
67. heard - 17 uses.
68. give - 16 uses.
69. bit - 16 uses.
70. please - 16 uses.
71. somebody - 16 uses.
72. boy - 16 uses.
73. close - 16 uses.
74. mmm - 16 uses.
75. used - 16 uses.
76. u - 16 uses.
77. r - 16 uses.
78. anonymous - 15 uses.
79. heavy - 15 uses.
80. alive - 15 uses.
81. burn - 15 uses.
82. proud - 15 uses.
83. ever - 14 uses.
84. away - 14 uses.
85. every - 14 uses.
86. new - 14 uses.
87. talking - 14 uses.
88. lie - 14 uses.
89. hate - 14 uses.
90. far - 14 uses.
91. yea - 14 uses.
92. imma - 14 uses.
93. anyway - 14 uses.
94. somethings - 14 uses.
95. live - 13 uses.
96. scared - 13 uses.
97. late - 13 uses.
98. around - 13 uses.
99. hope - 13 uses.
100. 2 - 13 uses.
101. tryna - 13 uses.
102. lost - 13 uses.
103. head - 13 uses.
104. took - 12 uses.
